date,open,high,low,close,volume
2023-05-04,25.655,26.97,25.25,26.82,3389183
2023-05-05,26.54,27.03,26.23,26.3,589902
2023-05-08,26.19,26.79,25.91,26.515,332976
2023-05-09,26.505,26.795,26.1,26.27,194506
2023-05-10,26.48,26.77,26.01,26.25,811781
2023-05-11,26.09,26.32,26.0,26.005,605120
2023-05-12,26.06,26.61,25.9,26.53,497244
2023-05-15,26.62,27.79,26.62,27.505,367186
2023-05-16,27.54,27.76,27.0,27.04,276882
2023-05-17,27.49,27.69,26.65,27.215,238617
2023-05-18,27.275,27.28,26.705,27.01,97468
2023-05-19,26.95,27.25,26.7,27.23,90967
2023-05-22,27.365,27.38,25.96,26.07,354377
2023-05-23,26.015,26.25,25.82,26.0,142042
2023-05-24,25.91,26.53,25.9,26.45,155340
2023-05-25,26.52,26.6,25.915,26.33,111243
2023-05-26,26.265,26.36,26.235,26.28,36198
2023-05-30,26.445,26.445,25.14,25.73,376453
2023-05-31,25.6,25.6,24.99,25.11,427876
2023-06-01,25.19,25.64,24.75,25.265,257017
2023-06-02,25.36,25.67,24.99,25.55,139969
2023-06-05,25.63,25.77,24.84,25.16,206659
2023-06-06,25.03,25.37,25.02,25.18,139784
2023-06-07,24.98,25.25,24.98,25.085,129840
2023-06-08,25.07,25.15,24.82,25.12,110451
2023-06-09,25.085,25.15,24.85,25.125,77989
2023-06-12,25.08,25.12,24.75,25.025,171839
2023-06-13,25.07,25.215,24.965,25.155,124274
2023-06-14,25.15,25.49,25.14,25.345,131670
2023-06-15,25.225,25.95,25.225,25.77,67913
2023-06-16,25.88,26.25,25.88,26.25,155461
2023-06-20,26.13,26.38,26.05,26.075,139929
2023-06-21,26.175,26.69,25.775,26.205,149933
2023-06-22,26.26,26.6,26.26,26.52,73446
2023-06-23,26.65,26.73,26.29,26.48,149673
2023-06-26,26.52,26.59,26.04,26.165,48081
2023-06-27,25.9,25.915,25.21,25.895,160337
2023-06-28,25.87,26.015,25.67,25.83,89082
2023-06-29,25.75,26.22,25.72,25.99,48513
2023-06-30,26.25,26.66,26.18,26.425,147798
2023-07-03,26.34,26.6,25.8,26.06,154551
2023-07-05,25.985,26.24,25.62,25.7,75847
2023-07-06,25.7,25.8,25.38,25.64,85842
2023-07-07,25.52,25.645,25.21,25.21,70104
2023-07-10,25.27,25.485,25.12,25.25,49232
2023-07-11,25.47,25.53,25.005,25.09,181798
2023-07-12,25.31,25.335,24.96,25.255,92847
2023-07-13,25.37,25.45,24.91,25.4,63648
2023-07-14,25.545,25.59,24.745,24.945,121928
2023-07-17,24.94,25.05,24.75,24.89,68655
2023-07-18,24.85,25.025,24.81,24.815,90102
2023-07-19,24.87,25.04,24.5,24.985,102235
2023-07-20,23.94,24.6,22.495,24.515,2806094
2023-07-21,24.63,24.84,23.785,24.005,698797
2023-07-24,23.12,24.39,23.12,24.15,1443343
2023-07-25,24.285,25.08,24.17,25.005,433307
2023-07-26,25.03,25.15,24.29,24.665,363201
2023-07-27,24.82,24.84,23.975,24.19,496527
