date,open,high,low,close,volume
2021-07-21,53.88,54.73,53.88,54.1,52235
2021-07-22,53.75,54.0,53.45,53.45,19506
2021-07-23,54.14,54.26,53.37,53.58,26612
2021-07-26,53.86,54.075,53.62,53.98,12253
2021-07-27,53.36,54.24,53.36,53.74,28464
2021-07-28,53.725,54.01,52.77,53.27,18629
2021-07-29,53.78,53.97,53.3,53.87,14016
2021-07-30,53.92,54.04,53.4,53.66,20246
2021-08-02,54.035,54.495,53.44,53.635,34996
2021-08-03,54.01,54.01,52.86,53.595,164776
2021-08-04,53.17,53.665,52.865,52.99,60832
2021-08-05,53.67,54.21,53.24,53.96,35898
2021-08-06,54.67,55.19,54.54,54.935,29101
2021-08-09,54.745,55.52,54.655,55.09,18897
2021-08-10,55.015,55.9,54.97,55.565,16804
2021-08-11,55.35,56.18,55.35,56.18,15210
2021-08-12,56.05,56.27,55.76,56.13,30550
2021-08-13,55.79,55.83,55.64,55.64,12098
2021-08-16,55.17,55.77,55.0,55.44,17484
2021-08-17,55.015,55.585,54.99,55.38,38155
2021-08-18,55.05,55.44,54.645,54.665,19415
2021-08-19,54.47,54.99,54.42,54.595,8874
2021-08-20,54.73,55.25,54.73,55.01,11486
2021-08-23,55.5,55.77,55.44,55.47,24196
2021-08-24,55.51,55.72,55.51,55.57,5166
2021-08-25,55.57,56.52,55.49,56.275,24096
2021-08-26,56.02,56.29,55.59,55.63,20618
2021-08-27,55.94,56.565,55.84,56.54,17933
2021-08-30,56.405,56.405,55.825,55.825,23997
2021-08-31,55.95,56.205,55.76,55.86,30510
2021-09-01,55.88,55.88,55.35,55.645,19547
2021-09-02,55.7,55.93,55.35,55.475,15695
2021-09-03,55.23,55.25,54.47,54.76,23789
2021-09-07,54.64,55.295,54.61,54.92,48366
2021-09-08,54.895,55.53,54.855,55.25,20427
2021-09-09,54.88,55.465,54.555,54.57,26523
2021-09-10,54.82,54.82,53.425,53.49,38804
2021-09-13,54.06,54.34,53.685,54.065,15038
2021-09-14,53.98,54.08,53.035,53.18,34230
2021-09-15,53.48,54.035,53.31,53.95,21163
2021-09-16,54.155,54.155,53.595,53.655,20484
2021-09-17,53.745,54.14,53.02,53.08,55106
2021-09-20,52.18,52.39,51.44,52.3,36421
2021-09-21,52.59,52.79,51.71,51.71,22152
2021-09-22,52.34,52.79,52.34,52.37,17915
2021-09-23,52.61,53.5,52.61,52.93,12906
2021-09-24,53.14,53.335,52.95,52.95,10931
2021-09-27,53.68,54.24,53.68,53.9,14907
2021-09-28,54.24,54.42,53.3,53.37,22645
2021-09-29,53.52,54.56,53.52,54.35,24173
2021-09-30,54.6,54.93,53.94,53.955,55221
2021-10-01,54.14,55.615,54.14,55.29,12047
2021-10-04,55.565,56.08,54.91,55.04,31179
2021-10-05,55.19,56.47,55.03,56.27,29255
2021-10-06,55.91,56.6,55.04,56.6,22761
2021-10-07,57.14,57.4,56.89,56.93,24633
2021-10-08,56.85,57.43,56.85,57.4,10483
2021-10-11,57.74,58.11,56.765,56.79,16145
2021-10-12,56.84,57.27,56.73,56.94,21217
2021-10-13,56.58,56.58,55.61,56.16,21551
2021-10-14,56.72,57.095,56.565,57.09,14872
2021-10-15,57.61,57.94,57.35,57.645,15181
2021-10-18,57.29,57.475,56.9,57.0,9009
2021-10-19,57.44,57.48,57.23,57.47,13153
2021-10-20,57.71,58.11,57.61,58.095,11107
2021-10-21,57.92,58.01,57.09,57.52,14702
2021-10-22,57.8,57.89,57.315,57.575,14031
2021-10-26,57.66,57.72,57.31,57.31,14369
2021-10-27,56.74,57.21,55.57,55.6,22173
2021-10-28,55.88,56.41,55.88,56.37,25993
2021-10-29,56.49,56.615,55.88,55.99,15663
2021-11-01,56.85,57.535,56.14,57.15,23509
2021-11-02,57.02,57.72,56.765,57.405,36667
2021-11-03,57.4,58.015,57.24,57.41,17298
2021-11-04,57.1,57.13,56.25,56.68,33421
2021-11-05,57.75,57.775,56.95,57.23,23745
2021-11-08,58.26,59.09,58.03,58.03,18032
2021-11-09,58.04,58.04,57.475,57.63,10484
2021-11-10,57.715,57.8,56.835,57.215,60946
2021-11-11,56.98,57.7,56.98,57.53,29692
2021-11-12,57.325,57.325,56.545,57.03,18837
2021-11-15,57.01,57.15,56.11,56.25,30071
2021-11-16,56.18,56.85,56.18,56.5,20388
2021-11-17,56.535,57.38,56.445,57.16,38367
2021-11-18,57.46,57.58,56.38,56.675,34417
2021-11-19,56.2,56.205,54.87,55.67,32654
2021-11-22,56.08,57.23,56.08,56.71,31191
2021-11-23,57.02,57.675,57.02,57.41,22806
2021-11-24,57.165,57.34,56.7,56.86,16455
2021-11-26,54.92,55.565,54.31,55.15,23654
2021-11-29,55.65,55.65,54.69,55.07,28315
2021-11-30,54.45,55.01,53.29,53.47,37179
2021-12-01,54.09,55.14,53.4,53.4,25254
2021-12-02,53.72,55.565,53.72,55.06,21605
2021-12-03,55.09,55.535,54.6,54.87,23028
2021-12-06,55.93,56.81,55.88,56.23,20085
2021-12-07,56.46,57.12,56.46,56.85,20972
2021-12-08,56.97,57.185,56.67,56.77,31076
2021-12-09,56.23,57.09,56.23,56.64,29466
2021-12-10,56.73,57.165,56.72,57.1,32531
2021-12-13,56.87,57.14,56.07,56.78,16877
2021-12-14,56.77,57.535,56.62,56.7,43332
2021-12-15,56.905,57.39,56.79,57.095,28956
2021-12-16,57.63,58.28,57.62,57.895,30730
2021-12-17,57.47,57.61,56.73,56.78,38116
2021-12-20,56.145,56.145,55.125,55.57,50516
2021-12-21,56.78,57.22,56.57,56.77,12381
2021-12-22,56.48,56.85,56.26,56.77,30115
2021-12-23,57.21,57.48,56.77,57.055,17509
2021-12-27,56.91,57.74,56.91,57.74,9511
2021-12-28,58.11,58.43,58.07,58.18,10914
2021-12-29,58.36,58.44,58.085,58.18,16186
2021-12-30,58.08,58.36,57.725,57.79,17389
2021-12-31,57.74,58.17,57.67,57.76,13461
2022-01-03,58.33,58.39,58.0,58.08,7993
2022-01-04,58.83,59.64,58.83,59.385,21740
2022-01-05,59.84,59.86,58.64,58.76,18187
2022-01-06,59.43,59.75,59.21,59.34,24027
2022-01-07,59.43,60.89,59.18,60.78,29906
2022-01-10,61.05,61.05,60.16,60.75,17696
2022-01-11,60.19,61.18,60.19,61.125,27404
2022-01-12,60.97,61.38,60.87,61.18,19205
2022-01-13,61.35,61.91,61.31,61.45,34514
2022-01-14,60.9,61.67,60.9,61.65,17277
2022-01-18,61.22,61.23,60.68,60.93,17724
2022-01-19,60.41,60.67,59.52,59.55,12964
