date,open,high,low,close,volume
2021-07-21,327.03,328.47,319.91,320.7,45788
2021-07-22,320.39,321.975,315.43,315.72,20121
2021-07-23,318.63,322.16,317.96,320.55,22408
2021-07-26,312.245,327.93,312.07,327.15,37691
2021-07-27,325.115,333.29,324.49,332.465,33901
2021-07-28,331.99,333.33,323.16,327.77,20323
2021-07-29,329.095,334.48,327.255,334.135,16040
2021-07-30,332.86,335.59,329.7,329.71,35034
2021-08-02,331.43,335.61,328.92,328.98,36240
2021-08-03,331.91,336.57,330.065,333.57,38047
2021-08-04,333.27,336.655,328.83,328.83,41272
2021-08-05,330.73,330.73,326.65,329.61,122960
2021-08-06,331.33,335.55,330.63,333.995,29662
2021-08-09,333.73,337.325,333.55,335.04,25774
2021-08-10,334.68,341.145,334.44,339.34,20680
2021-08-11,340.31,345.15,340.17,344.31,22454
2021-08-12,344.0,345.03,340.665,340.78,26843
2021-08-13,340.64,341.43,337.79,340.815,13400
2021-08-16,337.74,341.655,337.74,338.93,27092
2021-08-17,337.02,337.02,332.85,334.185,22344
2021-08-18,332.06,333.945,325.605,325.85,16702
2021-08-19,324.495,330.15,324.495,329.895,19593
2021-08-20,330.59,335.71,330.59,334.02,14571
2021-08-23,331.23,334.315,330.82,331.07,13395
2021-08-24,329.75,335.08,329.75,330.78,27319
2021-08-25,331.865,333.92,331.485,331.86,34852
2021-08-26,330.54,331.7,328.755,329.355,25450
2021-08-27,329.835,334.94,327.78,333.75,18758
2021-08-30,333.35,337.95,333.35,335.97,7549
2021-08-31,333.88,336.16,333.88,334.93,12568
2021-09-01,336.145,336.27,331.36,334.72,15031
2021-09-02,336.14,336.3,333.22,334.86,12922
2021-09-03,333.39,335.04,332.64,332.64,9082
2021-09-07,332.395,332.395,324.675,325.15,20509
2021-09-08,324.615,329.19,323.58,328.48,18966
2021-09-09,330.0,330.0,324.93,325.64,18788
2021-09-10,327.0,327.0,321.645,321.655,24357
2021-09-13,326.015,328.63,319.94,320.815,33617
2021-09-14,320.535,320.535,308.61,313.16,44874
2021-09-15,313.39,314.77,306.04,312.345,54505
2021-09-16,312.85,314.02,308.43,310.17,24581
2021-09-17,309.17,309.72,304.605,306.15,32258
2021-09-20,303.36,308.785,302.67,307.055,27920
2021-09-21,306.935,307.62,304.4,306.39,14049
2021-09-22,307.28,307.49,304.295,305.05,35215
2021-09-23,307.28,309.1,307.05,308.55,22328
2021-09-24,309.58,309.58,307.93,308.67,10282
2021-09-27,306.92,310.26,306.18,308.37,9942
2021-09-28,309.1,310.12,302.37,302.37,19123
2021-09-29,300.77,304.35,299.43,299.64,11462
2021-09-30,302.06,302.06,294.345,294.345,25760
2021-10-01,294.29,299.48,294.29,297.38,14145
2021-10-04,297.34,297.34,294.32,295.815,11401
2021-10-05,295.245,300.78,294.58,299.525,11465
2021-10-06,299.205,299.205,295.7,296.97,27088
2021-10-07,301.72,306.06,301.51,304.1,10451
2021-10-08,302.14,302.18,295.125,295.39,10699
2021-10-11,297.72,299.22,295.12,295.24,7413
2021-10-12,297.14,299.805,296.04,298.165,15779
2021-10-13,298.25,301.79,296.75,301.43,25420
2021-10-14,304.84,309.3,304.84,309.135,8403
2021-10-15,310.425,313.32,308.81,309.34,11146
2021-10-18,309.65,313.82,309.515,313.04,7541
2021-10-19,313.69,313.71,308.6,308.81,22406
2021-10-20,310.07,311.55,309.805,310.485,5453
2021-10-21,310.715,310.715,306.0,310.335,10525
2021-10-22,312.455,316.65,312.23,312.625,13155
2021-10-26,303.0,309.33,302.65,302.79,44631
2021-10-27,303.2,307.14,296.68,296.97,16534
2021-10-28,299.045,300.71,295.815,298.05,24708
2021-10-29,296.75,301.27,296.75,299.4,24853
2021-11-01,300.46,305.0,297.47,302.79,22831
2021-11-02,304.19,308.03,304.19,305.81,21691
2021-11-03,306.25,306.25,299.87,300.065,19298
2021-11-04,300.32,304.85,300.32,301.095,22445
2021-11-05,302.52,305.7,299.66,301.8,30548
2021-11-08,301.31,301.51,297.84,301.51,11651
2021-11-09,302.525,309.36,302.525,309.32,8272
2021-11-10,308.83,311.77,308.14,309.66,8343
2021-11-11,308.97,312.59,308.68,311.56,9228
2021-11-12,312.97,322.095,312.97,319.795,20080
2021-11-15,319.22,322.145,314.405,314.55,14216
