date,open,high,low,close,volume
2021-07-21,52.14,53.5,52.12,53.095,515075
2021-07-22,51.99,52.26,50.85,51.295,306046
2021-07-23,51.545,51.97,50.57,50.7,185957
2021-07-26,50.52,51.845,50.52,51.79,141386
2021-07-27,51.27,51.69,50.755,51.16,137806
2021-07-28,51.36,52.11,50.84,51.755,148065
2021-07-29,52.18,52.36,51.55,51.555,87251
2021-07-30,50.97,51.75,50.385,50.51,99611
2021-08-02,50.54,51.48,49.645,49.75,156226
2021-08-03,49.81,50.635,49.145,50.635,142821
2021-08-04,49.56,50.17,48.505,48.895,245748
2021-08-05,49.13,50.75,49.085,50.46,158608
2021-08-06,51.01,51.14,50.07,50.72,107386
2021-08-09,49.915,50.07,48.95,49.725,151279
2021-08-10,49.8,51.625,49.61,51.11,145030
2021-08-11,49.91,51.965,49.885,51.85,210325
2021-08-12,51.355,51.52,50.58,51.0,119497
2021-08-13,50.9,51.0,50.29,50.415,160659
2021-08-16,49.98,50.41,49.47,50.12,136850
2021-08-17,49.35,49.365,48.155,48.73,130775
2021-08-18,48.43,49.445,48.36,48.41,122127
2021-08-19,48.175,48.38,46.98,47.43,216603
2021-08-20,47.37,47.85,47.295,47.39,124910
2021-08-23,48.05,48.94,48.05,48.7,413736
2021-08-24,49.5,51.095,49.5,50.81,314936
2021-08-25,50.87,52.0,50.34,51.27,428552
2021-08-26,50.75,51.29,49.86,50.27,144969
2021-08-27,50.46,51.33,50.38,50.89,115443
2021-08-30,50.97,50.97,49.115,49.16,148830
2021-08-31,49.045,50.02,49.02,49.77,122267
2021-09-01,49.99,50.1,49.435,49.56,68183
2021-09-02,49.675,50.15,49.08,49.61,162160
2021-09-03,49.31,49.8,48.67,48.87,71682
2021-09-07,48.34,48.73,47.99,48.545,186099
2021-09-08,48.8,49.35,48.1,48.11,111644
2021-09-09,47.945,50.175,47.895,49.245,121818
2021-09-10,49.41,49.41,47.875,47.885,236031
2021-09-13,48.51,49.06,47.525,48.735,144309
2021-09-14,48.58,48.84,47.73,48.03,120150
2021-09-15,48.02,48.48,47.395,48.46,78759
2021-09-16,48.76,49.51,48.63,49.115,239596
2021-09-17,49.365,49.8,48.58,49.09,112917
2021-09-20,48.67,49.64,48.02,49.59,185898
2021-09-21,49.76,50.27,48.835,49.17,159880
2021-09-22,49.42,51.21,49.37,50.635,273855
