date,open,high,low,close,volume
2021-07-21,96.63,97.85,96.235,97.07,89168
2021-07-22,97.08,97.12,94.03,95.985,74664
2021-07-23,97.405,97.82,95.45,96.61,76835
2021-07-26,96.945,98.65,96.65,98.56,57062
2021-07-27,98.7,99.98,97.3,99.03,81772
2021-07-28,99.05,99.66,97.23,99.06,78755
2021-07-29,101.17,101.22,99.68,100.51,40803
2021-07-30,97.995,101.605,97.72,99.285,212538
2021-08-02,100.19,103.25,98.86,98.86,133616
2021-08-03,99.01,100.175,96.5,100.175,64878
2021-08-04,99.26,100.405,96.98,97.01,74597
2021-08-05,98.0,98.39,96.515,96.62,93282
2021-08-06,98.54,99.955,98.45,99.44,42498
2021-08-09,99.39,99.75,98.475,99.63,61092
2021-08-10,100.0,104.18,100.0,103.65,74435
2021-08-11,103.89,106.12,103.38,105.96,59692
2021-08-12,106.07,106.08,103.5,104.97,83589
2021-08-13,104.69,105.255,103.95,105.04,47098
2021-08-16,103.79,103.79,101.4,103.44,115660
2021-08-17,102.12,102.445,100.07,101.79,90028
2021-08-18,101.125,102.22,99.96,100.17,66063
2021-08-19,98.765,98.97,96.51,97.25,123753
2021-08-20,97.22,98.59,97.01,98.22,51100
2021-08-23,98.87,100.81,98.87,100.04,43339
2021-08-24,101.19,103.35,101.125,102.47,67226
2021-08-25,102.12,103.12,100.86,102.99,89068
2021-08-26,102.6,102.84,100.985,101.22,60121
2021-08-27,101.14,103.46,101.14,102.88,35372
2021-08-30,102.86,102.925,101.36,101.94,93500
2021-08-31,101.085,101.7,100.17,100.39,110144
2021-09-01,101.05,101.05,97.76,97.76,149285
2021-09-02,98.33,98.585,97.04,97.29,141963
2021-09-03,97.475,97.64,95.43,95.74,151305
2021-09-07,95.065,95.85,94.17,94.65,110598
2021-09-08,96.09,96.09,92.11,92.45,130639
2021-09-09,91.535,93.57,91.24,91.6,151722
2021-09-10,92.88,93.54,91.84,92.86,125932
2021-09-13,94.65,94.76,93.225,94.405,64908
2021-09-14,95.43,95.615,93.56,93.865,89124
2021-09-15,94.16,94.83,93.425,94.8,117249
2021-09-16,94.475,94.74,93.265,93.89,80130
2021-09-17,93.29,93.37,91.61,92.14,139709
2021-09-20,89.23,90.8,88.235,89.94,147048
2021-09-21,90.71,90.87,89.18,89.89,115209
2021-09-22,91.26,92.3,91.175,91.2,106440
2021-09-23,91.97,94.49,91.97,93.32,78784
2021-09-24,92.52,93.81,92.05,93.11,42499
2021-09-27,94.285,96.93,94.285,96.06,117697
2021-09-28,96.88,98.36,96.14,96.35,115510
2021-09-29,96.5,97.29,95.64,95.85,92355
2021-09-30,96.41,96.7,93.81,93.81,103434
2021-10-01,94.18,96.38,93.77,95.725,48995
2021-10-04,96.15,96.83,94.23,94.67,86617
2021-10-05,95.24,97.51,94.99,96.74,109762
2021-10-06,95.19,95.93,93.83,95.85,163086
2021-10-07,97.32,99.53,97.2,97.94,148278
2021-10-08,98.16,98.92,97.2,97.97,51010
2021-10-11,99.34,99.51,97.12,97.45,47118
2021-10-12,97.5,97.8,96.39,96.84,71133
2021-10-13,96.81,96.95,94.675,96.31,56188
2021-10-14,97.155,98.765,96.64,98.26,103447
2021-10-15,98.75,100.2,98.7,99.09,45041
2021-10-18,97.5,99.075,97.5,98.42,39442
2021-10-19,98.87,98.975,98.08,98.65,44209
2021-10-20,98.735,100.07,98.21,99.47,64392
2021-10-21,99.01,99.27,95.54,96.57,95931
2021-10-22,97.68,98.325,96.985,97.38,48126
2021-10-26,98.0,98.58,96.84,97.64,85931
2021-10-27,96.56,96.88,94.42,94.43,136192
2021-10-28,95.135,96.59,94.985,96.31,90264
2021-10-29,92.25,95.175,91.86,92.84,270335
2021-11-01,93.15,94.68,93.12,94.26,101469
2021-11-02,93.5,94.615,93.0,94.31,72495
2021-11-03,92.77,94.63,92.77,93.62,187693
2021-11-04,93.85,94.015,89.58,91.11,184155
2021-11-05,92.07,93.8,92.07,92.98,117020
2021-11-08,93.68,95.09,93.13,93.3,62592
2021-11-09,92.925,93.655,92.48,92.81,104237
2021-11-10,93.22,93.51,92.54,92.81,101720
2021-11-11,93.105,95.395,93.05,94.68,232111
2021-11-12,94.81,96.19,94.81,95.39,122819
2021-11-15,95.64,95.825,94.7,95.21,94402
2021-11-16,94.5,94.72,93.0,93.0,76012
2021-11-17,92.93,93.14,91.73,92.0,94570
2021-11-18,92.26,92.26,90.95,91.24,82919
2021-11-19,90.715,90.715,88.44,89.36,217759
2021-11-22,90.11,93.31,90.11,92.8,161016
2021-11-23,93.51,94.06,93.02,93.45,92175
2021-11-24,93.0,93.36,91.41,91.57,81200
2021-11-26,86.65,89.66,86.3,89.46,160340
2021-11-29,90.75,91.19,88.61,89.18,190863
2021-11-30,87.87,88.13,86.32,87.12,175577
2021-12-01,88.96,89.105,84.52,84.52,243578
2021-12-02,84.81,85.985,84.24,85.58,354309
2021-12-03,86.245,88.13,86.245,87.375,240501
2021-12-06,88.78,89.685,88.3,88.92,193449
2021-12-07,89.6,91.655,89.6,90.06,162583
2021-12-08,90.61,91.8,90.25,90.53,173235
2021-12-09,89.75,90.73,89.59,89.99,145804
2021-12-10,91.165,91.615,89.6,89.88,171001
2021-12-13,89.81,90.32,87.44,87.62,210752
2021-12-14,87.74,89.41,87.74,89.185,170916
2021-12-15,89.16,89.16,85.185,87.09,183685
2021-12-16,87.685,90.24,87.685,89.1,136334
