date,open,high,low,close,volume
2021-07-21,186.74,187.33,185.74,185.74,18990
2021-07-22,185.44,185.945,184.43,185.45,35619
2021-07-23,185.76,187.685,185.52,187.685,24946
2021-07-26,186.38,187.06,185.69,186.82,29939
2021-07-27,186.46,189.03,186.46,188.37,42546
2021-07-28,188.03,188.89,187.065,187.8,144627
2021-07-29,188.92,194.38,188.92,193.21,85526
2021-07-30,194.265,196.17,192.52,193.1,28410
2021-08-02,194.84,195.75,193.63,195.06,39087
2021-08-03,191.06,192.79,190.9,191.4,88098
2021-08-04,192.1,192.51,189.72,190.25,129769
2021-08-05,192.08,192.08,188.79,191.43,35608
2021-08-06,192.13,192.225,190.73,191.09,15614
2021-08-09,190.17,190.705,188.92,189.87,13400
2021-08-10,189.23,189.3,184.805,185.19,27118
2021-08-11,186.135,187.69,186.07,186.1,22680
2021-08-12,187.02,187.02,185.57,186.3,16425
2021-08-13,186.815,188.39,186.49,188.26,23860
2021-08-16,188.45,190.385,188.38,189.65,13120
2021-08-17,189.14,189.45,187.465,189.16,17813
2021-08-18,187.45,188.89,185.62,186.68,34363
2021-08-19,185.78,188.06,185.78,187.97,15260
2021-08-20,187.94,190.53,186.99,190.33,37927
2021-08-23,191.22,191.22,188.27,188.445,19463
2021-08-24,188.535,188.535,185.96,186.29,25349
2021-08-25,186.35,189.15,185.905,187.64,13180
2021-08-26,188.26,189.51,187.53,188.96,15809
2021-08-27,189.945,190.79,189.21,189.25,13163
2021-08-30,189.38,192.64,189.35,192.59,12946
2021-08-31,191.86,193.08,191.42,192.44,27115
2021-09-01,192.995,196.56,192.71,196.16,37351
2021-09-02,196.98,196.98,194.31,196.24,58088
2021-09-03,194.9,196.54,193.51,196.22,30655
2021-09-07,195.03,195.03,191.48,192.45,17932
2021-09-08,192.145,195.94,192.145,195.4,25786
2021-09-09,194.86,194.86,191.82,191.83,17024
2021-09-10,191.56,192.035,189.48,189.48,11589
2021-09-13,191.2,191.82,189.755,190.075,8484
2021-09-14,191.02,192.06,190.235,191.57,31003
2021-09-15,192.13,193.7,191.03,191.18,30998
2021-09-16,191.68,192.38,189.43,191.31,21522
2021-09-17,190.1,190.51,187.55,187.58,32666
2021-09-20,185.93,189.37,185.4,188.0,53287
2021-09-21,188.8,190.315,188.07,188.07,25323
2021-09-22,189.52,191.155,189.06,190.49,28817
2021-09-23,191.4,192.68,191.25,191.38,16748
2021-09-24,191.4,191.4,189.31,189.335,14447
2021-09-27,189.9,191.43,186.06,186.06,25975
2021-09-28,184.425,187.25,184.38,186.51,14028
2021-09-29,188.48,190.58,188.47,189.92,20209
2021-09-30,190.22,190.94,186.72,186.72,28432
2021-10-01,187.01,190.19,185.68,189.03,14401
2021-10-04,188.76,191.55,187.385,190.65,28007
2021-10-05,190.975,191.175,188.23,189.79,16559
2021-10-06,188.7,192.06,185.73,192.06,21111
2021-10-07,193.29,193.925,191.41,191.685,10256
2021-10-08,191.415,193.43,190.85,191.22,19580
2021-10-11,192.26,192.26,189.47,191.22,10497
2021-10-12,192.2,194.29,192.11,193.5,24338
2021-10-13,192.64,196.26,192.36,196.26,23201
2021-10-14,196.68,198.72,195.55,198.72,18055
2021-10-15,199.54,199.85,196.39,197.69,17011
2021-10-18,196.26,198.98,196.21,198.78,10231
2021-10-19,199.41,199.41,196.765,197.08,13874
2021-10-20,197.98,199.68,197.98,199.65,13314
2021-10-21,199.13,199.685,198.42,199.685,18202
2021-10-22,201.58,202.46,201.25,201.77,27802
2021-10-26,201.72,203.24,200.15,202.69,20425
2021-10-27,203.005,205.59,203.005,203.95,36098
2021-10-28,204.35,206.97,204.1,206.24,27338
2021-10-29,206.035,206.42,203.37,204.225,27788
2021-11-01,204.45,204.45,197.57,201.03,36340
2021-11-02,201.74,204.02,201.59,203.4,26714
2021-11-03,204.16,204.16,202.43,203.4,22309
2021-11-04,203.65,203.65,199.0,200.39,17523
2021-11-05,202.7,203.315,201.335,202.34,7714
2021-11-08,201.63,201.94,200.33,201.65,17093
2021-11-09,202.64,202.64,201.53,202.51,7782
2021-11-10,201.455,203.2,200.37,202.73,14998
