date,open,high,low,close,volume
2021-07-21,59.41,59.85,59.24,59.5,34173
2021-07-22,59.35,59.43,58.895,58.91,64120
2021-07-23,59.4,59.88,59.15,59.79,48177
2021-07-26,59.7,59.83,59.07,59.31,56738
2021-07-27,58.96,59.76,58.39,59.71,72365
2021-07-28,59.66,60.0,59.15,59.65,82222
2021-07-29,60.275,60.3,58.11,58.64,212554
2021-07-30,58.78,59.97,58.78,59.72,81104
2021-08-02,59.87,60.34,59.3,59.35,58695
2021-08-03,59.435,60.675,59.285,60.32,142968
2021-08-04,60.13,60.36,59.635,59.97,54647
2021-08-05,60.25,60.63,60.15,60.485,29685
2021-08-06,60.74,61.11,60.325,60.47,74918
2021-08-09,60.03,60.13,59.14,59.195,73036
2021-08-10,59.38,60.095,59.18,59.935,75278
2021-08-11,60.28,61.935,60.28,61.935,98911
2021-08-12,61.95,62.25,61.48,62.215,97278
2021-08-13,62.305,62.92,62.305,62.58,178807
2021-08-16,62.45,63.12,62.3,62.89,39693
2021-08-17,62.31,62.31,60.895,61.32,76676
2021-08-18,61.155,61.53,59.87,59.885,53985
2021-08-19,59.18,60.215,59.18,59.99,55854
2021-08-20,60.12,60.87,60.06,60.75,40436
2021-08-23,60.82,61.02,60.15,60.88,67617
2021-08-24,60.89,61.465,60.87,61.17,52551
2021-08-25,61.21,62.05,61.21,61.93,50806
2021-08-26,61.9,61.94,61.39,61.71,62232
2021-08-27,61.845,62.405,61.845,62.0,31026
2021-08-30,62.1,62.285,61.91,61.92,54398
2021-08-31,61.97,61.97,60.515,60.7,83681
2021-09-01,60.88,61.42,60.17,61.22,63851
2021-09-02,61.65,61.77,61.25,61.77,55935
2021-09-03,61.35,61.395,60.81,61.19,72609
2021-09-07,60.65,60.65,59.0,59.02,101836
2021-09-08,58.54,58.86,57.97,58.2,126787
2021-09-09,58.42,60.265,58.42,59.445,189995
2021-09-10,59.74,60.0,59.335,59.51,62723
2021-09-13,60.255,60.67,59.695,59.87,68948
2021-09-14,59.74,59.77,58.92,58.98,129031
2021-09-15,58.85,59.28,58.445,58.45,63275
2021-09-16,58.34,58.81,58.12,58.135,102830
2021-09-17,57.665,57.73,57.045,57.265,68525
2021-09-20,56.44,56.95,56.1,56.82,76278
2021-09-21,56.93,57.05,56.11,56.23,79260
2021-09-22,56.57,57.09,56.47,56.52,61956
2021-09-23,56.66,57.25,56.6,56.67,85658
2021-09-24,56.51,56.77,56.07,56.07,48773
2021-09-27,55.98,56.66,55.91,56.13,129421
2021-09-28,55.81,56.17,54.71,55.03,84776
2021-09-29,55.03,56.375,54.84,55.69,125475
2021-09-30,55.855,56.47,55.065,55.585,419670
2021-10-01,55.9,56.15,55.43,55.84,177074
2021-10-04,55.67,56.96,55.56,55.98,81565
2021-10-05,55.915,56.24,55.59,55.875,60573
2021-10-06,55.46,56.37,55.46,56.16,88049
2021-10-07,56.75,57.8,56.75,57.13,88971
2021-10-08,56.97,57.18,56.44,56.865,50161
2021-10-11,57.04,57.15,56.61,56.775,53218
2021-10-12,57.29,57.33,56.495,56.65,36507
2021-10-13,56.97,57.01,56.375,56.83,69809
2021-10-14,57.52,58.56,57.23,58.56,32963
2021-10-15,58.87,59.435,58.46,59.26,38198
2021-10-18,59.05,60.3,58.81,60.11,64723
2021-10-19,60.26,60.63,59.79,59.85,72731
2021-10-20,60.38,61.02,60.21,60.62,61087
2021-10-21,60.49,61.27,60.36,61.13,58539
2021-10-22,61.88,62.025,61.01,61.015,57972
2021-10-26,61.35,61.85,60.81,61.09,110642
2021-10-27,62.945,66.06,62.945,64.27,198120
2021-10-28,64.615,65.71,64.555,65.49,81450
2021-10-29,65.25,66.14,65.04,65.655,88179
2021-11-01,65.845,65.845,64.42,64.63,65118
2021-11-02,64.91,65.11,63.975,64.1,57187
2021-11-03,63.88,64.55,63.765,64.14,81816
2021-11-04,64.38,65.16,64.34,64.69,66854
2021-11-05,64.82,65.46,64.05,64.19,115214
2021-11-08,64.7,64.86,63.62,64.04,46554
2021-11-09,64.49,65.72,64.49,65.72,39864
2021-11-10,65.37,65.64,64.23,64.425,64808
2021-11-11,64.38,64.72,64.3,64.59,39107
2021-11-12,64.74,67.0,64.74,66.73,118351
2021-11-15,66.48,67.81,66.16,67.23,82782
2021-11-16,67.6,68.855,67.6,68.475,61372
2021-11-17,68.48,68.48,67.78,68.13,63653
2021-11-18,68.14,68.2,67.43,67.74,62894
2021-11-19,67.91,68.42,67.555,67.61,51560
2021-11-22,67.89,68.97,67.85,68.26,63077
2021-11-23,68.18,68.61,67.75,68.21,53340
2021-11-24,68.005,68.61,67.87,68.38,48204
2021-11-26,67.2,67.83,66.63,67.05,32200
2021-11-29,67.29,67.49,66.695,67.34,54723
2021-11-30,66.98,67.34,65.71,65.87,82058
2021-12-01,66.51,67.505,65.64,65.65,87085
