date,open,high,low,close,volume
2021-07-21,235.92,238.1,235.26,235.86,72123
2021-07-22,235.86,239.67,235.23,238.64,113099
2021-07-23,240.13,244.98,239.67,242.915,206211
2021-07-26,241.815,244.51,241.815,243.9,134063
2021-07-27,244.38,247.02,244.355,246.67,158570
2021-07-28,242.885,243.62,239.39,241.75,256939
2021-07-29,243.31,245.16,243.16,244.045,59027
2021-07-30,243.875,245.31,242.62,242.69,49027
2021-08-02,243.13,244.35,239.725,240.06,64154
2021-08-03,239.76,239.78,235.28,236.92,265016
2021-08-04,236.275,236.565,233.155,234.845,94507
2021-08-05,235.57,236.78,234.38,236.44,160113
2021-08-06,236.69,237.03,235.7,236.255,104968
2021-08-09,235.74,235.79,234.1,234.72,46753
2021-08-10,234.805,234.9,233.26,233.41,102489
2021-08-11,234.005,235.89,233.89,235.5,50718
2021-08-12,235.995,236.73,235.09,236.73,50557
2021-08-13,236.61,238.89,236.44,238.8,48128
2021-08-16,239.2,241.02,238.58,240.98,49676
2021-08-17,240.455,240.69,238.25,240.26,53242
2021-08-18,239.72,239.73,237.82,237.99,41860
2021-08-19,236.77,237.89,236.14,237.15,66089
2021-08-20,236.62,239.38,236.57,238.49,43260
2021-08-23,239.5,240.04,238.01,239.695,39617
2021-08-24,240.04,240.145,238.395,238.43,71307
2021-08-25,238.13,239.39,238.13,238.89,41757
2021-08-26,238.76,238.76,235.93,236.92,56839
2021-08-27,237.065,238.31,236.66,237.53,66689
2021-08-30,237.04,237.75,235.855,236.62,126396
2021-08-31,235.14,237.67,234.74,237.475,84170
2021-09-01,237.57,239.01,237.235,238.13,90352
2021-09-02,239.165,239.94,238.48,239.87,57035
2021-09-03,238.65,239.53,237.54,238.8,82117
2021-09-07,238.16,238.16,236.01,236.26,71499
2021-09-08,236.86,239.02,236.04,238.6,72187
2021-09-09,238.2,241.355,237.84,238.57,103390
2021-09-10,240.32,241.1,239.08,239.24,58233
2021-09-13,240.91,241.77,239.96,241.23,72529
2021-09-14,241.775,242.13,239.61,241.16,85280
2021-09-15,239.91,241.27,238.25,240.97,78283
2021-09-16,240.08,243.57,240.08,243.355,128049
2021-09-17,243.19,244.6,241.94,242.42,94610
2021-09-20,239.625,241.93,236.64,239.01,188379
2021-09-21,240.11,242.2,239.45,240.46,109543
2021-09-22,241.505,245.73,241.505,243.02,107130
2021-09-23,244.82,245.86,243.55,244.77,76890
2021-09-24,246.07,247.31,245.275,246.45,55060
2021-09-27,245.87,248.88,245.29,248.13,140670
2021-09-28,247.2,247.58,242.99,243.875,110739
2021-09-29,244.06,245.71,243.25,244.3,103430
2021-09-30,244.32,245.27,241.07,241.12,133066
2021-10-01,243.0,244.655,240.55,242.81,90344
2021-10-04,243.26,244.8,241.86,243.06,118032
2021-10-05,243.655,246.74,243.08,245.18,63526
2021-10-06,244.35,247.125,243.18,247.1,52736
2021-10-07,248.1,249.87,248.1,248.39,76246
2021-10-08,248.41,249.45,247.17,247.625,36869
2021-10-11,248.03,249.0,246.55,246.62,42844
2021-10-12,248.34,248.4,244.22,244.55,55839
2021-10-13,243.38,243.38,239.975,242.65,92315
2021-10-14,243.15,245.395,242.25,244.58,156880
2021-10-15,245.32,246.36,242.07,242.08,136691
2021-10-18,242.34,243.25,241.22,242.34,91391
2021-10-19,243.065,243.745,241.56,242.84,57409
2021-10-20,241.305,242.47,239.285,239.67,115075
2021-10-21,240.33,241.89,239.31,241.445,107998
2021-10-22,240.965,242.19,238.03,238.43,75719
2021-10-26,237.64,238.35,236.175,236.38,135002
2021-10-27,241.52,244.54,239.62,242.81,272537
2021-10-28,243.29,246.05,242.58,245.46,177017
2021-10-29,242.97,246.07,242.47,245.52,106115
2021-11-01,245.87,251.66,245.35,250.57,105881
2021-11-02,251.345,252.16,248.185,249.13,90993
2021-11-03,248.81,251.115,248.27,250.39,143598
2021-11-04,250.87,254.17,250.53,253.5,154940
