date,open,high,low,close,volume
2021-07-21,195.42,198.08,195.25,197.59,75531
2021-07-22,197.15,199.38,195.855,199.12,50504
2021-07-23,200.58,204.06,200.58,202.57,62180
2021-07-26,203.64,204.51,201.36,202.48,34011
2021-07-27,203.07,204.75,201.9,204.17,28013
2021-07-28,204.31,205.225,203.38,204.37,38872
2021-07-29,204.37,205.84,204.24,205.18,42311
2021-07-30,204.95,206.11,203.605,203.84,37572
2021-08-02,203.675,204.91,203.21,203.59,108740
2021-08-03,203.075,206.42,202.145,206.42,47443
2021-08-04,204.52,209.24,204.52,205.4,62745
2021-08-05,208.2,209.675,197.19,199.67,110985
2021-08-06,199.82,201.39,197.5,199.93,45461
2021-08-09,200.1,200.58,196.21,196.72,33210
2021-08-10,196.1,196.1,192.45,195.08,43606
2021-08-11,195.28,197.92,194.72,197.29,36196
2021-08-12,196.91,198.27,196.59,198.03,42541
2021-08-13,198.25,199.39,197.38,198.32,19504
2021-08-16,198.31,200.09,197.15,199.88,16886
2021-08-17,199.09,203.295,198.72,203.09,76120
2021-08-18,202.28,203.565,199.67,199.67,32026
2021-08-19,198.51,201.33,198.51,199.16,22472
2021-08-20,199.44,200.89,198.5,200.36,24302
2021-08-23,201.48,203.03,200.93,202.36,19370
2021-08-24,201.995,202.33,200.28,200.39,32247
2021-08-25,199.29,201.16,197.59,200.31,42361
2021-08-26,200.13,200.13,195.64,197.55,47873
2021-08-27,198.66,201.71,198.66,201.15,23333
2021-08-30,200.95,202.09,200.57,201.19,11428
2021-08-31,201.81,204.29,201.16,204.18,28315
2021-09-01,202.51,203.44,199.91,202.81,38427
2021-09-02,204.11,207.845,202.98,206.71,34906
2021-09-03,206.52,207.2,206.21,206.23,31482
2021-09-07,205.66,206.47,203.35,205.5,60303
2021-09-08,205.19,206.53,204.76,206.15,22651
2021-09-09,205.99,206.89,204.66,204.67,26562
2021-09-10,203.975,203.975,201.59,202.76,29184
2021-09-13,203.4,206.74,202.47,205.98,53414
2021-09-14,206.24,206.97,203.43,204.02,32059
2021-09-15,203.17,208.93,203.17,208.71,53964
2021-09-16,209.41,209.41,206.33,207.81,31629
2021-09-17,207.42,208.62,206.99,207.74,33405
2021-09-20,205.16,205.385,199.93,202.02,39711
2021-09-21,203.05,204.165,200.41,201.24,22606
2021-09-22,202.08,204.5,201.65,202.42,21753
2021-09-23,203.275,205.34,202.655,202.655,17175
2021-09-24,202.595,204.34,202.57,203.095,31361
2021-09-27,202.925,204.98,202.925,204.47,19536
2021-09-28,204.45,205.0,202.25,202.65,30587
2021-09-29,202.49,206.285,202.135,205.45,23296
2021-09-30,207.52,208.14,199.35,199.36,35258
2021-10-01,199.75,200.335,195.87,199.78,41240
2021-10-04,200.17,204.06,198.74,200.17,31884
2021-10-05,199.57,201.63,198.265,198.35,23843
2021-10-06,197.075,198.27,193.92,198.27,51030
2021-10-07,199.52,201.285,198.32,199.54,17567
2021-10-08,199.86,200.7,199.47,200.25,10442
2021-10-11,201.9,204.15,201.5,201.65,16267
2021-10-12,201.6,202.26,199.745,200.29,30323
2021-10-13,198.39,199.92,194.4,199.36,22176
2021-10-14,202.6,204.23,200.475,203.1,17710
2021-10-15,204.08,205.54,204.06,204.26,26346
2021-10-18,201.48,203.6,200.775,200.775,16465
2021-10-19,202.08,203.48,201.72,202.51,13650
2021-10-20,202.92,207.41,202.92,206.08,17728
2021-10-21,206.445,207.2,204.785,207.195,18002
2021-10-22,207.84,209.27,207.215,209.09,14561
2021-10-26,207.53,208.935,206.27,207.98,24753
2021-10-27,208.42,208.42,202.8,203.05,24034
2021-10-28,204.575,205.97,203.41,204.91,41389
2021-10-29,203.515,208.455,203.515,207.89,52891
2021-11-01,208.31,210.58,207.8,208.08,47273
2021-11-02,216.125,221.89,212.79,218.97,112335
2021-11-03,219.31,225.18,217.63,224.28,52974
2021-11-04,223.22,223.22,218.68,223.07,49663
2021-11-05,223.74,227.58,220.0,221.65,41960
2021-11-08,222.0,223.29,220.145,220.235,23128
2021-11-09,220.02,221.93,218.84,219.41,116340
2021-11-10,221.56,221.92,218.59,219.615,28690
2021-11-11,219.34,223.39,219.34,222.82,23114
2021-11-12,224.44,225.9,222.93,224.81,27101
2021-11-15,225.13,225.96,221.44,221.91,68810
2021-11-16,223.29,223.29,220.19,220.535,61884
2021-11-17,219.985,225.175,219.985,223.72,20394
2021-11-18,223.39,225.53,223.175,225.39,22800
2021-11-19,225.44,227.305,220.515,220.73,26296
2021-11-22,220.835,224.42,220.835,222.23,34178
2021-11-23,222.59,226.69,222.59,226.69,31734
2021-11-24,225.755,229.13,225.61,225.99,26167
2021-11-26,224.43,225.01,220.905,221.8,17413
2021-11-29,222.47,225.475,222.47,223.24,32572
2021-11-30,221.095,222.67,216.22,216.81,39812
2021-12-01,218.62,220.01,215.31,215.39,60994
2021-12-02,217.175,223.4,216.68,220.57,46260
2021-12-03,223.86,223.86,217.23,218.56,83303
2021-12-06,220.92,225.13,220.57,223.99,68170
2021-12-07,224.12,226.36,223.245,224.575,92833
2021-12-08,230.93,231.22,219.32,226.725,97382
2021-12-09,227.04,231.79,226.165,230.71,66333
2021-12-10,231.44,233.685,228.915,233.05,47435
2021-12-13,232.59,233.31,228.38,230.74,47184
2021-12-14,230.37,235.26,229.21,229.57,46634
2021-12-15,229.88,232.5,229.615,232.3,57064
2021-12-16,232.95,236.615,232.24,232.55,44824
2021-12-17,234.42,235.12,230.905,233.26,38999
2021-12-20,232.03,234.85,229.31,234.4,32802
2021-12-21,238.38,238.435,234.56,236.11,49795
2021-12-22,236.305,237.72,234.79,236.66,25343
2021-12-23,237.14,241.52,237.14,240.82,23309
2021-12-27,242.04,245.44,242.03,245.35,25718
2021-12-28,246.99,247.41,245.65,246.48,17040
2021-12-29,247.05,250.31,246.74,248.47,20744
2021-12-30,250.25,250.85,248.94,249.07,20667
2021-12-31,249.39,250.85,248.3,248.3,15222
2022-01-03,247.66,248.26,244.73,248.2,19433
2022-01-04,248.57,249.355,246.21,248.055,48436
2022-01-05,249.57,250.925,246.92,247.175,49704
2022-01-06,246.72,249.81,244.52,244.63,66374
2022-01-07,248.265,251.31,245.68,249.82,57928
2022-01-10,245.76,251.62,240.94,250.68,54236
2022-01-11,251.815,255.405,249.055,254.89,50325
2022-01-12,254.285,254.965,250.35,254.74,34090
2022-01-13,252.44,256.71,252.44,254.61,37489
2022-01-14,254.76,256.64,252.64,256.55,37489
2022-01-18,255.39,255.39,250.1,252.42,44483
2022-01-19,252.53,254.68,250.41,251.14,45186
2022-01-20,251.35,256.28,250.38,251.81,41489
2022-01-21,252.21,252.21,245.99,246.64,66046
2022-01-24,244.11,245.14,238.11,244.33,18693
2022-01-25,244.96,247.21,239.03,245.8,36041
2022-01-26,245.4,248.455,243.96,247.04,34384
2022-01-27,249.68,255.37,249.68,255.165,117279
2022-01-28,255.08,258.25,251.95,258.25,62067
2022-01-31,255.455,257.97,252.79,256.98,88175
2022-02-01,256.76,257.79,252.97,257.08,49924
2022-02-02,256.61,260.28,255.575,258.27,69977
2022-02-03,270.82,271.45,265.485,267.63,92022
2022-02-04,263.725,269.31,263.215,265.755,81478
2022-02-07,266.115,270.85,261.735,270.21,86906
2022-02-08,270.8,278.18,270.8,277.01,83410
2022-02-09,277.95,282.58,277.95,278.87,172557
2022-02-10,276.5,280.05,271.87,273.7,60358
2022-02-11,272.49,273.96,270.6,271.04,87358
2022-02-14,269.79,272.21,266.38,270.7,74990
2022-02-15,275.51,275.6,272.7,273.9,56142
2022-02-16,273.29,277.1,273.29,275.98,60804
2022-02-17,274.93,275.995,272.53,273.4,60326
2022-02-18,273.84,276.18,270.16,270.57,31540
2022-02-22,270.975,271.305,266.57,268.98,52434
2022-02-23,269.91,273.59,267.97,268.22,51304
2022-02-24,263.63,267.01,261.13,266.55,70708
2022-02-25,271.035,276.405,270.865,275.27,70480
2022-02-28,269.02,275.31,268.96,274.92,50824
2022-03-01,274.715,276.83,268.895,271.72,44756
2022-03-02,273.165,277.48,273.165,273.78,63743
2022-03-03,275.57,281.23,275.57,280.11,61077
2022-03-04,273.58,282.3,273.58,281.83,53663
2022-03-07,279.35,283.495,277.84,278.64,58599
2022-03-09,276.44,279.03,273.045,276.5,75418
2022-03-10,274.19,281.26,273.39,279.99,45425
2022-03-11,282.3,284.09,279.97,281.255,47400
2022-03-14,284.0,284.99,279.33,284.99,42925
2022-03-15,284.4,291.36,284.4,290.69,57805
2022-03-16,291.53,293.35,287.235,291.37,86170
2022-03-17,290.88,295.21,290.14,294.65,139772
2022-03-18,297.36,299.54,293.15,299.285,142177
2022-03-21,299.86,305.56,298.42,299.87,146822
2022-03-22,303.23,303.86,299.12,299.74,180846
2022-03-23,300.345,303.005,298.575,299.97,103634
2022-03-24,300.77,303.92,300.105,303.92,172882
2022-03-25,305.32,310.37,304.97,310.27,85286
2022-03-28,308.89,309.47,306.495,308.32,73850
2022-03-29,309.02,309.02,303.35,306.92,89611
2022-03-30,308.305,308.98,304.81,306.97,77208
2022-03-31,306.075,309.045,305.51,306.47,125761
2022-04-01,306.275,308.325,305.72,307.0,64299
2022-04-04,305.47,306.8,302.36,305.585,94187
2022-04-05,307.81,311.66,306.57,307.25,100121
2022-04-06,308.82,312.98,308.82,311.58,66833
2022-04-07,311.87,321.645,311.87,320.23,80116
2022-04-08,321.76,327.815,319.05,326.02,76877
2022-04-11,328.8,328.86,319.57,320.75,95914
2022-04-12,319.18,323.485,317.81,322.89,48761
2022-04-13,324.97,326.175,320.82,325.66,50669
2022-04-14,328.57,329.0,322.79,323.12,65567
2022-04-18,325.08,328.755,324.65,326.685,60496
2022-04-19,326.065,327.4,322.52,324.84,62952
2022-04-20,326.07,333.175,326.07,331.73,51025
2022-04-21,331.14,335.53,328.68,331.515,47283
2022-04-22,326.59,328.83,317.665,318.22,81658
2022-04-25,316.785,318.12,311.99,317.45,94277
2022-04-26,315.49,323.525,315.49,316.4,52373
2022-04-27,316.61,321.19,314.06,317.93,51154
2022-04-28,316.955,321.74,316.45,320.6,52798
2022-04-29,318.26,319.68,308.09,309.32,120948
2022-05-02,311.81,313.73,303.91,306.73,69518
2022-05-03,308.31,312.24,306.58,307.6,60630
2022-05-04,309.72,320.59,307.07,319.76,84978
2022-05-05,316.79,318.84,313.0,314.99,64447
2022-05-06,314.21,334.46,314.21,333.82,148537
2022-05-09,330.21,331.49,325.05,325.99,104573
2022-05-10,327.95,332.99,326.39,329.99,88667
2022-05-11,331.46,339.9,331.37,332.04,71243
2022-05-12,326.67,326.67,313.06,322.25,146905
2022-05-13,321.94,326.09,319.36,324.33,71854
2022-05-16,325.72,331.325,325.72,327.7,54034
2022-05-17,332.45,335.75,328.44,333.09,76255
2022-05-18,331.665,333.52,319.29,321.0,54736
2022-05-19,316.16,320.82,312.41,319.07,74842
2022-05-20,321.29,323.83,316.31,323.03,53726
2022-05-23,325.63,330.12,324.26,327.62,44410
2022-05-24,328.885,329.13,322.4,328.79,49108
2022-05-25,328.69,334.3,328.69,333.42,63328
2022-05-26,330.08,338.68,330.08,336.31,83031
2022-05-27,334.18,336.58,331.51,334.99,127225
2022-05-31,330.5,331.86,326.02,328.76,64020
2022-06-01,331.13,332.39,317.02,322.38,74763
2022-06-02,322.44,322.48,309.095,318.76,172750
2022-06-03,317.28,320.6,315.32,316.25,54627
2022-06-06,315.74,319.955,315.74,317.72,46630
2022-06-07,319.145,323.035,318.175,321.48,94318
2022-06-08,319.48,319.5,313.89,315.22,44377
2022-06-09,314.4,317.245,312.01,312.01,50235
2022-06-10,309.77,316.08,308.73,313.32,39472
2022-06-13,308.8,311.72,305.52,307.26,102346
2022-06-14,307.03,308.53,304.76,306.6,54803
2022-06-15,307.65,311.28,304.57,307.44,83055
2022-06-16,305.44,305.44,299.86,304.12,105233
2022-06-17,304.175,306.03,298.75,300.46,105447
2022-06-21,303.35,309.66,302.29,309.405,67005
2022-06-22,307.29,312.515,306.82,310.88,64304
2022-06-23,312.495,315.01,310.32,314.73,115681
