date,open,high,low,close,volume
2021-07-21,377.42,380.73,377.34,379.17,48724
2021-07-22,379.08,381.25,378.16,381.15,34731
2021-07-23,381.765,384.47,381.33,381.8,32676
2021-07-26,379.95,380.55,374.95,379.64,44325
2021-07-27,378.62,381.95,378.53,380.97,45091
2021-07-28,382.01,382.475,377.27,378.46,87704
2021-07-29,377.0,381.21,374.42,377.31,60531
2021-07-30,376.38,377.76,375.9,376.06,56668
2021-08-02,378.23,381.28,376.47,379.05,115434
2021-08-03,379.335,379.54,374.215,379.1,49876
2021-08-04,377.52,384.98,377.52,382.84,35606
2021-08-05,384.215,387.45,383.205,386.37,33783
2021-08-06,387.7,388.29,381.23,384.945,23034
2021-08-09,383.02,383.19,381.51,382.41,24037
2021-08-10,382.9,382.9,378.56,380.43,16643
2021-08-11,382.5,382.5,378.725,379.99,29010
2021-08-12,377.52,379.67,376.48,378.63,27672
2021-08-13,380.5,381.39,379.55,380.74,17578
2021-08-16,381.31,384.49,378.35,384.49,18629
2021-08-17,382.285,382.67,380.32,382.1,23984
2021-08-18,381.89,382.69,373.73,373.91,49119
2021-08-19,370.57,375.75,370.57,374.57,43732
2021-08-20,374.175,377.62,373.04,376.63,20277
2021-08-23,379.91,382.495,378.17,378.83,22100
2021-08-24,380.96,380.96,374.645,376.34,22626
2021-08-25,377.025,377.035,373.57,376.12,23182
2021-08-26,376.29,377.85,374.745,375.51,23413
2021-08-27,375.79,379.15,375.54,377.865,30540
2021-08-30,379.945,383.38,379.325,381.25,27268
2021-08-31,382.045,382.67,379.57,380.99,26140
2021-09-01,380.23,383.62,377.89,382.25,28788
2021-09-02,384.31,386.28,381.82,385.46,28551
2021-09-03,384.03,386.36,383.0,385.33,15550
2021-09-07,386.6,386.6,380.185,381.77,32190
2021-09-08,382.075,383.965,380.235,381.92,66537
2021-09-09,382.905,385.525,382.285,382.46,24166
2021-09-10,385.22,385.475,381.51,383.04,25114
2021-09-13,384.37,384.37,374.56,379.08,10014
2021-09-14,380.26,382.26,378.96,380.1,14466
2021-09-15,378.725,383.0,377.21,379.85,22530
2021-09-16,381.02,382.23,380.11,380.375,25683
2021-09-17,377.885,378.7,368.9,370.0,55802
2021-09-20,366.9,370.19,365.58,368.77,46883
2021-09-21,371.205,371.94,369.28,369.475,15049
2021-09-22,371.345,371.95,367.14,369.93,17183
2021-09-23,372.93,377.345,372.93,376.72,30848
2021-09-24,378.2,378.2,373.59,376.31,11887
2021-09-27,372.3,372.48,365.75,368.26,37877
2021-09-28,362.81,362.81,353.38,355.42,44295
2021-09-29,357.45,361.5,356.205,359.21,20596
2021-09-30,360.57,362.7,354.91,354.91,26243
2021-10-01,355.61,361.5,353.84,359.11,12551
2021-10-04,358.86,358.86,347.37,349.66,36328
2021-10-05,352.39,358.93,351.835,355.12,27708
2021-10-06,350.56,358.46,349.85,358.28,22871
2021-10-07,362.55,366.96,362.3,362.9,42663
2021-10-08,363.53,364.0,359.97,362.31,16214
2021-10-11,360.74,366.24,360.2,360.2,24129
2021-10-12,362.155,365.01,360.52,360.97,20603
2021-10-13,361.03,361.84,358.88,361.53,16328
2021-10-14,367.51,370.55,366.81,370.55,15453
2021-10-15,371.8,372.275,368.82,371.11,23209
