date,open,high,low,close,volume
2021-07-21,126.44,127.18,126.03,127.07,155768
2021-07-22,127.305,127.6,126.28,127.105,119181
2021-07-23,127.63,128.74,127.63,128.55,133021
2021-07-26,128.25,128.68,127.055,128.09,95673
2021-07-27,127.885,130.92,127.66,130.19,159881
2021-07-28,130.26,131.13,129.75,130.5,579036
2021-07-29,130.94,131.09,129.5,130.7,145892
2021-07-30,130.49,131.71,130.49,131.29,81381
2021-08-02,131.51,132.375,131.1,131.24,141518
2021-08-03,131.24,131.535,130.475,131.49,183553
2021-08-04,130.74,130.92,128.36,128.36,223106
2021-08-05,128.62,128.62,127.16,128.04,170887
2021-08-06,128.73,128.79,127.66,128.61,135001
2021-08-09,128.84,128.9,126.705,126.93,102720
2021-08-10,127.15,127.15,123.975,125.28,149026
2021-08-11,125.62,126.39,125.59,126.01,106727
2021-08-12,126.12,127.87,126.11,127.52,81128
2021-08-13,127.625,128.37,127.27,128.31,98555
2021-08-16,128.08,129.65,128.04,129.61,113711
2021-08-17,129.405,130.77,129.005,130.73,149229
2021-08-18,130.755,131.165,129.285,129.3,94015
2021-08-19,128.47,129.39,128.1,128.91,127324
2021-08-20,128.67,130.015,128.3,129.93,93646
2021-08-23,130.065,130.14,127.59,128.52,150266
2021-08-24,128.94,134.69,128.76,132.62,402894
2021-08-25,132.68,135.19,132.23,134.57,318516
2021-08-26,134.385,134.385,132.85,133.37,127071
2021-08-27,133.74,134.03,133.18,133.81,126202
2021-08-30,134.27,134.53,133.55,133.845,111812
2021-08-31,134.1,134.75,133.04,133.49,110202
2021-09-01,134.23,134.25,132.81,134.185,136689
2021-09-02,134.88,135.635,134.24,134.72,134036
2021-09-03,134.71,135.08,134.22,134.64,143611
2021-09-07,133.93,134.65,132.98,134.6,125590
2021-09-08,134.24,135.66,133.895,135.135,91627
2021-09-09,135.01,135.89,133.39,133.43,117219
2021-09-10,133.71,133.93,130.62,131.16,162055
2021-09-13,132.18,132.18,128.77,130.03,157501
2021-09-14,130.86,131.14,129.8,130.57,107289
2021-09-15,130.765,132.58,130.05,131.68,103139
2021-09-16,131.95,132.33,130.225,130.95,157358
2021-09-17,130.45,130.715,129.18,129.67,103929
2021-09-20,128.2,129.24,127.555,128.72,110275
2021-09-21,129.28,130.03,127.78,127.85,103272
2021-09-22,128.64,129.62,128.31,128.9,96509
2021-09-23,128.65,131.115,128.525,130.67,155108
2021-09-24,130.27,131.18,129.64,130.05,136780
2021-09-27,129.845,129.99,128.34,128.77,106317
2021-09-28,127.82,127.82,125.82,126.01,212519
2021-09-29,126.55,127.16,125.53,126.58,82281
2021-09-30,126.525,127.95,125.34,125.38,203607
2021-10-01,126.25,127.92,125.21,127.275,118964
2021-10-04,127.23,128.545,124.26,125.03,179121
2021-10-05,125.88,127.535,124.99,125.79,153533
2021-10-06,124.84,126.13,123.98,126.08,98826
2021-10-07,126.92,128.82,126.64,126.795,128788
2021-10-08,127.115,127.115,125.08,125.25,95399
2021-10-11,125.0,125.47,123.52,123.53,94447
2021-10-12,123.7,123.86,122.375,122.92,167459
2021-10-13,123.08,123.08,122.0,122.59,155447
2021-10-14,123.41,125.1,123.41,124.81,150622
2021-10-15,125.81,128.25,125.81,127.65,505476
2021-10-18,123.16,123.25,119.62,120.73,595784
2021-10-19,121.78,122.76,121.27,122.21,252169
2021-10-20,122.48,123.25,121.41,121.81,175284
2021-10-21,121.79,122.0,121.43,121.66,198499
2021-10-22,121.91,123.545,121.52,123.11,154557
2021-10-26,123.7,124.785,123.2,124.03,104031
2021-10-27,124.25,124.285,122.08,122.5,120687
2021-10-28,122.48,123.1,120.94,121.29,280763
2021-10-29,120.22,120.27,118.91,119.87,308729
2021-11-01,120.34,120.945,120.09,120.24,153241
2021-11-02,120.725,123.16,120.16,121.3,232425
2021-11-03,121.46,121.81,119.97,121.15,232959
2021-11-04,121.73,121.75,119.995,120.72,112968
2021-11-05,121.34,124.605,120.875,122.95,266286
2021-11-08,123.17,123.81,122.36,123.05,74874
2021-11-09,123.36,123.84,122.085,122.29,138324
2021-11-10,122.2,122.89,121.62,122.43,150143
2021-11-11,122.54,122.54,118.91,119.57,192326
2021-11-12,120.03,120.08,118.305,119.3,428656
2021-11-15,119.88,119.91,117.465,117.52,250252
2021-11-16,117.39,118.6,116.82,118.0,230586
2021-11-17,117.36,118.32,116.76,117.765,122708
2021-11-18,118.0,118.03,115.605,117.72,437203
2021-11-19,117.67,118.1,116.78,117.23,246233
2021-11-22,117.83,118.72,116.78,116.79,401273
2021-11-23,112.5,115.55,111.95,113.3,677859
2021-11-24,112.935,115.265,112.53,114.42,185032
2021-11-26,113.31,113.51,110.78,111.16,321698
2021-11-29,112.19,112.47,110.22,110.22,286576
2021-11-30,109.57,109.64,106.6,106.72,534013
2021-12-01,108.64,108.83,105.49,105.5,638956
2021-12-02,105.61,107.91,105.09,107.3,592680
2021-12-03,107.85,108.435,105.91,106.89,258393
2021-12-06,107.91,111.23,107.815,110.26,286820
2021-12-07,111.79,114.4,111.7,112.215,317999
2021-12-08,112.38,112.88,111.525,112.46,145145
2021-12-09,112.23,113.48,111.55,112.81,384059
2021-12-10,113.79,114.11,111.86,112.42,162689
2021-12-13,113.02,113.35,112.16,112.85,273477
2021-12-14,112.55,113.0,111.27,111.62,318749
2021-12-15,105.61,105.69,103.455,104.97,783877
2021-12-16,103.34,104.37,101.23,102.25,1320245
2021-12-17,100.53,103.94,100.3,100.62,746503
2021-12-20,99.8,100.4,98.41,99.54,424686
2021-12-21,100.14,102.75,99.89,101.61,860913
2021-12-22,101.35,101.72,100.91,101.34,334790
2021-12-23,102.25,103.4,101.23,102.92,300532
2021-12-27,103.21,104.43,102.62,104.43,201450
2021-12-28,104.76,104.76,103.97,104.5,179455
2021-12-29,104.66,104.945,103.94,103.95,139748
2021-12-30,103.905,105.57,103.905,104.5,169704
2021-12-31,104.47,104.82,103.45,103.45,140492
2022-01-03,103.31,106.29,102.81,106.1,300485
2022-01-04,106.12,107.45,105.405,106.37,263555
2022-01-05,107.1,108.93,106.035,106.08,286994
2022-01-06,106.25,106.79,104.68,104.98,192692
2022-01-07,104.0,105.82,104.0,105.14,156212
2022-01-10,104.945,105.65,103.66,105.64,244292
2022-01-11,106.295,108.07,106.11,107.89,248724
2022-01-12,107.85,109.215,107.565,109.0,440414
2022-01-13,108.95,110.59,108.475,108.79,238531
2022-01-14,108.105,108.84,107.26,108.53,269572
2022-01-18,107.0,108.19,106.36,107.51,318250
2022-01-19,107.485,109.085,106.95,107.79,272324
2022-01-20,106.98,108.93,105.98,106.11,185447
2022-01-21,106.23,106.82,104.61,105.61,177856
2022-01-24,103.8,104.01,101.24,102.3,147830
2022-01-25,102.755,104.66,101.32,104.17,429968
2022-01-26,104.58,105.81,103.29,104.1,331397
2022-01-27,105.0,105.94,102.84,103.15,269153
2022-01-28,103.49,103.87,101.24,103.12,427300
2022-01-31,103.0,103.59,101.86,103.46,482262
2022-02-01,103.75,104.03,102.515,103.61,227508
2022-02-02,103.15,103.47,101.44,103.36,555166
2022-02-03,102.42,102.88,101.62,102.16,290014
2022-02-04,101.67,103.535,101.67,102.75,181069
2022-02-07,102.72,103.23,101.81,102.0,207883
2022-02-08,102.53,104.59,102.05,104.24,160491
2022-02-09,104.87,106.3,104.87,106.105,329341
2022-02-10,105.62,106.75,104.54,104.87,208907
2022-02-11,104.89,105.82,102.63,102.94,188712
2022-02-14,103.22,103.34,101.71,102.345,194593
2022-02-15,103.33,104.78,103.04,103.9,227529
2022-02-16,102.96,103.5,101.61,103.17,336711
2022-02-17,102.25,102.72,101.39,101.68,384433
2022-02-18,101.69,101.92,100.3,100.6,293473
2022-02-22,100.3,104.62,100.3,103.72,430567
2022-02-23,104.34,104.45,102.58,102.975,264124
2022-02-24,101.25,103.48,100.075,103.34,384464
2022-02-25,103.5,105.91,103.1,105.83,295201
2022-02-28,104.58,105.39,103.8,104.97,209926
2022-03-01,104.68,105.06,102.9,103.65,179023
2022-03-02,105.2,106.95,104.88,106.38,346265
2022-03-03,107.06,108.46,106.36,107.65,208026
2022-03-04,106.91,108.5,105.94,108.32,284151
2022-03-07,107.54,108.12,106.5,106.66,387296
2022-03-09,105.94,106.61,103.36,103.55,383908
2022-03-10,102.89,104.64,102.64,104.39,277510
2022-03-11,105.38,106.01,103.63,103.69,191353
2022-03-14,104.59,105.06,102.86,103.23,182724
2022-03-15,103.84,105.53,103.75,105.41,339775
2022-03-16,106.24,107.36,105.4,107.35,329537
2022-03-17,107.35,109.75,107.35,109.75,399813
2022-03-18,109.8,110.345,108.58,110.17,273740
2022-03-21,109.6,110.57,108.09,108.695,320394
2022-03-22,109.16,109.52,108.78,108.96,196252
2022-03-23,108.68,108.71,105.72,106.16,280930
2022-03-24,106.04,106.525,105.22,106.325,215436
2022-03-25,106.8,108.47,106.785,108.45,205078
2022-03-28,109.04,110.0,108.16,109.94,252465
2022-03-29,110.69,112.47,110.69,112.41,522458
2022-03-30,111.99,112.47,111.27,111.58,202746
2022-03-31,111.13,112.47,110.91,110.97,229698
2022-04-01,111.32,112.655,110.87,112.5,155670
2022-04-04,112.04,112.05,110.42,110.86,294382
2022-04-05,111.105,111.82,110.19,110.54,239512
2022-04-06,109.73,112.01,109.11,111.72,247472
2022-04-07,111.46,113.12,110.955,112.35,357725
2022-04-08,112.3,113.1,111.32,112.52,238121
2022-04-11,112.44,112.705,111.355,111.57,138240
2022-04-12,111.58,112.16,110.15,110.55,184743
2022-04-13,109.93,110.545,109.63,110.47,453562
2022-04-14,110.98,111.1,108.915,108.98,685103
2022-04-18,108.53,109.19,107.56,108.08,104024
2022-04-19,108.71,111.62,108.71,110.23,1047559
2022-04-20,110.875,113.475,110.83,113.03,268841
2022-04-21,113.98,114.185,113.05,113.13,305949
2022-04-22,111.68,111.76,107.7,107.82,333583
2022-04-25,107.45,109.63,106.95,109.47,178954
2022-04-26,108.0,109.39,106.78,106.785,187147
2022-04-27,107.095,108.25,106.21,106.64,270826
2022-04-28,107.3,107.63,105.4,107.11,259114
2022-04-29,106.16,106.47,104.13,104.39,176467
2022-05-02,105.05,105.41,101.26,103.16,283566
2022-05-03,103.68,104.17,102.71,103.1,150543
2022-05-04,103.195,106.175,102.5,105.86,180053
2022-05-05,104.95,105.58,103.49,104.54,152381
2022-05-06,104.08,104.8,102.74,103.51,319114
2022-05-09,102.19,102.19,99.235,99.57,343758
2022-05-10,100.73,101.28,98.81,100.36,243943
