date,open,high,low,close,volume
2021-07-21,58.425,59.63,58.425,58.985,141679
2021-07-22,59.11,59.11,57.65,57.77,93639
2021-07-23,58.17,58.45,57.47,57.61,95327
2021-07-26,57.74,58.39,57.73,58.02,86475
2021-07-27,57.305,58.09,57.1,57.74,87610
2021-07-28,58.0,58.14,56.805,57.67,88150
2021-07-29,58.54,58.67,57.91,58.23,81143
2021-07-30,57.91,58.65,57.44,57.71,75328
2021-08-02,58.22,59.1,57.555,57.82,115572
2021-08-03,58.05,58.32,56.725,58.3,82063
2021-08-04,57.53,58.05,56.98,57.155,153702
2021-08-05,58.37,59.33,58.18,58.85,272863
2021-08-06,59.93,61.005,59.89,60.73,267060
2021-08-09,60.11,61.1,59.67,60.43,135231
2021-08-10,60.52,62.255,60.47,61.775,120743
2021-08-11,62.075,63.005,61.535,62.595,176747
2021-08-12,62.82,62.95,62.24,62.665,69749
2021-08-13,62.715,62.92,62.39,62.48,81992
2021-08-16,62.0,62.12,61.25,61.995,107146
2021-08-17,61.485,61.93,60.9,61.455,105786
2021-08-18,61.08,62.025,60.91,60.945,60324
2021-08-19,60.04,60.845,59.815,60.29,75185
2021-08-20,60.22,60.67,59.96,60.51,71909
2021-08-23,61.11,61.55,60.96,61.15,61690
2021-08-24,61.29,61.85,61.14,61.68,39063
2021-08-25,61.76,63.055,61.76,62.47,66868
2021-08-26,62.56,62.625,61.65,61.77,54593
2021-08-27,61.98,62.91,61.98,62.78,38855
2021-08-30,62.98,62.98,61.645,61.855,75844
2021-08-31,61.72,62.545,61.57,62.025,65639
2021-09-01,62.085,62.09,61.17,61.28,82304
2021-09-02,61.44,61.91,61.275,61.65,73390
2021-09-03,61.68,61.95,60.88,61.22,96866
2021-09-07,61.25,61.71,60.83,60.87,106089
2021-09-08,60.73,61.08,60.375,60.95,146517
2021-09-09,60.87,62.105,60.77,61.005,83893
2021-09-10,61.645,61.73,60.71,60.76,119858
2021-09-13,61.45,61.88,61.03,61.82,93181
2021-09-14,62.2,62.2,60.525,60.79,103565
2021-09-15,60.95,62.295,60.94,62.06,157581
2021-09-16,62.43,62.68,61.745,62.22,94398
2021-09-17,62.01,62.83,61.55,61.72,97244
2021-09-20,59.86,59.99,58.355,59.31,309295
2021-09-21,59.75,59.76,58.16,58.47,248901
2021-09-22,59.57,59.93,59.35,59.45,311373
2021-09-23,60.1,61.84,60.1,61.25,162189
2021-09-24,61.3,62.215,61.3,61.37,347049
2021-09-27,62.33,64.07,62.32,63.615,275355
2021-09-28,63.7,64.24,62.68,62.79,189020
2021-09-29,63.025,63.12,62.57,62.58,262923
2021-09-30,62.69,63.06,61.525,61.73,322052
2021-10-01,62.135,63.11,61.66,62.51,282371
2021-10-04,62.43,63.61,62.26,62.38,144730
2021-10-05,62.69,64.5,62.12,64.275,166204
2021-10-06,63.56,64.325,63.025,63.98,154512
2021-10-07,64.63,65.07,64.21,64.53,200335
2021-10-08,65.08,65.205,64.655,64.99,127836
2021-10-11,65.145,66.11,65.01,65.12,217737
2021-10-12,64.79,65.41,64.52,64.79,113773
2021-10-13,64.53,64.67,63.135,64.15,130021
2021-10-14,65.095,65.66,64.6,65.52,123789
2021-10-15,66.12,66.47,65.35,65.56,138200
2021-10-18,65.31,65.72,65.025,65.195,69384
2021-10-19,65.77,65.94,65.495,65.7,73485
2021-10-20,65.32,66.83,65.32,66.61,113880
2021-10-21,66.41,66.61,65.45,65.835,57337
2021-10-22,66.15,66.41,65.315,65.86,133816
2021-10-26,65.91,66.19,65.335,65.46,77410
2021-10-27,65.24,65.735,64.215,64.28,77569
2021-10-28,64.5,65.28,64.41,65.26,102106
2021-10-29,65.36,65.53,62.41,62.79,325841
2021-11-01,63.3,64.17,63.11,64.17,127175
2021-11-02,63.92,64.295,63.41,63.69,178773
2021-11-03,63.43,66.13,63.17,65.26,187155
2021-11-04,64.98,65.13,61.835,63.895,303879
2021-11-05,64.58,65.57,63.76,63.99,231731
2021-11-08,64.08,64.52,63.59,63.74,99410
2021-11-09,63.33,63.7,62.71,62.925,136129
2021-11-10,63.35,64.39,63.1,63.38,281693
2021-11-11,63.37,64.31,63.36,63.63,127477
2021-11-12,63.4,64.185,63.38,64.185,115717
2021-11-15,64.4,64.58,63.98,64.125,117618
2021-11-16,64.295,64.77,63.39,63.4,209491
2021-11-17,63.37,64.02,63.13,63.13,133956
2021-11-18,63.05,63.33,61.895,62.67,157092
2021-11-19,61.23,61.67,60.34,61.165,166719
2021-11-22,62.08,63.28,61.3,62.51,130908
2021-11-23,63.33,63.87,62.95,63.35,105975
2021-11-24,63.08,63.5,62.51,62.625,166289
2021-11-26,59.84,60.42,58.705,60.1,289899
2021-11-29,60.85,61.03,59.28,59.87,199135
2021-11-30,59.08,59.28,58.27,58.63,331811
2021-12-01,59.57,59.96,57.09,57.09,314881
2021-12-02,57.78,59.805,57.67,59.34,124865
2021-12-03,59.77,60.0,58.93,59.45,216515
2021-12-06,60.265,60.74,59.65,59.65,176894
2021-12-07,60.14,61.2,59.91,60.54,169902
2021-12-08,60.86,61.25,60.61,60.62,130682
2021-12-09,60.22,61.31,60.22,60.88,89328
2021-12-10,61.31,61.42,60.52,60.655,138495
2021-12-13,60.505,60.58,59.8,59.86,285504
2021-12-14,59.88,61.29,59.88,60.79,97618
2021-12-15,60.91,61.1,59.8,60.84,95567
2021-12-16,61.63,62.34,61.075,61.39,125537
2021-12-17,61.215,61.215,59.81,60.22,125988
2021-12-20,59.17,59.17,57.61,58.585,220991
2021-12-21,59.39,60.89,59.23,60.31,204643
2021-12-22,60.33,61.15,60.33,60.88,106161
2021-12-23,61.295,62.11,61.295,61.77,85308
2021-12-27,61.92,62.57,61.65,62.5,86560
2021-12-28,62.4,63.28,62.4,62.6,71503
2021-12-29,62.45,63.01,62.45,62.68,78186
2021-12-30,62.84,63.23,62.525,62.59,54060
2021-12-31,62.62,62.87,62.42,62.48,51231
2022-01-03,63.02,64.0,63.01,63.23,97402
2022-01-04,64.29,65.43,64.29,64.95,150506
2022-01-05,66.15,66.36,64.55,64.62,129077
2022-01-06,65.71,66.5,65.26,66.445,288453
2022-01-07,66.76,67.87,66.33,67.26,165208
2022-01-10,67.95,68.01,66.95,67.51,159695
2022-01-11,67.58,68.01,67.22,68.01,98039
2022-01-12,67.99,68.51,67.13,67.63,90131
2022-01-13,68.02,68.58,67.67,67.89,103141
2022-01-14,66.69,68.47,66.67,68.38,69122
2022-01-18,68.69,69.06,67.78,68.19,142878
2022-01-19,68.59,68.59,66.73,66.76,84241
2022-01-20,66.665,67.8,66.16,66.46,119673
2022-01-21,66.52,66.52,64.635,65.625,236405
2022-01-24,64.555,64.6,63.09,63.89,69699
2022-01-25,64.59,66.025,62.72,65.435,214463
2022-01-26,66.47,67.48,65.14,66.04,195096
2022-01-27,66.725,67.93,64.88,65.3,145188
