date,open,high,low,close,volume
2021-07-21,38.9,39.98,38.86,39.825,151306
2021-07-22,39.55,39.57,38.74,39.215,102136
2021-07-23,39.33,39.535,38.55,38.765,127429
2021-07-26,38.44,39.19,37.99,39.19,140861
2021-07-27,38.88,39.21,37.285,38.04,181582
2021-07-28,38.63,39.01,37.44,38.42,123483
2021-07-29,38.73,39.06,38.11,38.2,200217
2021-07-30,37.635,38.73,37.39,37.53,146131
2021-08-02,37.9,39.06,37.25,37.38,114669
2021-08-03,37.395,37.46,36.12,36.95,188221
2021-08-04,37.9,38.53,37.195,37.325,302682
2021-08-05,37.11,40.0,37.11,39.665,395429
2021-08-06,39.985,40.07,39.34,39.79,204443
2021-08-09,39.52,39.595,38.34,39.21,190774
2021-08-10,39.33,39.87,39.11,39.72,104567
2021-08-11,39.52,40.635,39.12,40.57,77903
2021-08-12,40.47,40.74,39.85,40.71,80925
2021-08-13,40.735,40.82,40.245,40.43,127981
2021-08-16,39.99,39.99,38.93,39.41,103819
2021-08-17,38.815,38.86,37.55,37.89,102794
2021-08-18,37.755,38.99,37.57,38.645,109777
2021-08-19,38.125,38.57,37.24,37.65,100464
2021-08-20,37.4,38.41,37.365,38.39,141708
2021-08-23,39.035,39.755,38.915,39.515,80801
2021-08-24,39.97,41.24,39.95,40.915,145641
2021-08-25,40.81,42.23,40.76,42.13,191167
2021-08-26,41.84,42.69,41.61,42.0,115294
2021-08-27,42.355,43.605,42.355,43.32,127939
2021-08-30,43.08,43.09,42.42,42.665,90266
2021-08-31,42.77,42.955,42.23,42.61,77659
2021-09-01,42.8,42.91,42.165,42.21,77624
2021-09-02,42.42,42.98,41.94,42.56,100466
2021-09-03,42.52,43.35,42.13,42.54,58844
2021-09-07,42.49,43.595,42.31,43.435,81745
2021-09-08,43.12,43.77,41.955,42.425,135529
2021-09-09,42.39,43.145,42.35,42.745,79732
2021-09-10,42.99,43.0,42.27,42.29,118896
2021-09-13,43.215,43.215,41.89,43.1,131147
2021-09-14,41.74,42.07,40.81,41.4,184785
2021-09-15,40.53,40.72,39.235,40.365,312939
2021-09-16,40.145,41.665,39.97,41.3,192371
2021-09-17,41.53,42.37,41.185,41.52,221792
2021-09-20,40.67,41.945,40.515,41.29,186541
2021-09-21,41.85,42.71,39.85,40.53,649352
2021-09-22,41.395,43.69,41.37,43.01,449590
2021-09-23,43.1,45.095,43.03,44.65,467239
2021-09-24,44.64,45.35,44.19,44.63,301815
2021-09-27,44.64,46.065,44.64,45.085,281699
2021-09-28,45.16,45.51,44.74,44.89,282300
2021-09-29,45.05,45.22,43.58,43.85,257769
2021-09-30,44.03,44.03,43.095,43.13,272155
2021-10-01,43.46,45.095,43.36,44.85,661839
2021-10-04,44.855,45.23,44.25,44.485,565534
2021-10-05,44.68,45.9,44.265,44.94,364263
2021-10-06,44.32,44.95,43.97,44.65,193844
2021-10-07,45.14,45.315,44.51,44.765,164213
2021-10-08,44.905,45.09,44.395,44.42,184183
2021-10-11,44.505,45.16,44.26,44.43,136205
2021-10-12,45.2,48.92,45.16,48.69,642214
2021-10-13,48.49,48.9,47.7,48.155,364938
2021-10-14,48.66,48.805,47.96,48.44,320903
2021-10-15,48.95,49.13,47.88,47.95,112013
2021-10-18,47.88,48.37,47.36,48.24,274330
2021-10-19,48.57,48.57,47.365,47.42,108448
2021-10-20,47.34,47.87,46.78,47.05,64807
2021-10-21,47.0,48.43,47.0,48.09,91078
2021-10-22,48.1,48.41,47.63,48.005,71696
2021-10-26,48.43,48.65,47.0,47.245,122114
2021-10-27,47.33,47.64,46.935,47.025,123347
2021-10-28,47.21,47.24,46.19,46.98,305887
2021-10-29,47.08,47.75,46.7,47.16,177090
2021-11-01,47.45,48.46,47.11,48.46,173893
2021-11-02,47.91,48.06,47.11,47.86,119621
2021-11-03,47.72,49.01,47.17,48.75,235919
2021-11-04,49.53,50.265,47.04,47.39,277197
2021-11-05,50.0,51.015,49.24,50.36,225497
2021-11-08,50.85,50.85,48.52,48.555,91933
2021-11-09,48.38,48.6,47.045,47.34,116912
2021-11-10,46.84,47.65,45.92,46.04,90405
2021-11-11,46.02,46.27,45.35,45.41,72640
2021-11-12,45.51,45.74,44.63,45.07,115419
2021-11-15,45.37,46.075,45.37,45.82,67327
2021-11-16,45.965,45.965,44.91,45.61,109804
2021-11-17,45.52,46.12,45.26,45.52,96704
2021-11-18,45.69,45.72,44.25,44.32,83888
2021-11-19,43.85,44.75,43.56,44.27,117244
2021-11-22,44.65,45.11,44.15,44.53,77175
2021-11-23,44.85,44.85,42.415,42.49,237060
2021-11-24,41.88,43.465,41.88,42.84,230678
2021-11-26,40.0,41.99,39.2,41.83,302060
2021-11-29,42.435,42.91,41.0,41.14,179904
2021-11-30,40.56,41.135,39.045,39.58,305374
2021-12-01,40.28,41.935,38.11,38.32,294870
2021-12-02,38.79,41.31,38.57,41.21,343984
2021-12-03,41.01,41.185,39.69,40.17,372472
