date,open,high,low,close,volume
2021-07-21,350.65,353.43,350.24,352.67,15478
2021-07-22,351.31,351.38,346.07,351.0,11702
2021-07-23,353.8,356.34,351.205,356.22,12239
2021-07-26,358.475,358.475,352.66,352.79,12539
2021-07-27,349.97,353.9,346.68,353.34,10850
2021-07-28,353.48,370.04,349.26,368.19,47793
2021-07-29,371.565,378.84,361.015,367.27,29648
2021-07-30,368.64,368.64,358.83,363.26,31004
2021-08-02,365.58,371.01,361.83,362.59,30224
2021-08-03,358.935,363.72,357.8,362.66,24007
2021-08-04,362.06,369.57,360.97,366.39,23164
2021-08-05,369.01,369.01,359.625,362.41,12990
2021-08-06,366.54,368.45,365.82,366.42,12634
2021-08-09,369.82,373.47,369.05,369.69,9623
2021-08-10,373.17,382.0,373.17,378.33,18417
2021-08-11,379.25,391.45,379.1,390.36,39620
2021-08-12,390.3,391.5,385.93,388.655,10002
2021-08-13,389.645,389.87,384.38,385.35,15430
2021-08-16,383.0,385.21,379.74,380.61,16152
2021-08-17,379.58,381.535,374.85,377.57,13133
2021-08-18,374.99,380.96,374.94,375.24,10077
2021-08-19,370.34,373.245,370.21,372.95,9738
2021-08-20,371.29,374.78,371.18,374.645,9988
2021-08-23,375.63,380.13,374.365,378.75,12405
2021-08-24,379.02,380.4,375.99,379.26,7792
2021-08-25,380.725,391.485,379.785,386.29,20964
2021-08-26,385.16,386.35,382.8,384.54,13285
2021-08-27,385.835,386.32,383.425,384.54,12807
2021-08-30,383.94,387.19,382.92,383.05,7791
2021-08-31,382.81,383.81,380.1,381.28,9260
2021-09-01,382.26,383.01,378.2,381.46,14251
2021-09-02,383.085,385.08,376.225,379.84,19097
2021-09-03,378.5,378.5,372.64,374.54,16181
2021-09-07,372.465,372.465,367.25,370.43,26513
2021-09-08,368.755,369.38,363.745,367.91,15253
2021-09-09,368.245,371.31,366.04,367.77,11584
2021-09-10,370.925,376.75,369.51,369.51,18423
2021-09-13,373.74,375.49,367.62,368.33,11563
2021-09-14,365.9,366.69,360.71,361.8,22974
2021-09-15,361.76,362.845,360.14,360.92,15518
2021-09-16,359.67,359.67,353.48,353.75,17492
2021-09-17,353.65,354.46,340.88,342.735,66858
2021-09-20,337.255,342.75,337.255,342.58,23677
2021-09-21,343.48,347.29,341.41,344.21,9238
2021-09-22,348.305,352.225,348.275,350.25,18893
2021-09-23,356.22,361.41,355.32,356.36,17768
2021-09-24,355.09,356.215,349.48,350.9,33930
2021-09-27,355.275,358.93,354.67,356.42,19075
2021-09-28,355.585,360.75,355.04,357.3,37219
2021-09-29,356.55,360.0,352.925,353.5,45374
2021-09-30,354.875,354.875,341.75,341.75,26572
2021-10-01,339.28,354.41,338.535,353.86,33913
2021-10-04,352.51,356.46,347.97,348.76,37574
2021-10-05,346.1,350.7,343.31,348.63,12862
2021-10-06,353.79,357.435,351.25,357.3,25340
2021-10-07,360.6,365.74,359.9,360.365,16594
2021-10-08,358.245,362.545,357.955,358.23,9129
2021-10-11,358.775,359.83,350.34,350.52,13785
2021-10-12,349.925,353.01,348.92,349.15,17573
2021-10-13,350.24,350.24,343.81,348.91,27323
2021-10-14,352.7,363.39,352.34,362.98,17147
2021-10-15,365.31,367.8,362.71,365.75,20769
2021-10-18,369.31,375.49,368.58,373.7,25850
2021-10-19,377.1,377.1,369.15,370.685,11988
2021-10-20,374.66,381.92,374.66,381.71,45228
2021-10-21,379.505,381.58,378.345,381.58,18898
2021-10-22,383.3,384.41,380.93,381.88,7909
2021-10-26,389.385,393.91,389.385,390.67,14465
2021-10-27,388.41,392.85,383.04,383.175,14057
2021-10-28,394.41,395.31,391.33,393.66,20147
2021-10-29,393.47,394.8,391.18,392.72,22509
2021-11-01,393.47,396.59,386.035,390.41,32985
2021-11-02,385.955,411.05,385.38,407.38,68956
2021-11-03,408.43,413.46,406.56,407.79,29137
2021-11-04,404.18,417.645,404.18,413.27,29967
2021-11-05,417.63,421.6,410.72,411.18,22882
2021-11-08,430.315,435.0,417.72,424.9,56880
2021-11-09,427.0,427.47,417.0,421.92,24264
2021-11-10,419.98,421.39,411.06,413.42,37658
2021-11-11,413.94,417.3,412.06,413.23,8845
2021-11-12,415.44,419.92,414.89,419.67,11245
2021-11-15,418.2,420.9,417.16,418.29,9970
2021-11-16,418.82,422.865,418.82,421.96,6261
2021-11-17,422.29,424.7,421.84,423.755,9814
2021-11-18,424.03,424.65,418.385,420.19,14866
2021-11-19,420.535,421.2,416.575,417.27,8774
2021-11-22,419.63,424.78,417.4,417.4,12894
2021-11-23,417.84,422.11,415.58,421.645,12512
2021-11-24,422.72,424.47,421.4,423.345,11609
2021-11-26,413.52,416.57,408.95,415.13,20318
2021-11-29,418.14,421.395,416.36,418.29,15173
2021-11-30,412.86,414.53,402.92,403.65,26655
2021-12-01,409.19,415.23,401.315,401.315,34644
2021-12-02,407.07,416.47,405.91,414.11,27874
2021-12-03,415.53,416.29,403.69,408.43,33294
2021-12-06,411.585,421.55,411.585,415.34,12773
2021-12-07,420.49,427.26,420.49,423.2,8600
2021-12-08,423.64,430.32,422.16,429.02,24994
2021-12-09,427.875,429.87,425.76,427.14,21069
2021-12-10,435.99,439.98,433.915,439.16,44589
2021-12-13,438.295,438.295,432.79,434.8,39107
2021-12-14,433.135,439.88,431.81,435.94,42871
2021-12-15,435.96,440.74,431.63,440.74,31132
2021-12-16,441.385,442.32,437.79,440.03,22915
2021-12-17,440.045,442.43,435.915,436.19,45432
2021-12-20,428.715,428.715,416.51,422.42,31379
2021-12-21,425.2,430.935,424.895,429.97,12213
2021-12-22,432.45,435.81,431.16,435.63,7261
2021-12-23,438.81,441.545,436.9,436.9,11312
2021-12-27,436.79,438.44,435.16,438.43,17690
2021-12-28,441.1,441.1,438.3,439.39,13399
2021-12-29,440.44,443.125,440.44,441.92,6499
2021-12-30,443.0,443.0,436.885,437.84,16751
2021-12-31,436.0,441.58,434.11,440.53,18873
2022-01-03,439.25,445.74,437.15,439.33,26988
2022-01-04,439.94,446.34,439.94,441.235,22138
2022-01-05,441.15,445.66,435.95,437.005,29401
2022-01-06,435.2,441.35,431.165,437.09,12475
2022-01-07,439.4,439.4,429.25,429.25,16079
2022-01-10,423.28,423.28,413.37,416.37,36819
2022-01-11,412.0,419.59,407.75,419.47,25517
2022-01-12,420.595,427.6,418.76,422.64,22066
2022-01-13,420.59,423.445,410.01,410.085,32546
2022-01-14,407.95,409.725,396.1,402.715,35250
2022-01-18,394.03,397.8,391.4,396.075,67149
2022-01-19,398.27,400.84,390.25,390.25,31156
2022-01-20,392.62,398.87,390.47,391.4,31791
2022-01-21,386.73,392.73,381.37,382.54,45279
2022-01-24,377.51,378.17,368.69,370.34,12594
2022-01-25,377.89,378.6,361.71,367.84,85045
2022-01-26,374.55,379.54,364.11,368.85,34513
2022-01-27,374.955,380.1,367.49,373.45,33925
2022-01-28,370.95,383.31,370.185,382.86,26437
2022-01-31,382.63,390.26,380.135,389.19,27351
2022-02-01,392.25,392.25,385.67,390.49,26506
2022-02-02,390.46,392.415,385.08,387.0,30764
2022-02-03,381.38,384.365,372.28,372.85,31036
2022-02-04,371.43,376.24,368.575,371.84,20757
2022-02-07,373.64,377.245,371.13,373.74,23202
2022-02-08,373.675,379.99,372.9,379.29,23410
2022-02-09,385.55,388.85,383.15,383.23,42977
2022-02-10,374.465,398.65,365.97,387.71,82198
2022-02-11,384.715,390.22,379.05,379.83,59240
2022-02-14,378.745,382.53,367.775,369.02,27305
2022-02-15,376.7,385.99,376.7,385.22,48858
2022-02-16,382.44,391.85,380.53,391.19,33466
2022-02-17,390.47,391.92,385.15,385.3,30645
2022-02-18,384.46,387.79,380.07,383.61,26726
2022-02-22,380.875,388.17,377.53,379.96,28372
2022-02-23,382.18,383.56,364.165,365.075,26430
2022-02-24,351.395,369.78,350.82,369.14,36705
2022-02-25,369.85,386.76,367.07,385.6,65802
2022-02-28,381.255,383.26,371.585,379.25,34783
2022-03-01,373.765,373.765,362.385,364.77,33770
2022-03-02,371.415,378.96,368.565,376.27,32730
2022-03-03,380.29,380.46,372.58,375.36,30146
2022-03-04,370.66,375.28,366.615,375.28,45187
2022-03-07,373.62,373.62,359.8,359.8,37294
2022-03-09,371.9,376.01,368.705,373.38,26680
2022-03-10,364.04,372.095,364.04,371.2,32065
2022-03-11,375.4,376.58,369.875,370.97,20179
2022-03-14,374.62,379.79,370.905,375.7,20800
2022-03-15,376.89,381.79,373.98,381.54,21149
2022-03-16,385.95,392.445,371.11,379.37,26719
2022-03-17,376.24,383.83,375.27,383.02,16481
2022-03-18,380.81,386.62,377.53,385.64,21657
2022-03-21,384.86,387.2,381.565,382.73,16440
2022-03-22,383.05,386.925,382.76,383.85,18047
2022-03-23,380.265,382.05,375.295,375.35,27606
2022-03-24,374.39,383.96,374.39,383.96,18399
2022-03-25,385.53,394.48,382.72,394.13,29101
2022-03-28,393.44,397.72,390.08,397.72,26257
2022-03-29,401.32,406.34,398.04,404.3,29846
2022-03-30,402.91,402.91,389.72,390.05,28104
2022-03-31,388.565,393.8,385.39,385.39,30587
2022-04-01,388.205,388.205,382.26,385.04,27489
2022-04-04,382.91,386.135,382.155,384.865,23627
2022-04-05,385.93,386.09,379.84,380.66,24398
2022-04-06,378.195,378.21,370.89,373.29,42483
2022-04-07,372.56,372.7,366.17,369.44,27845
2022-04-08,367.95,377.075,366.1,371.97,16294
2022-04-11,372.33,375.54,369.16,369.69,27285
2022-04-12,376.72,376.83,365.06,366.64,25447
2022-04-13,365.33,370.22,365.33,366.86,24511
2022-04-14,366.135,369.91,364.225,364.69,19438
2022-04-18,366.25,366.45,360.755,362.6,16263
2022-04-19,363.57,370.76,363.57,368.98,13226
2022-04-20,378.2,381.055,377.31,379.065,20453
2022-04-21,383.885,383.885,370.44,374.72,20975
2022-04-22,368.745,369.84,354.43,354.94,37482
2022-04-25,354.97,361.34,348.5,360.74,50152
2022-04-26,357.78,359.66,349.76,350.64,47011
2022-04-27,354.36,355.2,347.12,352.51,22064
2022-04-28,351.66,367.19,351.66,365.92,23086
2022-04-29,360.705,363.04,353.35,353.88,37679
2022-05-02,355.09,359.49,346.63,355.71,38778
2022-05-03,352.35,371.99,352.35,366.46,52146
2022-05-04,372.53,379.14,363.49,377.95,48945
2022-05-05,371.01,371.01,351.575,356.13,40033
2022-05-06,354.75,354.75,340.22,346.08,48930
2022-05-09,342.24,342.27,330.23,332.82,31739
2022-05-10,339.41,339.41,319.385,328.14,54249
2022-05-11,330.39,334.78,320.71,321.595,41510
2022-05-12,318.09,331.03,316.725,327.72,53829
2022-05-13,333.38,340.49,332.255,333.0,27410
2022-05-16,330.04,330.04,322.0,323.295,64780
2022-05-17,330.27,336.505,324.065,334.58,61168
2022-05-18,331.38,332.255,322.57,324.33,30051
2022-05-19,321.875,329.75,321.115,324.76,81228
2022-05-20,330.49,330.49,320.335,327.44,51157
2022-05-23,332.85,336.5,328.16,333.015,21216
2022-05-24,330.98,330.98,320.875,325.34,27990
2022-05-25,324.4,327.205,320.4,326.11,55912
2022-05-26,330.03,336.77,329.53,334.1,23379
2022-05-27,339.025,349.64,339.025,349.555,41387
2022-05-31,340.625,341.81,334.305,339.61,39225
2022-06-01,339.12,339.96,330.69,337.595,31757
2022-06-02,339.53,347.445,337.42,347.15,12216
2022-06-03,346.29,349.32,342.895,345.69,20031
2022-06-06,347.43,349.345,345.3,347.89,26439
2022-06-07,343.78,352.21,343.515,351.32,19925
2022-06-08,347.84,347.84,335.245,337.0,41276
2022-06-09,335.35,340.005,332.735,332.98,21331
2022-06-10,326.34,326.34,321.515,321.75,36325
2022-06-13,313.565,320.54,313.26,316.25,136123
2022-06-14,316.61,318.77,314.785,316.59,94634
2022-06-15,316.5,322.39,313.015,318.39,35357
2022-06-16,312.325,312.325,301.98,302.92,74216
2022-06-17,302.93,309.46,300.85,303.57,41707
2022-06-21,305.67,308.09,299.88,302.8,48272
2022-06-22,299.09,304.38,298.1,302.88,31833
2022-06-23,301.37,303.3,295.8,297.31,38032
2022-06-24,302.6,309.92,300.04,309.8,35261
2022-06-27,307.71,309.64,305.92,308.84,28541
2022-06-28,312.065,312.1,302.52,302.77,24068
2022-06-29,298.73,301.3,294.42,300.37,37479
2022-06-30,295.145,301.84,291.915,298.54,24075
2022-07-01,296.73,301.76,293.37,295.92,51386
2022-07-05,287.6,300.76,285.19,300.45,28912
2022-07-06,302.34,309.09,299.95,308.1,42426
2022-07-07,311.55,313.19,308.91,310.88,26862
2022-07-08,309.175,310.93,306.625,307.29,40927
2022-07-11,306.43,313.8,306.0,313.53,33374
2022-07-12,314.29,318.8,312.61,314.0,30953
2022-07-13,306.365,312.685,304.145,310.14,24591
2022-07-14,307.88,312.63,303.83,312.27,17824
2022-07-15,316.15,316.15,311.57,314.69,17058
2022-07-18,315.855,318.37,313.07,314.64,20332
2022-07-19,318.33,322.985,318.29,322.985,27597
2022-07-20,321.71,327.34,321.215,325.31,12676
2022-07-21,324.74,329.87,323.34,329.68,26928
2022-07-22,332.61,332.61,323.245,326.2,29859
2022-07-25,326.12,330.71,326.05,330.5,16858
2022-07-26,327.59,329.115,324.72,328.37,16585
2022-07-27,328.02,337.09,328.01,335.28,30318
2022-07-28,338.61,343.68,333.63,343.5,67655
2022-07-29,347.915,354.215,346.92,352.14,38400
2022-08-01,350.41,354.985,348.78,354.33,23728
2022-08-02,352.115,356.25,348.915,352.48,38362
2022-08-03,353.73,356.81,353.29,355.54,42540
2022-08-04,358.3,365.98,358.3,359.95,40053
2022-08-05,355.765,358.525,352.53,356.01,45054
2022-08-08,359.89,359.89,351.82,353.18,81550
2022-08-09,348.89,354.04,348.89,353.85,20584
