date,open,high,low,close,volume
2021-07-21,398.99,405.54,396.385,405.53,20225
2021-07-22,402.605,406.67,399.705,405.0,18359
2021-07-23,405.97,415.41,405.45,414.95,19155
2021-07-26,412.4,416.98,409.82,413.56,28450
2021-07-27,408.545,408.96,395.63,408.01,36627
2021-07-28,412.17,431.445,405.355,430.74,43131
2021-07-29,429.22,440.72,428.55,440.37,66321
2021-07-30,435.57,450.55,435.57,449.3,26843
2021-08-02,450.46,457.08,450.46,454.41,51803
2021-08-03,453.8,456.54,447.18,456.54,24267
2021-08-04,460.005,469.84,460.005,466.74,14924
2021-08-05,468.305,468.6,459.71,463.55,44381
2021-08-06,460.25,462.78,455.825,462.27,17215
2021-08-09,461.5,461.67,455.7,460.67,8488
2021-08-10,458.9,459.43,453.72,458.06,15924
2021-08-11,457.0,459.16,451.555,459.16,7477
2021-08-12,454.27,463.33,450.67,462.3,22577
2021-08-13,461.66,467.65,460.935,463.89,7552
2021-08-16,462.11,462.11,455.745,458.88,21181
2021-08-17,452.08,453.18,444.915,452.64,19334
2021-08-18,449.48,462.93,449.48,458.09,11415
2021-08-19,455.23,471.11,452.625,466.5,21595
2021-08-20,469.23,477.63,468.34,476.46,48489
2021-08-23,479.64,486.42,479.64,485.42,14632
2021-08-24,488.235,490.94,484.86,484.86,16229
2021-08-25,487.18,489.91,476.9,482.98,27405
2021-08-26,486.435,489.56,483.52,487.33,23792
2021-08-27,489.385,496.765,488.95,494.91,15210
2021-08-30,498.78,504.545,493.59,503.64,16410
2021-08-31,500.125,500.66,492.93,495.1,10865
2021-09-01,499.8,500.0,495.22,495.76,12669
2021-09-02,499.46,500.455,497.48,497.89,10944
2021-09-03,499.2,503.01,499.2,501.93,13603
2021-09-07,500.63,505.48,496.335,497.49,16477
2021-09-08,493.32,496.23,489.16,491.96,18084
2021-09-09,492.805,495.07,488.04,488.04,48418
2021-09-10,494.0,504.725,493.445,493.66,25170
2021-09-13,495.17,495.17,483.0,488.9,22352
2021-09-14,490.715,497.13,487.08,495.63,29760
2021-09-15,492.85,496.71,489.93,495.94,11157
2021-09-16,492.165,500.76,490.62,498.5,20592
2021-09-17,494.81,503.46,488.98,497.9,16090
2021-09-20,485.64,489.24,480.7,489.17,19664
2021-09-21,495.95,495.95,487.15,492.96,6984
2021-09-22,495.83,508.29,493.945,508.15,13836
2021-09-23,509.575,521.445,505.59,518.075,17561
2021-09-24,518.005,521.23,512.74,518.15,9495
2021-09-27,513.05,515.98,505.55,509.74,14141
2021-09-28,497.33,497.33,487.965,490.18,19533
2021-09-29,495.26,496.95,482.62,485.1,31828
2021-09-30,491.75,493.855,484.66,484.68,18182
2021-10-01,481.185,484.305,468.36,484.25,19820
2021-10-04,480.11,480.435,462.0,464.065,22647
2021-10-05,465.26,470.28,463.185,469.44,24580
2021-10-06,467.54,468.58,460.75,466.68,15951
2021-10-07,475.725,478.715,472.25,472.25,11188
2021-10-08,475.44,475.44,467.535,468.57,16441
