date,open,high,low,close,volume
2021-07-21,56.69,58.36,56.42,58.36,98712
2021-07-22,57.47,58.05,57.45,58.0,57796
2021-07-23,58.37,59.27,57.88,58.92,95774
2021-07-26,58.65,59.23,58.6,58.99,67256
2021-07-27,58.875,58.875,56.495,57.995,143162
2021-07-28,58.14,59.125,58.115,59.02,82557
2021-07-29,59.29,60.38,59.115,60.33,126476
2021-07-30,59.71,60.59,59.52,60.52,191981
2021-08-02,60.98,61.48,60.4,60.57,127152
2021-08-03,60.06,61.42,59.345,61.38,210259
2021-08-04,61.5,62.615,61.38,61.91,409860
2021-08-05,62.17,62.71,60.86,61.09,193369
2021-08-06,60.61,61.055,60.38,60.58,158269
2021-08-09,60.87,60.96,60.12,60.45,55174
2021-08-10,60.64,60.81,59.495,59.7,160933
2021-08-11,59.87,60.35,59.12,59.73,123765
2021-08-12,59.03,60.87,58.61,59.855,165218
2021-08-13,59.86,60.45,59.53,60.42,94365
2021-08-16,60.16,60.225,58.7,59.185,164166
2021-08-17,58.34,58.76,57.61,58.535,262687
2021-08-18,58.33,59.09,57.78,57.78,102972
2021-08-19,57.35,59.42,57.12,58.97,212385
2021-08-20,59.45,59.91,58.77,59.87,130008
2021-08-23,60.7,62.19,60.36,62.005,187129
2021-08-24,62.32,62.81,61.95,62.575,188714
2021-08-25,62.99,63.44,62.48,63.21,150491
2021-08-26,63.55,64.03,62.85,63.2,193923
2021-08-27,61.54,62.22,60.125,61.34,583811
2021-08-30,61.53,63.07,61.48,61.97,282710
2021-08-31,61.97,61.97,61.14,61.19,201754
2021-09-01,61.565,61.63,60.62,60.72,147104
2021-09-02,61.21,61.49,60.79,61.3,100750
2021-09-03,61.265,62.175,61.1,61.5,57708
2021-09-07,61.66,62.025,61.21,61.21,113245
2021-09-08,60.9,61.33,59.91,60.37,84296
2021-09-09,60.85,61.825,60.66,61.21,99349
2021-09-10,61.89,62.57,61.12,61.16,135897
2021-09-13,61.735,62.45,61.06,62.45,184068
2021-09-14,62.62,62.99,61.885,62.29,95386
2021-09-15,62.32,62.905,61.835,62.455,127760
2021-09-16,61.855,63.32,61.7,63.23,245836
2021-09-17,63.14,63.14,61.775,62.1,365313
2021-09-20,60.59,61.24,59.41,60.73,146935
2021-09-21,61.01,61.46,60.17,61.02,54365
2021-09-22,61.55,62.84,61.28,62.73,144023
2021-09-23,62.89,63.97,62.83,63.46,123033
2021-09-24,63.03,63.93,62.79,63.625,67294
2021-09-27,62.74,63.58,62.07,63.08,189706
2021-09-28,61.6,61.855,60.69,60.75,242912
2021-09-29,61.06,61.805,60.09,60.1,168625
2021-09-30,60.41,61.625,60.26,60.32,151401
2021-10-01,60.46,60.47,58.36,59.8,239280
2021-10-04,59.33,59.41,56.87,57.6,203801
2021-10-05,58.37,60.03,58.37,59.38,282536
2021-10-06,58.8,64.27,58.62,63.8,813700
2021-10-07,65.03,67.18,64.51,65.17,458860
2021-10-08,65.39,65.59,64.34,64.64,171300
2021-10-11,64.16,64.865,63.4,63.4,176789
2021-10-12,64.2,64.44,62.53,63.56,187810
2021-10-13,64.61,64.63,63.23,63.38,351637
2021-10-14,64.97,66.105,64.54,65.27,480334
2021-10-15,65.895,66.28,65.37,65.705,165349
2021-10-18,65.29,67.2,65.11,67.17,222124
2021-10-19,67.35,68.115,66.64,67.82,214120
2021-10-20,67.81,67.98,66.65,67.19,129161
2021-10-21,66.3,67.11,65.96,67.06,204482
2021-10-22,67.415,67.66,65.89,66.29,132590
2021-10-25,66.625,67.95,66.38,67.71,149211
2021-10-26,68.635,69.09,67.67,67.73,288588
2021-10-27,67.425,68.55,67.26,67.71,506106
2021-10-28,68.13,68.575,67.675,68.475,118306
2021-10-29,67.8,68.88,67.8,68.52,234766
2021-11-01,68.75,68.97,67.78,68.97,224593
2021-11-02,68.91,71.385,68.91,69.91,330039
2021-11-03,69.625,69.665,68.82,69.24,117217
2021-11-04,69.76,71.62,68.885,71.58,283967
2021-11-05,72.11,72.92,71.38,71.92,221270
2021-11-08,72.2,73.735,71.84,73.01,180316
2021-11-09,73.77,73.95,72.235,72.99,201995
2021-11-10,71.94,73.25,70.64,70.93,314747
2021-11-11,71.59,73.51,71.57,73.46,207221
2021-11-12,73.81,74.465,72.605,73.49,182733
2021-11-15,73.63,73.63,71.53,72.96,130945
2021-11-16,72.53,74.09,72.0,73.77,217060
2021-11-17,73.975,74.325,73.16,73.64,199501
2021-11-18,74.72,75.24,74.24,75.22,321365
2021-11-19,75.19,75.77,74.37,74.6,209595
2021-11-22,75.05,76.11,72.46,72.72,306851
2021-11-23,72.955,73.96,71.305,73.26,180442
2021-11-24,72.46,73.98,71.955,73.85,156913
2021-11-26,72.54,74.055,71.55,71.98,151017
2021-11-29,73.355,75.25,73.05,75.05,288813
2021-11-30,74.705,75.14,71.05,71.17,472594
2021-12-01,72.745,75.01,70.83,70.92,331838
2021-12-02,70.14,72.125,69.38,71.03,565211
2021-12-03,85.885,88.39,80.54,83.68,2040381
2021-12-06,83.13,85.98,80.45,85.56,593554
2021-12-07,87.455,92.4,86.91,91.61,892085
2021-12-08,90.74,93.83,89.54,91.29,443686
2021-12-09,90.62,92.76,89.73,89.96,368928
2021-12-10,91.33,92.185,88.23,89.04,371396
2021-12-13,89.18,89.55,86.5,86.51,194755
2021-12-14,84.76,86.6,84.39,85.33,301803
2021-12-15,85.145,88.8,84.065,88.7,456491
2021-12-16,89.795,89.795,82.67,83.59,609935
2021-12-17,81.86,85.36,81.6,84.02,340718
2021-12-20,82.58,84.51,82.58,84.145,241410
2021-12-21,86.635,87.16,84.46,86.32,564618
2021-12-22,86.14,88.4,85.69,88.31,240495
2021-12-23,88.4,89.5,87.53,87.6,184070
2021-12-27,88.29,91.16,88.27,90.91,247008
2021-12-28,90.89,91.03,87.76,87.865,267545
2021-12-29,88.29,88.94,87.72,88.54,118629
2021-12-30,88.54,88.96,87.295,87.46,122013
2021-12-31,87.55,88.54,87.45,87.56,138668
2022-01-03,88.25,90.02,87.87,89.37,162245
2022-01-04,90.52,91.74,86.48,88.32,402667
2022-01-05,87.38,89.67,84.01,84.06,348261
2022-01-06,82.27,86.24,82.13,85.53,442998
2022-01-07,85.55,85.86,82.61,83.15,415113
2022-01-10,81.05,82.29,77.41,82.235,572597
2022-01-11,81.16,86.415,80.895,86.23,782828
2022-01-12,87.33,87.39,84.47,84.95,315645
2022-01-13,85.91,86.62,78.525,78.64,608787
2022-01-14,77.95,83.11,77.905,83.07,749902
2022-01-18,80.85,81.5,77.44,77.63,381936
2022-01-19,78.36,79.24,75.78,76.86,634566
2022-01-20,77.47,78.62,73.79,73.88,372764
2022-01-21,72.915,76.11,72.23,72.43,541151
2022-01-24,71.0,72.2,66.99,72.14,720376
2022-01-25,69.605,70.09,66.96,66.96,607505
2022-01-26,70.09,72.185,66.97,67.71,973858
2022-01-27,69.41,70.18,64.74,64.865,679538
2022-01-28,64.9,66.33,62.58,66.33,349386
2022-01-31,66.98,71.42,66.94,71.42,719868
2022-02-01,71.96,72.61,69.34,72.37,541141
2022-02-02,74.11,75.085,71.94,74.08,642195
2022-02-03,71.02,72.52,68.37,68.58,292222
2022-02-04,68.66,71.94,68.66,71.24,270611
2022-02-07,71.37,73.19,71.28,71.55,246701
2022-02-08,71.23,76.755,71.16,76.53,413145
2022-02-09,77.2,77.94,75.34,77.74,317541
2022-02-10,74.92,78.17,73.21,73.88,348452
2022-02-11,73.63,74.77,67.49,68.02,561472
2022-02-14,68.01,69.83,66.65,67.76,358156
2022-02-15,70.01,74.215,70.01,74.18,492222
2022-02-16,72.365,72.785,70.6,72.04,244326
2022-02-17,70.55,71.0,67.185,67.51,471747
2022-02-18,68.19,69.015,66.3,67.28,246156
2022-02-22,66.77,68.84,65.77,66.67,264975
2022-02-23,67.65,68.71,64.67,64.78,315595
2022-02-24,61.41,68.07,61.0,67.8,541914
