date,open,high,low,close,volume
2021-07-21,93.28,96.01,93.28,95.64,333028
2021-07-22,95.47,96.23,94.86,95.555,248974
2021-07-23,96.0,97.155,94.22,94.59,344794
2021-07-26,94.37,96.66,94.37,96.515,258727
2021-07-27,95.62,97.04,95.54,96.48,182597
2021-07-28,96.53,96.875,95.585,96.07,237780
2021-07-29,96.18,96.82,95.585,96.285,170579
2021-07-30,96.19,97.16,95.545,95.93,197989
2021-08-02,96.625,98.36,95.99,96.205,284945
2021-08-03,96.72,97.02,94.91,96.545,211057
2021-08-04,95.76,97.5,95.74,96.255,146261
2021-08-05,96.91,97.925,96.9,97.83,139134
2021-08-06,98.91,99.97,98.38,99.73,246504
2021-08-09,99.59,100.98,99.005,100.735,360922
2021-08-10,100.68,102.93,100.67,102.015,592710
2021-08-11,102.28,103.905,101.87,103.865,225922
2021-08-12,103.78,104.71,103.6,104.66,142904
2021-08-13,104.55,104.75,102.69,103.95,303066
2021-08-16,102.98,103.805,102.21,103.72,126565
2021-08-17,102.645,103.84,101.63,102.89,166989
2021-08-18,102.09,103.05,101.16,101.26,184250
2021-08-19,99.56,100.74,98.73,99.68,410770
2021-08-20,99.54,101.015,99.53,100.7,181317
2021-08-23,101.82,102.87,101.74,102.16,143875
2021-08-24,102.76,103.44,102.57,103.07,116464
2021-08-25,103.3,104.96,103.08,104.08,151910
2021-08-26,104.67,105.65,103.68,103.89,167409
2021-08-27,103.86,105.46,103.76,105.46,305978
2021-08-30,105.47,105.77,103.885,104.08,128357
2021-08-31,104.38,104.705,103.42,104.42,148495
2021-09-01,104.27,105.07,103.6,104.32,122504
2021-09-02,104.72,105.48,104.38,104.82,109864
2021-09-03,104.485,105.2,103.775,104.245,175587
2021-09-07,104.37,105.34,104.07,104.17,286436
2021-09-08,103.87,104.53,103.085,103.55,141602
2021-09-09,103.36,105.22,103.35,103.81,160044
2021-09-10,104.58,104.715,103.22,103.605,200390
2021-09-13,104.17,104.46,103.28,104.385,274557
2021-09-14,104.3,105.395,101.68,101.87,192114
2021-09-15,102.14,103.335,101.86,103.04,270637
2021-09-16,103.75,104.03,101.84,102.49,180489
2021-09-17,103.13,103.87,101.43,101.835,262264
2021-09-20,98.47,99.205,96.905,98.68,255397
2021-09-21,99.52,99.66,97.98,98.29,180138
2021-09-22,99.74,101.78,99.665,100.76,182902
2021-09-23,101.86,103.98,101.71,103.54,165042
2021-09-24,103.225,104.1,102.85,102.89,146899
2021-09-27,103.92,105.74,103.92,105.09,252719
2021-09-28,104.43,105.95,101.72,102.06,472133
2021-09-29,101.26,101.34,99.12,99.55,673561
2021-09-30,100.18,100.33,96.35,97.32,591195
2021-10-01,97.93,99.86,97.1,99.0,180633
2021-10-04,99.0,100.51,96.97,97.14,482315
2021-10-05,98.245,99.73,97.49,99.21,447772
2021-10-06,98.17,99.45,97.22,99.09,410193
2021-10-07,100.68,100.87,98.715,98.78,329671
2021-10-08,99.06,100.675,98.39,100.05,282926
2021-10-11,100.35,100.67,97.25,97.25,262547
2021-10-12,97.28,98.695,96.715,97.81,210043
2021-10-13,98.085,99.17,96.74,98.54,489194
2021-10-14,100.955,101.3,97.86,101.09,625440
2021-10-15,102.46,103.21,101.865,102.15,518164
2021-10-18,101.95,103.93,100.565,101.41,592411
2021-10-19,101.575,102.44,101.38,101.76,234756
2021-10-20,101.21,101.9,99.94,100.65,291302
2021-10-21,100.31,101.66,99.575,100.31,122420
2021-10-22,100.67,102.22,100.61,101.8,242961
2021-10-26,102.25,103.96,101.705,103.47,229257
2021-10-27,102.25,103.83,101.835,101.885,249227
2021-10-28,101.89,102.62,100.805,102.58,169430
2021-10-29,102.15,103.3,101.94,102.74,238404
2021-11-01,103.83,104.31,102.73,104.01,166019
2021-11-02,103.81,105.32,103.45,104.66,166985
2021-11-03,104.38,104.65,101.88,102.61,381870
2021-11-04,102.13,102.13,98.175,99.825,812572
2021-11-05,101.19,101.97,99.73,99.815,353353
2021-11-08,100.66,101.78,99.965,100.015,254511
2021-11-09,99.555,100.29,98.3,99.72,327111
2021-11-10,99.415,99.59,97.73,97.76,328272
2021-11-11,98.04,99.295,97.55,98.9,277025
2021-11-12,99.28,99.87,98.08,99.85,208845
2021-11-15,100.03,100.76,99.96,100.215,185665
2021-11-16,99.995,101.53,99.575,100.7,331515
2021-11-17,100.5,100.515,97.355,97.68,432019
2021-11-18,97.93,98.22,96.51,97.68,185448
2021-11-19,95.94,97.87,94.97,96.95,263048
2021-11-22,98.31,100.52,97.83,99.3,290720
2021-11-23,100.21,102.09,100.195,101.87,256969
2021-11-24,101.84,102.18,100.15,101.08,157328
2021-11-26,97.845,98.09,95.88,97.98,521445
2021-11-29,99.1,99.56,95.96,97.2,267291
2021-11-30,96.44,96.44,93.91,94.76,538349
2021-12-01,97.005,98.61,95.29,95.31,298233
2021-12-02,96.21,99.69,95.31,98.855,448482
2021-12-03,99.97,100.84,96.85,98.15,278515
2021-12-06,99.85,100.7,98.9,99.26,286328
2021-12-07,100.42,103.105,100.42,102.505,263857
2021-12-08,102.66,103.08,101.24,101.27,287417
2021-12-09,100.635,101.77,100.32,100.55,381846
2021-12-10,100.52,100.7,98.39,98.4,335111
2021-12-13,97.97,98.05,96.805,97.18,267777
2021-12-14,96.71,99.415,96.68,98.86,511371
2021-12-15,99.12,99.795,97.26,99.43,175968
2021-12-16,100.98,101.42,99.68,100.24,304367
2021-12-17,99.46,99.46,96.84,97.12,406011
2021-12-20,95.605,95.83,94.22,95.35,375996
2021-12-21,96.21,98.5,96.11,97.76,168662
2021-12-22,97.62,98.67,97.57,98.29,115895
2021-12-23,99.01,99.93,98.8,99.34,106960
2021-12-27,99.65,100.51,99.16,100.38,160199
2021-12-28,100.03,100.99,99.58,99.985,112619
2021-12-29,100.06,100.49,98.695,98.77,523960
2021-12-30,99.15,99.92,98.735,98.79,122983
2021-12-31,98.44,99.17,97.5,98.15,161220
2022-01-03,99.34,101.33,99.34,100.17,397208
2022-01-04,102.19,104.67,102.135,104.26,295743
2022-01-05,103.8,105.0,101.585,101.7,453700
2022-01-06,104.07,104.14,100.65,103.38,428469
2022-01-07,103.53,104.52,102.96,104.085,223289
2022-01-10,104.72,105.1,102.83,104.09,356193
2022-01-11,104.3,106.085,103.615,105.93,210859
2022-01-12,106.44,106.45,102.415,103.04,548688
2022-01-13,103.5,104.31,102.18,102.46,223665
2022-01-14,99.72,100.44,97.39,99.0,985893
2022-01-18,96.26,96.39,92.97,94.25,1010475
2022-01-19,97.72,98.12,95.0,95.735,656895
2022-01-20,96.835,101.95,96.65,99.84,1522401
2022-01-21,97.94,99.52,96.36,98.92,1114795
2022-01-24,96.13,97.88,93.72,96.34,325002
2022-01-25,96.08,99.8,95.01,99.06,991929
2022-01-26,100.34,101.75,98.935,100.185,453181
2022-01-27,101.09,102.225,99.66,101.2,1519421
2022-01-28,99.57,101.9,98.155,101.8,820807
2022-01-31,100.88,102.73,100.29,102.56,260107
2022-02-01,102.96,104.09,102.345,103.92,241558
2022-02-02,103.78,104.27,102.32,103.97,237217
2022-02-03,103.91,104.08,102.13,102.3,180541
2022-02-04,102.3,105.01,102.16,104.11,494303
2022-02-07,104.15,106.17,103.735,105.19,381808
2022-02-08,106.15,107.32,105.37,106.35,263279
2022-02-09,106.96,109.08,106.945,108.74,614172
2022-02-10,108.19,109.7,107.17,107.55,425765
2022-02-11,106.96,108.38,103.83,104.56,648514
2022-02-14,104.315,104.35,101.615,102.6,490315
2022-02-15,103.65,104.33,102.17,103.42,335741
2022-02-16,102.5,103.03,100.67,101.16,618005
2022-02-17,100.03,100.15,95.905,96.15,835056
2022-02-18,95.05,96.01,93.85,95.42,611644
2022-02-22,94.74,96.77,93.91,94.76,471102
2022-02-23,95.3,95.71,93.09,93.55,313632
2022-02-24,89.74,92.16,88.57,91.76,838439
2022-02-25,92.02,94.7,91.72,94.56,405358
2022-02-28,91.73,92.21,89.94,90.69,1469534
2022-03-01,90.0,90.0,86.505,87.62,841141
2022-03-02,88.06,89.28,87.05,88.32,1270252
2022-03-03,89.6,90.24,87.09,87.79,451519
2022-03-04,86.07,86.86,84.77,86.37,647562
2022-03-07,85.11,86.07,83.425,83.475,380756
2022-03-09,86.17,88.99,86.17,87.42,825439
2022-03-10,85.735,87.785,85.02,85.85,457040
2022-03-11,87.07,87.69,85.1,85.175,505370
2022-03-14,85.86,86.71,84.48,84.7,422556
2022-03-15,85.68,86.69,84.59,86.28,315375
2022-03-16,88.1,92.35,88.07,91.76,1142877
2022-03-17,90.13,94.17,89.93,93.85,1263612
2022-03-18,93.385,94.89,92.45,94.85,762286
2022-03-21,94.33,94.875,92.225,92.61,378208
2022-03-22,93.15,94.565,92.89,94.18,273745
2022-03-23,93.72,93.945,91.895,92.4,240901
2022-03-24,92.54,93.095,91.925,92.12,215811
2022-03-25,92.545,93.93,91.99,92.4,207501
2022-03-28,92.3,92.3,90.15,91.27,286013
2022-03-29,92.96,93.29,91.06,91.84,249422
2022-03-30,91.84,91.94,89.76,90.29,441887
2022-03-31,89.84,90.15,87.4,87.44,419261
2022-04-01,88.14,88.48,85.91,86.95,384289
2022-04-04,86.64,87.56,85.83,87.28,297601
2022-04-05,86.7,86.82,84.94,85.23,881128
2022-04-06,84.72,84.74,82.75,83.13,615508
2022-04-07,82.85,83.575,81.41,83.15,457219
2022-04-08,83.3,84.75,82.995,84.02,248333
2022-04-11,83.605,85.815,83.025,84.04,389660
2022-04-12,83.75,85.97,83.55,83.91,360059
2022-04-13,82.84,84.24,82.805,84.24,468218
2022-04-14,86.15,87.79,84.59,84.745,697595
2022-04-18,84.44,87.18,84.44,86.48,384058
2022-04-19,87.18,89.1,87.005,88.93,326160
2022-04-20,89.67,91.565,89.67,90.6,509285
2022-04-21,91.64,92.92,88.71,89.03,326455
2022-04-22,88.06,88.06,84.65,84.75,307120
2022-04-25,83.84,85.3,82.94,85.05,341785
2022-04-26,83.84,85.215,82.29,82.29,285264
2022-04-27,82.13,83.66,81.84,82.15,465472
2022-04-28,82.54,83.83,81.63,83.39,265895
2022-04-29,83.05,83.73,80.35,80.52,240503
2022-05-02,80.8,82.125,80.035,81.97,417711
2022-05-03,82.46,84.79,82.3,83.73,255967
2022-05-04,84.02,87.52,83.95,87.18,462379
2022-05-05,85.79,86.15,83.45,85.0,274714
2022-05-06,84.39,84.54,82.31,84.23,260980
2022-05-09,82.445,83.19,80.72,81.09,597548
