date,open,high,low,close,volume
2021-07-21,565.01,570.18,563.22,564.69,8515
2021-07-22,567.76,573.81,567.76,572.03,16761
2021-07-23,574.23,579.86,573.4,579.23,12804
2021-07-26,573.89,580.73,567.0,575.4,21113
2021-07-27,584.57,593.05,576.28,584.13,11965
2021-07-28,592.64,593.615,586.27,593.13,11066
2021-07-29,591.845,597.53,589.39,594.63,12625
2021-07-30,596.73,601.53,595.67,595.67,13449
2021-08-02,602.1,614.12,602.01,611.19,24298
2021-08-03,611.67,620.81,601.97,620.12,17606
2021-08-04,621.61,627.42,621.61,625.04,13847
2021-08-05,626.99,635.11,618.43,627.73,18142
2021-08-06,631.76,631.76,617.2,629.33,12177
2021-08-09,631.435,633.1,622.58,627.67,23228
2021-08-10,633.48,634.825,624.59,624.92,17638
2021-08-11,627.3,631.39,621.81,624.08,18307
2021-08-12,621.17,626.235,618.545,625.17,14203
2021-08-13,625.465,629.92,620.88,629.92,11979
2021-08-16,626.63,631.54,621.83,629.97,20390
2021-08-17,627.8,629.7,620.575,629.625,19674
2021-08-18,626.86,629.075,610.795,610.795,18680
2021-08-19,600.875,613.645,596.16,609.92,44907
2021-08-20,609.64,618.92,609.64,618.86,15242
2021-08-23,621.91,627.0,620.58,621.74,11729
2021-08-24,622.06,624.99,618.205,618.22,11509
2021-08-25,619.99,630.14,619.99,628.6,19780
2021-08-26,624.22,627.27,622.79,624.84,9277
2021-08-27,629.17,631.69,625.82,629.57,14750
2021-08-30,633.8,643.5,633.57,638.3,23379
2021-08-31,640.175,640.175,633.45,635.095,12986
2021-09-01,637.23,651.32,635.02,649.26,12996
2021-09-02,653.595,658.75,645.69,649.43,24279
2021-09-03,651.85,654.13,647.94,650.64,11640
2021-09-07,652.0,659.02,643.4,656.08,20124
2021-09-08,652.77,665.175,652.77,660.04,18414
2021-09-09,662.46,662.46,652.15,652.39,14248
2021-09-10,657.65,658.32,651.05,651.05,7870
2021-09-13,656.04,656.04,636.495,643.04,11802
2021-09-14,646.47,656.22,643.83,653.81,11574
2021-09-15,653.2,655.365,647.32,647.32,15247
2021-09-16,649.18,652.3,646.985,651.91,19212
2021-09-17,647.48,648.03,638.61,641.8,20615
2021-09-20,627.37,638.16,626.9,634.7,13863
2021-09-21,641.025,644.835,637.24,641.7,7166
2021-09-22,644.88,646.79,637.92,645.17,20860
2021-09-23,648.94,654.33,647.9,653.66,13899
2021-09-24,649.55,661.495,649.55,661.2,9476
2021-09-27,649.46,649.54,629.97,638.86,15457
2021-09-28,628.42,628.42,596.525,597.41,43619
2021-09-29,602.2,612.9,602.2,610.625,25955
2021-09-30,618.53,622.055,605.41,607.94,11170
2021-10-01,602.08,614.575,596.15,609.93,12763
2021-10-04,608.23,608.95,581.22,587.14,21879
2021-10-05,600.63,604.565,600.22,602.08,9290
2021-10-06,598.76,601.9,590.865,599.43,14619
2021-10-07,611.35,614.26,608.11,608.39,17539
2021-10-08,603.31,607.07,598.49,599.75,13994
2021-10-11,593.72,612.21,593.72,597.86,22350
2021-10-12,593.69,597.84,592.98,595.01,5447
2021-10-13,600.785,600.785,593.77,597.89,9256
2021-10-14,607.595,613.92,606.225,612.345,6352
2021-10-15,618.5,619.74,615.36,616.86,11243
2021-10-18,615.08,620.83,613.44,620.165,10932
2021-10-19,623.32,634.61,623.14,631.0,10713
2021-10-20,633.165,633.165,619.53,623.17,8446
2021-10-21,628.34,637.065,628.34,637.06,8073
2021-10-22,646.045,649.085,638.82,648.875,8230
2021-10-26,651.89,657.365,642.04,642.74,19919
2021-10-27,645.815,658.1,636.77,637.19,22304
2021-10-28,643.795,655.81,643.37,655.81,18089
2021-10-29,654.96,665.73,650.4,664.53,14573
2021-11-01,669.72,669.72,644.67,657.53,18354
2021-11-02,658.84,660.74,653.82,653.82,14977
2021-11-03,655.435,655.63,639.125,645.73,17466
2021-11-04,656.59,665.48,656.59,661.88,9493
2021-11-05,663.0,666.0,653.26,653.26,13807
2021-11-08,654.56,655.655,646.975,651.865,7930
2021-11-09,654.105,657.25,649.335,652.47,23259
2021-11-10,645.14,651.4,636.325,643.17,19126
2021-11-11,641.88,646.67,639.625,641.68,8509
2021-11-12,639.6,652.68,637.35,652.68,16269
2021-11-15,653.49,664.675,652.65,660.95,10286
2021-11-16,664.525,678.68,663.48,675.36,12631
2021-11-17,676.875,677.92,663.03,666.975,20795
2021-11-18,669.71,670.21,662.3,665.31,11622
2021-11-19,665.82,667.22,655.375,657.195,20681
2021-11-22,656.5,657.005,636.96,637.775,26007
2021-11-23,633.45,638.93,622.13,632.41,33034
2021-11-24,630.96,647.42,626.32,642.3,19749
2021-11-26,630.97,636.84,620.04,620.13,11683
2021-11-29,637.22,649.445,633.395,645.76,17759
2021-11-30,637.47,649.46,628.45,629.72,18144
2021-12-01,638.2,642.135,616.04,616.04,18854
2021-12-02,622.82,636.0,622.82,629.525,30781
2021-12-03,617.67,621.9,594.315,603.88,30239
2021-12-06,598.58,611.83,594.16,608.165,26179
2021-12-07,627.4,637.07,626.22,637.07,23548
2021-12-08,632.54,646.55,632.48,645.9,15323
2021-12-09,641.795,643.025,620.13,620.49,20582
2021-12-10,624.3,628.47,621.355,627.53,12609
2021-12-13,629.05,633.28,619.82,621.725,19252
2021-12-14,612.65,612.65,587.43,591.07,42296
2021-12-15,595.995,602.735,590.01,602.63,31141
2021-12-16,608.05,612.93,592.24,595.575,31803
2021-12-17,590.18,595.7,583.325,590.4,26087
2021-12-20,580.0,581.09,573.27,579.235,36242
2021-12-21,585.01,595.27,578.84,595.27,20289
2021-12-22,597.38,605.04,594.84,604.18,9861
2021-12-23,607.94,616.5,607.94,612.95,9665
2021-12-27,614.37,619.74,611.82,618.9,11088
2021-12-28,621.825,621.825,614.69,614.69,6905
2021-12-29,614.53,617.08,611.22,615.92,8959
2021-12-30,615.22,618.35,612.59,612.65,9055
2021-12-31,613.0,616.24,611.015,612.62,4901
2022-01-03,616.42,616.78,589.775,594.76,16969
2022-01-04,602.575,603.97,584.07,590.96,28035
2022-01-05,591.83,591.83,565.25,565.25,35591
2022-01-06,554.08,565.535,551.57,562.26,57412
2022-01-07,558.89,565.49,551.68,552.23,36222
2022-01-10,542.27,544.4,529.45,542.39,79425
2022-01-11,541.36,555.23,541.05,553.48,81417
2022-01-12,559.64,566.46,556.05,558.995,60009
2022-01-13,562.94,562.94,530.83,533.29,43702
2022-01-14,523.835,528.92,517.87,526.695,23565
2022-01-18,514.28,522.865,509.765,516.63,44398
2022-01-19,525.08,530.395,513.14,513.14,22374
2022-01-20,520.905,531.49,515.23,515.76,43824
2022-01-21,513.9,515.975,500.05,501.41,37771
2022-01-24,491.41,491.41,480.94,488.96,7716
2022-01-25,500.56,503.04,490.215,492.69,36641
2022-01-26,505.27,511.27,485.63,490.68,65328
2022-01-27,500.61,516.76,489.47,491.56,64059
2022-01-28,482.0,509.54,477.45,509.13,43210
2022-01-31,511.52,536.865,511.52,536.2,59575
2022-02-01,537.08,545.58,527.23,544.68,67022
2022-02-02,553.93,553.93,540.0,549.23,32815
2022-02-03,537.975,545.6,535.82,539.94,75099
