date,open,high,low,close,volume
2021-07-21,77.09,77.25,75.805,75.86,233815
2021-07-22,76.02,76.64,75.9,76.06,196426
2021-07-23,76.5,77.39,75.92,77.215,146630
2021-07-26,76.72,77.1,76.44,76.92,112971
2021-07-27,76.89,77.96,76.15,77.87,117103
2021-07-28,77.965,78.31,77.23,77.86,140586
2021-07-29,77.955,78.395,77.655,78.19,104055
2021-07-30,78.05,78.83,77.76,77.89,105100
2021-08-02,78.38,78.9,78.14,78.835,118477
2021-08-03,78.8,79.83,78.38,79.43,162061
2021-08-04,79.4,80.0,78.775,79.915,164567
2021-08-05,79.79,80.605,79.54,80.495,99066
2021-08-06,80.36,81.0,80.07,80.565,112616
2021-08-09,80.92,81.11,80.12,80.575,170228
2021-08-10,80.63,80.8,80.26,80.5,137592
2021-08-11,81.07,83.41,81.0,82.38,352306
2021-08-12,82.0,83.105,81.85,82.99,230746
2021-08-13,83.06,83.545,82.95,83.46,151999
2021-08-16,83.42,84.425,83.145,83.96,293360
2021-08-17,83.555,83.99,83.12,83.93,139055
2021-08-18,84.24,84.9,83.91,84.42,258483
2021-08-19,83.92,85.08,83.92,84.47,141324
2021-08-20,84.5,86.41,84.04,86.29,204353
2021-08-23,85.805,86.045,84.025,84.4,256183
2021-08-24,84.23,84.4,83.45,84.13,146056
2021-08-25,84.05,84.83,83.6,84.53,104961
2021-08-26,84.15,84.18,83.75,83.8,127081
2021-08-27,83.68,84.18,83.345,83.45,152518
2021-08-30,83.05,84.25,83.045,83.95,109938
2021-08-31,83.85,84.425,83.53,83.98,135326
2021-09-01,84.225,85.76,84.07,85.35,163634
2021-09-02,85.51,86.51,85.46,86.51,144191
2021-09-03,86.035,86.29,85.42,85.665,143445
2021-09-07,85.42,85.435,84.485,85.0,131236
2021-09-08,84.88,86.97,84.86,86.43,146339
2021-09-09,86.3,86.66,85.78,85.81,162754
2021-09-10,85.67,85.82,84.62,84.93,115188
2021-09-13,85.83,85.93,84.4,84.58,160910
2021-09-14,84.735,85.19,84.47,84.61,95259
2021-09-15,84.45,85.13,84.08,84.57,114796
2021-09-16,84.43,84.94,83.66,84.0,108888
2021-09-17,83.51,83.9,81.545,81.66,347866
2021-09-20,81.33,82.53,80.685,81.67,326843
2021-09-21,81.93,82.855,81.855,81.88,133848
2021-09-22,82.06,82.91,81.6,81.91,144415
2021-09-23,82.05,82.36,81.145,81.27,191917
2021-09-24,81.29,81.725,80.5,80.7,173843
2021-09-27,80.165,80.785,78.57,78.76,240108
2021-09-28,78.37,78.555,77.03,77.28,368391
2021-09-29,77.75,79.015,77.455,78.33,207218
2021-09-30,78.87,79.39,77.91,78.54,254278
2021-10-01,78.92,79.58,78.03,79.16,174865
2021-10-04,79.15,79.88,78.52,79.36,212864
2021-10-05,79.55,79.895,79.11,79.47,141460
2021-10-06,79.1,81.29,78.645,81.18,156188
2021-10-07,81.525,82.58,80.79,80.92,134119
2021-10-08,80.9,80.99,80.155,80.205,119749
2021-10-11,79.1,79.345,77.76,77.83,277612
2021-10-12,78.13,79.155,77.585,78.91,236474
2021-10-13,79.05,80.35,78.61,80.21,227756
2021-10-14,80.33,81.845,80.295,81.46,231140
2021-10-15,81.85,82.425,81.2,81.67,266077
2021-10-18,81.42,81.66,80.77,81.0,232747
2021-10-19,81.66,82.15,81.235,82.02,278054
2021-10-20,82.645,84.585,82.38,83.98,200193
2021-10-21,84.21,84.61,83.74,83.8,117946
2021-10-22,83.91,84.58,83.75,84.42,112193
2021-10-26,84.44,86.28,84.44,85.455,180678
2021-10-27,86.1,86.32,84.77,85.05,121351
2021-10-28,84.915,86.47,84.74,86.4,150234
2021-10-29,86.27,86.45,84.95,85.31,145322
2021-11-01,85.59,85.795,84.94,85.6,96910
2021-11-02,85.85,86.21,84.42,85.43,342511
2021-11-03,85.7,85.76,84.24,85.24,212998
2021-11-04,85.15,85.35,83.17,84.77,292724
2021-11-05,84.78,85.67,84.35,85.53,105502
2021-11-08,85.46,85.6,84.05,84.6,181887
2021-11-09,84.78,85.09,84.36,84.93,101503
2021-11-10,84.89,85.36,84.535,85.2,221904
2021-11-11,85.39,85.495,84.575,85.365,170282
2021-11-12,85.42,86.66,85.06,86.33,108208
2021-11-15,87.0,87.33,86.52,87.33,140209
2021-11-16,87.19,87.4,86.68,86.99,136985
2021-11-17,86.82,87.875,86.45,87.83,232258
2021-11-18,87.63,87.865,86.84,87.6,169248
2021-11-19,87.95,88.805,87.55,88.34,170876
2021-11-22,88.1,88.4,87.345,87.35,114404
2021-11-23,86.91,87.875,86.55,87.325,169559
2021-11-24,86.65,87.3,86.22,87.19,113100
2021-11-26,86.73,87.44,85.875,86.09,153673
2021-11-29,87.11,88.915,86.66,88.61,326602
2021-11-30,88.11,88.93,86.48,86.785,641784
2021-12-01,87.39,89.675,87.37,87.72,382541
2021-12-02,87.76,89.49,87.75,88.62,297127
2021-12-03,89.0,89.0,86.04,88.01,287977
2021-12-06,88.17,89.64,87.91,89.15,375817
2021-12-07,89.615,90.53,88.96,90.4,262017
2021-12-08,90.51,90.89,89.6,90.29,133770
2021-12-09,90.44,90.46,89.52,89.95,204300
2021-12-10,90.12,90.86,89.85,90.26,129554
2021-12-13,90.21,92.11,90.18,91.74,195704
2021-12-14,91.12,91.615,89.46,90.04,267292
2021-12-15,90.565,92.05,89.62,92.05,210988
2021-12-16,91.85,92.68,91.57,92.25,204527
2021-12-17,91.965,92.35,90.76,90.93,162106
2021-12-20,89.7,90.08,88.53,89.93,278902
2021-12-21,90.63,91.23,89.365,90.47,231008
2021-12-22,90.35,90.86,89.905,90.79,91423
2021-12-23,90.46,91.24,90.45,90.69,83294
2021-12-27,90.82,91.34,90.74,91.33,78068
2021-12-28,91.59,92.18,91.53,91.88,71328
2021-12-29,92.05,92.255,91.6,91.98,68971
2021-12-30,92.18,92.905,91.82,92.79,124463
2021-12-31,92.54,93.72,92.54,93.38,117235
2022-01-03,93.25,93.58,90.56,91.69,138273
2022-01-04,91.56,91.93,90.625,90.695,149296
2022-01-05,90.35,91.48,89.69,89.69,125154
2022-01-06,89.05,89.36,85.65,85.76,290155
2022-01-07,85.5,86.86,84.545,86.39,333377
2022-01-10,85.86,85.98,83.75,84.27,406552
2022-01-11,84.06,85.0,83.68,84.79,244275
2022-01-12,84.53,85.8,84.2,85.05,165801
2022-01-13,85.6,85.79,84.73,85.0,275632
