date,open,high,low,close,volume
2021-07-21,160.12,161.41,160.11,161.06,178252
2021-07-22,161.21,163.71,161.01,163.66,143403
2021-07-23,164.01,166.43,164.01,166.39,163543
2021-07-26,165.81,166.33,163.84,165.0,185039
2021-07-27,165.34,165.51,162.93,164.57,154784
2021-07-28,164.63,165.875,164.1,165.47,157976
2021-07-29,165.845,167.0,165.5,167.0,115090
2021-07-30,166.56,167.87,166.365,167.5,257277
2021-08-02,169.07,169.91,168.075,168.76,240172
2021-08-03,169.34,171.5,168.56,171.26,189659
2021-08-04,171.72,172.28,170.985,171.97,144166
2021-08-05,171.27,173.92,171.27,173.88,118137
2021-08-06,174.345,174.345,172.71,172.89,147531
2021-08-09,172.42,173.02,171.635,171.755,85057
2021-08-10,171.83,173.93,171.61,172.23,98109
2021-08-11,171.885,173.18,170.96,171.23,143090
2021-08-12,170.83,171.32,169.48,170.67,135497
2021-08-13,170.375,171.71,168.82,171.69,118507
2021-08-16,170.89,172.38,169.73,172.38,96597
2021-08-17,171.2,171.2,169.46,170.58,151804
2021-08-18,169.72,171.77,168.71,168.73,92629
2021-08-19,166.71,167.48,164.395,165.545,410399
2021-08-20,166.295,167.99,165.45,167.78,106145
2021-08-23,169.4,170.86,169.19,169.72,119080
2021-08-24,169.67,170.85,168.92,169.98,91014
2021-08-25,169.98,170.67,169.55,169.89,94039
2021-08-26,169.38,169.46,166.3,166.93,187785
2021-08-27,167.48,168.06,166.33,167.54,136792
2021-08-30,167.86,168.37,166.63,168.05,146169
2021-08-31,167.55,167.55,164.22,164.73,151571
2021-09-01,165.02,166.595,164.1,164.455,236333
2021-09-02,165.28,165.43,162.83,163.62,141211
2021-09-03,163.31,164.16,162.255,163.24,198374
2021-09-07,163.69,163.69,161.93,162.68,144540
2021-09-08,161.79,162.075,159.82,160.71,172224
2021-09-09,165.04,166.09,163.26,163.37,193905
2021-09-10,164.345,165.66,163.45,163.6,180217
2021-09-13,161.7,162.9,158.35,159.56,295584
2021-09-14,158.71,159.36,157.09,158.72,154336
2021-09-15,157.59,158.3,155.67,157.86,287446
2021-09-16,157.8,158.99,157.28,157.54,188278
2021-09-17,157.96,160.335,156.08,156.45,201616
2021-09-20,153.78,155.23,152.345,154.29,233005
2021-09-21,155.01,156.09,153.63,155.05,235941
2021-09-22,156.72,157.97,155.69,157.43,262576
2021-09-23,158.745,160.25,158.28,159.655,462774
2021-09-24,150.795,151.8,148.0,149.57,1185718
2021-09-27,149.59,149.71,147.3,148.05,409229
2021-09-28,147.3,147.5,145.01,145.31,398424
2021-09-29,145.8,147.9,145.75,146.01,283130
2021-09-30,145.93,147.4,144.46,145.31,441859
2021-10-01,145.03,148.0,144.5,146.925,218821
2021-10-04,147.0,147.6,145.76,147.19,426191
2021-10-05,148.26,150.98,147.89,149.52,420826
2021-10-06,148.025,149.42,147.51,148.82,282069
2021-10-07,150.46,153.555,150.39,151.84,226960
2021-10-08,152.37,152.86,150.71,152.49,240060
2021-10-11,152.36,153.34,150.06,150.29,188624
2021-10-12,152.395,153.48,151.32,153.37,284853
2021-10-13,154.34,156.67,153.17,156.29,336765
2021-10-14,158.305,158.46,156.38,157.15,196442
2021-10-15,157.93,158.2,156.57,158.02,184470
2021-10-18,157.3,159.44,156.01,159.44,195890
2021-10-19,159.59,159.59,156.805,157.82,309417
2021-10-20,158.18,158.71,157.35,158.5,152310
2021-10-21,158.49,162.3,158.32,162.3,230135
2021-10-22,162.29,164.51,162.29,163.46,202636
2021-10-26,164.885,165.42,163.16,163.78,147098
2021-10-27,163.74,164.0,161.69,162.35,128561
2021-10-28,163.0,164.59,162.92,164.48,146354
2021-10-29,163.275,167.62,163.12,167.25,167171
2021-11-01,167.835,168.69,165.9,166.35,181976
2021-11-02,166.67,168.15,166.43,167.85,198655
2021-11-03,169.02,172.84,168.775,172.46,342027
2021-11-04,172.12,175.59,172.12,175.59,155887
2021-11-05,175.495,179.09,175.495,177.58,159580
2021-11-08,176.35,176.535,170.375,171.88,419073
2021-11-09,171.2,173.925,170.96,173.76,164190
2021-11-10,171.11,172.14,167.55,168.31,287608
2021-11-11,169.5,169.5,166.64,166.94,200168
2021-11-12,167.49,169.66,167.49,169.1,148699
2021-11-15,169.73,170.34,168.54,168.85,105735
2021-11-16,169.38,173.93,169.38,171.82,213737
2021-11-17,171.695,172.67,170.33,171.78,296465
2021-11-18,172.08,173.2,170.365,171.36,175846
2021-11-19,171.78,177.185,170.78,174.88,262458
2021-11-22,175.0,177.74,174.27,174.27,243803
2021-11-23,173.07,173.345,170.54,172.12,238430
2021-11-24,168.44,172.42,167.81,172.04,186799
2021-11-26,168.27,169.59,167.58,167.975,249579
2021-11-29,170.18,171.11,169.26,169.84,174753
2021-11-30,168.69,171.48,167.54,169.25,219356
2021-12-01,170.89,173.32,166.71,166.805,213674
2021-12-02,167.435,170.54,167.0,169.995,156630
2021-12-03,170.59,172.02,166.825,170.24,260026
2021-12-06,171.0,171.155,168.16,168.94,226431
2021-12-07,171.0,173.29,170.41,171.295,232205
2021-12-08,171.16,171.735,169.85,170.23,328372
2021-12-09,169.63,171.115,168.0,168.06,203258
2021-12-10,168.76,170.17,167.34,169.13,196821
2021-12-13,168.93,169.31,165.265,166.92,154916
2021-12-14,166.4,167.01,164.28,165.38,122661
2021-12-15,165.16,165.66,161.86,163.92,338884
2021-12-16,163.1,165.87,162.535,162.65,209676
2021-12-17,161.62,162.84,160.69,161.33,145474
2021-12-20,159.33,159.46,155.5,156.94,243486
2021-12-21,166.99,170.97,164.72,166.57,469741
2021-12-22,167.33,168.89,164.09,165.4,200143
2021-12-23,166.27,167.13,165.57,165.71,139446
2021-12-27,166.7,167.675,165.55,167.57,155367
2021-12-28,167.69,168.22,166.31,166.37,71940
2021-12-29,166.71,169.735,166.71,168.74,166159
2021-12-30,168.85,170.09,167.2,167.47,105108
2021-12-31,167.425,167.58,166.31,166.68,83481
2022-01-03,167.82,167.91,163.33,164.65,131490
2022-01-04,165.755,167.16,165.0,166.37,198844
2022-01-05,166.95,166.95,162.14,162.17,171629
2022-01-06,161.97,163.13,159.06,161.09,168146
2022-01-07,161.09,161.09,156.89,156.925,178770
2022-01-10,150.8,151.295,148.79,150.45,454236
2022-01-11,150.73,150.8,147.68,150.24,387423
2022-01-12,152.2,153.435,150.76,152.125,262703
2022-01-13,153.155,153.52,149.045,149.5,219072
2022-01-14,148.53,148.83,146.96,148.16,220371
2022-01-18,147.94,148.8,146.34,146.99,219656
2022-01-19,147.88,149.065,145.04,145.1,218196
2022-01-20,145.4,147.34,142.51,142.73,168991
2022-01-21,144.26,146.24,142.87,142.9,245537
2022-01-24,140.835,142.13,139.58,141.82,92048
2022-01-25,145.09,147.91,142.53,145.44,365388
2022-01-26,147.9,148.94,142.87,144.07,249678
2022-01-27,145.305,147.32,143.61,144.67,210454
2022-01-28,144.44,145.96,140.69,145.96,241055
2022-01-31,146.3,148.18,145.255,148.03,359683
2022-02-01,149.32,149.49,146.82,148.11,288317
2022-02-02,148.69,149.37,147.55,148.72,336212
2022-02-03,147.33,148.435,145.0,145.125,209337
2022-02-04,145.44,146.42,143.66,145.5,139690
2022-02-07,145.34,146.05,144.245,145.14,121971
2022-02-08,144.76,144.99,142.3,143.595,163428
2022-02-09,145.95,147.33,145.67,146.19,130853
2022-02-10,143.96,147.53,143.9,144.81,186405
2022-02-11,144.69,144.97,139.59,140.21,251984
2022-02-14,140.18,143.205,139.8,141.59,250558
2022-02-15,144.25,146.25,144.16,145.54,162603
2022-02-16,145.11,146.93,144.68,146.44,166635
2022-02-17,145.73,146.77,142.65,142.79,183391
2022-02-18,143.58,143.83,141.82,142.91,259709
2022-02-22,141.45,141.49,136.21,138.21,284252
2022-02-23,139.58,140.88,136.52,136.795,266668
2022-02-24,131.74,137.42,131.72,137.16,421041
2022-02-25,137.84,139.19,136.19,138.74,281550
2022-02-28,137.02,138.32,135.05,136.49,236512
2022-03-01,136.515,136.67,131.21,132.22,343674
2022-03-02,132.925,136.59,132.85,135.73,260279
2022-03-03,136.8,136.8,133.465,133.99,192333
2022-03-04,132.53,133.58,130.73,131.19,286536
2022-03-07,130.92,131.0,124.19,124.45,506582
2022-03-09,127.625,129.62,126.65,126.875,430309
2022-03-10,124.76,126.59,124.04,126.01,333723
2022-03-11,127.16,127.82,122.515,122.64,204842
2022-03-14,121.03,122.42,116.82,117.53,542883
2022-03-15,119.84,120.37,117.78,119.53,347596
2022-03-16,122.905,126.065,121.99,125.17,392565
2022-03-17,124.95,127.39,123.7,127.38,218338
2022-03-18,127.1,131.45,126.74,131.22,368722
2022-03-21,129.66,132.26,128.65,130.015,482765
2022-03-22,137.11,138.97,132.99,133.11,756890
2022-03-23,132.4,135.4,131.21,133.0,363096
2022-03-24,133.78,134.13,131.22,132.11,228176
2022-03-25,133.05,133.775,131.76,133.7,239125
2022-03-28,134.28,134.86,132.225,134.79,379010
2022-03-29,137.74,139.73,137.0,139.015,399944
2022-03-30,138.8,139.775,137.58,138.52,262985
2022-03-31,137.93,138.53,134.525,134.54,251454
2022-04-01,134.71,135.19,132.75,133.53,292475
2022-04-04,133.195,135.16,132.97,134.36,179805
2022-04-05,134.03,134.65,132.02,132.29,191937
2022-04-06,130.29,130.29,126.355,128.36,309484
2022-04-07,127.435,129.95,127.1,129.35,194482
2022-04-08,129.52,129.89,127.91,128.175,213871
2022-04-11,125.08,126.835,124.32,125.02,236242
2022-04-12,125.24,128.08,124.35,125.04,293328
2022-04-13,125.11,127.85,125.11,127.47,204737
2022-04-14,129.29,134.34,129.1,133.49,560220
2022-04-18,132.19,133.37,130.32,131.56,195302
2022-04-19,133.155,137.48,133.15,137.07,238898
2022-04-20,138.34,138.64,135.675,135.87,230353
2022-04-21,138.53,139.07,135.09,135.58,267112
2022-04-22,134.385,134.89,128.75,129.08,281867
2022-04-25,127.76,128.77,124.89,127.94,265436
2022-04-26,127.05,127.54,120.49,120.49,302835
2022-04-27,121.65,123.97,121.11,121.23,316497
2022-04-28,122.94,127.93,122.64,127.06,425811
2022-04-29,125.94,128.425,124.28,124.71,277072
2022-05-02,124.76,126.17,122.82,126.16,275897
2022-05-03,125.385,125.395,120.22,122.91,387369
2022-05-04,122.39,126.155,120.12,126.0,297402
2022-05-05,124.61,124.68,116.53,118.64,478477
2022-05-06,114.18,115.84,110.705,114.5,599400
2022-05-09,112.91,114.37,110.6,111.235,406676
2022-05-10,113.06,113.26,108.39,109.53,310478
2022-05-11,110.72,110.98,107.63,107.92,382797
2022-05-12,105.6,109.81,105.04,107.97,740260
2022-05-13,110.375,113.095,108.735,113.09,258935
2022-05-16,112.9,113.41,111.595,112.71,316289
2022-05-17,115.64,117.06,113.07,115.9,292811
2022-05-18,112.745,113.35,108.8,109.45,410433
2022-05-19,108.96,109.06,106.3,106.42,353787
2022-05-20,108.605,109.68,105.1,108.0,283769
2022-05-23,107.52,108.73,105.91,108.61,246608
2022-05-24,107.06,107.87,104.75,107.3,423141
2022-05-25,103.64,108.8,103.47,108.19,263761
2022-05-26,110.33,113.44,110.25,112.97,262502
2022-05-27,114.85,116.01,114.02,116.01,230217
2022-05-31,117.54,119.78,114.48,118.955,520721
2022-06-01,119.82,120.68,117.7,118.69,243928
2022-06-02,119.565,123.58,119.52,123.36,269569
2022-06-03,120.69,122.51,120.69,120.94,214419
2022-06-06,121.39,122.13,119.49,120.31,101256
2022-06-07,118.725,121.96,118.46,121.64,172471
2022-06-08,120.615,123.77,120.615,122.36,156440
2022-06-09,121.64,121.72,118.59,118.59,151231
2022-06-10,116.51,116.87,114.3,114.73,213135
2022-06-13,110.5,111.92,109.235,110.47,270797
2022-06-14,110.825,111.84,110.01,110.77,179552
2022-06-15,111.93,114.69,111.21,113.39,256306
2022-06-16,109.36,109.85,105.74,107.31,390795
2022-06-17,106.455,108.55,105.86,107.39,351888
2022-06-21,108.61,109.815,108.17,108.68,243718
2022-06-22,105.455,106.89,104.65,104.86,490412
2022-06-23,105.34,108.09,104.45,108.0,435045
2022-06-24,109.935,112.94,109.67,112.905,473917
2022-06-27,112.36,113.2,109.88,110.49,517777
2022-06-28,107.8,113.95,102.76,102.81,1132856
2022-06-29,103.02,105.565,101.66,103.27,531332
2022-06-30,101.935,103.36,100.82,102.27,348228
2022-07-01,101.705,102.485,99.56,101.19,347783
2022-07-05,100.45,104.38,100.22,104.35,439227
2022-07-06,104.95,105.69,103.48,104.23,279574
2022-07-07,105.56,108.26,105.31,108.13,349487
2022-07-08,106.99,108.61,106.535,107.92,516380
2022-07-11,106.685,106.99,104.88,105.13,159323
2022-07-12,105.275,105.82,103.17,103.83,340342
2022-07-13,101.83,105.87,101.56,105.1,205598
2022-07-14,103.71,103.77,101.87,103.22,287977
2022-07-15,104.74,105.6,103.95,104.64,288526
2022-07-18,106.1,106.645,103.7,103.92,331212
2022-07-19,105.64,109.56,105.515,109.14,307412
2022-07-20,109.27,111.63,108.88,111.095,239475
2022-07-21,110.64,111.655,110.105,111.63,177403
2022-07-22,111.88,111.88,108.76,109.12,238313
2022-07-25,109.5,109.5,107.765,109.28,227555
2022-07-26,107.37,107.71,104.58,105.19,318197
2022-07-27,106.68,108.38,105.76,107.86,274874
2022-07-28,109.55,112.37,108.04,112.18,385494
2022-07-29,112.95,115.2,111.51,114.95,359114
2022-08-01,114.065,115.545,113.34,114.26,170270
2022-08-02,113.53,113.53,111.7,111.77,320146
2022-08-03,113.45,115.1,112.58,114.25,241278
2022-08-04,114.6,115.31,113.87,114.46,125600
2022-08-05,112.72,114.3,112.62,113.85,157498
2022-08-08,114.2,115.565,113.35,114.01,261010
2022-08-09,111.29,111.6,108.85,110.11,446791
2022-08-10,112.97,113.82,111.915,113.1,334424
2022-08-11,114.98,116.72,113.78,114.09,346501
2022-08-12,114.51,116.125,113.78,116.07,182676
2022-08-15,115.54,116.58,114.87,116.31,161491
2022-08-16,116.105,118.46,115.98,118.08,302704
2022-08-17,116.79,117.92,116.42,117.04,218850
2022-08-18,116.15,116.64,115.35,116.01,149117
2022-08-19,115.495,115.59,113.05,113.16,179227
2022-08-22,110.95,111.64,109.865,110.37,179464
2022-08-23,110.895,112.83,110.57,110.69,222372
2022-08-24,110.755,112.38,110.07,111.38,292163
2022-08-25,111.49,113.255,111.455,113.22,210695
2022-08-26,113.62,113.7,108.24,108.3,234633
2022-08-29,106.67,108.54,106.46,107.89,227077
2022-08-30,108.97,110.0,107.13,107.87,183400
2022-08-31,108.0,108.0,105.83,106.46,285509
2022-09-01,105.69,106.55,103.86,106.5,207845
2022-09-02,107.44,108.15,105.07,105.745,182463
2022-09-06,105.46,106.37,103.69,105.25,410907
2022-09-07,105.105,108.52,105.105,108.49,220328
2022-09-08,106.87,108.79,106.22,108.73,165693
