date,open,high,low,close,volume
2021-07-21,258.765,261.525,258.365,260.86,80569
2021-07-22,265.89,266.165,263.15,263.92,65854
2021-07-23,264.69,266.41,263.96,265.26,53193
2021-07-26,266.44,266.44,263.43,265.15,58848
2021-07-27,263.825,266.77,262.05,263.13,56208
2021-07-28,262.92,262.92,253.87,256.9,147937
2021-07-29,259.405,260.17,255.91,256.04,69025
2021-07-30,255.43,257.815,255.23,257.74,60877
2021-08-02,258.55,260.45,255.45,256.22,40801
2021-08-03,257.01,260.34,256.18,258.6,34067
2021-08-04,257.02,257.91,252.735,253.64,48671
2021-08-05,255.68,256.3,252.755,254.385,68413
2021-08-06,254.335,257.235,254.335,256.01,53720
2021-08-09,255.65,256.52,254.87,255.5,33295
2021-08-10,256.33,260.32,256.32,259.1,45023
2021-08-11,259.49,266.21,259.49,265.79,54567
2021-08-12,265.53,269.135,265.53,269.06,49424
2021-08-13,269.02,269.31,267.17,268.98,45861
2021-08-16,268.88,270.2,267.06,269.78,51550
2021-08-17,268.435,268.435,263.92,266.7,34187
2021-08-18,265.96,269.71,265.35,265.775,44618
2021-08-19,263.25,266.66,260.535,262.22,83257
2021-08-20,262.15,263.7,261.52,262.27,35582
2021-08-23,263.935,266.5,262.58,263.58,39379
2021-08-24,264.24,264.24,259.0,259.23,99109
2021-08-25,259.59,262.0,258.9,261.37,86442
2021-08-26,262.435,263.185,257.47,259.62,59372
2021-08-27,260.09,261.94,260.03,260.66,34030
2021-08-30,260.42,260.42,257.68,258.16,58700
2021-08-31,258.945,258.945,252.1,253.48,140510
2021-09-01,253.09,254.93,250.89,252.145,56377
2021-09-02,252.875,254.64,252.5,253.72,42154
2021-09-03,252.64,253.55,249.48,250.305,88502
2021-09-07,249.905,251.21,247.46,248.17,110925
2021-09-08,247.84,250.59,247.01,249.59,48249
2021-09-09,248.75,249.76,246.75,247.52,65487
2021-09-10,248.855,249.59,247.0,247.04,73409
2021-09-13,249.32,249.57,243.695,245.52,129510
2021-09-14,245.81,245.81,241.99,244.75,167327
2021-09-15,245.45,249.2,245.45,248.53,132559
2021-09-16,249.3,250.505,247.695,247.93,83817
2021-09-17,246.42,248.74,245.25,246.03,49872
2021-09-20,242.875,243.35,239.72,241.57,47609
2021-09-21,243.39,243.41,238.64,239.31,67680
2021-09-22,241.89,242.83,239.16,239.465,42981
2021-09-23,240.96,243.345,240.72,242.17,93090
2021-09-24,243.0,246.64,242.95,245.13,51070
2021-09-27,246.295,248.965,245.65,245.65,68329
2021-09-28,245.42,246.35,243.43,245.27,116647
2021-09-29,245.79,246.68,243.89,244.27,90235
2021-09-30,245.36,245.365,239.19,239.27,57263
2021-10-01,241.885,244.78,239.78,243.42,64378
2021-10-04,246.26,248.95,245.94,247.79,138060
2021-10-05,248.295,257.085,247.935,255.16,104847
2021-10-06,253.49,263.29,252.82,262.65,133824
2021-10-07,265.17,265.17,259.33,259.73,66718
2021-10-08,260.43,265.235,260.405,264.89,70565
2021-10-11,264.66,267.94,264.09,264.47,104760
2021-10-12,263.62,263.99,260.755,261.115,53223
2021-10-13,262.0,263.58,258.91,262.28,47928
2021-10-14,264.71,270.12,263.47,269.97,63075
2021-10-15,271.66,277.15,271.66,275.47,59436
2021-10-18,274.2,276.47,273.285,275.805,49433
2021-10-19,277.245,277.245,274.33,274.95,102407
2021-10-20,275.65,279.89,274.23,279.27,37118
2021-10-21,282.16,286.38,282.07,282.77,124777
2021-10-22,282.855,288.795,282.855,286.49,91483
2021-10-26,288.71,290.01,286.53,286.6,90584
2021-10-27,290.75,293.565,287.13,287.13,89548
2021-10-28,291.015,293.52,290.175,293.12,102158
2021-10-29,291.64,295.81,291.36,293.1,43182
2021-11-01,294.31,294.31,286.11,288.73,79778
2021-11-02,288.72,288.72,285.33,285.815,89161
2021-11-03,286.815,287.93,283.03,287.57,35071
2021-11-04,286.885,287.46,283.66,284.62,39178
2021-11-05,286.29,288.57,283.82,283.82,56141
2021-11-08,284.79,284.95,282.9,284.63,30356
2021-11-09,284.32,285.395,282.14,284.57,41393
2021-11-10,285.74,285.74,281.18,281.77,44706
2021-11-11,279.865,279.915,274.51,275.88,98070
2021-11-12,275.935,277.94,274.67,275.57,107870
2021-11-15,277.71,277.835,274.76,275.39,49628
2021-11-16,275.09,278.02,273.91,274.0,48436
2021-11-17,274.065,276.77,272.61,274.55,57591
2021-11-18,275.675,277.7,273.89,275.735,53680
2021-11-19,273.29,275.095,272.71,273.75,85004
2021-11-22,274.755,279.615,274.09,277.1,40236
2021-11-23,275.915,279.76,275.915,279.67,41930
2021-11-24,278.385,279.18,277.04,277.68,29236
2021-11-26,270.725,271.79,266.85,269.78,48477
2021-11-29,271.88,272.695,268.59,268.69,52848
2021-11-30,266.53,269.2,264.6,265.29,75149
2021-12-01,268.495,277.76,268.22,269.37,103501
2021-12-02,271.06,281.96,270.405,278.8,114257
2021-12-03,280.425,286.44,278.27,281.27,68277
2021-12-06,283.95,289.8,283.46,287.18,86573
2021-12-07,288.995,291.4,286.9,287.395,76749
2021-12-08,287.47,287.84,284.8,286.56,35240
2021-12-09,284.83,289.175,284.32,286.97,31946
2021-12-10,288.18,290.025,287.505,289.68,32883
2021-12-13,288.645,290.84,283.95,284.38,104984
2021-12-14,283.91,286.53,282.22,283.58,54985
2021-12-15,285.61,287.78,283.07,287.71,36432
2021-12-16,288.28,291.675,288.28,290.33,49336
2021-12-17,289.125,289.205,284.355,284.74,51534
2021-12-20,280.875,281.95,277.61,281.53,54108
2021-12-21,283.305,286.105,283.305,284.95,37542
2021-12-22,284.17,286.6,284.17,285.3,30255
2021-12-23,284.99,289.08,284.99,287.52,73364
2021-12-27,288.275,291.95,287.9,291.46,47904
2021-12-28,292.07,294.6,291.83,293.3,29626
2021-12-29,294.9,296.625,294.7,295.84,26887
2021-12-30,296.02,296.415,294.27,294.75,26442
2021-12-31,294.56,299.015,294.32,297.68,25297
2022-01-03,296.51,296.57,289.37,292.21,36194
2022-01-04,291.72,297.26,291.07,294.65,46715
2022-01-05,295.48,298.555,294.52,294.71,59457
2022-01-06,297.26,298.11,293.98,296.73,24112
2022-01-07,295.525,298.71,293.22,296.78,62705
2022-01-10,296.56,296.56,287.06,287.98,65964
2022-01-11,288.585,288.87,281.15,286.38,65764
2022-01-12,288.52,289.68,287.58,288.08,41059
2022-01-13,289.5,291.455,288.855,290.0,69772
2022-01-14,287.23,290.1,286.44,288.38,63003
2022-01-18,286.2,287.295,273.855,275.78,97481
2022-01-19,278.185,280.14,275.3,278.18,73746
2022-01-20,278.04,285.17,278.04,279.295,56470
2022-01-21,276.045,280.87,272.15,276.57,66142
2022-01-24,270.97,274.22,269.76,272.815,13000
2022-01-25,273.47,276.64,267.23,274.84,80469
2022-01-26,277.02,279.97,266.295,269.01,141741
2022-01-27,272.27,274.3,267.57,269.52,64232
2022-01-28,270.27,271.94,264.14,271.94,51288
2022-01-31,270.21,272.58,269.0,272.05,61783
2022-02-01,273.12,276.59,271.65,274.36,60998
2022-02-02,276.11,280.27,274.38,280.05,57657
2022-02-03,277.53,280.51,275.63,275.82,48603
2022-02-04,274.31,275.77,269.74,270.42,50586
2022-02-07,271.01,271.01,262.75,264.04,76595
2022-02-08,265.33,270.16,264.84,270.03,114183
2022-02-09,272.74,274.91,271.93,273.97,73716
2022-02-10,270.43,276.77,270.43,272.995,118419
2022-02-11,271.69,274.01,265.63,267.15,45857
2022-02-14,268.46,273.14,266.88,272.185,63865
2022-02-15,275.63,277.79,273.46,275.1,64946
2022-02-16,273.725,277.51,272.06,276.6,70443
2022-02-17,274.175,275.89,272.67,273.225,58725
2022-02-18,273.8,276.19,270.03,270.03,97127
2022-02-22,271.445,271.445,257.94,258.36,183933
2022-02-23,259.68,259.68,250.56,253.63,179872
2022-02-24,250.78,254.47,247.92,254.23,123304
2022-02-25,256.22,262.33,256.22,260.365,69872
2022-02-28,256.01,258.64,253.81,256.5,124908
2022-03-01,257.01,259.33,253.83,255.19,121425
2022-03-02,257.23,271.05,256.78,269.18,203494
2022-03-03,271.85,277.14,271.52,272.04,111647
2022-03-04,270.38,284.72,270.38,284.625,168201
2022-03-07,283.4,290.78,278.0,278.0,176096
2022-03-09,270.89,270.95,261.91,263.71,86003
2022-03-10,261.705,270.96,260.375,269.9,122553
2022-03-11,270.005,273.78,267.18,267.18,51952
2022-03-14,269.99,269.99,264.16,266.3,52308
2022-03-15,269.06,269.45,263.36,267.97,48042
2022-03-16,270.6,273.93,268.64,273.26,99902
2022-03-17,271.41,274.35,269.545,274.35,67051
2022-03-18,269.915,275.12,269.8,274.49,129071
2022-03-21,276.34,280.72,276.195,278.19,55066
2022-03-22,278.43,279.36,274.73,279.04,52721
2022-03-23,278.74,280.81,276.38,277.26,69081
2022-03-24,279.005,282.09,278.47,279.59,46266
2022-03-25,280.41,283.47,279.05,283.395,84116
2022-03-28,282.44,284.81,282.02,284.61,49807
2022-03-29,286.04,286.04,279.3,285.68,51652
2022-03-30,288.46,289.55,285.48,289.205,92560
2022-03-31,289.08,290.55,285.28,285.28,82324
2022-04-01,285.47,285.47,264.63,265.87,185058
2022-04-04,265.28,267.04,262.045,267.04,122107
2022-04-05,266.655,272.66,261.895,262.37,133710
2022-04-06,260.0,261.15,254.29,256.9,184932
2022-04-07,256.375,260.19,252.64,258.66,96862
2022-04-08,256.39,260.75,254.35,258.1,80074
2022-04-11,259.26,259.78,254.65,255.91,82443
2022-04-12,256.57,261.18,256.17,258.79,99441
2022-04-13,259.32,261.96,258.92,261.22,69975
2022-04-14,262.97,264.71,261.275,263.03,91871
2022-04-18,263.565,264.785,261.1,262.505,138457
2022-04-19,264.46,265.43,263.28,264.88,71944
2022-04-20,266.14,270.19,266.14,267.94,86711
2022-04-21,272.96,276.315,268.795,269.835,124505
2022-04-22,267.12,267.18,258.59,258.71,99342
2022-04-25,257.52,260.08,253.185,259.63,76376
2022-04-26,259.96,259.96,255.55,255.89,93680
2022-04-27,255.95,263.885,254.25,262.375,221555
2022-04-28,263.795,268.9,262.27,265.85,152099
2022-04-29,265.44,265.88,257.09,257.77,76797
2022-05-02,258.6,260.18,251.96,256.67,110470
2022-05-03,256.04,259.04,254.73,256.145,117507
2022-05-04,258.47,265.32,258.07,264.75,148828
2022-05-05,261.17,261.675,254.86,257.05,69626
2022-05-06,255.58,256.48,250.11,255.77,81417
2022-05-09,252.08,254.39,248.56,249.33,118972
2022-05-10,251.885,252.46,242.31,245.86,101935
2022-05-11,247.06,251.3,245.315,246.52,50994
2022-05-12,247.0,248.385,240.38,245.97,144825
2022-05-13,247.45,252.77,246.94,249.27,62596
2022-05-16,248.45,250.255,246.72,247.11,57704
2022-05-17,249.31,252.785,248.31,251.66,73762
2022-05-18,250.64,250.64,237.25,237.56,104151
2022-05-19,229.06,233.755,225.32,227.96,150514
2022-05-20,228.98,229.525,222.55,228.88,126466
2022-05-23,231.725,233.405,229.84,232.725,63274
2022-05-24,231.21,232.63,227.3,232.23,104810
2022-05-25,231.27,234.46,230.85,232.38,59553
2022-05-26,234.52,239.2,234.52,236.71,65150
2022-05-27,239.475,241.71,237.58,241.09,41979
2022-05-31,240.15,242.1,238.075,239.75,68954
2022-06-01,240.66,244.06,239.91,241.85,106340
2022-06-02,242.945,247.06,240.62,246.71,79460
2022-06-03,245.52,247.48,243.36,244.68,39069
2022-06-06,245.95,245.95,242.79,244.77,58327
2022-06-07,241.49,250.01,239.72,249.41,86983
2022-06-08,246.16,248.11,241.95,242.85,55866
2022-06-09,241.72,243.46,237.185,237.45,64255
2022-06-10,232.92,233.82,228.125,229.36,74605
2022-06-13,224.65,226.91,221.77,223.16,107074
2022-06-14,226.77,228.515,221.45,222.905,72777
2022-06-15,225.735,228.72,221.09,224.49,51262
2022-06-16,220.545,224.57,220.52,222.92,90314
2022-06-17,222.01,223.27,220.22,221.48,70856
2022-06-21,224.65,226.785,223.18,224.195,81478
2022-06-22,221.61,226.14,221.61,224.06,70727
2022-06-23,225.54,225.76,220.08,221.725,100449
2022-06-24,223.73,231.04,223.73,230.27,89829
2022-06-27,230.51,230.51,226.64,227.72,69361
2022-06-28,230.54,233.82,226.01,226.21,67093
2022-06-29,225.15,228.35,223.525,227.15,61657
2022-06-30,224.575,228.14,223.42,227.15,65033
2022-07-01,227.31,230.26,224.685,228.58,50742
2022-07-05,225.7,226.36,221.6,224.0,66094
2022-07-06,225.5,226.99,223.49,225.65,91134
2022-07-07,226.31,229.165,225.18,228.82,56737
2022-07-08,227.92,227.92,222.39,226.18,50364
2022-07-11,224.8,227.46,224.39,225.65,62952
2022-07-12,222.13,223.85,219.69,222.44,112592
2022-07-13,219.49,223.445,217.92,221.38,67173
2022-07-14,218.13,222.0,217.135,221.71,61102
2022-07-15,230.3,230.3,225.505,227.87,103402
2022-07-18,229.47,232.235,228.87,229.06,52302
2022-07-19,232.22,236.51,231.71,236.29,39332
2022-07-20,235.82,238.45,234.66,237.9,95896
2022-07-21,238.49,243.33,238.33,242.03,102352
2022-07-22,242.01,245.1,241.92,243.34,65696
2022-07-25,243.66,247.0,242.4,247.0,75285
2022-07-26,245.84,247.65,244.31,244.55,68983
2022-07-27,242.56,244.53,236.12,242.74,148798
2022-07-28,245.17,245.965,240.98,244.88,73530
2022-07-29,246.64,251.98,245.64,251.27,68016
2022-08-01,249.37,254.36,249.37,252.96,74181
2022-08-02,252.425,252.425,247.96,247.975,64652
2022-08-03,249.8,251.21,249.22,250.37,24199
2022-08-04,251.41,253.1,250.36,250.99,44863
2022-08-05,249.84,251.4,249.085,250.96,38149
2022-08-08,253.38,254.14,249.64,249.775,68909
2022-08-09,250.675,251.31,249.1,249.28,34530
2022-08-10,253.705,258.65,253.66,257.46,63562
2022-08-11,259.55,263.89,259.42,260.3,53570
2022-08-12,261.61,261.94,260.24,261.81,44325
2022-08-15,259.5,260.75,256.74,256.82,80315
2022-08-16,257.185,259.04,255.955,257.66,105978
2022-08-17,255.19,258.07,253.63,257.74,92144
2022-08-18,258.18,259.06,256.79,258.41,50323
2022-08-19,256.975,257.865,255.15,255.655,53124
2022-08-22,252.555,257.31,252.43,256.565,56273
2022-08-23,258.05,258.94,256.65,258.3,52616
2022-08-24,258.015,260.98,257.875,259.6,81853
2022-08-25,261.605,263.37,260.79,262.99,51235
2022-08-26,262.525,264.15,252.92,252.99,44646
2022-08-29,252.35,254.98,250.85,251.96,70061
2022-08-30,251.665,251.665,242.205,244.785,165261
2022-08-31,245.84,245.84,242.86,243.2,82488
2022-09-01,240.94,241.99,239.34,241.12,143051
2022-09-02,243.28,243.28,237.81,239.25,211921
