date,open,high,low,close,volume
2021-07-21,111.92,114.65,111.92,113.53,50495
2021-07-22,111.93,112.51,110.27,110.82,35262
2021-07-23,111.82,111.95,110.475,111.55,27347
2021-07-26,111.805,112.69,111.49,112.5,26028
2021-07-27,111.13,113.45,111.13,112.29,30246
2021-07-28,112.61,112.82,111.16,111.82,27912
2021-07-29,112.81,114.47,111.85,113.56,25262
2021-07-30,113.12,113.46,112.46,112.89,44269
2021-08-02,114.06,115.37,111.93,111.93,23045
2021-08-03,112.04,112.695,110.02,112.63,32757
2021-08-04,111.16,112.02,111.07,111.22,26680
2021-08-05,111.44,112.29,111.44,112.17,38841
2021-08-06,113.83,115.7,113.49,115.37,33311
2021-08-09,114.895,115.73,114.01,115.01,43132
2021-08-10,114.44,116.07,114.44,115.645,50725
2021-08-11,115.79,117.5,115.3,117.25,41848
2021-08-12,117.79,117.79,116.81,117.53,37266
2021-08-13,116.75,117.48,116.17,116.38,22778
2021-08-16,115.09,116.41,114.79,116.33,18112
2021-08-17,115.4,115.89,114.07,115.01,13349
2021-08-18,114.52,116.41,114.45,114.46,21349
2021-08-19,113.89,114.62,112.74,113.64,25624
2021-08-20,113.8,114.69,113.31,114.63,25525
2021-08-23,114.57,116.82,114.57,116.23,16932
2021-08-24,117.12,117.35,116.56,117.055,24082
2021-08-25,117.11,119.87,117.11,119.47,19121
2021-08-26,119.15,119.955,118.8,118.8,15969
2021-08-27,119.73,121.08,119.73,121.06,25212
2021-08-30,121.14,121.59,118.085,118.09,46029
2021-08-31,118.23,118.74,117.82,118.53,31903
2021-09-01,118.18,118.18,116.15,116.92,30410
2021-09-02,117.215,117.9,117.1,117.9,30016
2021-09-03,117.68,117.86,117.03,117.34,19215
2021-09-07,117.14,117.14,115.37,115.46,33648
2021-09-08,115.255,115.61,114.23,114.605,39868
2021-09-09,113.44,115.81,113.44,114.54,21226
2021-09-10,114.47,114.47,111.95,112.57,40600
2021-09-13,113.405,115.115,112.84,113.72,70485
2021-09-14,114.42,114.42,109.23,110.15,87010
2021-09-15,110.35,111.65,110.2,110.69,62671
2021-09-16,111.99,111.99,108.985,109.55,31493
2021-09-17,109.75,109.75,107.6,108.2,45273
2021-09-20,105.43,106.71,104.27,106.06,44154
2021-09-21,106.64,106.64,104.45,104.47,44695
2021-09-22,106.48,107.53,105.995,106.38,43132
2021-09-23,108.45,110.18,108.45,109.33,22239
2021-09-24,109.145,110.595,109.145,109.37,20293
2021-09-27,109.99,113.01,109.99,112.54,34001
2021-09-28,113.025,114.46,110.73,111.04,49160
2021-09-29,110.69,110.94,110.19,110.29,33721
2021-09-30,110.64,110.88,107.77,107.77,32772
2021-10-01,108.23,110.05,106.6,109.21,56078
2021-10-04,109.315,110.765,107.845,108.01,28172
