date,open,high,low,close,volume
2021-07-21,93.1,94.39,92.46,92.95,47590
2021-07-22,93.72,94.89,92.05,93.83,116635
2021-07-23,94.9,95.07,92.59,94.38,71309
2021-07-26,94.935,97.87,94.935,97.755,93427
2021-07-27,95.975,98.99,94.81,98.39,75019
2021-07-28,98.535,100.09,96.4,99.43,91852
2021-07-29,100.78,104.27,100.56,103.45,300481
2021-07-30,102.705,104.9,102.43,103.995,150696
2021-08-02,104.83,105.88,101.76,102.11,82617
2021-08-03,102.47,106.71,101.64,106.63,143633
2021-08-04,105.485,106.625,104.78,104.97,67545
2021-08-05,104.64,105.615,101.38,101.53,97802
2021-08-06,103.62,105.11,102.615,104.25,53121
2021-08-09,103.6,108.54,103.52,107.77,89104
2021-08-10,108.24,118.885,108.24,118.04,291374
2021-08-11,121.93,123.97,118.94,122.71,244165
2021-08-12,121.9,125.95,120.34,125.225,175142
2021-08-13,124.75,128.74,124.38,126.17,126698
2021-08-16,123.84,124.515,119.64,124.25,283358
2021-08-17,123.105,124.29,117.64,119.58,154737
2021-08-18,118.335,123.12,118.335,120.81,119417
2021-08-19,116.29,118.57,116.12,117.41,113159
2021-08-20,118.22,119.18,115.7,116.44,97451
2021-08-23,118.13,121.17,117.47,119.85,82458
2021-08-24,123.64,125.81,122.56,123.24,94474
2021-08-25,122.82,123.79,119.71,119.95,115536
2021-08-26,120.145,121.6,118.05,118.11,160899
2021-08-27,119.13,121.14,119.13,119.92,395544
2021-08-30,120.985,123.35,119.78,121.06,213807
2021-08-31,120.61,120.69,116.37,117.51,121078
2021-09-01,116.35,117.275,113.37,116.21,113674
2021-09-02,116.67,117.13,114.715,115.225,80085
2021-09-03,115.8,116.29,113.91,114.05,64775
2021-09-07,113.89,116.25,113.89,114.77,104714
2021-09-08,114.1,114.17,111.68,112.17,105075
2021-09-09,112.45,113.38,111.4,112.56,79198
2021-09-10,113.62,116.1,112.13,112.23,63913
2021-09-13,112.84,112.84,106.85,109.16,268238
2021-09-14,109.41,109.41,105.86,106.24,136207
2021-09-15,107.645,109.835,107.29,109.65,169143
2021-09-16,108.61,110.48,107.69,109.87,103765
2021-09-17,108.76,109.02,104.06,104.92,202937
2021-09-20,97.57,98.815,94.49,96.85,197703
2021-09-21,97.71,97.75,93.4,96.25,177909
2021-09-22,99.08,100.3,97.0,97.16,125165
2021-09-23,97.765,101.23,97.76,99.415,133842
2021-09-24,99.04,102.77,98.83,100.88,123603
2021-09-27,100.77,104.18,100.77,103.9,121522
2021-09-28,104.0,104.25,100.47,102.96,92016
2021-09-29,103.87,104.4,99.135,99.72,82641
2021-09-30,100.74,101.64,98.45,98.45,93005
2021-10-01,98.73,99.03,93.84,97.59,234667
