date,open,high,low,close,volume
2021-07-21,25.89,27.545,25.89,27.19,426855
2021-07-22,26.97,27.33,26.465,27.02,225291
2021-07-23,27.0,27.02,26.25,26.575,170050
2021-07-26,26.72,27.585,26.71,27.13,283595
2021-07-27,26.7,26.8,25.9,26.265,263268
2021-07-28,26.69,27.21,26.06,26.895,178043
2021-07-29,27.345,27.39,26.7,26.78,169679
2021-07-30,26.51,26.795,25.915,26.09,273803
2021-08-02,26.09,27.045,25.72,25.77,517867
2021-08-03,25.53,26.425,25.24,26.425,359638
2021-08-04,26.0,26.88,25.47,25.685,577090
2021-08-05,25.95,26.815,25.93,26.19,281322
2021-08-06,26.62,27.06,26.25,26.39,320734
2021-08-09,25.58,26.125,25.35,25.61,245949
2021-08-10,25.76,26.42,25.73,26.23,255408
2021-08-11,26.33,26.84,26.025,26.835,359941
2021-08-12,26.86,26.97,26.3,26.87,191243
2021-08-13,26.685,26.84,25.745,25.78,227190
2021-08-16,25.24,25.24,24.43,24.8,312369
2021-08-17,24.4,24.885,23.92,24.065,274863
2021-08-18,24.29,24.575,23.43,23.46,258092
2021-08-19,22.88,23.16,21.835,22.1,358266
2021-08-20,21.74,22.105,21.62,21.955,425401
2021-08-23,22.86,23.545,22.86,23.48,248955
2021-08-24,23.94,24.735,23.785,24.38,239193
2021-08-25,24.33,24.86,23.95,24.65,157779
2021-08-26,24.3,24.715,23.91,24.0,174009
2021-08-27,24.525,25.79,24.505,25.66,219529
2021-08-30,25.75,26.17,25.255,25.255,133973
2021-08-31,25.44,26.08,25.15,25.705,216566
2021-09-01,25.55,25.84,24.865,25.075,229394
2021-09-02,25.56,26.92,25.52,26.57,305535
2021-09-03,26.415,26.87,25.785,25.925,306474
2021-09-07,25.67,26.37,25.545,25.665,149064
2021-09-08,25.945,26.195,24.84,24.92,184706
2021-09-09,24.71,25.615,24.4,25.055,225444
2021-09-10,25.55,25.77,24.94,24.985,433821
2021-09-13,25.41,26.775,25.39,26.65,441044
2021-09-14,27.15,27.44,26.025,26.29,259384
2021-09-15,27.135,28.06,27.135,27.87,519466
2021-09-16,27.61,27.66,27.1,27.32,324637
2021-09-17,27.27,27.59,26.745,26.935,513251
2021-09-20,25.74,25.91,24.97,25.475,362012
2021-09-21,25.82,25.92,25.08,25.44,269535
2021-09-22,26.28,27.25,26.255,26.74,495133
2021-09-23,26.87,28.2,26.63,27.96,357903
2021-09-24,27.65,28.43,27.56,28.095,296761
2021-09-27,29.04,30.345,29.03,30.2,563287
2021-09-28,30.645,30.88,29.58,29.89,523251
2021-09-29,30.19,30.47,29.5,30.055,334155
2021-09-30,29.83,30.13,29.285,29.56,427366
2021-10-01,29.835,31.165,29.79,31.155,382013
2021-10-04,31.68,32.45,31.47,31.79,627341
2021-10-05,32.3,33.475,32.06,32.76,699067
2021-10-06,31.8,32.525,31.29,32.005,464764
2021-10-07,31.94,32.745,31.285,32.49,539900
2021-10-08,33.19,33.98,33.005,33.64,489294
2021-10-11,34.25,34.57,33.23,33.39,573416
2021-10-12,33.22,33.91,32.65,33.015,371708
2021-10-13,32.29,32.825,32.04,32.27,359486
2021-10-14,32.84,33.19,31.77,32.005,416222
2021-10-15,32.66,32.82,31.565,31.66,470586
2021-10-18,32.93,33.93,32.605,32.935,668991
