date,open,high,low,close,volume
2021-07-21,110.53,111.43,109.77,111.39,54164
2021-07-22,111.5,111.575,110.09,110.86,35797
2021-07-23,110.855,112.495,110.855,112.25,45557
2021-07-26,112.29,112.7,111.7,112.69,39029
2021-07-27,112.505,113.87,112.16,113.22,61217
2021-07-28,112.85,113.14,112.24,112.845,25994
2021-07-29,113.6,114.12,113.195,113.65,32078
2021-07-30,113.28,114.005,113.2,113.8,28816
2021-08-02,114.21,114.88,113.17,113.25,55818
2021-08-03,113.0,114.93,112.38,114.76,40874
2021-08-04,114.86,114.86,113.645,114.33,21438
2021-08-05,114.55,115.45,114.2,115.3,29585
2021-08-06,115.16,115.66,114.69,115.4,39834
2021-08-09,115.61,115.61,114.46,115.17,28259
2021-08-10,115.315,115.89,115.0,115.87,26307
2021-08-11,115.945,116.955,115.88,116.74,18445
2021-08-12,116.63,116.87,116.26,116.51,30673
2021-08-13,116.62,117.33,116.62,117.16,19031
2021-08-16,116.885,118.22,116.48,118.21,26771
2021-08-17,117.69,117.845,116.53,117.04,50603
2021-08-18,116.74,117.26,114.57,114.6,30131
2021-08-19,114.1,115.54,114.1,115.29,41340
2021-08-20,115.2,115.58,114.76,115.4,31104
2021-08-23,115.65,116.1,115.14,115.43,47183
2021-08-24,115.37,115.545,114.19,114.3,39332
2021-08-25,114.05,114.94,114.05,114.24,21159
2021-08-26,114.3,114.62,113.05,113.4,50260
2021-08-27,113.62,114.67,113.535,114.35,39448
2021-08-30,114.49,115.06,114.49,114.5,25882
2021-08-31,114.575,114.59,113.81,114.51,43930
2021-09-01,114.58,114.58,112.605,113.61,92835
2021-09-02,113.83,114.08,113.33,113.72,37023
2021-09-03,113.11,113.93,113.11,113.61,26456
2021-09-07,113.08,113.08,111.13,111.3,41579
2021-09-08,111.38,112.13,111.145,112.07,77564
2021-09-09,112.53,112.79,111.27,111.27,43468
2021-09-10,111.19,111.69,110.215,110.31,32173
2021-09-13,111.04,111.59,108.89,109.47,45566
2021-09-14,110.0,110.62,109.52,109.62,50346
2021-09-15,109.825,110.38,109.43,109.71,39395
2021-09-16,109.65,109.84,109.16,109.37,37095
2021-09-17,109.38,109.42,107.93,108.76,88088
2021-09-20,107.735,108.46,107.36,108.34,49509
2021-09-21,108.62,108.75,107.78,108.51,50343
2021-09-22,108.81,109.7,108.06,109.365,46833
2021-09-23,109.87,110.68,109.87,110.32,38768
2021-09-24,109.88,110.345,109.38,110.05,21451
2021-09-27,109.39,109.83,108.69,108.77,45897
2021-09-28,107.83,108.095,106.56,106.76,48543
2021-09-29,107.335,108.675,107.17,107.92,62549
2021-09-30,112.64,114.585,111.12,112.45,186179
2021-10-01,112.82,115.54,111.4,115.16,51796
2021-10-04,115.05,116.22,114.3,115.04,87666
2021-10-05,113.715,117.24,113.37,116.88,68178
2021-10-06,116.47,118.16,116.26,118.16,50990
2021-10-07,118.25,118.99,117.91,118.63,54146
2021-10-08,118.72,119.11,118.1,118.67,26328
2021-10-11,118.095,118.54,117.32,117.32,42090
2021-10-12,117.49,118.41,117.11,117.31,19707
2021-10-13,117.66,117.68,116.12,117.42,30710
2021-10-14,118.46,119.03,118.27,118.76,36870
2021-10-15,118.82,119.4,118.585,119.15,40470
2021-10-18,118.62,120.16,118.25,120.1,41328
2021-10-19,120.15,121.83,120.15,121.82,39524
2021-10-20,121.6,122.12,121.52,121.91,20755
2021-10-21,121.45,122.44,121.45,122.39,23885
2021-10-22,122.55,124.2,122.55,123.77,24113
2021-10-25,123.48,123.9,123.01,123.19,15876
2021-10-26,123.03,123.96,122.93,123.54,24499
2021-10-27,122.61,123.92,122.03,122.53,35551
2021-10-28,123.235,123.46,122.18,123.36,42413
2021-10-29,122.84,123.805,122.84,123.24,32327
2021-11-01,123.055,123.055,120.98,121.59,25646
2021-11-02,122.25,123.4,121.98,123.4,61766
2021-11-03,123.15,123.58,121.735,123.45,20337
2021-11-04,123.58,124.18,122.875,123.78,36440
2021-11-05,124.96,125.56,124.305,124.59,27768
2021-11-08,124.47,124.47,122.455,123.19,43718
2021-11-09,123.3,123.3,121.75,122.95,53211
