date,open,high,low,close,volume
2021-07-21,9.54,9.73,9.445,9.495,412738
2021-07-22,9.515,9.59,9.245,9.32,383294
2021-07-23,9.39,9.42,9.11,9.215,278429
2021-07-26,9.2,9.2,8.49,8.75,1060005
2021-07-27,8.735,9.015,8.61,8.98,468843
2021-07-28,9.07,9.27,8.985,9.155,940080
2021-07-29,9.18,9.31,8.96,9.085,957755
2021-07-30,9.0,9.24,8.745,8.785,457043
2021-08-02,8.885,9.14,8.885,8.95,256201
2021-08-03,9.02,9.02,8.78,8.99,400247
2021-08-04,8.89,8.89,8.49,8.67,485126
2021-08-05,8.535,8.64,8.295,8.3,420176
2021-08-06,8.37,8.56,8.245,8.545,374981
2021-08-09,8.49,8.645,8.3,8.635,934723
2021-08-10,8.665,9.27,8.625,9.205,803524
2021-08-11,9.08,9.43,9.01,9.43,889404
2021-08-12,9.45,9.605,9.015,9.245,456343
2021-08-13,9.265,9.3,9.065,9.12,171686
2021-08-16,9.2,9.285,9.07,9.175,298259
2021-08-17,9.025,9.15,8.98,9.125,277972
2021-08-18,9.155,9.32,8.985,9.125,232159
2021-08-19,9.0,9.06,8.75,8.935,616930
2021-08-20,8.89,9.345,8.87,9.28,842992
2021-08-23,9.275,9.32,9.085,9.12,434601
2021-08-24,9.21,9.36,9.14,9.255,197095
2021-08-25,9.215,9.27,9.13,9.27,143198
2021-08-26,9.18,9.27,9.075,9.115,293727
2021-08-27,9.14,9.275,9.01,9.135,486083
2021-08-30,9.18,9.18,9.005,9.025,394365
2021-08-31,9.025,9.235,8.97,9.17,397167
2021-09-01,9.17,9.3,9.115,9.215,398207
2021-09-02,9.23,9.32,9.12,9.28,981118
2021-09-03,9.25,9.305,9.085,9.16,314438
2021-09-07,9.27,9.515,9.245,9.41,526275
2021-09-08,9.36,9.485,9.315,9.32,362231
2021-09-09,9.26,9.425,9.25,9.355,375203
2021-09-10,9.38,9.42,9.24,9.305,374057
2021-09-13,9.4,9.93,9.38,9.82,735676
2021-09-14,9.815,9.875,9.6,9.8,587741
2021-09-15,9.84,9.98,9.73,9.87,412405
2021-09-16,9.74,9.82,9.51,9.67,277587
2021-09-17,9.61,9.845,9.575,9.835,468259
