date,open,high,low,close,volume
2021-07-21,60.845,60.88,60.0,60.06,27544
2021-07-22,60.05,60.39,59.96,60.21,42576
2021-07-23,60.505,61.29,60.505,61.23,44450
2021-07-26,61.32,61.66,60.935,61.54,81184
2021-07-27,61.35,63.07,61.18,62.87,87662
2021-07-28,62.63,62.91,61.98,62.505,37909
2021-07-29,62.86,63.27,62.63,63.08,49518
2021-07-30,63.2,63.53,62.0,62.21,99387
2021-08-02,62.495,63.105,62.41,63.0,52492
2021-08-03,62.87,64.39,62.85,63.48,98732
2021-08-04,62.93,63.36,62.57,63.3,69305
2021-08-05,63.28,63.93,63.04,63.92,70409
2021-08-06,63.905,64.35,63.735,63.865,82264
2021-08-09,64.0,64.085,63.52,63.85,48332
2021-08-10,63.65,63.65,62.84,62.9,129122
2021-08-11,62.99,63.69,62.94,63.54,39604
2021-08-12,63.81,64.305,63.575,63.85,63924
2021-08-13,63.91,64.93,63.91,64.7,101278
2021-08-16,64.75,65.31,64.37,64.82,65916
2021-08-17,64.52,64.785,64.065,64.72,46212
2021-08-18,64.7,64.7,63.84,64.01,49233
2021-08-19,63.87,64.9,63.87,64.26,30379
2021-08-20,64.25,65.005,64.15,64.99,86229
2021-08-23,64.77,64.875,64.3,64.35,73001
2021-08-24,64.56,64.56,63.57,63.81,56254
2021-08-25,63.675,64.32,63.5,64.11,41216
2021-08-26,64.17,64.27,63.79,63.79,39287
2021-08-27,63.85,64.345,63.83,64.2,35661
2021-08-30,64.07,64.36,64.07,64.26,32866
2021-08-31,63.9,64.315,63.745,63.93,93291
2021-09-01,64.0,64.96,63.93,64.725,137808
2021-09-02,65.0,65.03,64.365,64.69,99816
2021-09-03,64.48,64.77,64.16,64.16,73411
2021-09-07,63.6,63.81,62.85,62.98,39246
2021-09-08,62.86,64.185,62.86,64.085,104771
2021-09-09,64.125,64.125,63.26,63.34,56320
2021-09-10,63.33,63.33,62.11,62.14,72465
2021-09-13,62.78,63.12,62.005,62.32,56277
2021-09-14,62.66,62.81,62.09,62.555,49261
2021-09-15,62.46,63.44,62.37,62.78,87071
2021-09-16,62.745,63.105,62.49,62.58,76588
2021-09-17,62.96,63.36,61.9,61.94,62894
2021-09-20,61.7,62.24,61.47,62.08,91447
