date,open,high,low,close,volume
2021-07-21,62.18,63.87,62.18,63.05,33456
2021-07-22,62.875,62.89,61.83,62.0,38014
2021-07-23,62.9,62.98,62.02,62.185,32413
2021-07-26,62.475,63.11,62.4,62.6,44736
2021-07-27,61.81,63.15,61.42,62.54,38731
2021-07-28,62.865,63.85,61.4,62.44,82293
2021-07-29,63.44,63.44,62.44,62.88,40932
2021-07-30,62.45,63.08,61.825,62.15,58061
2021-08-02,62.35,63.465,61.865,62.01,30814
2021-08-03,62.24,63.07,60.62,62.96,61273
2021-08-04,62.54,63.02,61.77,61.83,40451
2021-08-05,62.62,63.58,62.62,63.58,34896
2021-08-06,64.65,65.21,64.54,64.8,31659
2021-08-09,64.71,65.465,64.26,64.93,34434
2021-08-10,64.88,66.37,64.78,65.67,56242
2021-08-11,66.245,67.06,65.6,66.96,24429
2021-08-12,67.25,67.37,66.75,67.17,21697
2021-08-13,67.4,67.4,66.85,66.94,27550
2021-08-16,66.49,66.92,65.98,66.64,41199
2021-08-17,65.96,66.52,65.44,66.08,19431
2021-08-18,65.82,66.695,65.5,65.5,23547
2021-08-19,64.72,65.27,64.125,64.57,21432
2021-08-20,64.52,65.22,64.3,65.03,38632
2021-08-23,65.38,66.44,65.38,65.97,37578
2021-08-24,65.855,67.0,65.855,66.86,21474
2021-08-25,67.1,68.36,66.99,67.75,36215
2021-08-26,67.75,67.845,66.635,66.66,21929
2021-08-27,66.99,68.18,66.99,68.12,39258
2021-08-30,68.265,68.265,67.02,67.18,16433
2021-08-31,66.58,67.155,66.47,66.79,16265
2021-09-01,66.74,66.74,65.84,65.88,40231
2021-09-02,66.055,66.625,66.04,66.38,23868
2021-09-03,66.33,66.36,65.535,65.97,21569
2021-09-07,65.71,66.3,65.25,65.31,24190
2021-09-08,65.06,65.28,64.71,64.925,14943
2021-09-09,64.79,66.08,64.79,65.27,28137
2021-09-10,65.54,65.68,64.59,64.88,69308
2021-09-13,65.595,66.38,65.07,65.94,39130
2021-09-14,66.27,66.27,64.89,65.16,43374
2021-09-15,65.495,66.42,65.2,66.07,53815
2021-09-16,66.54,66.54,65.44,65.74,59522
2021-09-17,65.42,66.2,64.73,65.14,36659
2021-09-20,63.48,63.48,60.98,62.035,26399
2021-09-21,62.405,62.405,61.11,61.7,34388
2021-09-22,62.9,63.16,62.3,62.55,41886
2021-09-23,63.185,64.67,63.09,64.21,23770
2021-09-24,64.18,65.41,64.18,64.42,32379
2021-09-27,65.24,67.08,65.24,66.53,26563
2021-09-28,66.57,66.87,65.48,65.6,29536
2021-09-29,65.84,65.84,64.92,65.33,30078
2021-09-30,65.83,65.83,64.105,64.41,32415
2021-10-01,64.84,66.07,64.29,65.6,18072
2021-10-04,65.57,66.63,64.965,65.12,41012
2021-10-05,64.98,66.75,64.98,66.67,40230
2021-10-06,66.56,67.32,65.765,67.21,34279
2021-10-07,68.37,68.73,67.79,67.96,24391
2021-10-08,68.38,69.33,68.19,68.93,58221
2021-10-11,69.44,69.66,68.09,68.12,31286
2021-10-12,68.14,68.56,67.465,67.57,18837
2021-10-13,67.22,67.37,65.74,67.03,44836
2021-10-14,67.86,68.54,67.61,68.44,29658
2021-10-15,69.11,69.41,68.305,68.64,74416
2021-10-18,68.43,69.12,68.205,68.61,32619
2021-10-19,69.13,69.42,68.98,69.005,24412
2021-10-20,68.89,69.94,68.61,69.78,41253
2021-10-21,69.75,69.845,68.68,69.0,33529
2021-10-22,69.46,69.9,68.94,69.43,41804
2021-10-25,69.495,70.02,69.28,69.63,26888
2021-10-26,69.92,70.12,69.41,69.705,65031
2021-10-27,69.51,69.51,66.29,66.425,96344
2021-10-28,66.815,66.92,65.915,66.92,39528
2021-10-29,66.93,67.42,66.57,67.08,68242
2021-11-01,67.785,67.95,67.44,67.85,42141
2021-11-02,67.98,68.48,67.6,68.28,35734
2021-11-03,67.91,70.335,67.91,69.11,49432
2021-11-04,68.81,68.96,67.37,68.48,38076
2021-11-05,69.24,69.945,68.67,68.97,41991
2021-11-08,69.43,69.815,68.67,68.74,18279
2021-11-09,68.635,68.645,67.8,68.31,42835
2021-11-10,68.495,69.01,67.93,68.47,30556
2021-11-11,68.605,69.44,68.46,69.2,20734
2021-11-12,68.91,69.63,68.75,69.6,21772
2021-11-15,70.085,71.775,69.99,71.72,186036
2021-11-16,72.35,72.87,71.75,72.08,52535
2021-11-17,72.005,72.015,70.77,71.6,66924
2021-11-18,71.45,71.7,70.725,71.22,42771
2021-11-19,70.56,71.0,69.54,70.88,44405
2021-11-22,71.15,73.1,70.82,72.33,81784
2021-11-23,72.75,73.77,72.0,73.545,104814
2021-11-24,73.28,74.28,72.93,73.93,71598
2021-11-26,71.09,71.69,69.9,70.93,85618
2021-11-29,71.855,71.93,70.25,70.95,69495
2021-11-30,69.32,69.71,68.35,68.57,92981
2021-12-01,69.85,70.38,67.72,67.75,143515
2021-12-02,68.18,70.54,68.0,70.09,71627
2021-12-03,69.44,70.19,68.675,69.22,122095
2021-12-06,70.22,70.98,69.61,69.92,93909
2021-12-07,70.51,71.88,70.51,71.2,42902
2021-12-08,71.56,72.06,71.39,71.63,44313
2021-12-09,71.1,71.95,70.88,71.51,33318
2021-12-10,72.005,72.23,71.41,71.98,58448
2021-12-13,71.93,72.05,71.13,71.26,83859
2021-12-14,71.41,72.44,71.4,72.01,111702
2021-12-15,72.15,72.53,71.6,72.38,62332
2021-12-16,73.25,73.91,72.73,73.18,55563
2021-12-17,73.295,73.295,71.57,71.58,86184
2021-12-20,70.13,70.195,66.0,66.95,115544
2021-12-21,67.62,70.7,67.62,70.33,65353
2021-12-22,70.02,70.53,69.57,70.14,72187
2021-12-23,70.72,71.995,70.72,71.55,33199
2021-12-27,71.39,72.95,71.39,72.95,23212
2021-12-28,72.915,73.45,72.26,72.29,40540
2021-12-29,71.35,72.6,71.35,72.28,16760
2021-12-30,72.63,72.63,72.06,72.12,14212
2021-12-31,72.2,72.59,71.98,72.34,19954
2022-01-03,73.26,74.08,73.01,73.13,37925
2022-01-04,74.58,75.91,74.57,75.63,49159
2022-01-05,75.72,76.25,74.05,74.24,61292
2022-01-06,74.98,75.29,74.02,75.0,64672
2022-01-07,75.355,76.65,75.1,76.26,56105
2022-01-10,76.71,76.74,75.155,75.82,80782
2022-01-11,76.19,76.935,75.5,76.83,47698
2022-01-12,77.24,77.65,76.1,76.52,47846
2022-01-13,77.41,77.52,76.24,76.54,57188
2022-01-14,75.44,76.88,75.02,76.83,38521
2022-01-18,76.41,76.61,75.38,75.79,30870
2022-01-19,75.9,75.9,74.45,74.62,32993
2022-01-20,74.66,75.59,73.53,73.61,39708
2022-01-21,72.835,73.795,71.71,72.03,49127
2022-01-24,70.55,72.37,68.55,72.19,65767
2022-01-25,71.605,73.02,69.38,72.65,55642
2022-01-26,73.1,74.635,72.11,73.05,42966
2022-01-27,74.45,75.455,71.85,72.39,51590
2022-01-28,71.83,72.14,70.15,72.11,38786
2022-01-31,71.575,73.13,70.77,73.05,81895
2022-02-01,72.7,74.32,72.7,74.18,51251
2022-02-02,73.975,74.65,73.525,74.0,37366
2022-02-03,73.44,74.09,72.6,72.73,33406
2022-02-04,72.44,75.6,72.44,74.78,62700
2022-02-07,75.27,76.26,74.89,74.95,82997
2022-02-08,76.0,78.25,75.43,78.21,109078
2022-02-09,78.84,79.085,78.0,78.97,58722
2022-02-10,78.77,80.33,78.18,78.57,72852
2022-02-11,78.09,78.885,75.65,76.0,65800
2022-02-14,76.16,76.31,73.45,74.19,53038
2022-02-15,75.06,76.08,75.06,75.78,43652
2022-02-16,75.37,76.185,74.99,75.65,54656
2022-02-17,74.97,75.08,72.68,72.86,39934
2022-02-18,73.045,73.42,72.38,72.48,44001
2022-02-22,71.89,72.51,70.61,71.09,42831
2022-02-23,71.67,72.12,69.39,69.57,79948
2022-02-24,67.25,68.8,66.285,68.44,50930
2022-02-25,69.14,71.73,69.14,71.67,78294
2022-02-28,69.98,71.17,69.94,70.62,78295
2022-03-01,69.615,69.76,66.89,67.48,138197
2022-03-02,68.595,70.27,68.13,69.35,82439
2022-03-03,69.82,70.02,67.88,69.02,55500
2022-03-04,67.07,67.56,66.36,67.06,33190
2022-03-07,66.22,66.34,64.36,64.36,67756
2022-03-08,64.62,66.85,64.56,64.86,84303
2022-03-09,66.51,67.08,66.11,66.18,37173
2022-03-10,65.56,65.98,64.8,65.54,25508
2022-03-11,66.7,66.795,64.985,65.06,33519
2022-03-14,66.335,67.27,66.04,66.18,46687
2022-03-15,66.71,67.59,66.37,67.47,107126
2022-03-16,68.55,69.885,68.3,69.57,45843
2022-03-17,69.1,70.16,68.43,70.03,68508
2022-03-18,69.66,70.05,68.74,70.0,83296
2022-03-21,70.77,70.77,69.32,69.845,82400
2022-03-22,70.97,71.92,70.84,71.01,70775
2022-03-23,70.92,71.48,70.53,70.78,34423
2022-03-24,70.595,72.15,70.595,71.83,35566
2022-03-25,72.125,73.62,72.125,73.6,30440
2022-03-28,73.71,73.71,72.72,73.33,29196
2022-03-29,74.34,74.78,73.775,74.58,33432
2022-03-30,74.79,75.23,74.2,74.57,41093
2022-03-31,74.435,75.26,73.41,73.41,73061
2022-04-01,74.19,74.76,73.285,73.95,37901
2022-04-04,73.43,73.73,72.66,73.44,35905
2022-04-05,73.43,74.99,73.43,74.41,48767
2022-04-06,74.03,74.55,73.55,74.01,44815
2022-04-07,73.62,73.62,71.46,73.08,38294
2022-04-08,73.38,74.1,73.18,73.64,43083
2022-04-11,73.51,74.53,73.23,73.3,72901
2022-04-12,73.445,74.805,72.715,73.07,40452
2022-04-13,72.86,74.0,72.72,74.0,59038
2022-04-14,74.51,74.775,73.925,73.93,50591
2022-04-18,74.24,74.31,73.55,73.95,43124
2022-04-19,74.03,75.315,74.03,75.15,42181
2022-04-20,75.7,76.62,75.63,76.24,38032
2022-04-21,76.82,77.0,74.92,75.04,31614
2022-04-22,74.33,74.4,72.26,72.28,47265
2022-04-25,71.675,72.05,69.33,71.83,77435
2022-04-26,71.04,71.835,69.85,69.86,40794
2022-04-27,69.76,70.63,69.25,69.92,53965
2022-04-28,70.26,70.93,69.01,70.635,92067
2022-04-29,70.105,70.72,67.91,68.13,95258
2022-05-02,68.32,68.8,67.385,68.78,135937
2022-05-03,68.855,70.54,68.8,69.86,70198
2022-05-04,69.94,73.49,69.94,73.41,125485
