date,open,high,low,close,volume
2021-07-21,139.94,140.16,138.99,139.21,217964
2021-07-22,137.29,138.33,136.72,137.76,236801
2021-07-23,137.42,139.98,137.08,139.8,211293
2021-07-26,139.49,140.82,139.26,140.3,146761
2021-07-27,140.09,141.56,140.055,140.82,203081
2021-07-28,140.45,140.64,138.72,138.78,239817
2021-07-29,139.52,140.155,138.75,139.36,151271
2021-07-30,141.78,144.515,141.55,142.21,571411
2021-08-02,141.96,142.39,140.86,141.86,200863
2021-08-03,142.06,144.21,141.6,143.87,483283
2021-08-04,143.37,144.05,142.35,142.47,636690
2021-08-05,143.23,143.545,141.48,142.5,328766
2021-08-06,143.065,143.09,141.22,141.345,317687
2021-08-09,142.02,142.57,141.7,142.185,246646
2021-08-10,141.99,142.505,141.7,142.275,345339
2021-08-11,142.8,143.24,142.49,142.55,177772
2021-08-12,142.91,143.01,142.355,142.94,224459
2021-08-13,142.95,143.985,142.71,143.63,306987
2021-08-16,144.0,144.67,143.375,144.63,285272
2021-08-17,144.29,145.595,143.89,144.86,295946
2021-08-18,144.725,144.88,143.2,143.34,264832
2021-08-19,143.31,145.28,143.31,145.02,267857
2021-08-20,145.27,145.98,144.83,145.09,248883
2021-08-23,144.505,145.33,144.24,144.34,193795
2021-08-24,144.15,144.15,143.01,143.16,186332
2021-08-25,142.955,143.01,142.26,142.7,184563
2021-08-26,142.24,142.7,141.47,142.36,193484
2021-08-27,142.7,142.7,141.655,142.29,205908
2021-08-30,142.68,142.97,142.05,142.95,96884
2021-08-31,143.11,143.47,142.06,142.36,213013
2021-09-01,142.33,144.165,142.27,143.84,177049
2021-09-02,144.005,144.68,143.585,143.96,121392
2021-09-03,143.72,144.36,143.54,144.08,133656
2021-09-07,144.37,144.395,143.305,143.52,188986
2021-09-08,143.04,144.9,143.03,144.56,267697
2021-09-09,144.76,144.875,143.665,144.03,134097
2021-09-10,144.15,144.44,143.39,144.18,249330
2021-09-13,144.85,147.225,144.85,145.69,351545
2021-09-14,146.04,146.3,144.95,145.45,131755
2021-09-15,145.36,145.76,144.74,145.11,162862
2021-09-16,144.68,145.165,142.865,144.11,162489
2021-09-17,144.37,145.97,144.35,144.37,240792
2021-09-20,144.07,144.78,141.98,142.85,234787
2021-09-21,142.92,144.52,142.88,143.15,132934
2021-09-22,143.55,144.33,142.91,143.65,140278
2021-09-23,143.79,144.68,143.515,144.23,119173
2021-09-24,143.92,144.42,143.1,143.55,132569
2021-09-27,143.06,143.12,141.52,141.66,137052
2021-09-28,141.0,141.34,139.58,140.66,202721
2021-09-29,140.37,142.675,140.37,142.04,225831
2021-09-30,142.49,142.69,139.8,139.81,147581
2021-10-01,139.87,140.18,138.33,139.53,158110
2021-10-04,139.32,140.4,137.62,138.79,145752
2021-10-05,138.93,140.5,138.89,139.31,147010
2021-10-06,138.88,141.26,138.66,141.15,150417
2021-10-07,141.77,143.01,141.77,142.32,183915
2021-10-08,142.25,142.59,141.075,141.73,201370
2021-10-11,142.27,142.69,141.78,142.33,119993
2021-10-12,142.53,143.04,141.73,142.15,122609
2021-10-13,142.31,142.74,141.05,142.43,171530
2021-10-14,142.83,144.29,142.83,144.09,137518
2021-10-15,144.54,144.855,143.69,144.52,215813
2021-10-18,143.55,143.65,142.12,142.31,205422
2021-10-19,139.08,140.8,138.93,140.69,379977
2021-10-20,140.14,141.945,139.86,141.14,211645
2021-10-21,140.875,141.11,139.18,139.3,362213
2021-10-22,139.41,141.005,139.41,140.825,167761
2021-10-26,141.47,143.17,141.24,142.85,157407
2021-10-27,143.05,143.65,141.72,141.81,165480
2021-10-28,141.85,142.85,141.745,142.69,122653
2021-10-29,142.12,143.45,142.05,142.95,149268
2021-11-01,143.35,143.79,142.5,142.66,208177
2021-11-02,142.72,144.58,142.41,144.07,263164
2021-11-03,144.25,145.1,143.59,145.06,300676
