date,open,high,low,close,volume
2021-07-21,304.5,307.05,303.79,305.23,26086
2021-07-22,304.09,305.31,302.42,302.91,17554
2021-07-23,306.66,307.72,303.54,306.65,32009
2021-07-26,309.05,309.33,306.15,309.23,24668
2021-07-27,306.59,311.725,305.7,309.29,25455
2021-07-28,309.98,309.98,305.44,306.33,28122
2021-07-29,308.87,310.75,307.18,309.41,45541
2021-07-30,310.13,312.09,308.455,312.09,27494
2021-08-02,309.96,318.22,305.315,305.59,117245
2021-08-03,304.1,310.32,301.81,309.28,47636
2021-08-04,307.86,309.95,303.26,303.26,41647
2021-08-05,301.775,305.34,298.87,299.96,110016
2021-08-06,294.455,302.04,294.455,298.52,86394
2021-08-09,294.71,299.445,294.71,297.17,45050
2021-08-10,297.775,301.3,295.65,298.65,83401
2021-08-11,299.06,301.69,294.52,295.995,236529
2021-08-12,296.355,296.935,294.32,294.7,163880
2021-08-13,295.845,296.41,290.275,292.955,86548
2021-08-16,293.11,301.96,291.885,299.0,138525
2021-08-17,296.48,298.35,294.09,296.35,33558
2021-08-18,294.59,295.99,292.705,293.12,48406
2021-08-19,290.61,294.82,286.13,287.35,47442
2021-08-20,287.625,289.74,286.02,287.75,36108
2021-08-23,290.795,295.86,290.76,294.67,54233
2021-08-24,298.28,301.01,298.07,298.95,66875
2021-08-25,298.88,305.0,298.12,303.63,61615
2021-08-26,302.25,305.785,302.25,304.16,34232
2021-08-27,304.65,308.32,304.34,304.535,46626
2021-08-30,304.625,304.625,301.16,301.59,27617
2021-08-31,301.57,301.57,296.46,296.56,44681
2021-09-01,295.23,295.27,291.765,293.96,44582
2021-09-02,294.505,297.19,293.74,294.53,25016
2021-09-03,293.86,294.12,289.35,290.0,48973
2021-09-07,290.935,293.76,288.17,290.07,91576
2021-09-08,289.415,289.415,283.33,287.75,61631
2021-09-09,287.165,289.37,284.47,288.16,61271
2021-09-10,290.69,290.69,283.43,284.0,49610
2021-09-13,286.2,291.17,285.75,289.38,71194
2021-09-14,290.06,290.34,284.985,285.74,29599
2021-09-15,285.66,290.5,285.26,290.285,38851
2021-09-16,289.37,291.375,287.26,289.71,74326
2021-09-17,293.855,293.855,285.27,287.85,59435
2021-09-20,281.49,285.16,279.75,284.86,47415
2021-09-21,284.85,284.85,279.35,279.35,57637
2021-09-22,281.72,287.125,281.72,285.38,44306
2021-09-23,288.64,293.47,288.64,291.15,66091
2021-09-24,290.22,291.59,287.74,287.86,46652
2021-09-27,289.09,295.97,289.09,290.955,33686
2021-09-28,290.0,290.53,284.92,286.01,89532
2021-09-29,285.72,290.47,285.72,288.58,34924
2021-09-30,289.42,289.85,279.63,279.63,50022
2021-10-01,282.3,292.705,281.175,291.59,61884
2021-10-04,290.705,292.29,286.66,288.8,51047
2021-10-05,288.7,295.54,288.35,291.86,68096
2021-10-06,290.64,293.93,285.11,293.71,85486
2021-10-07,296.445,298.17,289.0,289.67,70461
2021-10-08,290.1,292.28,287.68,290.99,21444
2021-10-11,290.78,292.28,287.33,287.33,21672
2021-10-12,289.37,290.15,284.05,284.55,19654
2021-10-13,285.23,287.46,283.18,285.855,40395
2021-10-14,289.045,295.445,288.795,294.55,22865
2021-10-15,296.54,301.64,296.54,297.93,19083
2021-10-18,295.31,297.04,294.155,296.0,17308
2021-10-19,296.32,296.89,294.91,296.2,15603
2021-10-20,295.85,301.135,295.85,300.36,28366
2021-10-21,297.91,299.375,296.75,299.375,12547
2021-10-22,301.31,302.24,298.955,299.39,13213
2021-10-26,303.555,307.77,303.03,304.18,60500
2021-10-27,305.54,305.54,297.73,297.73,40149
2021-10-28,298.335,304.42,298.01,301.535,63552
2021-10-29,300.685,302.43,296.36,296.36,21985
2021-11-01,297.48,302.07,296.995,300.79,19185
2021-11-02,301.82,303.83,300.955,301.88,109835
2021-11-03,301.04,304.345,298.69,304.09,77407
2021-11-04,320.0,329.8,320.0,325.71,161946
2021-11-05,328.675,329.98,322.48,325.87,76038
2021-11-08,330.35,332.535,326.65,329.87,56319
2021-11-09,331.58,332.245,327.915,329.57,27697
2021-11-10,328.68,328.68,324.825,326.72,31996
2021-11-11,326.73,328.325,324.425,327.04,30528
2021-11-12,327.545,334.34,327.09,334.32,61859
2021-11-15,334.57,334.815,327.865,328.23,39413
2021-11-16,329.64,334.66,328.86,332.41,32674
2021-11-17,331.11,331.56,328.36,329.1,28918
2021-11-18,329.07,332.475,328.2,332.31,32868
2021-11-19,332.385,334.655,329.75,329.75,54703
2021-11-22,330.49,332.06,326.69,326.7,41244
2021-11-23,328.165,329.46,325.44,329.065,88945
2021-11-24,326.43,328.19,324.895,325.03,27655
2021-11-26,313.965,314.86,307.54,309.855,67906
2021-11-29,312.685,313.75,304.95,309.415,37667
2021-11-30,306.59,309.06,299.92,302.1,129033
2021-12-01,306.63,309.03,293.38,293.38,48611
2021-12-02,295.035,306.7,295.035,304.75,58809
2021-12-03,307.14,307.14,300.22,305.55,49112
2021-12-06,309.025,314.42,308.83,311.73,34570
2021-12-07,315.895,319.38,313.73,314.49,30045
2021-12-08,314.46,317.315,313.74,316.3,24895
2021-12-09,313.55,320.2,313.55,318.47,26439
2021-12-10,319.95,322.47,318.37,318.87,28779
2021-12-13,320.05,320.32,313.87,313.985,42377
2021-12-14,313.86,317.46,309.93,311.39,30307
2021-12-15,311.31,315.98,307.35,315.3,32693
2021-12-16,317.14,318.825,312.04,313.26,47504
2021-12-17,311.66,311.66,302.38,302.52,61819
