date,open,high,low,close,volume
2021-07-21,133.7,134.445,132.48,132.835,40489
2021-07-22,132.67,132.67,130.86,131.33,17167
2021-07-23,131.63,134.02,131.31,133.59,19291
2021-07-26,133.97,134.87,132.815,134.72,42966
2021-07-27,133.77,140.47,132.4,138.16,63066
2021-07-28,138.14,139.21,136.79,139.1,19688
2021-07-29,139.26,141.52,139.03,140.24,113613
2021-07-30,141.16,141.92,140.675,141.52,52243
2021-08-02,141.49,142.745,138.83,139.19,28470
2021-08-03,138.91,140.215,138.02,140.03,17560
2021-08-04,139.835,140.06,138.02,138.78,39049
2021-08-05,139.97,139.97,137.8,138.57,39736
2021-08-06,139.5,140.85,139.255,140.55,34870
2021-08-09,140.755,143.28,140.4,142.67,32586
2021-08-10,142.91,145.035,142.43,144.09,31919
2021-08-11,144.45,146.035,144.37,145.59,25017
2021-08-12,145.82,146.23,144.64,145.46,22322
2021-08-13,145.715,146.835,145.54,146.41,32612
2021-08-16,145.25,146.28,144.64,146.12,28154
2021-08-17,145.78,146.045,144.61,145.7,16420
2021-08-18,145.84,146.89,145.03,145.03,35797
2021-08-19,144.66,146.06,144.3,145.09,21938
2021-08-20,145.855,148.61,145.69,148.28,41491
2021-08-23,147.54,148.06,146.495,147.02,42065
2021-08-24,147.31,148.06,146.925,147.83,13838
2021-08-25,147.07,150.51,147.07,149.96,14053
2021-08-26,148.985,149.95,148.985,149.41,12144
2021-08-27,150.61,151.73,150.61,151.39,11198
2021-08-30,152.14,152.385,151.18,151.21,24167
2021-08-31,151.205,153.4,151.04,151.7,28508
2021-09-01,151.32,154.34,150.76,153.85,37414
2021-09-02,155.34,155.66,152.74,153.17,71243
2021-09-03,152.29,153.35,152.2,152.47,38382
2021-09-07,152.01,152.38,151.26,151.6,39692
2021-09-08,150.95,152.22,150.61,151.7,34087
2021-09-09,151.77,152.19,151.375,151.67,31881
2021-09-10,152.76,153.515,151.69,151.69,26873
2021-09-13,152.18,152.75,150.805,151.73,33443
2021-09-14,150.41,150.7,148.01,148.28,52500
2021-09-15,148.01,148.26,145.77,146.04,54382
2021-09-16,145.33,145.53,143.38,143.55,44994
2021-09-17,142.88,143.0,140.5,141.07,41527
2021-09-20,139.1,140.095,138.105,139.73,53585
2021-09-21,140.06,140.06,137.97,138.09,37782
2021-09-22,139.12,141.8,139.11,140.75,21072
2021-09-23,142.43,143.205,142.34,142.74,18052
2021-09-24,143.17,143.35,141.85,141.85,6475
2021-09-27,141.85,144.2,141.85,143.7,27364
2021-09-28,143.46,143.97,141.85,141.995,16506
2021-09-29,142.36,142.72,141.18,141.2,13002
2021-09-30,141.29,141.37,137.415,137.415,58314
2021-10-01,137.465,139.75,136.38,139.0,15652
2021-10-04,139.255,140.22,138.52,139.43,24560
2021-10-05,138.825,142.56,138.405,141.8,30157
2021-10-06,140.65,141.105,138.58,141.1,29820
2021-10-07,143.0,143.82,142.14,142.63,53149
2021-10-08,142.95,143.19,138.63,139.18,46719
2021-10-11,139.68,141.01,138.02,138.09,33676
2021-10-12,138.295,140.54,138.04,139.58,29038
2021-10-13,139.74,140.405,134.605,137.31,61587
2021-10-14,137.62,139.82,136.8,139.05,30063
2021-10-15,138.89,138.89,133.42,133.72,71169
2021-10-18,133.52,136.18,133.52,134.09,23452
2021-10-19,134.03,134.03,132.11,132.79,45799
2021-10-20,133.465,136.8,133.45,135.71,24342
2021-10-21,135.08,135.63,133.77,134.75,33498
2021-10-22,135.275,136.74,134.05,134.11,49822
2021-10-26,136.6,138.81,133.97,136.2,64781
2021-10-27,135.045,136.16,133.01,135.4,70079
2021-10-28,136.99,138.93,136.97,138.88,33511
2021-10-29,139.13,139.39,137.09,137.4,20757
2021-11-01,136.445,136.64,135.33,135.37,17455
2021-11-02,135.41,135.43,132.97,133.725,16765
2021-11-03,134.12,135.88,133.57,135.33,20106
2021-11-04,135.22,136.79,133.925,134.39,28435
2021-11-05,134.88,136.885,134.88,135.32,18776
2021-11-08,135.935,135.995,134.16,134.35,21487
2021-11-09,133.91,135.165,132.985,134.09,29817
2021-11-10,134.11,135.87,133.27,135.45,32520
2021-11-11,135.51,136.05,135.0,135.07,20403
2021-11-12,134.47,136.02,134.47,135.115,10670
2021-11-15,135.8,135.8,134.65,134.79,14748
2021-11-16,135.34,135.915,134.56,134.57,21360
2021-11-17,134.125,135.08,132.52,134.59,70833
2021-11-18,134.42,135.07,132.3,132.6,33576
2021-11-19,132.25,133.94,132.25,133.125,48188
2021-11-22,133.445,135.7,133.4,134.17,80787
2021-11-23,134.98,135.89,134.69,134.7,8798
2021-11-24,134.175,134.175,131.6,132.08,25320
2021-11-26,131.23,134.55,131.185,133.625,27886
2021-11-29,134.35,134.99,133.4,133.66,22864
2021-11-30,132.33,133.06,130.25,130.63,53318
2021-12-01,131.04,132.9,129.48,129.48,30372
2021-12-02,130.325,132.51,130.22,131.87,40168
2021-12-03,131.705,133.55,131.705,133.21,52099
2021-12-06,134.395,136.78,134.395,136.27,119065
2021-12-07,136.55,137.77,135.25,135.34,80236
2021-12-08,136.07,136.22,132.195,132.24,31982
2021-12-09,130.91,131.405,129.09,129.18,76565
2021-12-10,129.66,129.78,128.0,128.075,42443
2021-12-13,128.72,131.09,128.26,130.5,28649
2021-12-14,131.06,131.49,130.43,130.57,38579
2021-12-15,131.46,131.85,129.77,131.83,35373
2021-12-16,132.95,135.095,132.31,134.73,47346
2021-12-17,133.165,133.335,129.61,129.84,58784
2021-12-20,127.65,129.33,125.035,129.21,91327
2021-12-21,129.815,131.77,129.815,130.77,111786
2021-12-22,130.635,131.85,129.88,130.99,31013
2021-12-23,132.63,132.71,131.2,131.24,15148
2021-12-27,131.16,133.01,131.16,132.985,12095
2021-12-28,133.39,133.855,132.72,133.47,50585
2021-12-29,133.62,134.85,133.62,134.62,26208
2021-12-30,135.51,135.51,134.05,134.7,23266
2021-12-31,134.71,136.5,134.71,136.15,11420
2022-01-03,135.79,136.01,134.005,134.705,26820
2022-01-04,134.93,139.695,134.93,138.13,21371
2022-01-05,138.87,140.34,137.87,139.115,29485
2022-01-06,139.56,140.02,136.625,136.94,88170
2022-01-07,137.35,139.11,137.35,137.875,70854
2022-01-10,138.52,138.52,134.55,135.96,19457
2022-01-11,136.31,136.335,134.765,135.84,27667
2022-01-12,136.16,136.16,133.04,134.0,39149
2022-01-13,134.49,137.63,134.03,137.13,38076
2022-01-14,136.72,137.63,134.9,137.07,39027
2022-01-18,135.49,135.72,133.095,134.255,37876
2022-01-19,135.755,137.35,134.73,137.13,28253
2022-01-20,136.415,137.83,135.15,135.16,25019
2022-01-21,134.69,137.04,133.77,134.56,46008
2022-01-24,132.74,133.125,131.83,132.68,5472
2022-01-25,135.57,137.49,133.65,135.05,95373
2022-01-26,134.275,136.325,131.965,133.48,98139
2022-01-27,146.15,149.68,142.31,143.59,145952
2022-01-28,143.605,146.68,143.38,145.33,158506
2022-01-31,146.67,150.96,146.45,150.73,95984
2022-02-01,150.35,150.35,147.43,149.43,56621
2022-02-02,149.11,149.18,146.875,147.2,47517
2022-02-03,146.675,148.99,146.6,148.1,59118
2022-02-04,148.555,148.925,146.1,146.63,33083
2022-02-07,147.43,149.61,145.98,148.32,35164
2022-02-08,148.785,151.07,148.03,150.6,60262
2022-02-09,151.44,152.085,150.98,151.01,30459
2022-02-10,149.58,151.785,148.41,148.75,30223
2022-02-11,148.08,149.48,147.27,147.89,74794
2022-02-14,147.83,147.91,145.66,146.99,103166
2022-02-15,148.945,149.1,147.43,148.01,44353
2022-02-16,147.99,148.88,147.49,148.4,20438
2022-02-17,149.43,149.44,148.14,148.485,40620
2022-02-18,148.48,149.62,147.575,148.27,14683
2022-02-22,148.21,149.71,147.93,149.01,24271
2022-02-23,148.95,148.95,145.25,145.25,52650
2022-02-24,141.79,146.44,141.13,145.95,48860
2022-02-25,147.98,150.72,147.57,149.51,120496
2022-02-28,146.97,148.45,145.2,147.19,28827
2022-03-01,146.645,147.21,142.81,142.99,76313
2022-03-02,144.12,147.47,144.12,147.26,79972
2022-03-03,148.08,149.76,147.805,148.56,39386
2022-03-04,147.04,149.855,145.87,149.74,38538
2022-03-07,148.35,149.4,145.01,145.01,60298
2022-03-09,143.33,148.67,143.18,147.56,85147
2022-03-10,145.99,149.655,145.99,148.95,75178
2022-03-11,150.28,150.69,148.84,149.74,52865
2022-03-14,150.955,152.09,149.695,150.98,64650
2022-03-15,152.27,152.71,149.17,152.41,63029
2022-03-16,153.615,155.93,153.33,155.35,58223
2022-03-17,154.45,156.46,152.95,156.19,41768
2022-03-18,157.0,157.0,154.22,156.49,37052
2022-03-21,157.31,157.31,155.05,156.41,24432
2022-03-22,156.27,157.43,152.84,153.38,56651
2022-03-23,152.52,154.02,152.52,152.775,21581
2022-03-24,152.88,155.14,152.6,152.99,19866
2022-03-25,152.44,156.09,152.21,156.09,20815
2022-03-28,156.13,156.13,154.56,155.11,19474
2022-03-29,155.75,156.55,154.71,156.37,39901
2022-03-30,157.9,157.94,156.08,156.77,23867
2022-03-31,157.765,157.765,156.37,156.37,19551
2022-04-01,156.255,157.08,154.495,155.77,47372
2022-04-04,154.28,155.42,152.87,155.22,59585
2022-04-05,154.89,155.31,153.46,153.72,19616
2022-04-06,153.08,153.47,150.455,152.46,30448
2022-04-07,151.78,152.33,150.14,151.25,59522
2022-04-08,152.54,153.82,152.11,153.19,36267
2022-04-11,154.96,156.76,154.145,154.92,23875
2022-04-12,156.87,157.96,156.16,157.04,24446
2022-04-13,158.47,159.95,157.67,159.67,33328
2022-04-14,160.23,164.27,160.23,163.07,30684
2022-04-18,163.11,164.255,160.15,160.76,33688
2022-04-19,160.945,164.32,160.945,163.905,31999
2022-04-20,164.98,167.745,164.98,167.025,42061
2022-04-21,167.42,168.06,166.01,166.13,24382
2022-04-22,165.29,165.415,161.12,161.19,22260
2022-04-25,159.945,163.04,158.675,162.53,29659
2022-04-26,162.12,164.685,159.195,159.39,38903
2022-04-27,159.42,163.575,159.415,161.8,30338
2022-04-28,162.27,163.27,160.21,162.79,46147
2022-04-29,162.64,163.55,160.51,161.0,27088
2022-05-02,161.49,162.17,158.11,160.06,34634
2022-05-03,160.66,162.78,160.51,161.65,49070
2022-05-04,162.625,165.7,162.17,165.57,36667
2022-05-05,164.655,165.23,161.775,162.98,22857
2022-05-06,162.865,163.16,160.61,162.33,54457
2022-05-09,161.32,163.01,160.34,160.78,31720
2022-05-10,161.46,162.38,156.92,160.25,25453
2022-05-11,160.38,162.25,158.6,158.68,41164
2022-05-12,157.96,158.19,154.66,156.43,43848
2022-05-13,157.1,159.365,154.7,155.24,34881
2022-05-16,154.51,155.995,153.95,155.53,56505
2022-05-17,157.66,159.545,156.85,158.43,24511
2022-05-18,157.05,157.05,150.49,150.9,28326
2022-05-19,150.02,152.11,148.3,150.5,57201
2022-05-20,151.68,151.71,146.835,148.95,83291
2022-05-23,150.61,153.4,150.61,152.86,29341
2022-05-24,152.41,152.78,148.17,151.61,27920
2022-05-25,151.425,154.48,151.425,153.285,32222
2022-05-26,156.43,157.13,155.68,156.4,14665
2022-05-27,158.225,159.98,156.605,159.89,30592
2022-05-31,159.12,159.23,156.53,157.36,27662
2022-06-01,156.7,158.045,154.3,157.52,27125
2022-06-02,156.98,159.85,155.945,159.75,37745
2022-06-03,158.79,160.1,158.52,159.12,14055
2022-06-06,159.04,161.21,159.04,160.75,31424
2022-06-07,159.62,162.665,159.6,162.235,25948
2022-06-08,161.55,162.93,158.695,159.71,29530
2022-06-09,158.42,158.98,156.075,156.165,50008
2022-06-10,152.52,153.45,151.34,151.45,23297
2022-06-13,148.53,148.545,142.99,143.41,62410
2022-06-14,142.59,147.44,142.59,147.28,72908
2022-06-15,148.71,149.28,145.37,147.24,48922
2022-06-16,142.81,142.81,140.195,141.27,33699
2022-06-17,141.715,142.695,138.79,139.66,39748
2022-06-21,141.65,141.67,138.85,139.39,33262
2022-06-22,138.43,138.43,135.77,136.68,34767
2022-06-23,136.06,136.785,133.86,135.82,32083
2022-06-24,136.48,140.74,136.48,140.61,92204
2022-06-27,141.03,142.76,140.74,141.59,29710
2022-06-28,143.06,143.06,138.87,139.01,27488
2022-06-29,139.86,139.87,138.11,138.83,21854
2022-06-30,137.185,137.68,135.68,137.5,40293
2022-07-01,136.85,139.25,134.92,138.75,35654
2022-07-05,137.005,137.245,135.23,137.15,38042
2022-07-06,138.46,139.08,135.56,138.49,34513
2022-07-07,140.03,142.145,139.69,141.58,67012
2022-07-08,141.76,141.815,139.17,139.83,49363
2022-07-11,138.805,139.645,137.17,137.83,16227
2022-07-12,139.09,139.31,137.95,138.13,50435
2022-07-13,135.96,137.41,135.75,137.11,35355
2022-07-14,134.9,136.15,133.89,135.39,32374
2022-07-15,137.46,137.46,135.38,135.825,26761
2022-07-18,136.68,136.99,133.81,134.27,39147
2022-07-19,135.955,138.84,135.705,138.34,17117
2022-07-20,137.85,139.27,137.34,139.02,27867
2022-07-21,139.51,141.93,139.13,141.89,31726
2022-07-22,142.88,143.0,141.47,141.65,19285
2022-07-25,141.9,144.25,141.44,144.04,60668
2022-07-26,141.17,141.36,134.35,137.09,96771
2022-07-27,137.335,139.55,136.535,139.34,36299
2022-07-28,140.59,141.57,138.43,140.13,36961
2022-07-29,141.12,141.45,139.43,140.63,42450
2022-08-01,139.87,140.69,138.42,138.92,53234
2022-08-02,138.04,138.68,137.04,138.15,77300
2022-08-03,138.88,139.94,137.22,139.6,31396
2022-08-04,137.785,139.365,137.56,137.73,63886
2022-08-05,137.19,137.82,133.86,135.23,75120
2022-08-08,136.61,138.81,135.96,137.94,31125
2022-08-09,138.25,138.92,137.58,138.92,21650
2022-08-10,141.6,142.39,140.95,141.16,20374
2022-08-11,141.12,142.71,140.445,142.13,26537
2022-08-12,143.36,144.04,142.71,143.85,23246
2022-08-15,142.37,143.55,142.11,143.31,28052
2022-08-16,143.17,146.195,142.85,145.76,21320
2022-08-17,144.6,144.665,143.815,144.49,30753
2022-08-18,143.555,145.47,143.18,145.19,30292
2022-08-19,144.53,144.74,142.68,143.21,60773
2022-08-22,140.0,141.02,139.84,140.36,32953
2022-08-23,141.82,142.09,140.945,141.16,40177
2022-08-24,140.59,141.13,139.29,139.94,27244
2022-08-25,140.45,143.54,140.45,143.54,29574
2022-08-26,142.375,142.96,138.86,138.89,26132
2022-08-29,138.35,138.96,137.24,137.83,16590
2022-08-30,136.96,139.625,136.56,139.08,24096
2022-08-31,139.09,139.27,136.89,136.89,38066
2022-09-01,136.74,136.74,135.13,136.51,27700
2022-09-02,137.99,139.11,135.52,136.03,22775
2022-09-06,136.56,137.63,135.685,136.19,24689
2022-09-07,136.89,139.39,136.865,139.11,21101
2022-09-08,136.695,139.59,136.695,139.47,63956
2022-09-09,139.94,140.14,139.12,139.57,15532
2022-09-12,141.105,143.22,141.105,142.04,16957
2022-09-13,139.915,139.915,137.66,137.95,24922
2022-09-14,137.08,137.295,131.59,132.01,30805
2022-09-15,132.02,134.16,132.02,132.8,25286
2022-09-16,123.64,123.745,116.6,118.115,147739
2022-09-19,118.72,124.15,118.72,124.11,77544
2022-09-20,121.96,121.96,117.78,119.42,74160
2022-09-21,119.84,122.6,118.14,118.14,53197
2022-09-22,117.92,117.92,115.8,115.88,24605
2022-09-23,114.045,114.61,112.55,113.97,30696
2022-09-26,113.505,114.73,110.73,112.89,53128
2022-09-27,114.57,115.41,111.82,113.28,31604
2022-09-28,114.61,116.31,114.41,115.83,38708
2022-09-29,112.89,114.54,112.1,114.27,71758
2022-09-30,112.7,115.215,111.99,112.3,44506
2022-10-03,113.16,116.08,112.68,115.07,35879
2022-10-04,116.87,118.35,116.87,118.18,22477
2022-10-05,116.195,118.6,115.78,117.39,47314
2022-10-06,116.59,117.53,115.72,115.95,39075
2022-10-07,114.455,114.535,112.87,113.67,40749
2022-10-10,114.3,115.13,113.37,114.19,24843
2022-10-11,112.86,115.93,112.65,114.33,32538
2022-10-12,113.8,114.85,113.53,113.55,59547
2022-10-13,111.565,116.42,110.9,115.75,30105
2022-10-14,116.91,116.91,113.655,113.665,27436
2022-10-17,115.87,116.81,115.08,115.94,22001
2022-10-18,116.37,117.71,115.94,116.66,27988
2022-10-19,116.16,116.16,113.68,114.41,18814
2022-10-20,114.495,115.68,112.555,112.83,54580
2022-10-21,113.555,117.195,113.34,116.97,63959
2022-10-24,116.815,117.94,116.28,116.32,37952
2022-10-25,115.0,117.6,112.56,115.87,64279
2022-10-26,117.005,119.21,114.9,116.3,64588
2022-10-27,117.32,121.66,117.32,119.31,90610
