date,open,high,low,close,volume
2021-07-21,128.08,128.195,126.47,126.87,72154
2021-07-22,127.0,127.34,126.33,127.16,63597
2021-07-23,127.51,128.075,126.69,127.87,77936
2021-07-26,127.6,128.04,127.05,127.98,50476
2021-07-27,127.665,129.27,127.36,129.15,79841
2021-07-28,129.0,129.05,127.22,127.655,133384
2021-07-29,127.84,128.32,127.45,127.86,60418
2021-07-30,128.215,129.38,127.925,128.01,110529
2021-08-02,128.82,129.54,128.09,128.39,59563
2021-08-03,128.925,129.605,128.2,129.605,90167
2021-08-04,129.45,129.965,128.495,128.89,57436
2021-08-05,129.49,130.49,128.88,130.475,47501
2021-08-06,130.11,130.24,128.81,129.44,128830
2021-08-09,129.255,130.14,129.255,130.01,23723
2021-08-10,129.83,129.93,128.775,129.34,93554
2021-08-11,129.81,130.19,128.45,128.86,390735
2021-08-12,129.05,130.14,128.62,130.08,47035
2021-08-13,130.235,132.08,130.145,131.99,67771
2021-08-16,132.22,133.78,132.2,133.78,82275
2021-08-17,133.43,134.19,133.07,134.07,111026
2021-08-18,133.77,134.145,132.02,132.47,67035
2021-08-19,132.22,133.32,131.985,133.14,74421
2021-08-20,133.0,134.62,132.04,134.23,48629
2021-08-23,134.3,134.67,133.15,133.39,45595
2021-08-24,133.34,133.34,130.71,130.75,79572
2021-08-25,130.51,131.27,129.685,130.52,71843
2021-08-26,130.78,131.155,129.69,130.54,76512
2021-08-27,131.05,131.56,130.65,131.31,52035
2021-08-30,131.49,133.87,131.49,133.75,53246
2021-08-31,133.69,134.955,132.84,134.66,59847
2021-09-01,135.12,138.03,134.64,137.76,76394
2021-09-02,138.48,138.48,136.91,138.46,86602
2021-09-03,138.13,139.33,136.67,139.05,65688
2021-09-07,137.935,137.935,135.97,137.63,87782
2021-09-08,137.18,139.56,137.18,138.54,67611
2021-09-09,137.07,137.58,134.7,134.7,82750
2021-09-10,135.135,135.28,133.59,133.59,78080
2021-09-13,134.59,134.94,132.64,132.74,54907
2021-09-14,133.27,133.67,131.77,132.55,104433
2021-09-15,132.36,134.27,132.12,133.31,74777
2021-09-16,132.5,133.72,131.62,132.57,65411
2021-09-17,131.72,132.14,129.79,130.1,71798
2021-09-20,129.07,130.2,127.73,128.99,59373
2021-09-21,129.59,130.705,128.86,128.86,65188
2021-09-22,129.53,130.53,128.91,129.99,68712
2021-09-23,129.59,130.03,128.88,128.88,74262
2021-09-24,129.09,129.17,127.46,127.92,82947
2021-09-27,127.2,128.46,126.13,126.17,64576
2021-09-28,125.515,126.02,124.03,125.62,119892
