date,open,high,low,close,volume
2021-07-21,184.39,185.94,183.77,184.73,64867
2021-07-22,184.79,184.79,180.74,181.68,60470
2021-07-23,183.86,184.99,182.0,183.115,52854
2021-07-26,184.72,185.04,183.0,184.43,24492
2021-07-27,182.415,184.94,180.995,184.34,59608
2021-07-28,184.03,185.56,182.49,183.85,34992
2021-07-29,186.0,186.11,183.62,185.1,30289
2021-07-30,185.59,186.37,181.72,182.44,48280
2021-08-02,185.22,186.62,181.39,181.725,39909
2021-08-03,182.8,187.24,180.67,186.29,60706
2021-08-04,184.05,187.2,183.55,184.92,42973
2021-08-05,188.03,188.03,185.805,186.645,33869
2021-08-06,189.01,191.86,189.01,190.28,66326
2021-08-09,189.72,191.7,188.3,189.975,46375
2021-08-10,189.54,193.66,189.17,191.58,41273
2021-08-11,191.86,193.93,190.68,193.89,123075
2021-08-12,193.78,195.33,193.06,193.33,70027
2021-08-13,194.26,194.26,189.855,190.255,90957
2021-08-16,188.97,189.65,186.61,189.55,26900
2021-08-17,187.89,189.48,185.38,187.75,34371
2021-08-18,186.17,189.095,185.49,185.49,23273
2021-08-19,183.885,185.9,183.17,184.31,54825
2021-08-20,183.91,186.43,183.91,185.825,38802
2021-08-23,187.76,188.525,187.2,187.33,25198
2021-08-24,187.37,189.19,187.11,188.515,44143
2021-08-25,189.115,193.38,188.66,192.2,36637
2021-08-26,193.425,193.845,190.66,191.0,47213
2021-08-27,191.505,194.7,191.18,194.61,63437
2021-08-30,194.305,194.59,190.22,190.66,78335
2021-08-31,190.89,192.135,189.67,191.1,62855
2021-09-01,190.98,191.27,188.27,189.47,91231
2021-09-02,189.7,192.44,189.54,191.75,70300
2021-09-03,191.73,192.61,190.64,191.52,59364
2021-09-07,192.145,194.65,192.02,192.16,67220
2021-09-08,190.97,192.08,190.42,191.66,68539
2021-09-09,191.71,194.54,191.6,192.2,58236
2021-09-10,193.55,193.76,191.36,191.625,97353
2021-09-13,194.07,195.58,192.805,194.51,62202
2021-09-14,194.69,195.92,186.075,188.37,145178
2021-09-15,188.52,191.27,188.52,190.12,63090
2021-09-16,191.44,192.86,189.16,189.86,59541
2021-09-17,190.33,191.225,188.48,188.91,80791
2021-09-20,183.62,185.04,181.76,184.84,92720
2021-09-21,185.58,186.48,184.05,184.05,84718
2021-09-22,186.17,188.89,186.17,187.6,55167
2021-09-23,189.98,194.94,189.81,193.62,64467
2021-09-24,193.51,196.2,193.51,194.5,31377
2021-09-27,197.63,200.39,197.63,200.18,34679
2021-09-28,200.73,202.08,197.09,197.74,79027
2021-09-29,197.795,198.98,196.9,197.37,94911
2021-09-30,197.75,198.49,195.51,195.58,49373
2021-10-01,194.8,199.89,194.055,198.18,45740
2021-10-04,198.05,200.7,196.49,198.08,65873
2021-10-05,198.44,202.02,198.44,200.42,77740
2021-10-06,199.39,200.98,196.87,200.86,78235
2021-10-07,203.01,203.57,201.29,201.79,64281
2021-10-08,202.17,203.87,200.875,203.035,33063
2021-10-11,204.53,204.8,200.995,201.03,73370
2021-10-12,200.65,203.78,200.14,203.265,96944
2021-10-13,202.08,202.67,198.4,201.78,53167
2021-10-14,202.665,203.01,200.39,202.61,81456
2021-10-15,195.69,202.17,195.38,199.14,237276
2021-10-18,198.92,200.89,198.375,200.89,69508
2021-10-19,201.32,206.84,201.32,206.84,70655
2021-10-20,206.395,212.98,205.61,212.88,110150
2021-10-21,212.43,213.34,210.66,212.68,76179
2021-10-22,215.18,217.41,214.89,215.98,93053
2021-10-26,216.3,217.18,215.665,216.115,57773
2021-10-27,215.11,216.405,212.79,212.87,66922
2021-10-28,214.01,214.88,212.52,213.03,75202
2021-10-29,213.73,214.5,210.46,211.03,60063
2021-11-01,213.095,213.295,209.765,210.66,67315
2021-11-02,210.12,210.54,209.04,210.16,44054
2021-11-03,209.58,213.545,209.3,212.72,66184
2021-11-04,211.25,211.25,206.05,207.73,81427
2021-11-05,209.645,211.08,205.78,206.97,33735
2021-11-08,208.03,208.59,206.715,208.185,40776
2021-11-09,206.37,207.905,205.205,207.005,45971
2021-11-10,207.68,208.23,205.15,205.49,72850
2021-11-11,205.88,206.82,205.605,205.61,50593
2021-11-12,205.545,205.545,202.3,203.52,74114
2021-11-15,204.37,205.21,203.34,204.84,71297
2021-11-16,204.995,206.49,203.95,205.45,55600
2021-11-17,205.21,205.21,201.49,202.48,79428
2021-11-18,202.695,203.795,200.675,200.85,58973
2021-11-19,199.03,199.65,195.96,199.41,58799
2021-11-22,202.615,206.475,200.96,204.23,74100
2021-11-23,205.81,209.19,205.26,209.11,68615
2021-11-24,208.565,210.21,207.42,208.56,59450
2021-11-26,200.87,201.21,196.96,200.28,56531
2021-11-29,203.465,203.47,199.66,200.87,88408
2021-11-30,197.66,200.25,196.34,196.83,130638
2021-12-01,201.795,202.29,195.32,195.32,88802
2021-12-02,198.145,203.29,197.15,201.91,60369
2021-12-03,201.53,201.62,196.07,197.76,66510
2021-12-06,199.35,202.36,198.03,199.89,58057
2021-12-07,201.265,204.38,201.115,203.21,49054
2021-12-08,203.54,203.59,200.58,202.04,30503
2021-12-09,199.89,202.67,199.89,200.71,36519
2021-12-10,203.52,203.92,199.63,201.51,46716
2021-12-13,200.0,200.085,195.945,196.2,63261
2021-12-14,197.6,201.215,196.96,198.805,48849
2021-12-15,199.66,200.24,196.23,198.06,53270
2021-12-16,200.45,204.84,199.91,201.73,51525
2021-12-17,199.67,199.67,195.17,197.17,61543
2021-12-20,193.735,193.735,189.4,192.59,69972
2021-12-21,194.26,198.63,194.26,196.9,37660
2021-12-22,196.61,197.775,196.29,197.08,28841
2021-12-23,200.77,200.77,197.88,197.88,26927
2021-12-27,199.44,201.27,197.9,201.085,34287
2021-12-28,201.89,202.65,200.86,201.165,21361
2021-12-29,201.33,202.315,200.41,201.24,18893
2021-12-30,201.99,202.98,200.895,200.97,21615
2021-12-31,201.29,201.72,200.35,200.53,38363
2022-01-03,204.49,208.43,204.22,208.22,95237
2022-01-04,211.37,218.69,211.37,215.89,132363
2022-01-05,217.99,218.235,212.25,212.415,90532
2022-01-06,218.25,220.62,215.09,220.62,130145
2022-01-07,220.99,224.36,220.905,223.66,154925
2022-01-10,225.72,225.84,220.94,222.37,111591
2022-01-11,223.37,224.42,220.95,223.94,153101
2022-01-12,223.905,226.52,222.395,225.02,87889
2022-01-13,227.02,228.07,226.32,226.51,121984
2022-01-14,222.165,224.5,220.27,222.155,203740
2022-01-18,222.21,224.06,215.535,216.915,192074
2022-01-19,218.63,218.63,208.41,208.62,139267
2022-01-20,207.765,211.71,206.39,207.04,138566
2022-01-21,205.76,206.38,199.48,201.11,138412
