date,open,high,low,close,volume
2021-07-21,70.02,70.4,69.28,69.32,37911
2021-07-22,68.78,69.07,68.025,68.18,59347
2021-07-23,68.66,68.66,67.91,68.46,48162
2021-07-26,68.62,69.04,68.17,68.625,66458
2021-07-27,67.76,72.105,67.575,71.93,173723
2021-07-28,72.61,72.61,71.04,71.31,44196
2021-07-29,71.715,72.785,71.19,72.755,60683
2021-07-30,73.05,73.81,72.74,73.7,69214
2021-08-02,74.06,74.78,73.75,74.47,106133
2021-08-03,74.565,76.86,74.18,76.71,62411
2021-08-04,76.65,77.755,76.3,76.67,42621
2021-08-05,76.76,77.385,76.05,76.43,28204
2021-08-06,76.67,77.17,76.23,77.1,41271
2021-08-09,76.74,77.32,76.66,76.82,27589
2021-08-10,77.005,78.27,77.005,77.58,29041
2021-08-11,77.64,79.275,77.34,79.275,53989
2021-08-12,79.365,79.47,78.84,79.33,44441
2021-08-13,79.56,79.915,79.34,79.51,36712
2021-08-16,79.05,80.36,79.05,80.3,77633
2021-08-17,79.705,79.78,78.255,78.89,35758
2021-08-18,78.385,79.14,77.76,77.86,36749
2021-08-19,77.04,78.38,77.04,78.23,82859
2021-08-20,78.59,79.205,78.4,78.82,29486
2021-08-23,79.36,79.36,78.22,78.58,36461
2021-08-24,78.7,78.94,78.26,78.73,44377
2021-08-25,78.42,79.21,78.42,79.07,26716
2021-08-26,76.37,77.255,75.38,76.96,57986
2021-08-27,77.215,77.215,76.44,76.67,188556
2021-08-30,77.005,77.54,76.705,77.26,103579
2021-08-31,77.27,77.58,76.9,77.18,54892
2021-09-01,77.29,77.7,76.71,77.45,47544
2021-09-02,77.95,78.54,77.95,78.47,47423
2021-09-03,78.03,78.2,77.31,77.865,77701
2021-09-07,77.65,77.66,76.44,76.48,53314
2021-09-08,75.9,77.39,75.9,77.13,40965
2021-09-09,77.27,77.465,75.955,76.2,52600
2021-09-10,76.73,77.155,76.195,76.51,59428
2021-09-13,77.1,77.72,75.11,75.84,55239
2021-09-14,76.12,76.18,75.47,75.98,49389
2021-09-15,76.16,78.225,76.06,77.77,53827
2021-09-16,77.87,77.87,77.065,77.49,43168
2021-09-17,77.17,77.64,76.0,76.22,80438
