date,open,high,low,close,volume
2021-07-21,84.955,85.415,83.585,83.585,9703
2021-07-22,83.45,83.65,82.81,83.2,26637
2021-07-23,83.93,84.71,83.81,84.58,14199
2021-07-26,84.73,84.95,84.39,84.85,18118
2021-07-27,84.75,86.65,84.65,86.36,18330
2021-07-28,85.87,86.39,84.535,85.3,25525
2021-07-29,85.47,85.77,85.155,85.4,11253
2021-07-30,84.37,85.1,83.31,83.53,19385
2021-08-02,83.82,84.79,82.89,83.12,51040
2021-08-03,82.635,82.635,80.155,80.95,144385
2021-08-04,78.85,79.075,77.09,78.26,80232
2021-08-05,77.87,79.62,76.925,79.475,47489
2021-08-06,79.575,81.02,79.5,80.34,57006
2021-08-09,80.4,80.415,79.64,80.365,52368
2021-08-10,80.21,81.16,79.745,80.33,36678
2021-08-11,80.915,80.915,80.175,80.36,41412
2021-08-12,80.35,80.52,79.61,79.73,26960
2021-08-13,79.7,80.13,79.63,79.77,23429
2021-08-16,79.825,80.95,79.745,80.12,46756
2021-08-17,80.02,80.24,79.35,80.11,29366
2021-08-18,79.67,80.25,79.17,80.18,33744
2021-08-19,80.5,81.2,80.03,80.05,63686
2021-08-20,79.11,80.46,78.58,80.11,34974
2021-08-23,80.235,80.42,78.8,78.84,48267
2021-08-24,78.7,78.7,77.78,77.78,29614
2021-08-25,77.0,78.21,77.0,77.765,24781
2021-08-26,77.49,77.53,76.52,76.71,40659
2021-08-27,77.41,77.94,77.095,77.34,30532
2021-08-30,76.74,77.1,76.47,76.485,43493
2021-08-31,76.3,77.34,76.3,76.99,29427
2021-09-01,77.13,78.2,77.085,77.81,37351
2021-09-02,77.99,78.36,77.66,78.245,25025
2021-09-03,78.13,78.13,77.14,77.14,27231
2021-09-07,76.82,76.87,75.73,75.74,14795
2021-09-08,75.46,76.61,75.46,76.355,67809
2021-09-09,76.2,76.205,75.53,75.58,51077
2021-09-10,75.085,75.385,74.525,74.525,39822
2021-09-13,75.165,75.525,74.68,75.095,60498
2021-09-14,75.4,75.4,73.09,73.98,130541
2021-09-15,73.775,74.425,73.24,73.9,68595
2021-09-16,73.625,74.02,73.25,73.345,22628
2021-09-17,73.395,74.65,73.395,73.885,40823
2021-09-20,73.65,74.12,72.98,73.63,40154
2021-09-21,74.195,74.37,73.41,73.41,45070
2021-09-22,73.54,73.585,72.82,72.94,13292
2021-09-23,73.09,73.49,72.56,72.59,16258
2021-09-24,73.05,73.29,72.58,72.58,29609
2021-09-27,72.865,73.79,72.165,72.27,27001
2021-09-28,72.27,72.89,71.5,71.69,39260
2021-09-29,71.92,73.03,71.42,72.37,65756
2021-09-30,72.61,72.84,72.2,72.38,61596
2021-10-01,72.44,72.78,72.05,72.075,38728
2021-10-04,72.37,74.39,72.37,73.975,44002
2021-10-05,73.7,73.925,72.56,72.735,49925
2021-10-06,72.38,74.23,72.11,74.135,32221
2021-10-07,70.35,70.35,68.1,68.23,170652
2021-10-08,67.98,68.42,65.95,66.56,100253
2021-10-11,66.64,67.51,66.51,67.5,154280
2021-10-12,67.62,67.68,66.53,66.75,112416
2021-10-13,66.43,66.68,65.23,66.49,68303
2021-10-14,66.76,67.81,66.33,67.52,110444
2021-10-15,67.92,68.31,67.64,68.08,121981
2021-10-18,67.38,67.38,66.0,67.04,74409
2021-10-19,67.1,67.75,66.68,67.22,46736
2021-10-20,67.52,68.63,67.52,68.39,78052
2021-10-21,68.26,68.645,67.31,67.31,50166
2021-10-22,67.38,67.38,66.62,67.03,34779
2021-10-26,67.085,68.62,66.89,67.56,52720
2021-10-27,68.035,68.26,67.16,67.295,34743
2021-10-28,66.96,66.99,65.56,66.41,74989
2021-10-29,66.44,66.68,64.45,64.47,80444
2021-11-01,64.56,65.69,64.31,65.03,89122
2021-11-02,65.35,65.35,64.26,64.77,30424
2021-11-03,64.66,65.185,64.03,65.01,94545
2021-11-04,65.105,65.33,62.815,63.62,109754
2021-11-05,62.97,65.8,62.96,64.61,77220
2021-11-08,64.62,64.62,62.91,63.69,67086
2021-11-09,63.87,64.56,63.24,63.36,39931
2021-11-10,63.56,64.64,63.08,64.59,66287
2021-11-11,64.35,65.27,64.17,65.27,59790
2021-11-12,64.93,66.13,64.805,66.115,64860
2021-11-15,66.01,66.2,65.565,65.92,53237
2021-11-16,66.0,66.66,65.99,66.12,94297
2021-11-17,65.91,66.53,65.81,66.27,48423
2021-11-18,66.28,66.32,65.15,65.9,54872
2021-11-19,66.115,67.18,65.785,66.96,94097
2021-11-22,66.72,68.06,66.46,67.89,103651
2021-11-23,68.0,68.7,66.925,67.15,76608
2021-11-24,67.29,67.54,66.63,66.75,54673
2021-11-26,66.01,66.01,65.04,65.305,52531
2021-11-29,65.56,66.485,65.12,66.27,92301
2021-11-30,65.82,65.89,64.41,65.03,113517
2021-12-01,65.56,65.625,64.06,64.07,60666
2021-12-02,64.34,66.095,64.3,65.51,53552
2021-12-03,65.69,66.23,64.765,66.2,33825
2021-12-06,66.92,67.54,66.24,66.43,47403
2021-12-07,66.17,66.85,65.76,66.55,35388
2021-12-08,66.43,67.28,66.43,66.67,19200
2021-12-09,65.91,67.04,65.91,66.69,28558
2021-12-10,66.88,67.2,66.12,66.27,94413
2021-12-13,66.47,67.47,66.4,66.98,70946
2021-12-14,67.0,68.31,67.0,67.27,40464
2021-12-15,67.62,67.82,67.24,67.6,33735
2021-12-16,67.83,68.62,67.83,68.26,37759
2021-12-17,68.22,68.39,67.44,67.8,50912
2021-12-20,67.13,67.83,66.45,67.7,22343
2021-12-21,68.08,68.6,66.81,67.69,35068
2021-12-22,67.72,68.67,67.72,68.52,18910
2021-12-23,69.11,69.34,68.91,68.91,37346
2021-12-27,68.83,69.09,68.51,68.895,17648
2021-12-28,68.815,69.82,68.815,69.73,15801
2021-12-29,69.92,70.07,69.63,69.93,21611
2021-12-30,70.16,70.71,69.945,70.51,27660
2021-12-31,70.66,71.19,70.315,70.58,34640
2022-01-03,70.65,70.92,69.16,69.78,19273
2022-01-04,69.86,70.42,69.62,69.66,24221
2022-01-05,68.15,70.36,68.15,69.9,36811
2022-01-06,70.11,70.65,69.76,70.1,25119
2022-01-07,70.0,71.47,69.96,70.8,46719
2022-01-10,71.045,71.185,70.21,70.64,32432
2022-01-11,70.97,71.04,69.7,70.27,31553
2022-01-12,70.37,70.7,70.09,70.09,33672
2022-01-13,70.05,71.45,70.045,71.45,42291
2022-01-14,71.48,72.535,71.28,72.39,28216
2022-01-18,72.125,72.33,69.67,69.78,95843
2022-01-19,70.08,71.315,69.96,70.96,40984
2022-01-20,71.28,71.94,70.84,71.01,48842
2022-01-21,71.11,71.61,70.39,70.71,45967
2022-01-24,70.79,70.98,70.02,70.535,8257
2022-01-25,70.27,71.47,69.995,70.95,47753
2022-01-26,71.13,72.025,69.54,69.89,32459
2022-01-27,69.98,70.81,69.47,69.86,60487
2022-01-28,69.815,70.98,69.52,70.84,53357
2022-01-31,69.66,69.93,68.97,69.63,60300
2022-02-01,69.16,69.46,68.59,69.23,27529
2022-02-02,69.16,70.55,69.08,70.48,28535
2022-02-03,70.36,70.83,70.22,70.54,38183
2022-02-04,70.24,70.755,69.57,70.33,28676
2022-02-07,70.315,70.955,69.84,70.67,56276
2022-02-08,71.23,71.37,70.26,70.53,41764
2022-02-09,70.88,71.1,70.52,70.89,23304
2022-02-10,70.35,70.54,68.62,68.72,28836
2022-02-11,69.03,69.755,68.83,68.915,30139
2022-02-14,68.6,68.6,67.61,68.38,25484
2022-02-15,68.79,69.1,67.55,67.83,31573
2022-02-16,68.2,68.74,67.86,68.3,48974
2022-02-17,68.04,68.79,67.69,68.75,32864
2022-02-18,68.7,69.44,68.34,68.88,36283
2022-02-22,68.415,69.065,68.04,68.91,32516
2022-02-23,69.19,69.295,67.89,67.94,38227
2022-02-24,67.5,67.775,66.16,67.37,47458
2022-02-25,69.58,72.29,69.25,71.99,146301
2022-02-28,71.35,71.47,69.65,70.82,46038
2022-03-01,70.57,70.64,68.9,69.83,59603
2022-03-02,69.94,70.98,69.74,70.62,24990
2022-03-03,70.8,73.23,70.8,73.23,49107
2022-03-04,72.585,74.5,72.31,74.49,33153
2022-03-07,74.78,76.06,74.22,75.37,77840
2022-03-09,74.15,74.15,73.165,73.28,30995
2022-03-10,73.1,74.42,72.92,74.23,29768
2022-03-11,74.07,74.87,73.64,73.73,44685
2022-03-14,74.72,74.72,72.61,73.24,58960
2022-03-15,73.735,73.9,73.12,73.74,35978
2022-03-16,73.43,74.19,72.435,74.08,24916
2022-03-17,73.58,74.815,73.49,74.35,37035
2022-03-18,74.55,74.55,72.8,72.96,60766
2022-03-21,73.26,74.16,73.26,74.11,30949
2022-03-22,74.36,74.36,72.9,73.44,28368
2022-03-23,73.85,73.88,73.15,73.73,19817
2022-03-24,73.76,74.27,73.58,73.91,12230
2022-03-25,74.49,76.04,74.49,75.93,20732
2022-03-28,75.99,76.8,75.93,76.73,69567
2022-03-29,77.18,77.59,76.83,77.58,40425
2022-03-30,77.41,77.73,77.1,77.69,57756
2022-03-31,77.55,78.685,77.29,78.13,21858
2022-04-01,78.05,79.33,77.69,79.33,29004
2022-04-04,79.09,79.09,77.88,78.82,29930
2022-04-05,79.33,79.75,78.34,78.52,34372
2022-04-06,79.215,80.51,78.59,80.51,26809
2022-04-07,79.62,79.79,78.58,78.89,47437
2022-04-08,79.04,79.81,78.755,78.815,27346
2022-04-11,78.94,79.05,77.68,78.23,35647
2022-04-12,77.885,78.79,77.43,78.29,63886
2022-04-13,78.36,78.36,76.91,77.29,24480
2022-04-14,77.765,78.05,77.47,77.52,11488
2022-04-18,77.95,77.95,76.745,77.11,18525
2022-04-19,76.855,77.945,76.855,77.84,19582
2022-04-20,78.65,78.765,77.93,77.97,25963
2022-04-21,77.83,78.66,77.83,77.86,23982
2022-04-22,77.42,78.055,77.23,77.28,30201
2022-04-25,77.46,77.46,75.675,76.75,38048
2022-04-26,75.75,76.94,75.465,75.48,28835
2022-04-27,75.0,75.6,74.07,74.445,40015
2022-04-28,74.55,74.99,74.13,74.505,24201
2022-04-29,73.81,73.84,71.11,71.24,27108
2022-05-02,72.005,72.3,70.475,71.23,37105
2022-05-03,71.69,72.995,71.59,72.2,49536
2022-05-04,73.2,74.51,72.72,74.22,110029
2022-05-05,73.52,73.74,72.14,72.85,87534
2022-05-06,72.96,74.32,72.54,74.15,34490
2022-05-09,73.92,75.14,72.9,74.23,34874
2022-05-10,74.815,75.13,71.93,72.65,24245
2022-05-11,72.585,74.49,72.585,73.7,56798
2022-05-12,73.54,73.71,72.21,73.41,27817
2022-05-13,73.56,73.56,72.585,73.27,29640
2022-05-16,73.19,74.0,72.77,73.72,29738
2022-05-17,73.48,74.5,73.03,74.5,14754
2022-05-18,74.59,75.57,74.27,74.58,30069
2022-05-19,74.71,75.7,73.81,75.51,43875
2022-05-20,75.5,75.5,73.77,75.34,34597
2022-05-23,75.74,76.32,74.96,75.12,33980
2022-05-24,75.31,77.7,74.49,77.58,32071
2022-05-25,77.7,78.04,77.385,77.75,20157
2022-05-26,78.25,78.97,78.12,78.255,13623
2022-05-27,78.13,78.98,78.105,78.72,26488
2022-05-31,78.05,78.155,77.28,77.64,28500
2022-06-01,77.56,77.71,76.54,77.42,41351
2022-06-02,77.375,77.71,75.905,77.575,36946
2022-06-03,77.36,77.86,77.28,77.46,13315
2022-06-06,77.45,78.14,77.36,78.08,11433
2022-06-07,77.69,77.69,76.21,77.24,24362
2022-06-08,76.265,76.88,74.33,74.59,52325
2022-06-09,74.765,75.46,73.305,73.425,25264
2022-06-10,72.45,74.44,72.45,73.73,32502
2022-06-13,73.23,73.84,70.88,71.27,51768
2022-06-14,70.81,70.93,67.19,68.2,42796
2022-06-15,68.29,69.66,67.265,68.29,105692
2022-06-16,67.37,68.235,67.07,67.52,116241
2022-06-17,67.9,67.9,65.2,65.92,30163
2022-06-21,66.44,67.95,66.07,67.31,64556
2022-06-22,67.31,68.81,67.28,68.31,34327
2022-06-23,68.52,70.24,68.52,69.96,39483
2022-06-24,70.19,72.235,70.15,71.755,60145
2022-06-27,71.56,72.72,71.535,72.72,19107
2022-06-28,72.96,73.54,72.96,73.21,30657
2022-06-29,73.16,73.16,71.56,72.345,56927
2022-06-30,71.505,73.56,71.505,73.11,28646
2022-07-01,73.41,74.91,73.205,74.6,54819
2022-07-05,73.495,73.495,70.175,71.65,38847
2022-07-06,71.62,72.45,70.91,71.9,49203
2022-07-07,72.0,72.0,71.09,71.315,25233
2022-07-08,71.02,71.405,70.42,70.85,42977
2022-07-11,70.9,71.54,70.375,71.48,28284
2022-07-12,71.12,71.79,70.65,71.03,25125
2022-07-13,70.515,70.75,69.62,69.945,52185
2022-07-14,69.27,70.55,69.22,70.435,37423
2022-07-15,70.775,70.96,69.505,70.73,46011
2022-07-18,70.0,70.77,69.73,69.95,52034
2022-07-19,70.4,70.55,69.77,70.26,76653
2022-07-20,70.365,70.375,69.05,69.69,52444
2022-07-21,69.655,69.655,69.06,69.38,25439
2022-07-22,69.86,70.32,69.62,70.26,17239
2022-07-25,70.14,71.46,70.05,71.44,39870
2022-07-26,71.44,72.47,71.43,72.26,33747
2022-07-27,72.05,72.21,71.39,72.07,24792
2022-07-28,72.705,73.79,72.31,73.67,30396
2022-07-29,72.755,73.63,72.55,73.49,51954
2022-08-01,73.69,74.085,73.045,73.8,56167
2022-08-02,73.955,74.69,73.63,73.75,42897
2022-08-03,74.26,75.53,73.35,75.25,90939
2022-08-04,75.415,77.21,75.05,76.59,57191
2022-08-05,76.28,76.42,74.24,75.44,64673
2022-08-08,76.13,76.145,75.06,75.605,54319
2022-08-09,76.08,76.32,75.495,76.3,23797
