date,open,high,low,close,volume
2021-07-21,159.09,160.885,157.22,159.97,211307
2021-07-22,160.27,160.95,159.44,160.5,187611
2021-07-23,161.76,163.35,161.245,163.04,72682
2021-07-26,164.325,165.04,163.02,164.93,110138
2021-07-27,163.85,165.59,163.09,165.13,62103
2021-07-28,165.01,165.755,162.72,163.35,119754
2021-07-29,164.05,164.13,162.34,162.83,74598
2021-07-30,163.225,164.42,162.43,163.53,98194
2021-08-02,164.52,166.6,163.07,163.33,73141
2021-08-03,163.87,165.67,162.29,165.61,44925
2021-08-04,164.35,165.885,163.75,163.84,73809
2021-08-05,165.79,165.79,162.84,162.935,112875
2021-08-06,164.41,164.88,163.745,164.24,48671
2021-08-09,163.15,164.52,162.6,164.32,51915
2021-08-10,165.25,167.6,165.15,167.31,46501
2021-08-11,167.455,170.26,166.59,170.2,51517
2021-08-12,169.04,170.61,167.93,170.425,42427
2021-08-13,170.175,170.32,168.995,169.73,30533
2021-08-16,168.61,169.675,167.66,169.42,28095
2021-08-17,168.08,168.18,164.365,166.57,55857
2021-08-18,165.7,166.35,164.42,164.58,32497
2021-08-19,162.5,163.66,160.98,161.04,51067
2021-08-20,161.75,162.43,159.94,161.16,77078
2021-08-23,161.555,163.22,161.41,162.31,33964
2021-08-24,162.82,163.44,162.245,162.95,28819
2021-08-25,162.0,163.665,161.235,163.4,82751
2021-08-26,162.68,162.92,161.025,161.2,32925
2021-08-27,161.815,162.87,161.55,161.71,45485
2021-08-30,162.31,162.9,161.69,161.79,25528
2021-08-31,160.88,161.73,158.71,159.54,64489
2021-09-01,159.09,159.35,156.62,157.75,47711
2021-09-02,157.99,159.82,157.73,158.435,57148
2021-09-03,158.47,158.81,155.405,155.665,37096
2021-09-07,149.325,153.63,149.325,150.44,160305
2021-09-08,149.47,151.355,148.61,151.03,234413
2021-09-09,149.15,155.54,149.15,154.63,101986
2021-09-10,155.22,155.54,153.04,153.1,56962
2021-09-13,154.82,154.82,151.65,152.48,22585
2021-09-14,152.57,152.57,150.1,150.37,31638
2021-09-15,150.065,151.595,149.98,150.71,83763
2021-09-16,150.605,150.765,149.085,149.74,53663
2021-09-17,148.715,148.715,146.4,146.66,43732
2021-09-20,144.43,146.51,143.88,146.3,42950
2021-09-21,147.005,147.12,145.29,145.67,69792
2021-09-22,146.52,147.195,145.16,145.24,54177
2021-09-23,146.39,147.97,146.33,146.53,64712
2021-09-24,146.41,149.155,146.26,148.55,47188
2021-09-27,149.18,150.21,148.0,148.265,42694
2021-09-28,148.52,148.74,145.745,146.0,43037
2021-09-29,145.31,147.46,145.0,145.75,30158
2021-09-30,146.52,147.0,143.01,143.01,38077
2021-10-01,143.36,145.11,141.89,143.95,42038
2021-10-04,144.03,145.7,142.7,143.99,54812
2021-10-05,144.42,146.96,143.6,145.89,55149
2021-10-06,145.12,146.85,143.305,146.775,36655
2021-10-07,148.55,151.66,148.55,150.52,81331
2021-10-08,150.86,151.31,149.405,150.75,64200
2021-10-11,151.59,153.63,151.52,151.87,50601
2021-10-12,151.53,153.28,151.18,152.86,73132
2021-10-13,153.8,155.03,152.005,154.825,61973
2021-10-14,155.895,159.06,155.085,158.89,75707
2021-10-15,159.01,161.56,158.72,160.21,70532
2021-10-18,158.885,159.81,157.33,157.41,103515
2021-10-19,158.0,159.09,157.25,158.98,51688
2021-10-20,160.53,161.16,156.72,160.46,112033
2021-10-21,159.85,165.16,159.35,164.98,166225
2021-10-22,163.165,164.9,161.63,161.72,118721
2021-10-26,160.0,162.46,159.75,161.875,37002
2021-10-27,162.065,162.75,160.28,161.5,64272
2021-10-28,162.87,163.7,161.74,163.035,49402
2021-10-29,162.6,163.95,159.415,160.54,42913
2021-11-01,160.27,161.03,158.4,158.99,36806
2021-11-02,160.18,162.275,159.495,161.87,71692
2021-11-03,161.18,163.565,160.19,162.76,49410
2021-11-04,163.32,164.15,162.27,163.28,31248
2021-11-05,165.02,165.42,162.83,163.02,55620
2021-11-08,163.54,164.58,162.125,162.47,43822
2021-11-09,163.04,163.76,161.095,161.445,70185
2021-11-10,161.61,163.33,160.47,160.72,64894
2021-11-11,160.595,160.78,158.58,159.465,84311
2021-11-12,159.75,161.91,159.205,161.65,82506
2021-11-15,161.725,162.94,160.35,162.94,36580
2021-11-16,163.5,166.92,163.5,164.85,74757
2021-11-17,164.67,164.67,163.555,164.24,62172
2021-11-18,164.48,164.85,162.055,162.32,59831
