date,open,high,low,close,volume
2021-07-21,72.5,74.29,72.39,73.71,108533
2021-07-22,72.87,73.1,71.41,72.3,85062
2021-07-23,72.02,72.605,71.43,72.17,84490
2021-07-26,72.43,74.31,72.43,74.31,49647
2021-07-27,73.2,74.64,72.87,74.55,58584
2021-07-28,74.84,75.87,73.79,75.2,73101
2021-07-29,76.195,76.395,74.665,74.77,105805
2021-07-30,74.23,74.71,73.035,73.34,100432
2021-08-02,73.62,76.15,73.26,73.51,301667
2021-08-03,73.75,76.08,73.17,76.08,172780
2021-08-04,73.6,73.8,71.61,71.62,106978
2021-08-05,72.4,74.28,72.17,73.395,75003
2021-08-06,74.59,74.59,73.46,73.96,30691
2021-08-09,72.95,73.89,72.685,72.98,81950
2021-08-10,73.53,74.49,73.19,74.2,60219
2021-08-11,73.98,74.53,73.46,74.395,54378
2021-08-12,74.36,74.62,73.41,74.46,52014
2021-08-13,74.58,74.96,73.795,73.87,64322
2021-08-16,72.92,72.92,71.51,71.85,114569
2021-08-17,70.25,71.26,69.45,69.91,47305
2021-08-18,69.93,70.65,68.045,68.135,100780
2021-08-19,66.855,67.12,65.37,66.23,86676
2021-08-20,65.26,66.485,64.47,65.94,94345
2021-08-23,67.61,68.985,67.61,68.81,85126
2021-08-24,69.59,71.21,69.23,70.94,84949
2021-08-25,70.93,72.64,70.93,72.22,78797
2021-08-26,70.91,71.715,70.5,70.69,75351
2021-08-27,71.265,73.16,71.265,72.62,52959
2021-08-30,73.45,73.45,71.585,71.59,52824
2021-08-31,71.01,72.18,70.69,71.105,74986
2021-09-01,71.285,71.42,68.94,69.155,101538
2021-09-02,69.86,71.145,69.68,69.87,85741
2021-09-03,69.825,70.38,69.07,69.6,62419
2021-09-07,69.37,70.37,68.725,68.73,61793
2021-09-08,69.2,69.49,66.955,66.965,57947
2021-09-09,66.26,68.17,66.26,66.73,70687
2021-09-10,67.69,67.69,66.15,66.37,92007
2021-09-13,67.15,67.92,66.71,67.26,79466
2021-09-14,67.76,67.76,64.975,65.235,76294
2021-09-15,65.895,66.885,65.52,66.02,126468
2021-09-16,65.805,66.445,65.2,65.72,97098
2021-09-17,66.06,66.57,65.29,66.05,85660
2021-09-20,64.4,65.3,63.23,64.25,64268
2021-09-21,65.0,65.145,63.61,64.34,52602
2021-09-22,65.75,67.97,65.75,67.0,100817
2021-09-23,67.24,68.85,67.24,68.64,80777
2021-09-24,67.95,68.435,67.49,68.02,116583
2021-09-27,69.46,71.5,69.46,71.13,86136
2021-09-28,72.27,72.8,70.79,70.895,103630
2021-09-29,70.57,70.81,69.76,69.98,81917
2021-09-30,70.28,70.84,69.09,70.01,100548
2021-10-01,70.305,72.77,70.18,72.53,70755
2021-10-04,72.95,75.93,72.315,75.73,234574
2021-10-05,77.2,78.91,75.75,77.36,179260
2021-10-06,76.94,78.665,76.32,78.38,214640
2021-10-07,78.7,79.95,78.56,79.3,106139
2021-10-08,80.015,82.635,79.73,82.11,146808
2021-10-11,82.93,84.51,82.02,82.02,122082
2021-10-12,81.97,83.29,81.97,82.63,61108
2021-10-13,81.9,82.39,80.595,81.88,120075
2021-10-14,83.24,83.46,81.74,82.19,117302
2021-10-15,82.8,83.1,81.19,81.19,86882
2021-10-18,82.08,82.58,80.4,80.86,53752
2021-10-19,81.535,82.875,81.28,82.8,100389
2021-10-20,82.12,83.33,81.9,83.33,76687
2021-10-21,82.97,84.21,81.86,82.78,61845
2021-10-22,83.07,83.73,81.57,82.84,63056
2021-10-26,83.605,83.69,81.975,82.345,64796
2021-10-27,80.68,80.81,77.145,77.34,247294
2021-10-28,76.63,77.955,76.03,76.81,155746
2021-10-29,77.17,77.53,74.08,74.76,143195
2021-11-01,75.41,78.15,75.41,78.14,268489
2021-11-02,78.46,79.95,77.565,77.565,156223
2021-11-03,77.315,79.51,77.17,78.96,114004
2021-11-04,79.57,79.57,76.34,76.91,140876
2021-11-05,77.865,78.38,76.635,77.79,134599
2021-11-08,78.59,79.02,77.43,78.0,39803
2021-11-09,78.11,79.22,77.3,79.2,52413
2021-11-10,79.0,79.76,77.155,77.55,84567
2021-11-11,77.61,78.7,77.18,77.89,52047
2021-11-12,77.075,78.06,76.585,77.48,74604
2021-11-15,77.98,79.545,77.285,78.92,175059
2021-11-16,78.05,78.5,76.65,76.98,101787
2021-11-17,75.91,76.53,74.48,74.7,88872
2021-11-18,74.49,74.84,73.03,73.72,83170
2021-11-19,72.12,72.25,69.52,69.63,166317
2021-11-22,69.79,73.395,69.715,72.2,148851
2021-11-23,73.26,74.045,72.9,73.855,178447
2021-11-24,73.27,74.72,73.22,73.88,76654
2021-11-26,69.765,69.95,67.1,69.23,147655
2021-11-29,71.05,71.835,69.02,69.84,117081
2021-11-30,68.35,69.725,68.125,69.15,190586
2021-12-01,71.095,71.82,68.63,68.63,160624
2021-12-02,68.89,71.71,67.94,71.41,123623
2021-12-03,72.31,72.71,69.47,69.98,120746
2021-12-06,71.09,72.29,69.635,71.09,126728
2021-12-07,72.11,74.09,72.09,72.5,89419
2021-12-08,72.77,72.985,71.72,71.85,76852
2021-12-09,71.96,72.715,71.285,72.31,102546
2021-12-10,73.0,73.16,71.365,72.52,61073
2021-12-13,71.625,71.65,69.53,69.67,58404
2021-12-14,69.61,72.42,69.525,70.71,191573
2021-12-15,70.675,71.0,69.26,70.5,60613
2021-12-16,71.25,72.4,70.85,70.95,80835
2021-12-17,70.93,71.84,69.56,71.82,133756
2021-12-20,69.81,70.96,68.69,69.375,283185
2021-12-21,70.24,72.765,70.24,72.2,162085
2021-12-22,72.17,72.95,71.595,71.62,76056
2021-12-23,72.26,73.15,71.85,71.9,61260
2021-12-27,71.245,72.815,70.82,72.8,62625
2021-12-28,73.15,74.17,73.06,73.93,92392
2021-12-29,73.06,73.87,72.8,72.85,58038
