date,open,high,low,close,volume
2021-07-21,19.225,19.52,19.19,19.24,249002
2021-07-22,19.2,19.325,18.87,18.95,298927
2021-07-23,19.235,19.695,18.97,19.1,291547
2021-07-26,19.22,19.51,19.155,19.335,102933
2021-07-27,19.05,19.45,19.02,19.39,70917
2021-07-28,19.565,19.64,19.05,19.41,128661
2021-07-29,19.59,19.775,19.395,19.525,152213
2021-07-30,19.42,19.68,19.185,19.25,208457
2021-08-02,19.41,19.885,19.11,19.11,152105
2021-08-03,19.23,19.665,18.83,19.615,200648
2021-08-04,19.25,19.61,19.23,19.26,66770
2021-08-05,19.54,19.61,19.395,19.51,107573
2021-08-06,19.82,20.175,19.78,19.975,153770
2021-08-09,19.855,20.15,19.635,19.895,92024
2021-08-10,19.83,20.25,19.785,20.185,143822
2021-08-11,20.28,20.71,20.065,20.625,127994
2021-08-12,20.65,20.8,20.415,20.79,150083
2021-08-13,20.87,20.87,20.435,20.52,101253
2021-08-16,20.32,20.45,20.095,20.325,185356
2021-08-17,20.13,20.245,19.725,19.93,70809
2021-08-18,19.82,20.21,19.76,19.81,88711
2021-08-19,19.56,19.83,19.44,19.68,692423
2021-08-20,19.63,20.035,19.55,20.03,175632
2021-08-23,20.25,20.455,20.11,20.36,136235
2021-08-24,20.4,20.635,20.38,20.6,245472
2021-08-25,20.73,21.185,20.61,20.925,88353
2021-08-26,21.05,21.05,20.44,20.545,156521
2021-08-27,20.6,21.07,20.56,20.925,264789
2021-08-30,20.82,20.88,20.325,20.365,106685
2021-08-31,20.4,20.615,20.305,20.445,240010
2021-09-01,20.47,20.47,20.01,20.135,363500
2021-09-02,20.01,20.185,19.91,20.04,211253
2021-09-03,20.0,20.08,19.58,19.71,155791
2021-09-07,19.78,20.09,19.675,19.695,102629
2021-09-08,19.45,19.61,19.265,19.49,165951
2021-09-09,19.44,19.92,19.44,19.645,99895
2021-09-10,19.86,19.87,19.48,19.48,195132
2021-09-13,19.795,19.945,19.59,19.89,383103
2021-09-14,19.94,20.005,19.34,19.46,364659
2021-09-15,19.53,19.88,19.505,19.8,219490
2021-09-16,19.91,20.085,19.745,19.835,176836
2021-09-17,19.92,20.03,19.75,19.83,237134
2021-09-20,19.13,19.27,18.81,19.15,251844
2021-09-21,19.33,19.335,18.96,19.115,186215
2021-09-22,19.4,19.71,19.375,19.52,291045
2021-09-23,19.85,20.61,19.83,20.39,390404
2021-09-24,20.41,20.765,20.39,20.64,267922
2021-09-27,20.9,21.84,20.9,21.755,403487
2021-09-28,21.95,21.95,21.51,21.58,246634
2021-09-29,21.76,21.78,21.525,21.685,126323
2021-09-30,21.76,21.76,21.3,21.3,125031
2021-10-01,21.44,21.9,21.25,21.75,123217
2021-10-04,21.74,22.045,21.71,21.835,167083
2021-10-05,21.95,22.125,21.74,21.84,156528
2021-10-06,21.68,21.815,21.26,21.7,179208
2021-10-07,21.85,22.03,21.74,21.855,199767
2021-10-08,21.87,22.135,21.735,22.02,135405
