date,open,high,low,close,volume
2021-07-21,115.42,115.54,114.8,114.865,34122
2021-07-22,114.74,115.32,114.36,114.995,39061
2021-07-23,115.225,116.25,115.225,116.21,38414
2021-07-26,116.01,116.32,115.55,115.8,57395
2021-07-27,115.73,117.275,115.72,116.07,70207
2021-07-28,116.005,116.005,115.09,115.33,44226
2021-07-29,116.1,116.4,115.52,115.52,47965
2021-07-30,115.7,118.51,115.7,118.45,95599
2021-08-02,118.555,118.83,117.12,118.03,73572
2021-08-03,118.3,120.11,118.23,119.74,57029
2021-08-04,119.72,120.5,118.79,119.15,71288
2021-08-05,119.43,119.84,117.74,118.235,43497
2021-08-06,118.58,119.35,118.24,118.25,65966
2021-08-09,118.465,118.53,117.675,117.78,32541
2021-08-10,117.54,118.445,117.26,117.42,30470
2021-08-11,117.87,119.74,117.87,119.715,47805
2021-08-12,119.58,120.38,119.58,120.13,50804
2021-08-13,120.51,120.71,120.08,120.57,18740
2021-08-16,120.28,121.75,120.1,121.75,42411
2021-08-17,121.46,121.91,120.74,121.33,21838
2021-08-18,120.73,121.22,119.31,119.32,30079
2021-08-19,118.78,121.38,118.72,121.08,34200
2021-08-20,120.655,122.265,120.655,122.1,47481
2021-08-23,122.1,122.55,121.59,121.59,20885
2021-08-24,121.885,122.48,121.805,122.455,35190
2021-08-25,122.605,122.79,122.27,122.625,69031
2021-08-26,122.64,123.18,122.525,123.14,58057
2021-08-27,123.58,124.01,123.26,123.55,68518
2021-08-30,123.61,124.53,123.445,124.27,31285
2021-08-31,124.13,124.88,123.61,124.155,23692
2021-09-01,123.64,124.88,123.06,124.81,28503
2021-09-02,124.9,126.12,124.895,126.12,30512
2021-09-03,125.97,126.04,125.28,125.48,31602
2021-09-07,124.68,124.685,123.24,123.335,55897
2021-09-08,123.13,125.08,123.13,124.62,34963
2021-09-09,124.49,124.8,123.88,123.94,44382
2021-09-10,124.26,124.86,123.93,124.21,39111
2021-09-13,125.03,126.125,124.13,124.84,62115
2021-09-14,125.44,125.94,124.72,124.97,59834
2021-09-15,124.86,126.21,124.86,125.3,36623
2021-09-16,125.51,125.51,124.0,124.08,45061
2021-09-17,123.32,123.8,122.71,123.47,43028
2021-09-20,122.35,124.04,121.95,123.53,82995
2021-09-21,124.175,125.14,123.57,123.57,33313
2021-09-22,124.08,125.01,123.815,124.45,28547
2021-09-23,125.16,125.68,124.355,124.57,39278
2021-09-24,124.57,125.38,124.57,124.76,43700
2021-09-27,124.46,124.46,122.355,122.83,60585
2021-09-28,121.91,122.115,120.37,120.83,42334
2021-09-29,121.31,122.74,121.19,122.49,51597
2021-09-30,122.585,122.645,120.13,120.13,68137
2021-10-01,120.115,121.355,118.445,120.69,41285
2021-10-04,121.155,121.43,119.06,120.09,45363
2021-10-05,120.32,121.83,119.405,121.43,48239
2021-10-06,120.935,123.64,120.8,123.55,101813
2021-10-07,124.5,125.92,124.39,125.06,71318
2021-10-08,124.88,126.0,124.235,125.64,38249
2021-10-11,125.61,127.085,125.6,126.155,50668
2021-10-12,126.84,127.6,126.02,126.21,32892
2021-10-13,126.26,126.81,124.84,126.6,78946
2021-10-14,127.45,128.71,127.15,128.67,47581
2021-10-15,128.85,129.54,127.69,127.7,24173
2021-10-18,127.15,127.86,127.0,127.36,28755
2021-10-19,127.92,128.43,127.39,128.42,38428
2021-10-20,128.51,129.81,128.34,129.53,29834
2021-10-21,130.11,131.41,129.32,131.27,37364
2021-10-22,131.64,133.345,131.435,133.3,30156
2021-10-26,130.415,130.95,128.86,130.41,116826
2021-10-27,130.37,130.58,129.09,129.13,60406
2021-10-28,129.475,130.315,128.78,129.93,78730
2021-10-29,145.55,145.55,132.57,134.67,243523
2021-11-01,135.42,135.55,132.43,132.67,93188
2021-11-02,133.175,135.4,132.69,134.13,65233
2021-11-03,134.69,134.98,132.105,132.38,50122
2021-11-04,132.585,133.65,132.585,133.54,34455
2021-11-05,133.93,134.09,132.66,132.72,43502
2021-11-08,133.42,133.705,132.08,133.13,44132
2021-11-09,133.17,133.4,132.625,133.16,32407
2021-11-10,133.29,134.5,133.135,134.48,56907
2021-11-11,134.3,134.61,133.565,133.67,31748
2021-11-12,133.75,135.9,133.69,135.275,43218
2021-11-15,135.045,135.36,134.845,135.26,25595
2021-11-16,135.76,136.63,135.25,136.44,40341
2021-11-17,136.42,137.675,136.38,137.45,43210
2021-11-18,136.84,137.75,136.84,137.47,45465
2021-11-19,137.48,138.035,135.69,136.45,39830
2021-11-22,136.355,137.56,136.315,136.95,55468
2021-11-23,136.94,137.94,136.65,137.85,23578
2021-11-24,137.43,138.55,137.16,138.43,31203
2021-11-26,137.57,137.6,134.86,135.04,59557
2021-11-29,136.02,138.92,136.02,138.24,31344
2021-11-30,137.7,137.7,131.4,132.46,83236
2021-12-01,133.8,135.795,131.925,131.925,81299
2021-12-02,133.81,136.84,133.81,136.11,100891
2021-12-03,136.65,136.65,134.15,135.51,34180
2021-12-06,136.18,137.19,134.705,135.285,40606
2021-12-07,135.91,137.66,134.94,135.56,75900
2021-12-08,135.68,136.06,134.17,135.28,36501
2021-12-09,135.015,135.77,134.12,134.52,38052
2021-12-10,135.0,136.3,134.745,135.44,37541
2021-12-13,136.51,136.9,135.31,136.12,52855
2021-12-14,135.92,135.985,134.67,135.49,46021
2021-12-15,136.21,137.34,135.96,137.12,58462
2021-12-16,137.49,139.78,137.15,139.08,88480
2021-12-17,138.675,138.675,134.94,134.995,61841
2021-12-20,134.15,134.26,132.07,133.69,73025
2021-12-21,134.82,134.85,132.57,133.31,52293
2021-12-22,133.44,134.39,132.96,134.26,20736
2021-12-23,134.43,136.03,134.43,135.43,33183
2021-12-27,136.02,137.39,136.02,137.26,15757
2021-12-28,137.35,138.52,137.35,138.44,14575
2021-12-29,138.69,139.565,138.45,139.42,17911
2021-12-30,139.87,139.87,138.51,138.61,19087
2021-12-31,138.27,140.09,138.04,139.45,16416
2022-01-03,137.98,137.98,133.71,135.425,85243
2022-01-04,135.85,137.61,135.85,136.64,28978
2022-01-05,136.745,136.745,133.79,134.15,106943
2022-01-06,134.15,136.095,133.68,134.43,81156
2022-01-07,134.055,134.31,132.645,133.79,52386
2022-01-10,132.52,132.52,130.42,131.63,85076
2022-01-11,131.725,132.09,130.12,132.09,98625
2022-01-12,132.38,132.38,130.75,131.91,89954
2022-01-13,131.58,132.14,130.26,130.6,101536
2022-01-14,129.91,130.26,128.99,129.89,65325
2022-01-18,128.605,129.27,127.48,128.61,120917
2022-01-19,128.835,130.39,128.155,129.07,65876
2022-01-20,129.625,130.725,128.26,128.43,82068
2022-01-21,128.28,130.0,127.64,128.12,97526
2022-01-24,126.94,127.09,125.61,126.385,18556
2022-01-25,126.25,126.74,123.75,124.69,134646
2022-01-26,125.3,127.3,124.265,125.035,87986
2022-01-27,126.3,127.25,123.2,123.34,141514
2022-01-28,123.355,126.59,122.53,126.55,132691
2022-01-31,125.78,127.755,125.73,127.59,106440
2022-02-01,127.465,128.16,124.53,126.0,173250
2022-02-02,125.72,128.91,125.085,128.68,106909
2022-02-03,128.125,129.02,126.88,127.05,75737
2022-02-04,126.19,127.9,125.31,126.45,70375
2022-02-07,126.74,127.77,126.23,126.41,64018
2022-02-08,126.66,127.225,125.84,126.97,91749
2022-02-09,125.755,128.25,125.39,127.65,186198
2022-02-10,126.125,128.195,125.05,125.65,226883
2022-02-11,124.95,125.33,119.19,120.17,319291
2022-02-14,120.15,120.385,117.065,118.6,295141
2022-02-15,119.56,120.21,117.93,118.47,205499
2022-02-16,118.06,118.08,115.67,117.52,182748
2022-02-17,117.34,118.26,116.69,116.71,58761
2022-02-18,116.73,118.12,115.89,117.53,121140
2022-02-22,118.12,118.84,116.48,117.13,72300
2022-02-23,117.59,117.97,115.91,115.92,72369
2022-02-24,114.72,117.95,114.02,117.53,124541
2022-02-25,118.0,120.94,118.0,120.92,61414
2022-02-28,119.91,121.4,119.32,120.32,70216
2022-03-01,120.535,121.64,120.32,121.21,128960
2022-03-02,122.07,125.96,122.07,124.82,143843
2022-03-03,125.86,126.99,125.46,126.28,62571
2022-03-04,125.385,130.16,124.95,129.96,166052
2022-03-07,129.63,130.03,127.23,127.985,204964
2022-03-09,124.52,126.34,123.8,125.79,68161
2022-03-10,125.295,126.87,125.295,126.81,63227
2022-03-11,127.51,128.16,126.5,126.5,54647
2022-03-14,126.85,128.47,126.38,128.45,62707
2022-03-15,129.26,129.41,127.73,129.08,59275
2022-03-16,129.45,130.5,127.975,130.04,66771
2022-03-17,130.32,131.615,130.02,131.47,35837
2022-03-18,131.62,132.0,130.02,131.43,69555
2022-03-21,131.55,132.13,130.95,131.54,42002
2022-03-22,131.26,131.26,129.5,129.54,50380
2022-03-23,128.7,130.54,128.7,129.425,45376
2022-03-24,129.94,130.9,129.33,130.2,52109
2022-03-25,130.56,131.6,129.955,131.58,42182
2022-03-28,131.73,133.235,131.4,133.08,54584
2022-03-29,133.665,133.81,132.48,133.51,72284
2022-03-30,133.28,134.645,133.28,134.645,29871
2022-03-31,134.485,135.26,132.51,132.57,82378
2022-04-01,132.415,133.4,131.72,133.22,49306
2022-04-04,132.92,133.215,131.51,132.15,32445
2022-04-05,132.3,134.865,131.89,133.19,60832
2022-04-06,132.51,134.25,132.325,133.35,87548
2022-04-07,133.39,135.83,132.82,135.26,74583
2022-04-08,135.89,136.5,135.21,135.79,63459
2022-04-11,136.53,136.55,135.38,135.85,54020
2022-04-12,135.24,136.22,133.61,133.93,38096
2022-04-13,134.27,134.53,132.25,133.2,49042
2022-04-14,134.23,134.62,132.685,132.76,54242
2022-04-18,133.11,133.41,131.71,132.29,86311
2022-04-19,132.955,134.075,132.955,133.7,45968
2022-04-20,134.62,135.32,133.96,134.36,66962
2022-04-21,134.75,136.23,134.37,134.83,57769
2022-04-22,134.71,134.92,132.26,132.31,52342
2022-04-25,132.39,132.68,130.43,132.42,94478
2022-04-26,134.01,137.56,133.9,135.01,117971
2022-04-27,135.115,137.98,134.89,137.07,100972
2022-04-28,135.98,138.35,135.93,138.11,65266
2022-04-29,137.34,137.495,134.05,134.19,124656
2022-05-02,134.5,135.04,129.59,130.99,134206
2022-05-03,131.3,133.36,130.93,131.21,69442
2022-05-04,131.275,133.73,130.335,133.58,126164
2022-05-05,133.08,133.145,129.41,130.38,106848
2022-05-06,131.77,136.07,130.77,135.27,248047
2022-05-09,134.44,134.46,130.15,131.03,87178
2022-05-10,132.035,132.53,127.96,129.08,101784
2022-05-11,129.48,131.2,128.94,129.17,140473
2022-05-12,129.315,130.09,126.62,127.67,109936
2022-05-13,129.4,131.2,128.73,130.82,136429
2022-05-16,130.95,132.3,129.6,130.74,70323
2022-05-17,131.38,132.34,129.85,132.34,83681
2022-05-18,132.08,132.31,127.98,128.04,71109
2022-05-19,127.06,128.54,125.41,127.61,70824
2022-05-20,128.265,129.535,126.73,129.48,56157
2022-05-23,130.52,131.395,129.335,130.98,98668
2022-05-24,131.945,133.68,130.87,133.53,69352
2022-05-25,132.86,133.66,132.37,132.945,153562
2022-05-26,133.76,134.77,133.585,134.14,59955
2022-05-27,134.54,136.91,134.54,136.91,75534
2022-05-31,136.51,136.51,133.3,133.86,92698
2022-06-01,133.795,134.53,133.54,134.0,87829
2022-06-02,133.945,135.58,132.85,135.34,44810
2022-06-03,134.17,134.93,133.87,134.39,45028
2022-06-06,135.06,135.06,133.155,133.23,48204
2022-06-07,132.75,135.38,132.71,135.34,57975
2022-06-08,134.17,134.3,131.95,132.17,30044
2022-06-09,131.76,132.64,128.42,128.46,57242
2022-06-10,126.75,128.05,125.73,126.52,51790
2022-06-13,124.545,125.99,123.63,124.2,85549
2022-06-14,123.995,124.81,122.32,123.09,72817
2022-06-15,123.605,124.81,122.01,123.4,101187
2022-06-16,122.065,122.67,120.83,121.67,76638
2022-06-17,121.66,122.36,119.8,120.72,84662
2022-06-21,121.885,124.86,121.795,124.71,61940
2022-06-22,123.84,126.7,123.295,125.01,54205
2022-06-23,125.45,126.83,125.15,126.745,83944
2022-06-24,127.275,130.23,127.275,129.89,74506
2022-06-27,129.605,130.46,129.21,129.4,47042
2022-06-28,130.42,130.76,127.78,127.89,73568
2022-06-29,128.4,130.44,127.49,130.33,89311
2022-06-30,128.92,131.05,128.775,130.86,71966
2022-07-01,130.665,133.16,130.155,133.1,45651
2022-07-05,131.78,132.08,127.96,129.45,100724
2022-07-06,129.92,132.79,129.92,131.8,45485
2022-07-07,131.895,132.09,129.5,129.5,104888
2022-07-08,129.795,130.465,129.02,129.87,49346
2022-07-11,130.22,130.39,129.68,130.105,21332
2022-07-12,129.985,130.87,127.93,128.43,35796
2022-07-13,127.41,128.515,126.83,127.64,42539
2022-07-14,127.17,128.52,126.08,128.39,27458
2022-07-15,129.34,129.34,127.97,128.96,54007
2022-07-18,129.0,129.0,126.53,126.72,36675
2022-07-19,127.775,128.975,127.47,128.975,43002
2022-07-20,129.39,129.59,128.43,129.25,44891
2022-07-21,129.105,131.25,129.105,131.23,25075
2022-07-22,131.535,131.77,130.245,131.09,67881
2022-07-25,131.11,132.16,130.77,132.09,34907
2022-07-26,131.88,131.93,130.84,131.495,44108
2022-07-27,132.25,133.57,131.55,133.02,56127
2022-07-28,133.17,137.48,133.17,137.195,70239
2022-07-29,137.93,140.215,137.77,138.7,119601
2022-08-01,138.12,138.54,137.46,137.735,81938
2022-08-02,137.88,138.73,137.0,138.27,73435
2022-08-03,138.67,140.955,138.605,140.43,66134
2022-08-04,140.53,142.55,140.155,141.68,135975
2022-08-05,139.71,143.685,139.71,141.99,107790
2022-08-08,142.615,144.25,141.73,142.88,53788
2022-08-09,143.35,144.16,142.55,142.76,35388
2022-08-10,144.12,144.12,142.46,142.94,52883
2022-08-11,143.005,143.055,141.215,141.795,103936
2022-08-12,142.31,144.74,142.11,144.73,96426
2022-08-15,144.05,146.365,144.05,146.0,30909
2022-08-16,145.365,147.72,144.805,147.11,38693
2022-08-17,146.73,148.01,146.49,147.92,33699
2022-08-18,148.12,148.12,146.46,147.31,23810
2022-08-19,147.59,147.59,146.35,146.44,26128
2022-08-22,145.32,146.93,145.25,146.25,30924
2022-08-23,146.09,146.09,144.93,145.78,40605
2022-08-24,145.755,147.165,145.72,146.67,27284
2022-08-25,146.915,147.565,146.45,147.51,32195
2022-08-26,147.77,147.77,144.47,144.7,37550
2022-08-29,144.06,146.18,143.9,145.5,28268
2022-08-30,145.365,145.365,143.57,143.845,26304
2022-08-31,144.105,144.585,142.69,142.73,55782
2022-09-01,142.28,143.975,142.28,143.975,54883
2022-09-02,144.62,145.3,142.43,142.8,65491
2022-09-06,143.94,144.75,142.85,144.045,75266
2022-09-07,144.23,147.89,144.125,147.42,112568
2022-09-08,146.96,148.99,146.85,147.96,49901
2022-09-09,148.825,148.825,147.05,147.67,48010
2022-09-12,147.865,149.08,147.63,147.99,16856
2022-09-13,146.845,147.95,145.87,146.25,43464
2022-09-14,146.65,148.06,145.62,145.995,62397
2022-09-15,146.12,146.52,145.14,145.67,57474
2022-09-16,143.49,143.94,142.84,143.58,47379
2022-09-19,142.82,145.97,142.82,145.97,28976
2022-09-20,144.99,145.0,142.77,144.33,50328
2022-09-21,145.185,146.355,143.28,143.31,51833
2022-09-22,142.71,142.75,141.09,141.555,32381
2022-09-23,140.38,140.715,138.96,140.55,34840
2022-09-26,140.31,141.205,139.72,140.05,56261
2022-09-27,140.33,141.035,137.99,138.615,60889
2022-09-28,138.75,140.6,137.62,140.01,42333
2022-09-29,139.58,139.58,136.58,137.43,41163
2022-09-30,137.155,137.58,135.97,136.12,67195
2022-10-03,137.01,139.92,136.2,139.3,70710
2022-10-04,141.2,142.72,141.2,142.5,32995
2022-10-05,141.55,142.23,140.72,141.01,49010
2022-10-06,139.3,139.3,133.275,133.385,105714
2022-10-07,132.295,132.295,129.1,129.22,51521
2022-10-10,130.1,130.74,129.055,130.23,51105
2022-10-11,129.61,131.14,129.31,129.67,78776
2022-10-12,129.42,130.03,128.45,128.45,43953
2022-10-13,125.33,131.18,125.33,130.69,58019
2022-10-14,131.52,131.805,127.31,127.44,48504
2022-10-17,129.355,131.74,129.13,130.79,52449
2022-10-18,133.05,133.585,132.075,133.56,51650
2022-10-19,132.995,134.24,132.805,133.99,37412
2022-10-20,134.2,134.2,131.78,132.24,43654
2022-10-21,132.09,133.8,131.02,133.54,100432
2022-10-24,136.125,136.29,134.365,134.63,50874
2022-10-25,134.77,135.595,134.27,135.11,69471
2022-10-26,136.29,136.78,133.52,133.59,125590
2022-10-27,134.39,135.93,134.39,134.78,75723
2022-10-28,132.24,133.25,129.295,133.14,169524
2022-10-31,132.685,134.79,131.795,132.56,110212
2022-11-01,133.8,133.815,130.55,131.19,75423
2022-11-02,130.885,133.87,130.3,130.41,80645
2022-11-03,129.5,133.2,129.5,131.9,70541
2022-11-04,132.615,132.615,128.57,129.92,150655
2022-11-07,130.49,132.085,130.255,131.47,46637
2022-11-08,130.74,132.82,130.74,132.56,71481
2022-11-09,132.67,133.28,131.96,132.1,40589
2022-11-10,133.985,135.03,131.71,134.8,79895
2022-11-11,135.295,135.295,129.69,131.105,141115
2022-11-14,131.06,132.19,129.9,129.99,64385
2022-11-15,130.97,131.015,128.18,128.89,126981
2022-11-16,129.2,131.16,128.99,130.79,120565
2022-11-17,131.175,132.065,129.74,132.0,83178
2022-11-18,133.86,134.135,132.75,133.895,57357
2022-11-21,134.73,135.56,134.36,134.62,41867
2022-11-22,135.22,135.85,134.64,135.37,70881
2022-11-23,135.27,136.76,135.27,135.845,45053
2022-11-25,136.58,137.35,136.54,136.91,25089
2022-11-28,136.2,138.0,136.05,136.56,56289
2022-11-29,135.695,136.86,135.38,136.59,47066
2022-11-30,136.36,139.21,136.31,139.21,48065
2022-12-01,140.42,140.92,139.53,139.79,53193
2022-12-02,138.99,140.565,138.3,140.525,56653
2022-12-05,139.38,139.665,138.24,139.13,42861
2022-12-06,138.64,138.94,136.23,136.9,54113
2022-12-07,135.175,136.82,135.175,135.595,60714
2022-12-08,135.82,136.87,135.53,136.32,39868
2022-12-09,136.965,137.39,135.8,135.805,32424
2022-12-12,136.455,136.8,135.66,136.79,34587
2022-12-13,137.935,138.33,136.04,136.31,42527
2022-12-14,137.02,138.01,135.4,135.9,58249
2022-12-15,134.12,134.21,132.45,133.44,61681
2022-12-16,131.415,132.43,131.275,131.53,99059
2022-12-19,131.06,131.06,129.07,129.67,88771
2022-12-20,129.315,130.43,128.72,130.01,65467
2022-12-21,130.46,131.5,130.235,131.5,52446
2022-12-22,130.74,130.82,128.29,129.41,37752
2022-12-23,129.355,130.94,128.94,130.78,33228
2022-12-27,130.98,131.085,130.04,130.93,20089
2022-12-28,130.88,131.24,129.325,129.43,70704
2022-12-29,129.9,131.35,129.89,130.705,60420
2022-12-30,129.915,129.915,128.0,128.94,29591
2023-01-03,129.5,129.5,127.75,128.73,76590
2023-01-04,128.645,129.065,127.61,128.22,87241
2023-01-05,127.805,127.805,125.075,125.47,85006
2023-01-06,126.505,129.05,126.505,128.425,101320
2023-01-09,129.16,129.63,127.34,127.77,117597
2023-01-10,125.55,125.725,123.395,125.18,184430
2023-01-11,126.59,126.94,125.24,126.9,167485
2023-01-12,126.835,126.85,122.93,123.27,97518
2023-01-13,122.92,124.965,122.68,124.9,138207
2023-01-17,125.535,126.46,124.83,125.7,167546
2023-01-18,126.18,126.195,122.14,122.14,55955
2023-01-19,122.03,122.81,121.495,121.63,54842
2023-01-20,121.01,123.27,120.65,123.09,100144
2023-01-23,123.09,123.97,122.41,123.29,63513
2023-01-24,123.295,124.23,122.2,123.255,35266
2023-01-25,122.47,124.29,122.46,124.29,54443
2023-01-26,124.33,124.36,123.07,123.89,62802
2023-01-27,123.77,124.01,122.69,123.83,39929
2023-01-30,124.16,125.49,123.99,124.06,100595
2023-01-31,124.52,124.83,123.42,124.83,114566
2023-02-01,122.955,125.99,122.15,124.76,193277
2023-02-02,124.06,124.06,122.48,122.56,127875
2023-02-03,122.865,123.4,121.2,123.08,115640
2023-02-06,122.755,124.16,122.57,123.96,80236
2023-02-07,123.12,124.44,122.54,124.29,174630
2023-02-08,124.065,124.76,123.66,124.4,47607
2023-02-09,125.21,126.02,124.68,125.46,76523
2023-02-10,126.29,127.5,125.905,127.37,97329
2023-02-13,127.875,128.23,125.78,126.04,114309
2023-02-14,125.3,125.76,124.56,124.87,85837
2023-02-15,124.91,126.21,124.375,125.805,145399
2023-02-16,127.93,131.25,127.77,130.01,219192
2023-02-17,130.42,132.59,130.37,131.94,136184
2023-02-21,131.73,132.21,129.28,130.315,99453
2023-02-22,131.37,131.37,129.145,129.26,125619
2023-02-23,129.415,129.415,127.97,128.73,115312
2023-02-24,128.76,129.87,128.46,129.63,87460
2023-02-27,130.335,131.52,128.86,129.22,88208
2023-02-28,129.035,130.19,128.72,128.99,69821
2023-03-01,128.49,129.05,127.96,128.55,76964
2023-03-02,128.525,129.18,128.2,129.135,76706
2023-03-03,129.29,129.29,127.81,129.035,59955
2023-03-06,129.0,130.03,128.96,129.45,65192
2023-03-07,129.105,129.22,127.5,127.63,88718
2023-03-08,127.615,128.12,127.01,128.01,62906
2023-03-09,128.56,130.0,127.9,128.25,74796
2023-03-10,128.575,129.26,126.99,127.02,136183
2023-03-13,126.965,129.92,126.855,128.41,141835
2023-03-14,129.705,132.5,129.385,132.0,170498
2023-03-15,131.4,133.37,130.66,132.77,174111
2023-03-16,132.475,134.92,132.39,133.58,126414
2023-03-17,133.135,133.28,130.465,130.715,63602
