date,open,high,low,close,volume
2021-07-21,156.05,156.78,153.835,156.67,38868
2021-07-22,157.96,160.605,157.96,160.04,28303
2021-07-23,160.95,164.56,160.95,164.36,42060
2021-07-26,162.115,173.3,161.61,172.19,118038
2021-07-27,172.63,172.63,167.88,170.225,98038
2021-07-28,170.38,175.22,170.015,174.45,42812
2021-07-29,176.33,180.08,175.92,179.41,61846
2021-07-30,178.26,183.78,178.09,182.52,52845
2021-08-02,183.18,185.3,181.37,183.84,110435
2021-08-03,183.84,187.04,183.57,185.11,76159
2021-08-04,186.82,187.68,184.11,186.86,36472
2021-08-05,186.435,187.765,184.32,187.1,29122
2021-08-06,186.12,186.12,183.71,185.47,20497
2021-08-09,185.865,187.58,184.08,186.6,54554
2021-08-10,186.92,187.425,183.16,183.32,41071
2021-08-11,183.695,183.75,178.06,179.22,57834
2021-08-12,180.09,182.41,179.22,182.41,28852
2021-08-13,182.1,183.36,182.1,183.13,23353
2021-08-16,183.28,184.89,181.92,184.6,31819
2021-08-17,183.935,184.77,180.72,182.82,28532
2021-08-18,183.505,184.55,181.085,181.085,29959
2021-08-19,179.96,182.68,179.81,181.73,33109
2021-08-20,183.025,184.0,180.54,181.12,21316
2021-08-23,182.555,183.5,181.29,181.45,36927
2021-08-24,182.925,182.925,180.84,182.23,37108
2021-08-25,181.475,185.39,181.475,185.24,25365
2021-08-26,185.3,185.3,182.11,183.55,14884
2021-08-27,184.57,186.735,182.63,182.9,26101
2021-08-30,184.88,189.29,184.88,187.97,34194
2021-08-31,186.9,187.78,183.77,184.72,17583
2021-09-01,184.81,188.62,184.3,187.97,27951
2021-09-02,189.1,190.54,188.55,188.66,51540
2021-09-03,186.81,190.5,186.81,190.5,14079
2021-09-07,189.74,190.73,187.29,189.79,22103
2021-09-08,189.06,191.03,188.025,190.15,53353
2021-09-09,190.0,190.59,186.42,186.675,29150
2021-09-10,186.42,188.15,186.42,187.04,23607
2021-09-13,187.895,187.895,178.81,182.87,33784
2021-09-14,184.82,185.31,182.89,183.38,22891
2021-09-15,182.88,188.17,182.26,186.86,70897
2021-09-16,186.265,186.37,182.9,186.05,15047
2021-09-17,187.94,188.26,184.875,187.6,62526
2021-09-20,186.6,188.42,182.44,183.995,31728
2021-09-21,185.62,185.86,184.1,185.13,15402
2021-09-22,185.38,186.82,184.81,185.13,14969
2021-09-23,186.1,191.95,186.04,186.04,53860
2021-09-24,185.17,185.17,182.0,182.805,25484
2021-09-27,181.485,181.485,174.72,176.26,40010
2021-09-28,173.84,174.21,170.8,173.85,53805
2021-09-29,175.685,176.345,174.16,175.11,46228
2021-09-30,176.26,177.35,173.28,173.28,42383
2021-10-01,173.39,174.305,169.325,173.54,42350
2021-10-04,174.26,174.26,169.91,171.1,19908
2021-10-05,172.115,174.42,170.11,170.11,50021
2021-10-06,169.245,170.52,168.41,170.235,24960
2021-10-07,172.28,173.81,170.67,171.08,18754
2021-10-08,171.53,172.61,169.255,169.9,16188
2021-10-11,169.01,170.555,168.49,168.53,12812
2021-10-12,169.565,169.76,166.11,166.64,25995
2021-10-13,168.24,168.355,166.5,168.04,32655
2021-10-14,171.445,172.43,169.4,169.59,14076
2021-10-15,171.19,172.23,169.61,169.71,21746
2021-10-18,169.815,170.62,169.55,170.26,11715
2021-10-19,172.06,173.48,171.12,171.54,19986
2021-10-20,173.55,177.025,173.55,176.49,37271
2021-10-21,176.13,176.59,174.16,176.59,16670
2021-10-22,176.785,178.06,175.12,176.33,20712
2021-10-26,178.275,178.54,175.77,177.07,8239
2021-10-27,176.95,176.95,173.83,173.9,22876
2021-10-28,175.215,177.33,174.28,177.29,31623
2021-10-29,177.265,178.24,176.26,176.84,35881
2021-11-01,176.97,177.65,174.61,176.3,50939
2021-11-02,176.87,177.675,175.39,176.11,34387
2021-11-03,181.87,181.91,170.24,174.14,158142
2021-11-04,173.66,173.865,168.69,171.99,40212
2021-11-05,170.42,170.63,163.02,168.9,70788
2021-11-08,170.84,174.24,170.0,173.25,42487
2021-11-09,175.355,176.745,173.7,174.61,60775
2021-11-10,174.19,176.33,173.74,175.96,51133
2021-11-11,176.69,179.0,176.46,179.0,20233
2021-11-12,180.4,183.53,178.035,183.52,55566
2021-11-15,184.355,186.175,182.6,183.37,62115
2021-11-16,182.165,187.77,182.165,187.59,61814
2021-11-17,186.95,189.5,184.84,187.43,52490
2021-11-18,188.075,188.075,184.59,187.23,21037
2021-11-19,188.835,191.9,188.51,188.78,32689
2021-11-22,189.075,189.075,181.43,181.87,41878
2021-11-23,180.345,182.91,176.81,179.68,34896
2021-11-24,178.47,180.82,176.5,177.1,50993
2021-11-26,178.005,186.89,178.005,183.22,41789
2021-11-29,183.17,186.55,181.19,185.29,84061
2021-11-30,185.96,188.08,181.715,182.23,95229
2021-12-01,181.445,187.14,179.22,185.27,104669
2021-12-02,183.91,187.46,178.77,179.78,90328
2021-12-03,181.36,184.38,176.965,183.11,73136
2021-12-06,182.5,182.83,174.86,181.54,114259
2021-12-07,184.23,187.525,183.565,185.27,50171
2021-12-08,186.19,191.01,185.3,190.31,64402
2021-12-09,190.5,192.545,187.01,187.46,51734
2021-12-10,187.69,188.845,185.91,187.835,81061
2021-12-13,188.595,189.14,187.175,187.435,79451
2021-12-14,186.57,186.58,181.88,182.38,184680
2021-12-15,183.14,190.82,183.03,190.5,99862
2021-12-16,192.49,192.65,186.9,187.72,94011
2021-12-17,185.97,191.68,185.06,187.52,103542
2021-12-20,187.195,188.63,184.94,188.23,66820
2021-12-21,189.09,190.38,187.155,189.06,87283
2021-12-22,191.69,191.865,189.56,191.42,41442
2021-12-23,191.135,194.41,191.135,193.9,40295
2021-12-27,196.385,198.705,194.345,197.93,38302
2021-12-28,198.83,198.98,194.83,195.41,19054
2021-12-29,195.75,198.01,195.57,197.53,28557
2021-12-30,198.665,200.93,197.63,199.61,51311
2021-12-31,199.95,203.055,199.95,201.07,51376
2022-01-03,199.01,199.76,189.965,192.25,77010
2022-01-04,188.67,188.93,180.4,183.465,282747
2022-01-05,183.56,185.3,181.005,181.005,55228
2022-01-06,179.98,183.0,176.32,181.6,142825
2022-01-07,181.27,182.665,179.645,181.7,70188
2022-01-10,179.53,183.955,177.835,183.955,69302
2022-01-11,182.295,183.08,172.29,178.345,144261
2022-01-12,178.8,183.075,178.8,182.84,64081
2022-01-13,181.325,181.66,177.785,179.55,159154
2022-01-14,179.26,179.895,175.94,178.59,159034
2022-01-18,174.47,176.895,173.6,173.9,82317
2022-01-19,173.675,177.73,173.675,176.81,42982
2022-01-20,178.06,179.6,174.58,175.11,48541
2022-01-21,175.63,176.37,173.52,175.0,36665
2022-01-24,172.99,172.99,167.52,167.71,24861
2022-01-25,170.33,171.34,167.6,168.96,70112
2022-01-26,168.8,172.19,165.49,166.3,40450
2022-01-27,167.5,168.16,163.36,163.75,68115
2022-01-28,163.84,169.47,162.2,169.47,83426
2022-01-31,170.82,172.16,169.12,171.98,47178
2022-02-01,172.705,174.47,170.76,174.47,119689
2022-02-02,173.48,186.44,173.305,185.105,180244
2022-02-03,184.09,189.63,184.09,187.85,105487
2022-02-04,186.56,186.56,182.56,182.91,58941
2022-02-07,181.64,185.17,181.64,182.3,35443
2022-02-08,181.165,185.51,180.93,184.65,32055
2022-02-09,186.79,190.38,186.79,189.16,48617
2022-02-10,184.795,187.95,183.19,184.43,45464
2022-02-11,183.88,184.94,178.96,180.46,45230
2022-02-14,181.16,182.31,179.59,181.15,61346
2022-02-15,183.75,184.07,179.435,180.89,57474
2022-02-16,179.1,182.23,177.905,181.98,47609
2022-02-17,180.51,181.71,177.58,177.8,43195
2022-02-18,178.5,180.14,176.24,179.22,32548
2022-02-22,178.65,180.5,175.56,176.04,99965
2022-02-23,178.15,179.8,173.28,173.28,55290
2022-02-24,170.0,178.36,169.65,177.98,41926
2022-02-25,177.57,184.35,177.25,183.16,39490
2022-02-28,182.08,182.08,178.36,179.53,25938
2022-03-01,178.54,180.0,175.84,177.16,35205
2022-03-02,175.98,178.96,175.835,177.41,39049
2022-03-03,177.64,179.27,176.74,178.93,28688
2022-03-04,176.84,177.365,172.86,176.43,83066
2022-03-07,175.305,175.305,170.365,172.27,71373
2022-03-09,169.495,172.82,169.495,172.58,56044
2022-03-10,170.83,173.34,170.03,172.22,26438
2022-03-11,172.97,174.035,165.56,165.7,31682
2022-03-14,165.77,170.14,161.89,162.29,69361
2022-03-15,164.765,168.96,163.86,168.94,43615
2022-03-16,172.82,176.19,172.27,176.04,48552
2022-03-17,176.44,179.14,176.39,178.43,33611
2022-03-18,177.58,182.755,177.58,182.58,45847
2022-03-21,182.18,182.975,178.79,180.55,21702
2022-03-22,180.1,184.75,179.82,184.71,29398
2022-03-23,181.07,182.035,176.57,176.57,28115
2022-03-24,176.56,179.31,176.16,179.29,34762
2022-03-25,180.465,180.465,174.26,176.71,27099
2022-03-28,177.635,178.42,176.34,177.32,26906
2022-03-29,180.88,181.29,178.91,180.145,53973
2022-03-30,180.305,180.955,177.19,178.39,64524
2022-03-31,178.39,179.32,174.605,174.64,53525
2022-04-01,175.725,175.725,168.24,171.6,75284
2022-04-04,172.205,172.905,169.62,169.835,29974
2022-04-05,168.5,169.005,166.05,166.07,65639
2022-04-06,163.965,166.69,161.43,166.36,49648
2022-04-07,167.59,173.645,167.59,172.26,53626
2022-04-08,171.585,174.1,170.87,172.46,28671
2022-04-11,170.19,170.19,165.51,165.79,32381
2022-04-12,165.11,166.455,160.26,161.24,41085
2022-04-13,160.72,164.79,160.72,164.21,38095
2022-04-14,163.13,164.02,161.18,161.53,31641
2022-04-18,161.02,161.555,158.9,160.3,13621
2022-04-19,160.44,161.43,158.98,160.82,33433
2022-04-20,161.125,165.175,160.28,164.12,34800
2022-04-21,164.17,164.17,159.355,159.355,39172
2022-04-22,158.14,158.19,152.42,152.42,25231
2022-04-25,150.19,150.43,146.155,149.54,88712
2022-04-26,147.79,147.79,142.3,142.65,76353
2022-04-27,143.425,145.59,141.95,142.35,54389
2022-04-28,145.19,148.15,143.905,146.37,39424
2022-04-29,147.3,150.72,146.26,146.425,60754
2022-05-02,146.0,148.67,143.9,147.825,94036
2022-05-03,147.97,155.325,147.97,153.21,96993
2022-05-04,144.15,158.13,140.54,157.06,234062
2022-05-05,154.4,154.4,146.715,147.96,97261
2022-05-06,146.015,148.87,142.9,147.765,85037
2022-05-09,145.84,146.705,141.595,142.46,77409
2022-05-10,145.625,146.17,141.42,145.0,51217
2022-05-11,144.78,146.43,141.915,141.95,50242
2022-05-12,141.375,144.15,140.06,142.85,36544
2022-05-13,145.88,148.76,145.55,148.64,55818
2022-05-16,147.3,149.3,145.85,146.76,22823
2022-05-17,148.785,149.34,145.95,147.61,47038
2022-05-18,145.18,145.18,141.09,142.62,45506
2022-05-19,141.525,144.39,140.275,143.54,84673
2022-05-20,145.125,146.85,142.58,146.81,32076
2022-05-23,146.345,147.055,145.295,146.57,38061
2022-05-24,145.67,145.67,142.35,144.13,31265
2022-05-25,143.62,143.95,141.045,142.72,23325
2022-05-26,143.64,146.84,143.02,146.705,33744
2022-05-27,148.015,156.41,148.015,156.18,61571
2022-05-31,155.295,155.295,149.35,149.62,38448
2022-06-01,151.09,151.36,144.26,146.09,43332
2022-06-02,146.4,150.93,146.4,150.92,19513
2022-06-03,149.14,149.14,147.24,147.7,17545
2022-06-06,149.02,150.11,148.05,148.825,28089
2022-06-07,148.82,152.43,147.995,152.035,44353
2022-06-08,151.41,151.41,148.76,149.22,18223
2022-06-09,147.975,149.27,146.36,146.41,24205
2022-06-10,143.545,144.81,141.85,141.93,59913
2022-06-13,137.82,138.835,134.955,137.95,55299
2022-06-14,137.99,138.74,135.46,138.14,35475
2022-06-15,141.055,142.06,138.1,140.31,31387
2022-06-16,136.93,137.79,135.02,137.445,79490
2022-06-17,138.55,140.84,134.8,134.97,43512
2022-06-21,137.8,138.18,135.59,135.69,28330
2022-06-22,135.36,139.83,135.08,138.33,46211
2022-06-23,139.495,144.98,139.495,144.31,35670
2022-06-24,144.75,146.42,144.57,145.51,53912
2022-06-27,144.97,146.25,143.78,145.005,32927
2022-06-28,144.79,145.27,140.92,141.3,28149
2022-06-29,140.31,142.67,140.11,142.49,18554
2022-06-30,140.24,143.61,139.91,142.02,47344
2022-07-01,142.53,144.18,140.18,144.06,27299
2022-07-05,139.8,144.59,137.72,144.59,39739
2022-07-06,145.19,147.155,144.77,145.91,51380
2022-07-07,145.41,148.37,145.41,146.49,66670
2022-07-08,145.02,147.13,145.02,145.995,57087
2022-07-11,144.62,146.29,144.36,144.62,27650
2022-07-12,144.11,144.5,138.425,138.75,41566
2022-07-13,135.4,138.26,135.4,137.11,41782
2022-07-14,133.5,134.45,130.74,133.66,59182
2022-07-15,135.48,136.51,132.02,135.09,66374
2022-07-18,134.73,135.02,131.555,132.43,18382
2022-07-19,134.1,137.63,134.1,137.34,31871
2022-07-20,138.925,141.025,138.115,140.07,64816
2022-07-21,141.75,150.58,141.345,147.86,61176
2022-07-22,147.58,148.78,145.06,146.66,25520
2022-07-25,146.52,147.14,145.62,146.36,20425
2022-07-26,145.69,147.88,145.585,147.86,18513
2022-07-27,148.53,151.54,148.53,150.67,32820
2022-07-28,151.72,155.125,149.51,154.37,68751
2022-07-29,153.995,155.78,152.05,153.12,50870
2022-08-01,168.89,170.0,160.6,160.785,147718
2022-08-02,156.15,160.08,153.87,154.12,63297
2022-08-03,154.13,155.43,152.17,154.28,42655
2022-08-04,152.26,153.48,151.34,152.9,41405
2022-08-05,151.92,153.95,150.9,153.77,70832
2022-08-08,154.035,155.71,153.32,154.07,57895
2022-08-09,153.93,154.03,150.2,151.47,31921
2022-08-10,153.08,158.44,153.08,158.23,44706
2022-08-11,159.6,163.92,159.23,160.93,119774
2022-08-12,160.92,161.95,156.74,157.91,68943
2022-08-15,157.84,158.31,156.195,157.665,19182
2022-08-16,156.09,157.33,155.52,156.32,23412
2022-08-17,154.03,154.03,150.12,150.73,58767
2022-08-18,148.59,149.015,145.15,148.06,52924
2022-08-19,148.39,148.675,145.09,145.12,28764
2022-08-22,142.585,143.79,141.12,141.73,41158
2022-08-23,140.82,142.26,139.6,141.23,30913
2022-08-24,141.975,142.26,140.79,141.44,21677
2022-08-25,142.13,144.49,141.91,144.41,14966
2022-08-26,143.6,143.69,137.085,137.635,26454
2022-08-29,136.5,137.66,135.92,136.29,37964
2022-08-30,135.85,136.97,135.63,136.35,39914
2022-08-31,136.51,136.97,134.25,135.08,25141
2022-09-01,133.87,135.52,133.06,135.11,36740
2022-09-02,136.185,136.79,133.9,134.58,34100
2022-09-06,132.85,134.12,131.7,132.24,44072
2022-09-07,132.015,135.05,130.235,134.63,32846
2022-09-08,134.13,138.67,133.955,138.65,36679
2022-09-09,138.76,142.06,138.76,141.61,29187
2022-09-12,141.745,142.595,141.07,142.36,25664
2022-09-13,138.435,138.475,132.57,132.64,41590
2022-09-14,133.28,135.38,133.185,134.73,41845
2022-09-15,134.38,136.27,132.2,132.24,38414
2022-09-16,129.58,130.465,128.275,130.34,71568
2022-09-19,129.05,130.33,126.805,130.33,47348
2022-09-20,128.8,128.82,126.565,127.67,42103
2022-09-21,128.145,130.41,125.64,126.025,41459
2022-09-22,124.97,125.21,123.215,123.31,58785
2022-09-23,122.98,123.68,120.135,122.295,58767
2022-09-26,122.61,124.3,120.5,120.5,39116
2022-09-27,122.455,122.63,116.3,117.88,75322
2022-09-28,118.48,121.87,118.48,121.03,34508
2022-09-29,119.22,121.77,119.13,121.39,51446
2022-09-30,121.24,122.79,120.27,120.3,49611
2022-10-03,121.555,125.36,121.305,124.485,30071
2022-10-04,127.16,129.98,126.8,128.31,77900
2022-10-05,127.26,131.86,126.77,131.42,56825
2022-10-06,131.115,131.24,129.38,129.67,32576
2022-10-07,128.66,128.66,123.71,123.94,50985
2022-10-10,122.58,122.58,120.415,121.4,50450
2022-10-11,120.03,120.79,117.85,119.02,78184
2022-10-12,119.25,120.14,117.05,117.05,33457
2022-10-13,114.485,122.055,113.46,121.175,41920
2022-10-14,122.16,122.46,118.46,120.18,74803
2022-10-17,123.5,127.69,122.93,126.615,67132
2022-10-18,130.16,132.485,130.005,130.4,61603
2022-10-19,128.1,128.1,125.46,127.7,47296
2022-10-20,125.93,129.575,125.74,125.92,38290
2022-10-21,124.965,130.55,124.9,130.55,32725
2022-10-24,129.87,133.13,129.87,132.89,25901
2022-10-25,134.095,136.84,134.095,136.42,58554
2022-10-26,136.86,138.88,136.255,136.28,42576
2022-10-27,136.87,136.99,134.25,135.36,29112
2022-10-28,135.18,136.925,134.935,135.94,23753
2022-10-31,135.02,135.3,132.99,133.6,69144
2022-11-01,135.605,137.87,134.96,136.57,87620
2022-11-02,136.26,136.26,130.01,130.14,47869
2022-11-03,127.88,129.48,125.285,127.41,79166
2022-11-04,129.96,130.585,126.195,130.46,192144
2022-11-07,129.55,130.075,128.18,129.29,111667
2022-11-08,128.58,129.44,123.8,127.13,119521
2022-11-09,125.15,128.37,125.15,126.33,46041
2022-11-10,131.94,136.68,131.15,136.16,99993
2022-11-11,136.495,144.85,136.13,143.46,114331
2022-11-14,142.535,144.96,142.535,143.1,87446
2022-11-15,145.045,146.14,141.53,142.21,71650
2022-11-16,140.77,141.845,137.91,139.09,47153
2022-11-17,136.97,136.97,134.01,135.72,45283
2022-11-18,138.54,138.54,135.215,136.17,59061
2022-11-21,135.85,137.0,134.52,136.47,59772
2022-11-22,137.12,137.96,135.86,136.62,51661
2022-11-23,137.3,138.0,136.38,137.37,38649
2022-11-25,137.315,137.315,135.945,136.99,12101
2022-11-28,137.62,138.96,133.13,133.68,50813
2022-11-29,134.1,134.49,132.92,133.69,33879
2022-11-30,134.405,140.565,131.34,139.615,69116
2022-12-01,141.03,142.49,139.91,141.77,86119
2022-12-02,139.76,140.52,138.82,139.17,41553
2022-12-05,137.02,137.7,135.4,137.03,74367
2022-12-06,138.285,139.115,135.96,137.21,53301
2022-12-07,138.9,140.89,138.66,139.23,34677
2022-12-08,139.12,144.02,138.97,141.88,43443
2022-12-09,141.94,142.265,139.1,139.15,22901
2022-12-12,141.39,143.14,141.31,142.56,43390
2022-12-13,148.3,149.88,144.19,147.63,84703
2022-12-14,147.29,148.61,143.34,143.955,57119
2022-12-15,141.45,141.725,140.36,141.01,37311
2022-12-16,139.74,141.02,136.765,137.57,54234
2022-12-19,138.06,139.555,137.5,138.33,36481
2022-12-20,138.205,139.585,136.785,139.51,45297
2022-12-21,141.135,143.975,140.01,142.11,32149
2022-12-22,139.97,141.41,138.77,141.41,21781
2022-12-23,140.52,141.04,139.86,140.6,36184
2022-12-27,138.71,140.8,138.52,139.94,19218
2022-12-28,141.175,141.225,137.94,138.06,30379
2022-12-29,140.795,143.0,140.76,142.68,15749
2022-12-30,141.255,141.255,138.3,140.17,33380
2023-01-03,142.41,142.91,139.27,141.15,88227
2023-01-04,142.42,143.94,141.14,142.125,66354
2023-01-05,140.57,140.57,138.26,138.74,55523
2023-01-06,139.755,139.755,131.17,133.76,73409
2023-01-09,134.99,136.33,133.13,133.91,40106
2023-01-10,134.39,140.46,132.42,133.34,128422
2023-01-11,134.295,137.675,129.06,135.52,192789
2023-01-12,135.115,135.115,131.23,132.08,123820
2023-01-13,130.72,134.24,128.12,133.785,116034
2023-01-17,134.105,135.29,132.46,132.46,80994
2023-01-18,134.55,135.13,131.91,132.47,48163
2023-01-19,131.66,133.62,130.67,133.09,39295
2023-01-20,133.58,137.8,132.41,137.795,49843
2023-01-23,137.81,142.55,137.525,140.75,51591
2023-01-24,140.045,140.05,133.69,134.94,66764
2023-01-25,132.89,135.16,132.16,135.16,23290
2023-01-26,135.665,135.84,133.115,134.99,114926
2023-01-27,133.925,139.13,133.925,138.7,42942
2023-01-30,137.63,138.145,134.76,135.24,35460
2023-01-31,135.65,137.63,133.85,137.57,43310
2023-02-01,138.505,142.39,137.995,139.05,80687
2023-02-02,140.045,145.35,140.045,144.38,53451
2023-02-03,143.09,143.68,140.25,141.69,32904
2023-02-06,139.28,139.68,136.91,137.8,47827
2023-02-07,136.44,140.37,136.44,139.52,31360
