date,open,high,low,close,volume
2021-07-21,28.03,28.67,28.025,28.43,325070
2021-07-22,28.4,28.4,27.72,27.995,303030
2021-07-23,28.315,28.77,27.625,28.41,398312
2021-07-26,28.91,29.63,28.91,29.465,553576
2021-07-27,29.02,29.44,28.54,29.18,317282
2021-07-28,29.29,29.665,28.825,29.33,236962
2021-07-29,29.79,29.975,29.345,29.655,281317
2021-07-30,29.41,29.55,28.65,28.82,307754
2021-08-02,28.86,29.71,28.41,28.49,304610
2021-08-03,28.4,28.89,27.705,28.87,239325
2021-08-04,28.46,28.75,27.62,27.62,869726
2021-08-05,27.9,28.28,27.615,27.915,440475
2021-08-06,28.38,28.74,28.17,28.43,168325
2021-08-09,27.86,28.115,27.45,27.98,197500
2021-08-10,28.11,28.615,28.08,28.41,303083
2021-08-11,28.5,29.13,28.155,28.98,262017
2021-08-12,28.78,29.025,28.1,28.56,238029
2021-08-13,28.45,28.62,28.185,28.355,192270
2021-08-16,27.88,27.975,27.375,27.785,278253
2021-08-17,27.42,27.835,26.805,27.155,268209
2021-08-18,27.24,27.54,26.795,26.815,365966
2021-08-19,26.225,26.475,25.895,26.435,533985
2021-08-20,26.14,26.57,25.915,26.455,335574
2021-08-23,26.965,27.68,26.965,27.5,168541
2021-08-24,27.8,28.465,27.79,28.22,252731
2021-08-25,28.22,28.755,27.935,28.46,286362
2021-08-26,28.1,28.565,28.045,28.14,289327
2021-08-27,28.535,29.29,28.51,29.08,201111
2021-08-30,29.285,29.285,28.245,28.275,297241
2021-08-31,27.93,28.49,27.89,28.035,264433
2021-09-01,28.075,28.395,27.81,27.97,308760
2021-09-02,28.26,28.76,28.215,28.61,276757
2021-09-03,28.535,28.73,27.925,28.07,91936
2021-09-07,27.56,28.185,27.55,27.85,212296
2021-09-08,27.97,28.09,26.6,26.655,327817
2021-09-09,26.5,27.23,26.445,26.59,216741
2021-09-10,26.92,27.04,26.495,26.775,238039
2021-09-13,27.42,28.24,27.42,28.12,180876
2021-09-14,28.47,28.49,27.55,27.685,148881
2021-09-15,28.2,29.295,28.09,29.25,224147
