date,open,high,low,close,volume
2021-07-21,127.03,129.2,127.01,127.92,66655
2021-07-22,127.275,127.275,124.43,125.09,91927
2021-07-23,125.95,126.02,122.9,124.16,51021
2021-07-26,123.89,127.21,123.89,127.12,59381
2021-07-27,125.905,126.78,124.88,125.88,63873
2021-07-28,126.65,126.65,124.01,125.24,84109
2021-07-29,126.02,128.15,125.79,125.88,88322
2021-07-30,126.52,127.96,126.0,126.535,83007
2021-08-02,127.68,130.69,126.09,126.48,65402
2021-08-03,129.17,130.95,127.21,129.58,231581
2021-08-04,130.09,132.1,128.26,128.77,227247
2021-08-05,130.13,134.7,130.13,134.0,91721
2021-08-06,134.75,136.04,134.16,135.175,126630
2021-08-09,134.12,134.24,132.76,132.81,43406
2021-08-10,132.79,133.43,131.335,132.19,53972
2021-08-11,132.11,133.99,131.26,133.51,51537
2021-08-12,133.75,134.175,132.26,133.84,35441
2021-08-13,134.215,134.76,133.18,133.64,52515
2021-08-16,132.935,133.57,130.56,130.99,54794
2021-08-17,129.18,129.22,125.97,128.075,62301
2021-08-18,127.525,129.58,126.325,127.99,37898
2021-08-19,126.15,129.22,126.12,128.46,57563
2021-08-20,127.075,129.42,126.76,128.77,41734
2021-08-23,130.05,131.08,128.98,129.375,44839
2021-08-24,130.23,132.69,130.23,132.555,76048
2021-08-25,132.17,134.48,132.075,132.55,52452
2021-08-26,132.675,132.675,130.675,131.05,63684
2021-08-27,132.65,135.12,132.38,133.71,50426
2021-08-30,133.9,133.9,131.99,133.425,33583
2021-08-31,133.345,135.17,132.83,134.5,56863
2021-09-01,134.53,136.43,134.29,135.84,64807
2021-09-02,136.16,137.3,135.505,136.43,58795
2021-09-03,135.99,136.05,134.335,135.79,60040
2021-09-07,134.86,135.61,133.24,134.58,63235
2021-09-08,132.17,133.715,130.8,132.14,47411
2021-09-09,130.56,132.04,129.97,130.61,47937
2021-09-10,131.02,131.14,127.895,127.92,59356
2021-09-13,129.615,131.825,128.5,131.12,52298
2021-09-14,130.81,131.86,128.72,129.56,42248
2021-09-15,129.56,131.94,128.71,131.15,45333
2021-09-16,132.02,133.75,131.825,132.61,36909
2021-09-17,132.55,133.12,131.2,131.25,34291
2021-09-20,127.98,130.25,127.1,129.49,57456
2021-09-21,131.005,132.47,130.43,130.43,49942
2021-09-22,131.98,134.89,131.85,133.61,41700
2021-09-23,134.72,136.435,134.39,135.07,102564
2021-09-24,134.485,136.24,133.82,133.945,41916
2021-09-27,134.23,137.22,134.03,134.15,86509
2021-09-28,133.66,134.99,133.32,133.65,101640
2021-09-29,134.18,134.46,133.265,133.84,112565
2021-09-30,133.91,133.91,129.49,129.97,108626
2021-10-01,131.98,134.045,130.175,133.06,72147
2021-10-04,132.67,133.84,131.78,132.26,98224
2021-10-05,132.24,132.27,130.515,131.39,45181
2021-10-06,129.83,132.64,128.62,132.61,110008
2021-10-07,133.63,136.12,133.08,134.04,95428
2021-10-08,133.39,135.06,131.79,132.1,81785
2021-10-11,131.65,133.63,131.02,132.66,55684
2021-10-12,131.91,135.155,131.8,134.855,44341
2021-10-13,134.65,137.54,134.405,137.19,108388
2021-10-14,138.63,139.86,137.57,139.4,67425
2021-10-15,140.01,141.655,139.36,140.19,57729
2021-10-18,140.0,144.79,139.96,144.53,113339
2021-10-19,144.81,144.81,142.7,142.73,50993
2021-10-20,142.28,144.94,142.28,144.94,60706
2021-10-21,144.3,145.03,143.49,143.94,33913
2021-10-22,144.6,145.29,144.06,145.14,41057
2021-10-26,146.76,147.76,145.71,146.39,46582
2021-10-27,144.78,145.635,143.78,143.98,29639
2021-10-28,144.47,147.21,144.08,147.005,46126
2021-10-29,146.08,147.7,145.72,146.52,96235
2021-11-01,147.36,149.31,147.24,149.31,78140
2021-11-02,156.93,159.43,154.455,158.98,291264
2021-11-03,159.07,166.73,159.07,166.25,126831
2021-11-04,166.45,167.6,164.54,165.75,85541
2021-11-05,168.7,170.85,167.27,170.45,124496
2021-11-08,170.77,170.77,166.62,167.41,47871
2021-11-09,167.05,167.54,165.675,167.47,43875
2021-11-10,166.82,167.45,163.805,164.02,66602
2021-11-11,164.18,166.26,164.13,165.45,46452
2021-11-12,165.48,166.34,163.94,164.78,53138
2021-11-15,165.225,166.275,164.38,166.275,47770
2021-11-16,165.875,166.09,164.35,164.92,39796
2021-11-17,164.03,167.84,162.88,167.54,35947
2021-11-18,169.155,171.06,167.43,169.37,81334
2021-11-19,167.71,168.12,165.92,166.86,69473
2021-11-22,167.53,170.61,167.37,167.98,108536
2021-11-23,167.93,170.71,167.37,168.97,62682
2021-11-24,167.82,169.235,166.84,169.05,70812
2021-11-26,160.38,162.67,158.35,160.4,144078
2021-11-29,163.51,163.51,157.59,159.95,114219
2021-11-30,156.83,157.185,151.78,152.87,158244
2021-12-01,156.105,158.77,147.69,147.69,165156
2021-12-02,149.775,153.915,148.37,151.84,245322
2021-12-03,152.79,152.79,147.48,149.235,298863
2021-12-06,152.24,155.47,151.55,152.5,306196
2021-12-07,155.74,158.67,154.965,156.27,227787
2021-12-08,156.9,158.4,155.54,157.5,92517
2021-12-09,155.05,155.23,152.2,152.2,110529
2021-12-10,153.52,153.52,150.1,152.52,56393
2021-12-13,151.545,151.99,147.59,151.06,84659
2021-12-14,151.22,152.1,149.95,150.89,66682
2021-12-15,151.04,152.185,147.31,152.04,73160
2021-12-16,152.9,154.765,151.07,151.66,123095
2021-12-17,151.45,152.59,148.43,150.64,77326
2021-12-20,147.76,147.98,143.655,146.34,92473
2021-12-21,148.83,154.81,148.83,154.44,104933
2021-12-22,154.12,155.97,154.05,155.55,44452
2021-12-23,156.21,157.185,155.29,155.455,45797
2021-12-27,155.43,158.48,154.7,158.48,25200
2021-12-28,157.24,159.22,156.75,157.69,54075
2021-12-29,157.53,159.29,157.02,158.755,48556
2021-12-30,159.34,161.87,158.74,160.03,49519
2021-12-31,160.86,161.64,159.61,159.75,40707
2022-01-03,160.525,162.35,158.955,160.29,76896
2022-01-04,162.74,163.86,161.87,163.03,77838
2022-01-05,164.0,165.71,160.98,161.03,79268
2022-01-06,161.99,164.475,160.84,163.18,64576
2022-01-07,162.975,163.85,161.09,161.23,73112
2022-01-10,160.47,160.83,157.13,160.83,57000
2022-01-11,160.97,162.545,158.09,161.73,50766
2022-01-12,162.495,163.6,161.81,161.81,24949
