date,open,high,low,close,volume
2021-07-21,417.31,420.415,416.88,416.88,75991
2021-07-22,418.53,419.48,415.985,418.68,73796
2021-07-23,419.99,422.635,417.85,418.54,65767
2021-07-26,417.6,418.43,408.51,413.465,74720
2021-07-27,411.655,415.35,408.09,412.88,162785
2021-07-28,414.475,416.425,409.4,411.48,118250
2021-07-29,416.65,427.65,416.65,423.88,139988
2021-07-30,423.18,429.8,422.975,428.67,89392
2021-08-02,429.86,436.09,428.57,434.25,166146
2021-08-03,434.47,436.03,428.63,435.96,120737
2021-08-04,436.62,444.64,435.83,439.51,209347
2021-08-05,441.27,443.73,436.9,441.7,95013
2021-08-06,440.79,442.045,437.4,441.59,125177
2021-08-09,441.16,441.575,434.58,436.02,72541
2021-08-10,437.43,437.74,433.43,434.49,47233
2021-08-11,436.355,436.93,431.11,433.23,64848
2021-08-12,435.0,436.64,432.65,436.63,67672
2021-08-13,436.995,442.01,436.995,441.61,80408
2021-08-16,441.305,446.2,438.535,446.03,44552
2021-08-17,444.6,444.93,441.685,444.38,35602
2021-08-18,443.54,443.78,429.86,429.89,111419
2021-08-19,425.81,435.04,424.67,434.0,64539
2021-08-20,432.93,438.9,432.93,437.31,49016
2021-08-23,439.06,442.305,437.28,439.12,35300
2021-08-24,438.86,440.815,437.11,437.56,45610
2021-08-25,436.18,438.125,433.545,437.67,33263
2021-08-26,436.635,438.55,434.37,436.92,36713
2021-08-27,438.14,440.64,436.075,437.975,55046
2021-08-30,438.895,446.07,438.83,443.98,37237
2021-08-31,443.37,446.13,443.245,443.88,30863
2021-09-01,443.55,450.24,442.44,448.55,46284
2021-09-02,450.5,453.54,446.185,449.19,56539
2021-09-03,450.465,454.02,447.67,451.95,45260
2021-09-07,448.89,449.31,443.36,446.65,39162
2021-09-08,447.47,451.895,446.11,450.54,72376
2021-09-09,453.08,456.48,450.29,451.35,83019
2021-09-10,451.715,454.925,449.67,450.09,44145
2021-09-13,456.38,456.38,443.97,449.61,76322
2021-09-14,450.085,455.15,449.385,451.53,61136
2021-09-15,452.23,453.4,448.94,452.22,56361
2021-09-16,452.5,454.79,451.53,454.18,52424
2021-09-17,452.215,452.675,445.25,446.32,47815
2021-09-20,440.55,445.56,439.88,444.96,71204
2021-09-21,446.3,447.76,443.7,445.21,34907
2021-09-22,446.55,447.45,441.805,445.74,54601
2021-09-23,449.17,455.15,448.98,451.73,53351
2021-09-24,449.8,453.02,449.2,452.79,23677
2021-09-27,450.1,450.1,441.58,445.36,29528
2021-09-28,441.11,441.11,420.03,426.25,150204
2021-09-29,429.99,430.89,424.86,426.63,69208
2021-09-30,429.73,432.81,424.975,425.1,69230
2021-10-01,427.17,429.65,421.28,428.19,52370
2021-10-04,426.63,426.63,414.955,415.79,71036
2021-10-05,418.42,428.08,418.075,425.02,70723
2021-10-06,423.5,428.28,419.205,427.83,40346
2021-10-07,434.25,436.45,432.55,432.88,33214
2021-10-08,430.12,432.075,426.88,429.85,35423
2021-10-11,430.03,434.36,426.63,428.58,43797
2021-10-12,430.45,434.835,426.54,430.81,66092
2021-10-13,433.5,433.5,424.91,430.41,37282
2021-10-14,436.8,445.58,436.8,441.77,65457
2021-10-15,445.97,446.445,443.64,443.9,42030
2021-10-18,442.935,448.27,442.78,448.1,37274
2021-10-19,448.29,451.68,447.11,451.29,50518
2021-10-20,452.91,452.97,435.99,440.6,98152
2021-10-21,440.04,445.9,436.91,445.34,52046
2021-10-22,445.04,451.04,444.0,450.39,61441
2021-10-26,454.19,470.81,453.505,464.76,181571
2021-10-27,465.695,470.21,462.39,462.4,55120
2021-10-28,463.99,475.13,463.95,469.515,63432
2021-10-29,470.34,475.59,466.42,474.17,82189
2021-11-01,474.85,474.97,458.13,463.23,56234
2021-11-02,464.515,468.58,460.465,461.13,57749
2021-11-03,458.66,460.07,452.725,455.09,58108
2021-11-04,456.12,465.73,456.12,462.695,80548
2021-11-05,465.03,467.82,458.635,460.4,52640
2021-11-08,464.255,465.19,458.545,461.49,36458
2021-11-09,463.185,464.49,460.28,462.125,57371
2021-11-10,459.485,461.065,451.375,454.42,62422
2021-11-11,455.445,457.26,451.1,451.46,32088
2021-11-12,450.665,455.16,449.9,453.29,161582
2021-11-15,451.74,464.065,450.26,459.19,106660
2021-11-16,462.29,471.73,461.4,470.36,88857
2021-11-17,468.72,468.72,451.92,465.46,92639
2021-11-18,466.03,467.675,460.92,463.74,142494
2021-11-19,465.59,467.82,459.27,461.33,99070
2021-11-22,464.57,465.0,457.85,457.86,62760
2021-11-23,457.01,458.86,451.76,458.41,49441
2021-11-24,459.18,464.39,456.15,463.54,39556
2021-11-26,457.9,462.43,453.26,454.96,45290
2021-11-29,461.8,467.01,458.69,464.8,92881
2021-11-30,458.59,465.99,454.56,456.29,109438
2021-12-01,460.185,460.91,448.84,448.89,115462
2021-12-02,451.3,462.5,449.585,461.035,87989
2021-12-03,462.3,464.53,445.43,456.38,72800
2021-12-06,459.105,459.52,451.93,456.11,66498
