date,open,high,low,close,volume
2021-07-21,66.16,66.58,65.07,65.07,78472
2021-07-22,65.33,65.33,64.52,64.53,74014
2021-07-23,64.79,65.48,64.7,65.36,65076
2021-07-26,65.44,65.64,65.08,65.33,61596
2021-07-27,65.33,66.42,64.93,66.32,77454
2021-07-28,66.19,66.53,65.52,66.44,116956
2021-07-29,66.6,66.6,65.92,66.19,111148
2021-07-30,66.16,66.31,65.11,65.3,110574
2021-08-02,65.48,66.3,65.48,65.56,60874
2021-08-03,65.65,66.21,65.58,66.01,73414
2021-08-04,65.49,65.5,64.58,65.42,90276
2021-08-05,65.29,66.47,65.21,66.47,98192
2021-08-06,66.24,66.66,66.11,66.16,55076
2021-08-09,65.91,65.91,65.22,65.68,83088
2021-08-10,65.55,66.08,65.49,65.89,46434
2021-08-11,65.95,66.23,65.81,65.99,57284
2021-08-12,65.76,66.4,65.76,66.22,42802
2021-08-13,66.19,66.9,66.14,66.88,48246
2021-08-16,66.96,67.77,66.61,66.77,152722
2021-08-17,66.32,67.0,66.14,66.96,36188
2021-08-18,66.83,66.83,66.05,66.29,60292
2021-08-19,66.23,67.07,65.94,65.97,62422
2021-08-20,65.99,66.8,65.42,66.66,163154
2021-08-23,66.78,66.78,65.83,65.94,89168
2021-08-24,65.95,65.95,65.27,65.44,125140
2021-08-25,65.64,65.88,65.21,65.78,38034
2021-08-26,65.83,66.2,65.67,65.9,54390
2021-08-27,66.1,66.23,65.73,65.91,76578
2021-08-30,66.17,66.22,65.86,65.89,72190
2021-08-31,65.86,66.55,65.75,66.16,131720
2021-09-01,66.37,67.15,66.31,66.8,80614
2021-09-02,67.01,67.54,66.9,67.31,159086
2021-09-03,67.03,67.19,66.69,66.69,42216
2021-09-07,66.6,66.9,66.1,66.11,72124
2021-09-08,66.12,67.48,66.12,67.01,67166
2021-09-09,66.88,67.24,66.79,66.9,81258
2021-09-10,66.77,66.87,66.22,66.22,63040
2021-09-13,66.89,67.67,66.77,66.97,79628
2021-09-14,67.4,67.55,66.65,66.86,62404
2021-09-15,66.85,68.4,66.64,68.4,288066
2021-09-16,68.57,68.72,67.33,67.55,86558
2021-09-17,68.07,68.17,66.64,66.67,89066
2021-09-20,66.45,66.5,64.8,65.49,125710
2021-09-21,65.69,66.22,65.24,65.24,69586
2021-09-22,65.32,66.0,65.32,65.4,69170
2021-09-23,65.21,65.48,64.39,64.48,108778
2021-09-24,64.74,65.2,64.64,64.89,53042
2021-09-27,65.2,65.8,64.29,64.41,75792
2021-09-28,64.08,64.24,61.78,61.8,187506
2021-09-29,62.07,64.04,61.87,63.73,244864
2021-09-30,64.01,64.4,63.26,63.27,118622
2021-10-01,64.05,64.05,62.71,62.72,91650
2021-10-04,62.47,63.53,62.47,63.27,181762
2021-10-05,63.24,63.73,63.05,63.33,122390
2021-10-06,62.87,63.98,62.45,63.89,179196
2021-10-07,63.83,64.37,62.51,62.81,234248
2021-10-08,62.77,63.22,62.06,62.33,126390
2021-10-11,62.17,62.39,61.58,61.59,71966
2021-10-12,61.7,62.37,61.65,62.21,196608
2021-10-13,61.76,63.52,61.4,63.44,188054
2021-10-14,63.65,64.15,63.54,64.05,92218
2021-10-15,64.22,64.87,64.12,64.21,88500
2021-10-18,63.75,64.31,63.31,63.75,186246
2021-10-19,64.2,64.83,64.2,64.72,68794
2021-10-20,64.99,65.85,64.99,65.63,124218
2021-10-21,65.61,65.74,65.12,65.14,87528
2021-10-22,65.48,65.69,65.35,65.57,45184
2021-10-26,65.47,66.32,65.47,65.71,62628
2021-10-27,65.75,65.8,64.88,64.97,45052
2021-10-28,65.06,65.34,64.6,64.84,90886
2021-10-29,64.66,64.91,63.49,63.81,151086
2021-11-01,64.04,64.61,63.88,64.44,122444
2021-11-02,64.55,64.55,63.55,64.03,132084
2021-11-03,63.81,64.43,63.5,64.07,161424
2021-11-04,64.14,64.28,63.24,63.61,246846
2021-11-05,63.83,64.86,63.25,63.71,149238
2021-11-08,63.65,63.68,62.53,62.8,86386
2021-11-09,62.48,62.85,62.21,62.54,102662
2021-11-10,62.92,62.97,62.05,62.31,95568
2021-11-11,62.22,62.34,60.67,60.82,113726
2021-11-12,60.89,61.08,60.77,61.07,97020
2021-11-15,61.19,62.47,61.19,62.29,108638
2021-11-16,62.28,64.16,62.28,63.0,182862
2021-11-17,62.79,62.79,62.03,62.16,113078
2021-11-18,62.2,62.62,61.31,61.36,138824
2021-11-19,61.58,61.68,60.95,61.41,207416
2021-11-22,61.34,62.78,61.34,62.5,296780
2021-11-23,62.55,63.36,62.38,62.65,148480
2021-11-24,62.94,63.24,62.55,62.76,102372
2021-11-26,61.94,62.0,60.75,60.88,216424
2021-11-29,61.42,62.64,61.34,62.1,185204
2021-11-30,61.66,61.66,59.85,59.93,202024
2021-12-01,60.59,61.77,59.8,59.8,207274
2021-12-02,60.07,61.67,59.99,61.14,283196
2021-12-03,61.59,61.93,60.83,61.85,204820
2021-12-06,62.85,63.63,62.59,62.71,243198
2021-12-07,63.0,63.75,62.55,63.45,199158
2021-12-08,63.36,63.68,62.98,63.06,112796
2021-12-09,63.09,63.62,62.43,63.1,162056
2021-12-10,63.62,63.63,63.08,63.39,134942
2021-12-13,63.39,63.54,62.94,63.14,219204
2021-12-14,63.17,63.79,62.98,63.07,159704
2021-12-15,63.22,63.95,62.83,63.87,66358
2021-12-16,63.93,65.06,63.93,64.28,191360
2021-12-17,64.14,64.3,63.18,63.44,188636
2021-12-20,62.76,63.96,62.26,63.81,138866
2021-12-21,64.17,65.0,64.17,64.25,152024
2021-12-22,64.25,64.92,64.21,64.58,87122
2021-12-23,64.97,65.09,64.64,64.75,80632
2021-12-27,64.91,65.18,64.65,65.1,66516
2021-12-28,65.17,65.53,65.14,65.41,42466
2021-12-29,65.35,65.77,65.1,65.72,64068
2021-12-30,65.77,66.1,65.53,65.89,41738
2021-12-31,65.67,66.34,65.66,66.13,57578
2022-01-03,66.17,66.17,65.51,66.0,80918
2022-01-04,66.26,67.8,66.26,67.16,455946
2022-01-05,67.41,68.42,67.41,67.58,274890
2022-01-06,67.69,68.58,67.68,68.1,207292
2022-01-07,67.85,69.71,67.57,69.1,205918
2022-01-10,69.11,69.37,68.55,68.83,141186
2022-01-11,68.67,68.94,67.57,67.91,181422
2022-01-12,67.79,68.27,67.72,68.08,89964
2022-01-13,68.15,68.57,68.01,68.38,125178
2022-01-14,68.29,69.15,67.82,68.97,150298
2022-01-18,68.61,68.83,67.66,67.83,299042
2022-01-19,68.12,68.94,67.92,67.92,116782
2022-01-20,68.17,68.54,67.36,67.46,105716
2022-01-21,67.82,68.36,67.31,67.46,186222
2022-01-24,67.34,67.34,65.86,66.47,68740
2022-01-25,65.44,67.33,64.89,66.96,209138
2022-01-26,67.07,68.18,66.89,67.07,111344
2022-01-27,68.15,68.72,67.46,67.99,167284
2022-01-28,67.42,68.46,67.11,68.39,136014
2022-01-31,67.74,69.14,67.74,69.03,244992
2022-02-01,68.41,69.37,67.92,68.02,229092
2022-02-02,68.13,69.3,67.96,69.07,153262
2022-02-03,68.8,69.06,68.41,68.51,120850
2022-02-04,68.3,68.89,67.83,68.15,93510
2022-02-07,68.08,68.82,68.08,68.5,109122
2022-02-08,68.95,69.25,68.61,68.94,99944
2022-02-09,69.36,69.36,68.39,68.89,152764
2022-02-10,68.5,69.06,67.59,67.79,207518
2022-02-11,68.13,68.51,67.73,68.0,112702
2022-02-14,67.98,67.98,66.89,67.57,102554
2022-02-15,67.7,68.25,66.97,67.3,85292
2022-02-16,67.39,67.93,67.17,67.61,77370
2022-02-17,67.36,67.86,67.02,67.7,112802
2022-02-18,67.42,68.11,67.26,67.78,127658
2022-02-22,68.15,68.15,67.31,67.74,145156
2022-02-23,67.92,68.12,66.81,66.86,177720
2022-02-24,66.25,67.31,65.54,67.16,271012
2022-02-25,68.42,70.97,68.42,70.72,333468
2022-02-28,70.82,72.83,70.74,72.09,646448
2022-03-01,72.76,73.07,71.67,72.58,433702
2022-03-02,72.73,74.6,72.71,74.18,368202
2022-03-03,74.39,75.21,74.31,74.77,237648
2022-03-04,74.46,76.0,74.42,75.97,209390
2022-03-07,75.26,76.64,74.92,76.4,269016
2022-03-09,77.17,77.36,76.07,76.14,202428
2022-03-10,76.31,77.68,76.31,77.61,116048
2022-03-11,77.6,78.51,76.96,77.08,298272
2022-03-14,77.83,77.83,76.06,76.94,162990
2022-03-15,78.42,78.43,76.85,77.49,136234
2022-03-16,77.47,77.68,76.34,77.22,150682
2022-03-17,77.32,78.16,76.95,77.86,200300
2022-03-18,78.17,78.46,77.44,78.16,262918
2022-03-21,78.54,79.69,78.53,79.65,347818
2022-03-22,79.38,79.47,78.52,79.08,475624
2022-03-23,79.14,80.13,78.63,79.72,377936
2022-03-24,79.27,79.54,78.78,79.44,130580
2022-03-25,79.55,81.29,79.44,81.23,178196
2022-03-28,80.69,81.55,80.55,81.55,186834
2022-03-29,81.41,82.48,81.04,82.45,173594
2022-03-30,82.78,83.94,82.62,83.78,162640
2022-03-31,83.79,84.76,83.79,84.04,131496
2022-04-01,83.77,85.3,83.46,85.2,88802
2022-04-04,84.6,84.6,82.67,83.4,177812
2022-04-05,83.51,84.85,82.11,82.48,295078
2022-04-06,82.92,84.27,82.66,84.17,202400
2022-04-07,84.22,84.22,82.93,84.0,270430
2022-04-08,84.37,85.33,84.25,84.85,106054
2022-04-11,85.01,85.08,83.93,84.13,140946
2022-04-12,83.76,85.09,83.75,84.86,188300
2022-04-13,85.19,85.35,84.12,85.2,215234
2022-04-14,85.88,86.16,85.44,85.64,113698
2022-04-18,86.03,86.34,85.31,85.58,110678
2022-04-19,85.98,86.09,85.06,85.15,131654
2022-04-20,85.63,86.59,85.63,86.36,73676
2022-04-21,86.17,86.58,85.17,85.17,102186
2022-04-22,84.94,85.24,84.12,84.12,174280
2022-04-25,83.97,84.05,81.83,82.66,283342
2022-04-26,82.98,83.71,82.15,82.28,153796
2022-04-27,82.23,82.81,81.28,81.83,217586
2022-04-28,82.21,83.23,81.76,82.76,254788
2022-04-29,82.24,82.39,80.54,80.61,224938
2022-05-02,81.05,81.26,79.15,79.83,228834
