date,open,high,low,close,volume
2021-07-21,208.365,209.81,206.97,209.81,11311
2021-07-22,210.195,212.24,210.1,212.16,18912
2021-07-23,213.195,213.565,211.91,212.5,35104
2021-07-26,212.295,212.295,210.29,211.705,12905
2021-07-27,211.31,214.9,211.31,214.835,18048
2021-07-28,215.11,215.45,213.62,214.29,30295
2021-07-29,215.33,217.15,214.41,216.91,18554
2021-07-30,217.365,219.38,216.32,217.995,19714
2021-08-02,219.53,219.82,217.87,218.27,19623
2021-08-03,218.895,218.96,216.63,218.96,19272
2021-08-04,218.88,219.36,216.19,216.49,17471
2021-08-05,216.79,216.79,214.21,215.425,33563
2021-08-06,216.51,216.77,214.29,216.25,44630
2021-08-09,216.555,216.66,214.95,214.95,55337
2021-08-10,218.5,223.94,215.235,217.555,60335
2021-08-11,218.13,219.23,216.805,217.51,26132
2021-08-12,216.34,218.52,216.34,218.165,19811
2021-08-13,218.58,220.16,218.09,218.85,14294
2021-08-16,219.185,222.26,218.865,221.93,22311
2021-08-17,221.58,225.89,221.58,225.89,27359
2021-08-18,225.67,225.67,216.17,216.17,33208
2021-08-19,214.48,216.06,213.39,214.84,27762
2021-08-20,214.44,215.41,213.02,214.95,30890
2021-08-23,215.715,216.2,212.93,213.23,27721
2021-08-24,212.88,215.74,212.8,213.65,18660
2021-08-25,213.48,216.43,212.91,215.855,33349
2021-08-26,215.025,215.03,212.455,212.58,22474
2021-08-27,213.255,215.905,212.555,213.57,15807
2021-08-30,213.74,215.77,213.74,214.7,13133
2021-08-31,214.07,215.34,213.355,215.01,20152
2021-09-01,215.09,217.58,213.9,217.19,22512
2021-09-02,218.26,219.14,217.62,218.04,12948
2021-09-03,217.43,218.55,215.26,217.8,12019
2021-09-07,216.27,216.27,213.185,214.34,23719
2021-09-08,214.475,216.85,214.475,216.73,10611
2021-09-09,217.13,217.35,212.6,213.13,30242
2021-09-10,213.94,213.94,209.63,209.63,21749
2021-09-13,211.51,211.51,208.545,210.36,31161
2021-09-14,211.46,216.31,211.46,215.91,28914
2021-09-15,214.41,218.1,214.41,214.94,35424
2021-09-16,214.515,216.15,213.0,215.65,24567
2021-09-17,215.25,215.81,212.01,215.45,43496
2021-09-20,212.75,214.46,210.915,212.51,36806
2021-09-21,213.85,215.05,211.415,212.14,56040
