date,open,high,low,close,volume
2021-07-21,59.9,60.6,59.19,59.485,56828
2021-07-22,58.94,59.57,58.12,59.135,84838
2021-07-23,59.79,59.87,58.275,59.09,230353
2021-07-26,59.72,61.17,59.24,61.07,269176
2021-07-27,60.275,61.52,59.17,61.08,55548
2021-07-28,60.69,61.72,59.38,61.31,74671
2021-07-29,62.455,65.3,62.455,64.67,117949
2021-07-30,64.2,65.69,64.01,64.47,49347
2021-08-02,64.68,65.68,62.845,62.87,61174
2021-08-03,63.45,64.83,62.395,64.57,81858
2021-08-04,63.88,64.445,62.975,63.0,47052
2021-08-05,62.835,63.62,61.44,61.61,71804
2021-08-06,62.79,63.32,61.72,62.87,45473
2021-08-09,62.34,64.425,62.31,64.38,70977
2021-08-10,64.665,68.59,64.64,68.31,106743
2021-08-11,69.93,71.56,68.43,71.55,94678
2021-08-12,71.4,73.2,69.975,72.97,96513
2021-08-13,72.675,74.34,72.49,73.09,60380
2021-08-16,71.18,71.96,69.465,71.715,60802
2021-08-17,70.77,71.29,67.43,68.875,48859
2021-08-18,67.945,70.73,67.945,69.21,78203
2021-08-19,66.71,67.48,65.3,67.11,79875
2021-08-20,67.33,68.18,66.19,67.0,42412
2021-08-23,68.375,69.65,67.77,68.97,60751
2021-08-24,70.31,71.585,70.31,71.19,61548
2021-08-25,70.975,71.98,70.35,70.47,39672
2021-08-26,70.55,70.97,69.05,69.12,63036
2021-08-27,69.87,71.47,69.87,70.93,60159
2021-08-30,71.39,71.43,70.22,70.25,55490
2021-08-31,70.1,70.13,66.96,67.51,106193
2021-09-01,67.1,67.635,65.02,67.05,93160
2021-09-02,67.31,67.855,66.76,67.43,123558
2021-09-03,67.795,67.84,66.48,66.75,61204
2021-09-07,66.73,67.1,65.87,66.44,48616
2021-09-08,66.265,66.28,64.69,65.82,34026
2021-09-09,65.58,66.72,65.09,65.97,116134
2021-09-10,66.6,68.09,65.69,65.72,48387
2021-09-13,66.57,66.73,62.52,63.84,91453
2021-09-14,64.02,64.02,61.91,62.0,51477
2021-09-15,64.27,65.1,63.39,65.04,105413
2021-09-16,63.52,64.56,63.25,63.74,100309
2021-09-17,62.995,62.995,61.49,61.93,93552
2021-09-20,58.78,59.19,56.92,58.17,235074
2021-09-21,58.55,58.6,55.895,57.735,179381
2021-09-22,59.545,60.07,58.16,58.18,81002
2021-09-23,58.79,60.45,58.79,59.18,124675
2021-09-24,59.0,60.685,58.94,59.84,71595
2021-09-27,60.41,61.84,60.41,61.78,53836
2021-09-28,61.71,62.4,60.025,61.86,82523
2021-09-29,62.54,62.54,59.515,59.56,63891
2021-09-30,60.14,60.69,58.42,58.51,69269
2021-10-01,58.46,58.7,56.59,58.26,51067
2021-10-04,58.995,59.7,58.31,58.54,63649
2021-10-05,58.37,59.865,57.85,59.33,46342
2021-10-06,58.31,58.92,57.05,57.58,80836
2021-10-07,58.84,60.475,58.53,59.43,47442
2021-10-08,60.0,60.22,58.94,59.1,54379
2021-10-11,60.85,62.26,60.67,60.705,125541
2021-10-12,60.87,61.72,60.735,61.69,159477
2021-10-13,61.82,61.82,60.225,61.02,59088
2021-10-14,61.72,62.715,61.54,61.69,54094
2021-10-15,63.02,63.25,61.83,61.91,66657
2021-10-18,59.465,62.575,59.465,62.435,72137
2021-10-19,62.33,64.54,60.77,63.51,143202
2021-10-20,63.34,66.17,63.26,65.06,86564
2021-10-21,63.78,63.86,61.565,63.06,114050
2021-10-22,64.135,64.45,62.56,63.49,63191
2021-10-25,64.5,67.7,64.18,67.08,108333
2021-10-26,67.23,68.89,66.26,67.24,91181
2021-10-27,66.3,67.6,64.52,64.52,55746
2021-10-28,64.9,66.18,64.9,65.45,36951
2021-10-29,66.35,67.645,65.985,66.12,54811
2021-11-01,66.915,66.915,63.805,64.16,91263
2021-11-02,63.28,63.49,62.24,62.73,64288
2021-11-03,63.135,63.99,62.51,63.56,62696
2021-11-04,64.23,65.73,63.96,64.35,60808
2021-11-05,64.73,66.06,64.52,65.01,61176
2021-11-08,67.52,68.47,66.32,66.87,64145
2021-11-09,66.15,67.16,64.93,65.75,91383
2021-11-10,65.685,66.115,64.17,64.68,75565
2021-11-11,65.76,67.76,65.76,66.25,106473
2021-11-12,66.09,66.91,65.785,66.17,69613
2021-11-15,65.56,65.695,64.31,65.42,69405
2021-11-16,65.155,65.9,63.655,65.36,54098
2021-11-17,64.39,65.13,62.96,62.98,71718
2021-11-18,63.3,63.94,62.81,63.61,54710
2021-11-19,62.99,64.13,62.64,63.1,50651
2021-11-22,63.96,68.99,63.96,66.97,117859
