date,open,high,low,close,volume
2021-07-21,83.78,85.45,83.78,85.1,91548
2021-07-22,84.85,84.99,84.18,84.88,98464
2021-07-23,85.82,86.51,84.76,85.37,91479
2021-07-26,85.33,86.165,85.33,86.12,78722
2021-07-27,85.1,86.63,84.99,85.685,48059
2021-07-28,86.13,87.025,85.11,86.27,80669
2021-07-29,86.99,88.365,86.38,87.99,68506
2021-07-30,87.86,88.28,86.64,87.11,50538
2021-08-02,87.87,89.205,86.74,87.01,58087
2021-08-03,87.22,88.33,85.82,88.01,41517
2021-08-04,86.8,87.61,86.56,86.57,48367
2021-08-05,87.53,87.54,86.735,87.505,80929
2021-08-06,88.82,90.51,88.82,90.06,85951
2021-08-09,89.59,91.31,88.99,90.54,46377
2021-08-10,90.47,91.72,90.27,91.29,59167
2021-08-11,91.75,92.565,91.09,92.0,57482
2021-08-12,91.9,91.98,90.86,91.46,45481
2021-08-13,91.39,91.58,90.76,90.795,38227
2021-08-16,89.825,90.51,89.07,90.05,53447
2021-08-17,89.23,89.38,87.56,88.145,56037
2021-08-18,87.49,88.98,87.28,87.35,41428
2021-08-19,86.03,86.28,84.76,85.5,52870
2021-08-20,85.35,86.21,85.05,86.11,52884
2021-08-23,87.23,88.35,87.21,88.1,51272
2021-08-24,88.3,89.96,88.3,89.575,43008
2021-08-25,90.03,92.36,89.76,92.0,121189
2021-08-26,92.07,92.75,91.59,92.505,129872
2021-08-27,92.66,94.51,92.35,94.25,61316
2021-08-30,94.56,94.56,92.235,92.51,47595
2021-08-31,92.59,93.29,92.32,92.93,78720
2021-09-01,93.01,93.01,91.645,91.84,89156
2021-09-02,92.01,92.945,92.01,92.68,49710
2021-09-03,92.43,93.36,92.43,92.88,102318
2021-09-07,92.525,92.525,88.46,89.47,143582
2021-09-08,89.77,89.77,87.115,87.25,177050
2021-09-09,87.065,89.47,86.995,87.88,136642
2021-09-10,88.4,88.53,87.25,87.55,416251
2021-09-13,88.55,88.95,87.45,88.3,174209
2021-09-14,88.73,88.73,86.37,86.57,309181
2021-09-15,86.82,88.48,86.76,87.91,133510
2021-09-16,88.54,88.56,86.9,87.06,92161
2021-09-17,87.21,87.29,84.12,84.81,327741
2021-09-20,82.435,83.24,80.86,82.48,104532
2021-09-21,83.01,83.32,81.6,81.67,68293
2021-09-22,83.06,84.15,82.89,83.12,92722
2021-09-23,84.23,87.12,84.07,85.85,92393
2021-09-24,85.645,86.81,85.57,85.74,112637
2021-09-27,87.12,89.16,87.12,88.45,105244
2021-09-28,88.82,89.465,86.75,86.8,92458
2021-09-29,86.9,87.02,85.78,86.54,69996
2021-09-30,86.26,86.95,84.7,84.73,65863
2021-10-01,85.26,87.135,84.555,86.38,45834
2021-10-04,86.2,87.3,85.72,86.13,69680
2021-10-05,86.5,89.045,86.495,88.73,99815
2021-10-06,88.57,88.73,87.01,88.49,54021
