date,open,high,low,close,volume
2021-07-21,49.19,49.485,48.725,48.765,78773
2021-07-22,48.16,48.32,47.84,47.95,37542
2021-07-23,48.105,48.3,47.635,48.15,38693
2021-07-26,48.86,49.225,48.51,49.225,48336
2021-07-27,48.56,49.71,47.97,49.71,102374
2021-07-28,49.745,50.22,49.43,49.79,47131
2021-07-29,50.2,50.25,49.43,49.53,57658
2021-07-30,49.63,49.825,48.745,49.19,74838
2021-08-02,49.5,49.98,48.61,48.62,25377
2021-08-03,48.77,49.77,47.7,49.71,82977
2021-08-04,49.37,49.61,48.6,48.74,71483
2021-08-05,48.4,50.15,48.24,48.46,156411
2021-08-06,48.67,49.285,48.17,48.88,79765
2021-08-09,48.65,49.55,48.56,49.39,30001
2021-08-10,49.4,51.34,49.345,51.075,177144
2021-08-11,51.33,52.435,50.99,52.11,143853
2021-08-12,51.97,52.05,51.175,51.73,57284
2021-08-13,51.585,51.585,51.08,51.22,89738
2021-08-16,51.1,51.53,50.35,51.21,60054
2021-08-17,50.76,50.87,49.77,50.25,39328
2021-08-18,49.82,50.705,49.61,49.66,36983
2021-08-19,49.08,49.7,48.57,48.74,29296
2021-08-20,48.8,49.73,48.77,49.44,29605
2021-08-23,49.695,49.87,48.93,49.625,91133
2021-08-24,49.73,51.105,49.73,50.73,47949
2021-08-25,50.865,51.55,50.865,51.28,27980
2021-08-26,50.89,51.11,50.45,50.505,26065
2021-08-27,50.86,52.11,50.86,51.95,60733
2021-08-30,51.61,51.81,51.36,51.36,45693
2021-08-31,51.325,52.125,51.31,52.04,51746
2021-09-01,51.97,52.14,51.5,51.75,31868
2021-09-02,52.07,52.545,51.85,52.53,68784
2021-09-03,52.62,53.105,52.45,52.61,49413
2021-09-07,52.42,52.52,51.33,51.465,41996
2021-09-08,51.14,51.735,51.07,51.42,39985
2021-09-09,51.33,51.99,51.31,51.795,67123
2021-09-10,52.19,52.6,51.78,51.87,40213
2021-09-13,52.44,52.53,51.485,51.6,95832
2021-09-14,51.28,51.33,50.22,50.56,73310
2021-09-15,50.6,51.22,50.48,50.93,61497
2021-09-16,50.82,51.14,50.53,50.66,39687
2021-09-17,50.46,50.71,49.47,49.71,84553
2021-09-20,48.33,48.81,47.9,48.66,34422
2021-09-21,49.19,49.19,48.09,48.18,31266
2021-09-22,48.61,49.39,48.44,48.87,44711
2021-09-23,49.77,50.445,49.73,50.2,69774
2021-09-24,50.04,50.91,50.04,50.44,42814
2021-09-27,50.62,52.23,50.59,51.73,34297
2021-09-28,52.22,52.42,51.73,51.99,40517
2021-09-29,52.17,52.52,51.86,51.895,53042
2021-09-30,52.005,52.08,49.72,49.83,55250
2021-10-01,50.16,51.17,49.63,50.91,50651
2021-10-04,50.965,51.7,50.59,51.21,234105
2021-10-05,50.86,51.955,50.77,51.63,27968
2021-10-06,51.55,51.55,49.59,50.59,83037
2021-10-07,51.03,51.6,50.82,50.89,49462
2021-10-08,50.87,51.14,50.22,50.285,44613
2021-10-11,50.42,51.67,50.37,51.31,74433
2021-10-12,50.98,51.97,50.98,51.27,38800
2021-10-13,51.06,51.07,48.63,49.84,125591
2021-10-14,50.03,50.24,49.17,49.295,145945
2021-10-15,49.3,49.3,46.525,46.565,144223
2021-10-18,46.77,48.26,46.54,47.75,77203
2021-10-19,47.775,48.22,47.47,48.195,107065
2021-10-20,48.19,49.08,47.945,48.955,47038
2021-10-21,48.86,48.96,48.15,48.575,19854
2021-10-22,48.85,49.45,48.47,48.575,51719
2021-10-26,48.825,49.56,48.43,48.985,68290
2021-10-27,48.04,48.145,47.215,47.71,105981
2021-10-28,48.47,49.005,47.9,48.93,140429
2021-10-29,48.92,49.275,48.01,48.105,150277
2021-11-01,46.61,48.3,46.58,47.8,52008
2021-11-02,47.995,48.03,46.95,47.15,90513
2021-11-03,47.41,48.84,47.41,48.43,72255
2021-11-04,48.44,48.8,47.715,47.97,72283
2021-11-05,48.985,49.86,48.645,48.745,72457
2021-11-08,49.01,49.77,48.8,49.13,118662
2021-11-09,48.54,49.145,47.78,48.43,123146
2021-11-10,48.34,49.775,48.225,49.01,241946
2021-11-11,49.03,49.94,48.98,49.69,47788
2021-11-12,49.54,49.825,48.96,49.0,58361
2021-11-15,49.2,49.475,48.44,49.095,52284
2021-11-16,49.06,49.975,49.06,49.19,62537
2021-11-17,48.98,49.39,48.6,49.0,70391
2021-11-18,49.27,49.27,47.8,47.97,42540
2021-11-19,47.21,47.28,46.58,46.77,93513
2021-11-22,46.88,48.5,46.85,48.16,50233
2021-11-23,48.19,48.67,47.84,47.96,55885
2021-11-24,47.82,47.82,46.8,46.81,42320
2021-11-26,45.06,46.48,44.51,46.445,60786
2021-11-29,46.9,46.9,45.915,46.07,54046
2021-11-30,45.35,45.35,43.31,43.35,193076
2021-12-01,44.01,45.46,43.5,43.515,280802
2021-12-02,44.09,45.22,43.9,44.96,99833
2021-12-03,44.9,46.13,44.53,44.795,127161
2021-12-06,45.35,46.63,45.35,45.465,157252
2021-12-07,45.77,45.9,45.065,45.2,176358
2021-12-08,45.62,45.82,44.1,44.59,163803
2021-12-09,44.575,44.6,43.895,44.05,110409
2021-12-10,44.345,44.435,43.33,43.64,68132
2021-12-13,43.67,43.74,42.83,43.03,76525
2021-12-14,43.03,43.96,43.03,43.31,122553
2021-12-15,43.51,43.6,42.92,43.56,81995
2021-12-16,44.25,45.46,44.23,45.02,168229
2021-12-17,44.995,45.175,43.85,43.99,167113
2021-12-20,43.175,43.175,41.87,42.49,98660
2021-12-21,43.23,43.49,43.01,43.32,61499
2021-12-22,43.385,43.385,42.78,42.85,81059
