date,open,high,low,close,volume
2021-07-21,205.175,206.9,203.81,204.315,30096
2021-07-22,204.345,204.4,201.82,202.25,42713
2021-07-23,203.5,205.09,202.78,204.12,44366
2021-07-26,205.12,206.285,203.86,206.01,66753
2021-07-27,200.46,201.86,197.51,201.69,95918
2021-07-28,202.225,202.35,195.205,195.48,82581
2021-07-29,196.81,198.28,195.59,197.96,62823
2021-07-30,197.78,199.41,195.51,197.01,74157
2021-08-02,198.96,200.54,195.29,195.87,42899
2021-08-03,197.03,200.02,195.08,198.99,64403
2021-08-04,197.74,198.635,195.0,195.1,49603
2021-08-05,196.2,197.77,195.74,196.16,65309
2021-08-06,198.5,198.5,196.28,196.66,65156
2021-08-09,195.915,196.73,194.575,195.49,48872
2021-08-10,196.315,198.64,195.45,197.95,47127
2021-08-11,197.56,202.33,197.56,202.3,66386
2021-08-12,203.0,203.33,199.77,200.77,49598
2021-08-13,201.23,201.23,199.43,200.15,61385
2021-08-16,198.03,200.62,198.02,200.6,41981
2021-08-17,198.29,198.29,192.825,194.48,95298
2021-08-18,193.355,194.86,191.335,192.76,84086
2021-08-19,192.02,192.02,187.565,189.67,145803
2021-08-20,189.465,190.905,188.665,190.42,80889
2021-08-23,191.18,192.305,190.125,190.52,57999
2021-08-24,191.34,193.55,190.87,192.47,114194
2021-08-25,193.2,194.72,192.39,194.23,52140
2021-08-26,192.75,193.805,192.47,193.175,41585
2021-08-27,194.165,194.465,193.375,194.01,54985
2021-08-30,194.66,196.08,194.09,194.88,70822
2021-08-31,194.57,194.73,192.27,193.25,60833
2021-09-01,193.735,193.735,190.65,192.505,52404
2021-09-02,192.625,193.39,190.47,193.09,94505
2021-09-03,192.125,192.44,190.68,191.075,48231
2021-09-07,189.31,189.31,183.2,183.28,141963
2021-09-08,183.355,188.995,183.355,188.32,174177
2021-09-09,187.81,192.75,187.48,188.47,78110
2021-09-10,189.36,189.53,186.335,186.34,55808
2021-09-13,187.52,188.4,184.59,186.43,32512
2021-09-14,187.13,187.13,181.56,182.33,34259
2021-09-15,182.16,187.19,182.14,185.67,52667
2021-09-16,185.69,189.35,185.3,187.76,137938
2021-09-17,187.71,188.82,186.05,186.2,44897
2021-09-20,183.53,184.23,181.89,184.09,62743
