date,open,high,low,close,volume
2021-07-21,189.695,193.03,189.435,193.03,69674
2021-07-22,191.36,191.99,190.28,191.08,33447
2021-07-23,191.91,193.42,190.84,192.79,43795
2021-07-26,192.11,193.04,190.45,192.78,30371
2021-07-27,192.85,193.86,184.6,188.15,76810
2021-07-28,189.29,192.55,188.84,192.1,56218
2021-07-29,192.44,197.565,192.44,196.73,101469
2021-07-30,183.9,185.84,177.855,184.5,403168
2021-08-02,185.45,188.615,185.16,187.4,101033
2021-08-03,188.76,189.5,185.575,188.13,86298
2021-08-04,187.62,188.43,185.53,186.81,43638
2021-08-05,186.625,187.94,184.55,185.98,74382
2021-08-06,184.27,186.69,184.0,186.04,60836
2021-08-09,186.195,186.62,184.52,185.74,23212
2021-08-10,185.89,186.85,183.28,184.89,61409
2021-08-11,185.8,185.8,183.29,184.76,30139
2021-08-12,184.0,184.2,181.72,183.19,41768
2021-08-13,183.46,183.88,182.54,183.47,33270
2021-08-16,182.12,182.22,180.09,181.72,39185
2021-08-17,180.0,180.0,177.23,178.715,77469
2021-08-18,177.75,178.87,175.0,175.09,49428
2021-08-19,173.7,177.945,173.52,177.19,51990
2021-08-20,178.06,179.06,177.4,178.88,27674
2021-08-23,180.005,181.31,178.74,180.95,49884
2021-08-24,181.775,182.89,181.53,182.04,39001
2021-08-25,182.435,182.8,180.475,181.09,38368
2021-08-26,180.84,181.7,180.0,180.97,68196
2021-08-27,180.61,184.13,180.61,183.38,37284
2021-08-30,184.82,186.65,183.93,186.13,68603
2021-08-31,186.01,186.46,182.28,183.455,68354
2021-09-01,184.25,184.38,181.665,181.71,45042
2021-09-02,181.625,183.21,180.94,183.16,54097
2021-09-03,183.65,185.26,182.86,182.97,33869
2021-09-07,183.2,183.2,180.72,181.41,46583
2021-09-08,180.78,180.78,176.415,177.77,54370
2021-09-09,177.6,180.02,177.28,177.33,30397
2021-09-10,179.99,180.63,177.12,177.25,41696
2021-09-13,177.24,181.22,177.24,181.22,58867
2021-09-14,182.21,182.21,177.77,178.08,60068
2021-09-15,178.18,178.18,175.69,176.78,27923
2021-09-16,175.41,178.8,174.49,178.73,65652
2021-09-17,178.21,178.21,173.65,175.35,101063
2021-09-20,171.53,171.94,167.85,170.51,68349
2021-09-21,170.98,172.98,169.895,170.87,43189
2021-09-22,171.95,174.18,171.195,172.94,41600
2021-09-23,173.22,175.38,173.22,173.29,27830
2021-09-24,171.61,173.91,171.4,172.68,31114
2021-09-27,171.07,173.78,170.01,171.72,54150
2021-09-28,168.65,170.92,166.7,166.7,64529
2021-09-29,167.22,168.71,166.38,166.57,73174
2021-09-30,167.32,168.97,164.68,164.81,104856
2021-10-01,165.95,165.95,161.88,163.78,70327
2021-10-04,163.26,163.27,159.12,159.7,73750
2021-10-05,160.65,161.99,158.69,160.33,83101
2021-10-06,158.63,161.4,157.63,161.155,33472
2021-10-07,162.84,165.32,162.17,162.17,45134
2021-10-08,163.115,163.115,160.12,160.84,26502
2021-10-11,160.465,162.23,159.395,159.395,39522
2021-10-12,159.74,160.215,157.96,158.7,32546
2021-10-13,155.16,157.6,154.55,155.24,103785
2021-10-14,156.79,160.36,156.73,160.29,81331
2021-10-15,160.96,162.29,160.055,160.6,67114
2021-10-18,159.08,161.36,158.625,161.36,115630
2021-10-19,162.05,165.51,161.66,164.81,71224
2021-10-20,164.75,166.92,163.74,165.7,62474
2021-10-21,165.7,167.15,165.32,167.03,20550
2021-10-22,166.9,167.79,165.0,165.11,32854
2021-10-25,165.58,165.88,164.92,165.2,26823
2021-10-26,167.25,167.57,163.985,164.25,43580
2021-10-27,164.085,168.33,163.17,165.85,42474
2021-10-28,167.76,170.11,167.41,169.885,66253
2021-10-29,167.09,169.505,165.82,167.055,58118
2021-11-01,167.1,169.82,167.04,169.81,33409
2021-11-02,170.165,171.975,169.66,170.83,53924
2021-11-03,171.015,174.07,170.12,173.59,80336
2021-11-04,172.03,172.095,167.08,171.36,146645
2021-11-05,168.85,168.85,159.22,164.06,262772
2021-11-08,164.5,169.22,162.945,167.795,73704
2021-11-09,167.98,168.36,163.705,164.21,54449
2021-11-10,163.035,164.0,160.14,160.36,44650
2021-11-11,161.52,162.27,159.6,161.97,32635
2021-11-12,162.01,164.95,162.01,164.52,37506
2021-11-15,165.105,165.66,162.74,163.22,33127
2021-11-16,162.92,164.58,162.485,163.74,84345
2021-11-17,163.26,164.57,162.26,162.92,62315
2021-11-18,165.36,165.44,161.59,163.19,55052
2021-11-19,161.84,162.99,160.51,160.71,47638
2021-11-22,161.09,161.09,156.55,156.61,46465
2021-11-23,156.33,158.37,154.06,156.87,89135
2021-11-24,155.42,157.12,151.355,157.09,80493
2021-11-26,154.48,156.42,151.61,152.5,53359
2021-11-29,154.08,155.11,151.44,154.92,74647
2021-11-30,154.18,156.26,150.57,151.56,88052
2021-12-01,153.585,156.01,150.0,150.0,60341
2021-12-02,146.14,151.3,144.46,149.68,103858
2021-12-03,151.91,152.88,147.82,149.53,46672
2021-12-06,150.32,153.33,147.98,152.425,109379
2021-12-07,154.94,158.17,154.94,157.31,68450
2021-12-08,156.02,161.555,155.78,160.09,68639
2021-12-09,159.28,163.73,159.28,161.0,84246
2021-12-10,164.34,164.35,160.03,162.52,109416
2021-12-13,162.75,163.34,158.94,159.64,54541
2021-12-14,159.16,161.07,158.44,159.4,39070
2021-12-15,159.65,160.095,153.84,159.99,194766
2021-12-16,160.72,161.34,142.26,146.38,376179
2021-12-17,144.82,152.79,144.79,151.86,154715
2021-12-20,149.52,151.16,148.67,149.75,66434
2021-12-21,151.635,152.7,149.525,152.7,42403
2021-12-22,151.955,152.63,150.74,152.33,46105
2021-12-23,152.225,154.76,152.02,153.38,39550
2021-12-27,153.74,155.39,152.78,155.39,38551
2021-12-28,156.12,156.69,154.86,155.95,54121
2021-12-29,156.85,158.47,156.22,156.57,19413
2021-12-30,156.11,157.865,155.52,155.78,32041
2021-12-31,157.03,157.03,155.08,155.105,18318
2022-01-03,155.93,160.37,155.93,159.725,128345
2022-01-04,160.71,163.34,157.43,161.19,71149
2022-01-05,161.08,162.855,158.02,158.13,56817
2022-01-06,158.25,160.2,156.6,158.15,54310
