date,open,high,low,close,volume
2021-07-21,46.46,47.71,46.46,47.14,164688
2021-07-22,47.05,47.31,45.48,45.91,183104
2021-07-23,46.29,47.19,46.29,46.525,170057
2021-07-26,46.54,47.46,46.51,47.14,183381
2021-07-27,46.38,47.63,46.225,47.22,96564
2021-07-28,47.44,47.53,46.355,47.215,177942
2021-07-29,48.01,48.375,47.515,48.335,159575
2021-07-30,47.92,48.74,46.815,47.01,239789
2021-08-02,47.545,48.49,46.715,46.85,111268
2021-08-03,47.0,47.21,45.19,47.095,137351
2021-08-04,46.49,47.81,46.41,47.17,53773
2021-08-05,47.5,48.39,47.5,48.27,103379
2021-08-06,48.96,49.89,48.96,49.385,168803
2021-08-09,49.11,49.39,48.41,48.945,125680
2021-08-10,49.105,50.195,48.875,50.12,137011
2021-08-11,50.4,51.26,49.685,51.21,99771
2021-08-12,51.135,51.785,50.77,51.62,81010
2021-08-13,51.85,51.97,51.475,51.8,122489
2021-08-16,51.15,51.535,50.73,51.455,70854
2021-08-17,51.04,51.16,50.03,50.68,194391
2021-08-18,50.09,51.02,49.91,49.93,121019
2021-08-19,49.205,49.76,48.4,49.0,142500
2021-08-20,48.88,49.45,48.595,49.225,89803
2021-08-23,49.68,50.065,49.61,49.695,73652
2021-08-24,49.945,50.56,49.945,50.19,61621
2021-08-25,50.27,51.685,50.27,51.41,103525
2021-08-26,51.59,51.64,50.65,50.76,68412
2021-08-27,51.11,52.1,51.11,51.94,86419
2021-08-30,52.04,52.04,49.345,49.395,184101
2021-08-31,49.245,50.08,49.03,49.755,199068
2021-09-01,49.19,49.455,48.55,48.6,150080
2021-09-02,48.75,48.96,48.035,48.32,82013
2021-09-03,48.205,48.205,47.08,47.39,161966
2021-09-07,47.355,47.94,46.64,46.68,162427
2021-09-08,46.41,46.41,45.255,45.7,146397
2021-09-09,45.6,47.94,45.525,46.58,350598
2021-09-10,46.86,47.965,46.86,47.31,183048
2021-09-13,47.62,48.705,47.58,48.705,121758
2021-09-14,48.785,49.31,47.4,47.68,124365
2021-09-15,47.76,48.64,47.695,48.24,102148
2021-09-16,48.43,49.535,48.43,48.685,146391
2021-09-17,48.815,49.42,48.16,48.435,138878
2021-09-20,46.8,47.48,46.33,47.27,152290
2021-09-21,47.82,47.98,47.2,47.54,125471
2021-09-22,48.515,48.86,48.17,48.33,104508
2021-09-23,49.23,50.355,49.19,49.83,118240
2021-09-24,49.7,50.67,49.7,50.23,108600
2021-09-27,50.67,51.95,50.67,51.72,186268
2021-09-28,51.6,52.16,50.57,50.66,117862
2021-09-29,51.05,51.07,50.335,50.535,61285
2021-09-30,50.71,50.71,48.79,48.9,147217
2021-10-01,49.07,50.2,48.76,49.91,141919
2021-10-04,49.95,50.81,49.59,49.63,178037
2021-10-05,50.2,50.46,49.55,50.135,183165
2021-10-06,49.82,50.45,48.77,49.855,127650
2021-10-07,50.4,50.755,49.55,49.63,184357
2021-10-08,49.82,50.45,49.32,49.95,96777
2021-10-11,50.37,50.76,49.02,49.04,113363
2021-10-12,49.08,50.02,49.01,49.695,111275
2021-10-13,49.595,49.625,47.445,48.41,128645
2021-10-14,49.205,49.605,48.48,49.6,134583
2021-10-15,50.47,50.815,50.15,50.18,134458
2021-10-18,50.085,51.26,50.06,51.05,146065
2021-10-19,51.38,52.31,51.04,52.29,244525
2021-10-20,50.89,52.09,50.01,51.94,193977
2021-10-21,51.69,52.07,48.85,49.09,244191
2021-10-22,49.48,49.895,48.73,49.19,259238
2021-10-26,49.295,49.36,48.05,48.94,184933
2021-10-27,48.715,48.715,46.65,46.66,408879
2021-10-28,46.94,47.155,45.865,46.86,110437
2021-10-29,47.37,47.43,46.35,46.44,92529
2021-11-01,46.93,47.44,46.825,47.375,157794
2021-11-02,47.46,47.61,46.87,47.4,78844
2021-11-03,47.27,48.69,47.16,48.195,189114
2021-11-04,48.13,48.535,47.595,47.99,123991
2021-11-05,48.58,49.365,48.58,49.175,104062
2021-11-08,49.9,50.245,49.185,49.205,127669
2021-11-09,48.86,49.31,48.53,49.305,94108
2021-11-10,49.29,50.44,49.29,49.5,67709
2021-11-11,49.72,50.23,49.55,49.71,72417
2021-11-12,49.53,50.18,49.53,50.18,95592
2021-11-15,50.25,51.03,50.01,50.13,79162
2021-11-16,50.1,50.41,48.635,49.63,117278
2021-11-17,49.36,49.765,48.55,48.6,82005
2021-11-18,48.56,48.92,47.81,48.35,67801
2021-11-19,47.68,48.545,47.51,47.87,130806
2021-11-22,48.8,49.01,47.74,48.34,82105
2021-11-23,48.86,49.96,48.58,49.7,72196
2021-11-24,49.365,50.295,49.365,49.74,105235
2021-11-26,47.9,48.12,46.4,47.74,137363
2021-11-29,48.14,48.56,46.845,47.12,100802
2021-11-30,46.52,46.56,44.42,44.82,254565
2021-12-01,46.1,46.54,43.72,43.72,145668
2021-12-02,44.23,46.06,44.02,45.64,175311
2021-12-03,45.85,45.9,44.75,45.26,185203
2021-12-06,46.12,47.195,46.01,46.33,156245
2021-12-07,46.94,48.02,46.8,47.57,211238
2021-12-08,47.55,47.77,47.29,47.31,93174
2021-12-09,46.995,48.165,46.59,47.9,123186
2021-12-10,48.08,48.35,47.36,47.88,107250
2021-12-13,47.42,47.42,46.045,46.33,147254
2021-12-14,46.175,47.4,46.17,46.82,173799
2021-12-15,46.935,46.935,45.065,46.72,192628
2021-12-16,47.55,48.245,47.165,47.61,254373
2021-12-17,47.12,47.34,45.915,46.65,188372
2021-12-20,45.63,45.63,43.73,44.21,167724
2021-12-21,44.81,46.135,44.81,46.13,108228
2021-12-22,45.98,46.305,45.745,45.95,82543
2021-12-23,46.11,46.575,46.015,46.15,73286
2021-12-27,46.25,46.32,45.535,46.18,221846
2021-12-28,46.035,46.855,46.035,46.47,90358
2021-12-29,46.44,46.68,46.205,46.31,63999
2021-12-30,46.63,47.01,46.215,46.26,41407
2021-12-31,46.4,46.72,46.17,46.4,41521
2022-01-03,46.95,47.43,46.74,46.99,75514
2022-01-04,47.68,48.86,47.68,48.155,110304
2022-01-05,48.26,48.76,46.89,46.92,97412
2022-01-06,47.545,47.79,46.565,47.57,91896
2022-01-07,47.41,48.895,47.125,48.205,140093
2022-01-10,48.42,48.73,47.31,48.3,126859
2022-01-11,48.45,48.79,48.21,48.77,69508
2022-01-12,49.29,49.78,48.72,49.04,67504
2022-01-13,49.69,50.17,49.33,49.41,83062
2022-01-14,48.59,48.72,47.76,48.69,197337
2022-01-18,48.44,48.54,46.54,47.25,136999
2022-01-19,47.45,47.475,45.615,45.65,199906
2022-01-20,45.86,46.6,45.07,45.14,113059
2022-01-21,44.84,45.245,44.04,44.43,142780
2022-01-24,43.205,43.7,42.66,43.38,48527
2022-01-25,44.39,46.555,43.88,46.11,306401
2022-01-26,46.425,47.04,45.51,45.655,180482
2022-01-27,45.895,46.165,43.78,44.4,267020
2022-01-28,41.06,42.49,40.035,41.42,512131
2022-01-31,41.0,42.6,40.815,42.6,247167
2022-02-01,42.585,43.1,41.98,42.87,490781
2022-02-02,42.825,42.97,42.065,42.7,233273
2022-02-03,42.66,43.175,42.25,42.25,116541
2022-02-04,42.295,42.905,42.07,42.49,193996
2022-02-07,42.55,43.265,42.55,42.885,121019
2022-02-08,42.98,44.035,42.935,43.98,91714
2022-02-09,44.02,44.96,44.02,44.655,120580
2022-02-10,44.49,45.55,44.02,44.165,119136
2022-02-11,43.99,44.94,43.59,43.79,110251
2022-02-14,43.91,45.07,43.74,44.02,98989
2022-02-15,44.8,45.28,44.62,44.78,169790
2022-02-16,44.7,45.34,44.55,44.86,98139
2022-02-17,44.4,44.7,43.495,43.66,70818
2022-02-18,43.45,44.4,43.275,43.43,102884
2022-02-22,43.25,43.685,42.38,42.69,69748
2022-02-23,43.1,43.14,41.53,41.56,121720
2022-02-24,39.86,41.365,39.4,41.255,155881
2022-02-25,41.55,43.56,41.55,43.2,181234
2022-02-28,41.93,42.945,41.88,42.755,205758
2022-03-01,42.44,42.475,39.27,39.49,167443
2022-03-02,40.025,40.285,38.845,39.755,232056
2022-03-03,39.88,40.24,38.03,38.875,236153
2022-03-04,37.965,37.965,36.69,37.27,304172
2022-03-07,36.82,36.83,34.51,34.77,258425
2022-03-09,36.36,37.555,35.96,36.2,124339
2022-03-10,35.44,36.06,34.725,35.43,239010
2022-03-11,35.905,36.1,35.0,35.04,279683
2022-03-14,35.69,36.59,35.32,35.48,226144
2022-03-15,35.92,36.915,35.475,36.14,208146
2022-03-16,36.87,38.37,36.615,37.68,283920
2022-03-17,36.38,37.425,36.23,37.425,211895
2022-03-18,37.31,37.735,36.57,37.61,313741
2022-03-21,37.15,37.52,36.12,36.38,165864
2022-03-22,36.77,38.18,36.77,37.61,140619
2022-03-23,37.17,37.26,36.165,36.33,138524
2022-03-24,36.695,36.77,36.035,36.4,141365
2022-03-25,36.715,36.805,36.295,36.67,147318
2022-03-28,35.75,35.88,34.68,35.85,307281
2022-03-29,36.78,37.11,36.36,36.76,326174
2022-03-30,36.595,36.945,35.53,35.74,199535
2022-03-31,35.815,35.815,34.81,34.815,157861
2022-04-01,35.21,35.53,34.72,35.15,113997
2022-04-04,35.425,35.92,34.98,35.58,167972
2022-04-05,35.48,35.915,35.2,35.27,135473
2022-04-06,35.44,36.5,35.36,35.78,256962
2022-04-07,35.63,35.91,34.765,35.66,146946
2022-04-08,35.93,36.985,35.88,36.66,212859
2022-04-11,36.21,37.41,36.21,36.52,132015
2022-04-12,36.22,37.68,36.2,36.86,148630
2022-04-13,36.53,37.51,36.52,37.5,125625
2022-04-14,37.5,38.05,37.285,37.695,182430
2022-04-18,37.85,40.505,37.85,40.07,395210
2022-04-19,40.17,41.04,40.17,40.7,244933
2022-04-20,41.2,41.875,40.335,40.48,179615
2022-04-21,40.9,41.21,39.77,39.81,125339
2022-04-22,39.48,39.57,37.94,37.97,134531
2022-04-25,37.4,38.435,36.98,38.3,116640
2022-04-26,37.715,38.29,37.435,37.51,124815
2022-04-27,37.05,37.45,36.385,36.83,168044
2022-04-28,37.64,38.35,37.04,38.06,147146
2022-04-29,38.31,38.45,36.69,36.79,131911
2022-05-02,37.08,37.4,36.57,37.34,173958
2022-05-03,37.55,38.69,37.36,38.3,116370
2022-05-04,38.42,40.37,38.29,40.12,267118
2022-05-05,39.69,40.14,38.825,39.34,182667
2022-05-06,39.38,39.46,37.715,38.06,211770
2022-05-09,37.79,38.16,36.84,37.03,186326
2022-05-10,37.42,37.48,35.225,36.17,220207
2022-05-11,36.23,37.32,35.29,35.32,179732
2022-05-12,34.32,34.57,32.05,33.05,398845
2022-05-13,33.425,34.34,33.34,33.55,293945
2022-05-16,33.53,33.715,32.67,33.17,346012
2022-05-17,34.23,35.5,34.19,35.4,158438
2022-05-18,34.71,34.96,32.945,33.075,193010
2022-05-19,32.47,33.24,32.185,32.55,400124
2022-05-20,32.89,33.04,31.365,32.465,498988
2022-05-23,33.1,34.565,33.0,34.1,382593
2022-05-24,33.84,33.9,32.47,32.92,333816
2022-05-25,32.87,34.06,32.87,33.93,194510
2022-05-26,34.51,35.44,34.5,35.18,157625
2022-05-27,35.25,36.13,35.25,36.13,186009
2022-05-31,36.01,37.195,35.72,37.05,223227
2022-06-01,36.95,37.12,35.34,35.86,140269
2022-06-02,35.895,36.265,35.535,36.22,147230
2022-06-03,35.87,36.13,35.33,35.41,117049
2022-06-06,35.59,36.11,35.335,35.77,89586
2022-06-07,35.27,36.44,35.26,36.34,162761
2022-06-08,35.72,36.07,34.725,34.96,175636
2022-06-09,35.0,35.06,33.835,33.86,245109
2022-06-10,32.91,33.21,31.495,31.515,230591
2022-06-13,30.62,31.025,29.445,29.71,336152
2022-06-14,29.91,30.06,29.085,29.52,207791
2022-06-15,30.12,30.76,29.68,30.46,298828
2022-06-16,29.465,29.465,27.785,28.92,628632
2022-06-17,28.995,30.185,28.89,29.885,298967
2022-06-21,30.755,31.045,28.985,29.22,216098
2022-06-22,28.7,29.23,28.585,29.02,490061
2022-06-23,28.91,28.91,27.4,28.215,456262
2022-06-24,28.58,29.98,28.58,29.54,273210
2022-06-27,29.91,30.07,29.14,29.46,135723
2022-06-28,30.07,30.47,28.84,28.96,130708
2022-06-29,28.79,28.92,28.14,28.52,143313
2022-06-30,27.845,28.21,27.24,27.62,406635
2022-07-01,27.43,28.87,27.43,28.59,184099
2022-07-05,27.795,28.965,27.65,28.95,272150
2022-07-06,29.075,29.19,28.32,28.55,264061
2022-07-07,29.215,29.57,28.77,29.49,256811
2022-07-08,29.645,29.95,29.11,29.67,270112
2022-07-11,29.34,29.99,29.32,29.745,169189
2022-07-12,29.445,30.9,29.38,30.46,222539
2022-07-13,29.65,30.205,29.34,30.02,217193
2022-07-14,29.24,30.14,28.975,29.97,166541
2022-07-15,31.02,31.57,30.44,31.4,301468
2022-07-18,32.1,33.19,31.42,31.48,339978
2022-07-19,32.27,33.195,32.09,32.885,164322
2022-07-20,32.84,33.475,32.82,33.3,185663
2022-07-21,32.73,33.08,32.165,32.67,185198
2022-07-22,32.81,33.51,32.395,32.68,164440
2022-07-25,32.86,33.105,32.37,32.82,186440
2022-07-26,32.44,32.695,31.695,31.73,255837
2022-07-27,32.275,32.73,31.73,32.57,194717
2022-07-28,32.54,32.715,31.62,32.64,139393
2022-07-29,32.61,33.635,32.51,33.49,136571
2022-08-01,33.255,33.92,32.875,33.72,106856
2022-08-02,33.42,33.505,32.73,32.83,102149
2022-08-03,33.48,34.05,33.425,33.975,100921
2022-08-04,33.81,34.21,33.54,33.76,86613
2022-08-05,33.47,34.04,33.47,33.9,60237
2022-08-08,34.28,35.305,34.28,34.415,104298
2022-08-09,34.275,34.45,33.73,33.88,138043
2022-08-10,35.01,35.985,35.01,35.66,131100
2022-08-11,36.35,36.72,35.955,36.11,100890
2022-08-12,36.16,36.33,35.78,36.13,84413
2022-08-15,35.6,35.885,35.205,35.75,132145
2022-08-16,35.79,36.27,35.43,36.04,137002
2022-08-17,35.25,35.43,34.855,35.2,80038
2022-08-18,35.09,35.54,35.005,35.38,48628
2022-08-19,34.95,35.04,34.19,34.305,103982
2022-08-22,33.75,33.75,33.085,33.4,82824
2022-08-23,33.63,34.25,33.63,33.99,139247
2022-08-24,33.85,34.58,33.81,34.33,111633
2022-08-25,34.6,35.14,34.52,35.14,107928
2022-08-26,35.36,35.36,33.645,33.66,160193
2022-08-29,33.26,33.34,32.725,32.73,101411
2022-08-30,32.93,33.115,32.43,32.96,122218
2022-08-31,33.2,33.39,32.615,32.77,85197
2022-09-01,32.27,32.28,31.305,32.04,197219
2022-09-02,32.62,32.81,31.76,31.985,108655
2022-09-06,31.93,32.03,30.775,31.02,137035
2022-09-07,31.02,32.02,31.02,31.95,114915
2022-09-08,31.62,32.635,31.3,32.6,105676
2022-09-09,32.835,33.495,32.72,33.41,89959
2022-09-12,33.9,34.63,33.84,34.31,177295
2022-09-13,33.09,33.14,31.455,31.59,140650
2022-09-14,31.65,31.765,30.825,31.745,114310
2022-09-15,31.8,33.18,31.8,32.59,139491
2022-09-16,32.1,32.6,31.65,32.5,141956
2022-09-19,31.91,32.75,31.91,32.705,115635
2022-09-20,32.085,32.15,31.2,31.63,180412
2022-09-21,31.865,31.98,30.62,30.62,114418
2022-09-22,30.71,30.77,29.585,29.72,90503
2022-09-23,29.485,29.54,28.72,29.275,134367
2022-09-26,28.98,29.44,28.19,28.23,130460
2022-09-27,28.51,28.68,27.78,28.11,123332
2022-09-28,28.24,29.15,28.08,28.97,132216
2022-09-29,28.43,29.23,28.405,28.85,150256
2022-09-30,28.75,28.89,28.12,28.2,154280
2022-10-03,28.93,30.01,28.375,29.87,118462
2022-10-04,30.59,31.72,30.57,31.71,160342
2022-10-05,31.085,31.96,31.05,31.78,203893
2022-10-06,31.35,31.84,31.205,31.5,223305
2022-10-07,31.06,31.06,30.665,30.84,249274
2022-10-10,31.24,31.26,30.795,31.02,156984
2022-10-11,30.855,31.72,30.535,30.92,233538
2022-10-12,30.905,31.765,30.77,31.29,118096
2022-10-13,30.545,32.635,30.015,32.38,245865
2022-10-14,32.57,33.02,31.39,31.45,138554
2022-10-17,32.375,32.595,31.845,32.2,112745
2022-10-18,33.06,33.47,32.31,32.59,98351
2022-10-19,31.975,32.465,31.275,31.59,138688
2022-10-20,31.58,32.54,31.485,31.55,168359
2022-10-21,31.11,32.42,31.05,32.42,132503
2022-10-24,32.675,33.225,32.39,33.085,307668
2022-10-25,33.08,35.335,32.755,34.97,296553
2022-10-26,35.25,35.65,34.935,35.055,136557
2022-10-27,35.62,35.91,34.97,35.07,189020
2022-10-28,35.03,36.325,35.02,36.14,192117
2022-10-31,35.635,35.935,35.41,35.56,111063
2022-11-01,36.04,36.3,35.46,35.9,122951
2022-11-02,35.78,36.425,34.825,34.92,217776
2022-11-03,34.13,34.625,33.61,34.015,117397
2022-11-04,34.7,35.415,34.325,35.025,107918
2022-11-07,35.51,36.2,34.98,36.2,104873
2022-11-08,36.31,36.425,35.545,36.09,115660
2022-11-09,35.49,35.795,34.88,35.0,121395
2022-11-10,36.85,38.745,36.68,38.73,269817
2022-11-11,39.09,40.875,39.03,40.23,278230
2022-11-14,39.705,39.91,37.75,37.75,179187
2022-11-15,38.445,38.82,35.78,35.92,293250
2022-11-16,35.86,36.16,35.0,35.19,139495
2022-11-17,34.44,35.46,34.255,35.46,125752
2022-11-18,36.17,36.29,35.445,35.89,103499
2022-11-21,35.78,36.425,35.71,36.3,97818
2022-11-22,36.67,36.995,36.375,36.52,84532
2022-11-23,36.325,36.975,36.325,36.85,83693
