date,open,high,low,close,volume
2021-07-21,66.87,67.89,66.8,67.44,108038
2021-07-22,67.485,67.485,66.79,67.26,124797
2021-07-23,67.75,68.41,67.36,68.2,114204
2021-07-26,68.11,68.89,67.94,68.735,167467
2021-07-27,68.475,68.96,68.07,68.41,75549
2021-07-28,68.51,68.75,67.7,67.91,135124
2021-07-29,68.365,69.26,68.29,68.84,128882
2021-07-30,68.47,69.77,68.46,68.78,68382
2021-08-02,69.125,69.13,67.77,67.93,202701
2021-08-03,68.37,68.985,67.37,68.98,93528
2021-08-04,68.7,68.81,67.25,67.26,295072
2021-08-05,67.45,68.64,67.29,68.58,152201
2021-08-06,69.08,69.595,68.84,69.34,121962
2021-08-09,69.065,69.315,68.44,68.91,89205
2021-08-10,69.24,71.835,69.21,71.445,269141
2021-08-11,71.49,71.75,70.91,71.715,109911
2021-08-12,71.82,71.94,70.81,71.55,165418
2021-08-13,71.46,71.48,70.29,70.48,208791
2021-08-16,70.345,70.4,69.34,70.315,164083
2021-08-17,69.77,69.88,68.48,69.18,264373
2021-08-18,68.68,73.67,68.07,73.0,839737
2021-08-19,71.51,73.81,71.51,73.63,428161
2021-08-20,73.115,74.4,72.65,74.045,354332
2021-08-23,74.325,76.09,74.325,75.135,401929
2021-08-24,75.38,76.155,75.13,75.31,448208
2021-08-25,75.055,76.06,74.78,75.83,182666
2021-08-26,74.88,74.88,73.4,73.835,144452
2021-08-27,73.965,74.34,73.41,73.65,196044
2021-08-30,73.83,73.83,72.7,72.79,162338
2021-08-31,72.49,72.91,72.05,72.73,239544
2021-09-01,73.15,73.27,71.97,72.08,165524
2021-09-02,72.09,72.54,71.7,71.85,165207
2021-09-03,71.39,71.735,70.975,71.08,178102
2021-09-07,70.78,70.82,69.575,69.85,220741
2021-09-08,69.93,70.01,69.06,69.805,199486
2021-09-09,69.83,70.46,69.41,69.45,236701
2021-09-10,70.01,70.08,68.83,68.89,237302
2021-09-13,69.385,69.44,68.29,68.7,118961
2021-09-14,69.25,69.7,68.68,69.46,286308
2021-09-15,69.16,69.9,68.9,69.455,132426
2021-09-16,69.68,70.755,69.62,70.49,178848
2021-09-17,70.195,71.09,70.195,70.415,222629
2021-09-20,69.34,70.04,68.49,69.12,148789
2021-09-21,69.67,70.39,69.31,69.31,247927
2021-09-22,69.74,70.185,69.4,69.55,149680
2021-09-23,70.36,71.915,70.265,70.71,161194
2021-09-24,70.39,71.35,70.31,71.1,141105
2021-09-27,71.485,72.61,71.1,71.13,232137
2021-09-28,70.695,70.97,69.49,70.08,269872
2021-09-29,70.675,70.96,69.83,69.88,129277
2021-09-30,69.07,69.35,65.94,65.96,433578
2021-10-01,66.27,67.06,65.515,66.57,219731
2021-10-04,66.65,66.93,65.66,65.85,275928
2021-10-05,66.02,66.3,64.84,65.11,248862
2021-10-06,64.53,65.015,63.54,64.32,310187
2021-10-07,65.1,66.27,64.95,64.97,267909
2021-10-08,65.13,65.295,64.66,64.74,176524
2021-10-11,64.69,64.74,62.965,63.01,362100
2021-10-12,63.31,63.565,62.845,62.96,208753
2021-10-13,63.91,64.16,63.36,63.49,175902
2021-10-14,62.76,64.555,62.76,64.13,291210
2021-10-15,64.655,64.84,64.265,64.35,257502
2021-10-18,64.03,64.785,63.73,64.63,127852
2021-10-19,64.745,64.745,63.47,63.895,224546
2021-10-20,64.11,65.005,63.685,63.83,147628
2021-10-21,64.07,64.71,64.03,64.685,112996
2021-10-22,64.65,64.69,63.57,64.16,112254
2021-10-26,65.68,66.13,65.31,65.33,165926
2021-10-27,65.41,65.41,64.255,64.56,95006
2021-10-28,64.95,65.38,64.77,65.19,135364
2021-10-29,64.91,65.98,64.74,65.47,200735
2021-11-01,65.7,67.03,65.66,66.68,499498
2021-11-02,66.745,67.875,66.28,67.33,319107
2021-11-03,67.35,68.71,67.07,68.425,296288
2021-11-04,68.7,69.955,68.41,69.73,346097
2021-11-05,70.9,71.88,70.9,71.215,257829
2021-11-08,70.98,71.24,69.57,69.89,156679
2021-11-09,69.735,70.26,69.28,69.68,124443
2021-11-10,69.77,70.5,68.95,68.95,178609
2021-11-11,69.08,69.475,68.12,68.205,228077
2021-11-12,68.73,69.03,68.2,68.84,217080
2021-11-15,69.205,70.46,69.16,69.325,253729
2021-11-16,69.465,70.31,68.36,69.55,252827
2021-11-17,75.895,76.79,73.26,73.555,893259
2021-11-18,73.6,73.67,71.79,73.1,398376
2021-11-19,72.79,72.79,70.19,71.01,253611
2021-11-22,71.67,71.88,69.26,69.87,212122
2021-11-23,69.38,71.23,69.02,70.95,253132
2021-11-24,69.965,71.55,69.705,71.49,191344
2021-11-26,70.01,70.44,69.06,69.38,200024
2021-11-29,72.145,72.235,70.255,70.64,264658
2021-11-30,70.24,70.36,68.48,69.41,277204
2021-12-01,70.96,71.68,67.97,67.97,288771
2021-12-02,68.32,70.48,68.32,70.26,183418
2021-12-03,70.49,70.88,69.8,70.67,303815
2021-12-06,71.365,73.49,71.365,72.64,498989
2021-12-07,72.815,74.62,72.4,74.13,274367
2021-12-08,74.28,74.745,73.87,74.33,269253
2021-12-09,74.06,74.68,73.95,74.03,168744
