date,open,high,low,close,volume
2021-07-21,144.05,146.07,144.05,144.5,312279
2021-07-22,144.6,144.93,142.49,144.75,179082
2021-07-23,144.86,145.17,143.91,143.98,176272
2021-07-26,143.78,145.68,143.74,145.01,261225
2021-07-27,144.81,145.07,143.58,144.77,163715
2021-07-28,144.93,145.4,144.39,145.16,125339
2021-07-29,145.46,146.74,143.73,144.63,258001
2021-07-30,142.74,145.105,141.26,144.03,290424
2021-08-02,144.73,145.24,144.02,144.91,131999
2021-08-03,145.06,145.36,144.04,144.54,121998
2021-08-04,143.78,144.31,142.16,142.17,288584
2021-08-05,142.835,143.48,141.71,141.875,291789
2021-08-06,142.23,142.73,141.5,142.26,279147
2021-08-09,142.95,143.985,142.8,142.99,215176
2021-08-10,142.69,143.815,142.53,143.14,128359
2021-08-11,143.15,144.75,143.095,144.61,153586
2021-08-12,144.92,145.34,144.72,144.72,66441
2021-08-13,144.27,145.33,144.25,144.96,121453
2021-08-16,140.99,142.65,139.275,140.8,415402
2021-08-17,140.52,141.84,140.12,140.685,412934
2021-08-18,140.16,141.76,139.69,139.72,197598
2021-08-19,139.415,141.55,139.415,140.86,152867
2021-08-20,141.02,143.27,140.43,141.8,153417
2021-08-23,141.82,142.95,141.5,142.525,132854
2021-08-24,142.14,143.085,141.785,142.49,79277
2021-08-25,142.135,142.135,139.82,139.86,152715
2021-08-26,140.28,140.5,137.42,137.57,157187
2021-08-27,137.59,138.65,137.255,138.37,167750
2021-08-30,136.81,138.53,135.71,137.88,169071
2021-08-31,137.79,137.95,136.58,137.0,167763
2021-09-01,137.71,138.8,137.375,137.72,148820
2021-09-02,138.055,138.26,135.07,136.14,163300
2021-09-03,136.215,136.48,135.44,136.0,112045
2021-09-07,136.18,136.78,134.22,134.46,119697
2021-09-08,134.66,134.66,132.34,133.66,244120
2021-09-09,131.1,133.74,130.26,131.43,662273
2021-09-10,131.935,131.935,129.085,130.86,396303
2021-09-13,131.985,132.12,129.575,129.99,373268
2021-09-14,130.635,131.24,127.99,128.87,412574
2021-09-15,128.55,128.7,125.41,127.06,410391
2021-09-16,127.45,129.605,126.0,128.88,530050
2021-09-17,128.87,129.14,127.06,128.0,408153
2021-09-20,126.65,127.97,124.705,125.63,501427
2021-09-21,126.48,127.48,124.865,124.9,305511
2021-09-22,125.565,128.23,125.565,127.74,259626
2021-09-23,128.04,131.88,128.04,130.89,393587
2021-09-24,130.495,130.71,129.05,129.46,173228
2021-09-27,128.73,128.825,127.265,127.8,179005
2021-09-28,126.98,127.65,125.87,126.38,277779
2021-09-29,126.4,128.72,126.09,128.11,354046
2021-09-30,129.0,129.24,127.15,127.72,186926
2021-10-01,127.57,128.16,126.29,126.74,223235
2021-10-04,126.56,127.72,124.76,125.49,198463
2021-10-05,125.09,126.175,124.32,125.38,120413
2021-10-06,124.4,124.65,123.33,124.57,149973
2021-10-07,125.32,126.06,122.81,123.07,296463
2021-10-08,123.41,123.41,120.69,121.23,195934
2021-10-11,121.07,121.6,116.96,117.17,319167
2021-10-12,117.5,118.54,116.16,116.23,292600
2021-10-13,117.0,118.005,116.03,116.49,311562
2021-10-14,118.09,119.69,117.62,119.27,335854
2021-10-15,119.62,120.33,117.315,117.56,150298
2021-10-18,117.06,118.195,116.14,117.38,219952
2021-10-19,117.71,118.62,116.875,118.56,110740
2021-10-20,119.135,122.62,119.065,121.91,416760
2021-10-21,121.73,121.86,116.47,116.85,265250
2021-10-22,117.18,117.395,116.18,116.86,177375
2021-10-25,116.84,116.96,115.845,115.96,116811
2021-10-26,116.38,117.98,116.35,116.36,150315
2021-10-27,116.2,117.505,116.07,116.7,195306
2021-10-28,116.7,117.87,115.4,116.02,136074
2021-10-29,115.54,116.3,114.695,114.99,265905
2021-11-01,115.06,116.3,115.01,115.86,243428
2021-11-02,116.58,117.23,114.8,115.85,197904
2021-11-03,121.95,124.68,121.2,121.96,532921
2021-11-04,122.32,124.06,121.27,122.66,355440
2021-11-05,123.025,124.4,121.8,122.65,165263
2021-11-08,122.79,122.795,119.875,120.86,144677
2021-11-09,120.98,121.67,119.2,119.9,171791
2021-11-10,119.755,122.26,119.14,119.575,185404
2021-11-11,119.55,119.91,118.125,118.44,132684
2021-11-12,119.1,119.19,118.03,118.21,131363
2021-11-15,117.95,118.28,115.77,117.8,264737
2021-11-16,118.43,119.28,118.01,118.405,141947
2021-11-17,118.095,118.095,116.315,117.21,133496
2021-11-18,116.77,117.43,115.3,117.0,156652
2021-11-19,116.91,116.91,114.4,115.66,268598
2021-11-22,115.98,115.98,113.705,113.85,324297
2021-11-23,113.455,115.98,112.99,115.43,152469
2021-11-24,115.145,115.145,113.59,114.46,185177
2021-11-26,114.51,115.36,113.18,113.71,117246
2021-11-29,113.8,113.83,110.33,113.4,309556
2021-11-30,112.94,113.135,108.1,108.84,505887
2021-12-01,110.18,111.25,106.7,106.76,249772
2021-12-02,107.06,111.06,106.89,110.41,183468
2021-12-03,110.53,112.98,109.03,112.87,352495
2021-12-06,113.6,116.215,112.76,115.62,287637
2021-12-07,115.92,117.665,114.71,117.15,414995
2021-12-08,116.69,117.41,113.5,114.78,537296
2021-12-09,114.19,114.64,112.785,113.995,321223
2021-12-10,114.21,115.89,113.82,114.78,270556
2021-12-13,114.86,115.455,113.77,115.05,295379
2021-12-14,114.9,118.275,114.82,117.33,265714
2021-12-15,116.96,118.805,116.24,118.37,295113
2021-12-16,118.87,121.36,118.81,120.64,328531
2021-12-17,120.18,121.715,118.65,119.68,283754
2021-12-20,117.81,119.52,117.12,119.03,125990
2021-12-21,119.69,121.61,119.13,121.21,178996
2021-12-22,120.33,122.51,120.12,120.57,116769
2021-12-23,120.905,121.75,119.89,119.95,150561
2021-12-27,119.77,119.99,118.33,118.59,163423
2021-12-28,118.97,120.31,117.815,118.21,171964
2021-12-29,119.18,119.29,116.935,117.66,241649
2021-12-30,117.98,118.73,116.37,116.51,164307
2021-12-31,116.56,116.83,115.4,115.99,154712
2022-01-03,115.69,116.08,114.17,114.29,416071
2022-01-04,114.62,114.81,111.98,114.09,529858
2022-01-05,114.625,118.205,114.6,115.35,507990
2022-01-06,116.0,116.84,114.57,115.61,175323
2022-01-07,111.99,113.46,108.57,109.72,766204
2022-01-10,109.37,109.6,104.11,105.81,385794
2022-01-11,107.49,111.02,104.64,110.94,476589
2022-01-12,111.5,112.61,109.97,110.87,191598
2022-01-13,111.06,112.0,109.57,110.11,214384
2022-01-14,109.04,109.25,107.06,108.48,227914
2022-01-18,107.07,108.215,106.305,106.92,223549
2022-01-19,107.04,107.175,105.17,105.41,245593
2022-01-20,105.32,107.87,103.91,104.08,294605
2022-01-21,104.13,105.165,101.57,101.58,286200
2022-01-24,102.53,106.95,102.32,106.71,580000
2022-01-25,105.72,106.615,104.42,105.73,741418
2022-01-26,105.175,106.485,103.81,104.29,789408
2022-01-27,103.935,107.7,103.935,106.01,459902
2022-01-28,105.37,108.69,104.8,108.61,295147
2022-01-31,108.01,108.395,106.92,108.08,305481
2022-02-01,107.8,109.75,106.83,109.55,237835
2022-02-02,109.635,110.44,107.935,109.58,317845
2022-02-03,119.8,122.33,118.325,120.9,804146
2022-02-04,118.865,122.51,118.18,120.96,504286
2022-02-07,120.94,122.86,120.94,122.1,294537
2022-02-08,122.59,126.26,122.26,125.38,312735
2022-02-09,126.72,128.39,125.92,128.08,725688
2022-02-10,125.02,127.75,124.57,125.19,288039
2022-02-11,124.76,126.925,124.16,124.4,177849
2022-02-14,125.29,125.745,123.44,125.51,191280
2022-02-15,126.81,128.05,126.08,127.06,158338
2022-02-16,126.92,128.35,125.31,127.5,185988
2022-02-17,126.47,126.515,124.29,124.54,198134
2022-02-18,124.81,125.575,122.82,124.03,144475
2022-02-22,123.61,124.47,122.29,123.55,304063
2022-02-23,123.225,123.225,119.73,121.45,212848
2022-02-24,119.83,123.87,118.75,123.66,287461
2022-02-25,123.73,125.97,123.33,125.54,241181
2022-02-28,121.7,123.47,121.22,123.19,440431
2022-03-01,121.85,124.02,121.63,123.19,218562
2022-03-02,123.34,126.26,123.34,125.6,186587
2022-03-03,126.6,127.12,123.64,123.84,244948
2022-03-04,123.33,124.775,122.46,123.21,215603
2022-03-07,122.53,123.48,121.87,122.27,286517
2022-03-08,121.14,121.73,116.97,119.27,266969
2022-03-09,120.67,122.43,120.66,121.9,205625
2022-03-10,120.76,123.89,120.44,123.55,263224
2022-03-11,124.63,126.37,124.41,124.61,238036
2022-03-14,124.705,126.41,123.99,124.05,239755
2022-03-15,125.36,127.57,124.95,126.26,153758
2022-03-16,126.22,128.11,125.47,127.72,263843
2022-03-17,128.52,129.55,127.9,128.9,198741
2022-03-18,128.39,129.36,126.74,127.14,208418
2022-03-21,126.88,126.91,124.3,125.96,353905
2022-03-22,126.255,127.13,125.46,125.68,134623
2022-03-23,125.98,126.73,124.745,124.75,225477
2022-03-24,125.61,126.12,123.865,125.71,183013
2022-03-25,125.77,126.065,123.22,124.2,188092
2022-03-28,124.69,126.49,124.27,126.49,426684
2022-03-29,126.34,128.57,125.98,128.43,214717
2022-03-30,128.615,128.895,127.865,128.65,457251
2022-03-31,128.63,129.35,127.59,128.42,193540
2022-04-01,128.67,130.9,128.04,130.75,190455
