date,open,high,low,close,volume
2021-07-21,36.52,36.72,35.96,36.21,331790
2021-07-22,36.53,36.71,36.25,36.49,181405
2021-07-23,36.68,37.56,36.59,37.52,339140
2021-07-26,37.57,37.77,37.23,37.61,241630
2021-07-27,37.3,37.3,36.52,36.87,240250
2021-07-28,36.94,37.04,36.63,36.7,283925
2021-07-29,36.67,36.7,36.07,36.22,248940
2021-07-30,36.0,36.62,35.87,36.19,316545
2021-08-02,36.15,36.47,36.11,36.16,175800
2021-08-03,36.4,37.71,36.4,37.3,198445
2021-08-04,37.01,37.15,36.87,37.14,207360
2021-08-05,37.27,37.68,37.14,37.63,162900
2021-08-06,37.68,37.91,37.23,37.47,166885
2021-08-09,37.24,37.64,37.24,37.52,173530
2021-08-10,37.53,38.26,37.53,38.15,290720
2021-08-11,38.11,38.99,38.11,38.82,267535
2021-08-12,38.8,38.95,38.56,38.67,131280
2021-08-13,38.85,38.97,38.68,38.79,126120
2021-08-16,38.61,39.37,38.52,39.32,149850
2021-08-17,38.83,38.83,37.97,38.19,300355
2021-08-18,38.27,39.11,38.27,38.58,215325
2021-08-19,38.41,39.2,38.41,38.99,154355
2021-08-20,39.04,39.79,39.02,39.62,168130
2021-08-23,39.64,39.72,38.96,38.97,208505
2021-08-24,39.06,39.14,38.61,38.7,216065
2021-08-25,38.86,38.94,38.5,38.84,158450
2021-08-26,38.81,38.81,37.75,37.94,433290
2021-08-27,37.85,38.49,37.7,38.49,160505
2021-08-30,38.61,39.04,38.61,38.74,89335
2021-08-31,38.79,39.16,38.43,38.86,188165
2021-09-01,38.76,39.18,38.12,39.11,229885
2021-09-02,39.19,39.42,39.08,39.12,290635
2021-09-03,39.03,39.78,38.92,39.76,123705
2021-09-07,39.69,39.96,39.46,39.63,254940
2021-09-08,39.65,39.95,39.54,39.86,390085
2021-09-09,39.9,40.46,39.76,40.34,290935
2021-09-10,40.63,41.49,40.43,40.97,555665
2021-09-13,41.04,41.22,40.11,40.43,397515
2021-09-14,40.53,41.18,40.52,41.07,284860
2021-09-15,40.9,41.09,40.67,41.02,213880
2021-09-16,41.22,42.02,41.22,41.89,171515
2021-09-17,41.78,41.85,41.27,41.44,224225
2021-09-20,40.71,41.21,40.71,41.14,179295
2021-09-21,41.39,41.6,40.95,41.43,112065
2021-09-22,41.72,42.41,41.33,42.37,134935
2021-09-23,42.67,42.72,41.86,42.04,187055
2021-09-24,41.95,42.18,41.62,42.15,165640
2021-09-27,42.14,42.48,41.68,42.05,261175
2021-09-28,41.75,41.78,41.28,41.41,262245
2021-09-29,41.74,41.95,41.43,41.63,291040
2021-09-30,41.47,41.47,40.39,40.53,319625
2021-10-01,40.61,40.78,39.92,40.27,300870
2021-10-04,39.41,39.82,38.6,39.21,452375
2021-10-05,39.52,39.72,39.21,39.51,197285
2021-10-06,39.48,39.51,39.05,39.36,197785
2021-10-07,39.39,40.02,39.39,39.58,116785
2021-10-08,39.82,39.82,38.91,38.94,139810
2021-10-11,39.0,39.21,38.69,38.7,122160
2021-10-12,39.05,39.05,38.51,38.65,182610
2021-10-13,38.88,39.17,38.64,38.98,191100
2021-10-14,39.27,39.76,39.14,39.47,128150
2021-10-15,39.61,39.91,39.41,39.45,129750
2021-10-18,39.62,41.0,39.62,40.88,394585
2021-10-19,41.08,41.18,40.62,40.62,157610
2021-10-20,40.8,40.95,40.42,40.44,212035
2021-10-21,42.02,42.54,41.44,42.07,549220
2021-10-22,42.45,42.83,41.63,41.63,167050
2021-10-25,41.95,42.73,41.86,42.18,207995
2021-10-26,42.23,42.26,41.35,41.35,333280
2021-10-27,41.5,41.73,41.2,41.38,185310
2021-10-28,41.59,42.21,41.59,42.03,144415
2021-10-29,41.93,43.54,41.93,43.43,280895
2021-11-01,43.73,43.73,42.68,42.77,222295
2021-11-02,42.97,43.3,42.9,43.09,96905
2021-11-03,43.15,43.37,42.72,43.16,115870
2021-11-04,43.26,43.89,43.1,43.61,129890
2021-11-05,43.9,44.07,43.4,44.06,339990
2021-11-08,44.22,44.29,43.64,44.29,124870
2021-11-09,44.9,44.9,43.92,44.18,181070
2021-11-10,43.84,44.18,43.28,43.47,121930
2021-11-11,43.43,43.82,43.43,43.71,68830
2021-11-12,43.9,44.28,43.69,44.26,92505
2021-11-15,44.41,44.66,44.25,44.62,151205
2021-11-16,44.73,46.05,44.73,45.83,166535
2021-11-17,45.82,46.09,45.03,45.26,262445
2021-11-18,45.29,45.87,45.29,45.86,144795
2021-11-19,45.67,46.35,45.6,46.12,171320
2021-11-22,46.22,46.42,45.79,45.79,118945
2021-11-23,45.56,45.56,44.59,45.05,135395
2021-11-24,44.54,45.18,44.54,45.17,76405
2021-11-26,44.67,46.07,44.67,45.73,181670
2021-11-29,45.6,45.81,45.24,45.38,146790
2021-11-30,45.3,46.38,44.95,45.07,353975
2021-12-01,45.27,45.8,44.78,44.78,200610
2021-12-02,44.89,45.92,44.89,45.56,185425
2021-12-03,45.89,46.16,45.27,45.65,174405
2021-12-06,45.77,45.94,45.2,45.49,182300
2021-12-07,46.0,46.98,46.0,46.64,151160
2021-12-08,46.54,47.06,46.35,47.04,168950
2021-12-09,46.88,46.88,46.05,46.07,158935
2021-12-10,46.17,46.87,46.07,46.87,94470
2021-12-13,46.82,46.96,45.96,46.61,194675
2021-12-14,46.41,46.94,46.22,46.85,273925
2021-12-15,46.4,47.48,46.39,47.41,315825
2021-12-16,47.18,47.62,46.39,46.66,160285
2021-12-17,46.59,46.59,44.85,45.34,208210
2021-12-20,44.57,44.58,43.51,44.48,341945
2021-12-21,44.68,44.85,43.82,44.62,214340
2021-12-22,44.92,45.47,44.59,45.46,119160
2021-12-23,45.76,45.87,45.55,45.65,53680
2021-12-27,45.98,46.33,45.77,46.32,106025
2021-12-28,46.6,46.62,46.15,46.25,77080
2021-12-29,46.51,47.67,46.51,47.36,122730
2021-12-30,47.73,47.73,47.3,47.35,112945
2021-12-31,47.41,47.83,47.06,47.74,81575
2022-01-03,47.69,47.87,46.91,47.13,156820
2022-01-04,47.25,47.9,47.03,47.23,148685
2022-01-05,47.28,47.55,45.92,45.95,253965
2022-01-06,45.91,46.53,45.7,46.27,254205
2022-01-07,46.24,46.24,45.07,45.66,275755
2022-01-10,44.95,45.46,44.22,45.45,278890
2022-01-11,45.58,45.58,44.33,45.12,347745
2022-01-12,45.38,46.13,45.29,45.76,118930
2022-01-13,46.22,46.83,46.06,46.17,166805
2022-01-14,45.73,45.92,44.33,44.47,235950
2022-01-18,43.51,44.41,43.15,44.32,299790
2022-01-19,44.57,44.95,44.11,44.12,344615
2022-01-20,44.45,44.68,41.91,42.0,525945
2022-01-21,41.99,42.58,41.52,41.79,444365
2022-01-24,41.16,43.46,41.03,43.42,290675
2022-01-25,42.8,43.09,41.66,42.49,432645
2022-01-26,42.76,42.81,40.98,41.48,373685
2022-01-27,43.6,43.71,41.51,41.93,751375
2022-01-28,41.98,42.99,41.5,42.94,370950
2022-01-31,43.35,43.69,42.44,43.66,421315
2022-02-01,43.76,44.55,43.58,44.06,429485
2022-02-02,44.42,44.87,43.97,44.18,254160
2022-02-03,43.67,44.69,43.61,43.9,242655
2022-02-04,43.83,43.83,42.91,43.38,222930
2022-02-07,43.49,43.84,43.19,43.53,267755
2022-02-08,43.75,44.57,43.65,44.39,367390
2022-02-09,45.04,45.25,44.58,44.87,408795
2022-02-10,44.33,45.08,43.94,44.14,458825
2022-02-11,44.05,44.31,43.65,43.86,180590
2022-02-14,43.68,44.08,42.99,43.58,212895
2022-02-15,43.91,44.41,43.68,43.91,191210
2022-02-16,43.86,43.87,42.56,43.02,401505
2022-02-17,42.67,42.92,42.3,42.68,434420
2022-02-18,42.58,43.14,42.58,42.84,571450
2022-02-22,42.63,42.69,40.02,40.09,1290360
2022-02-23,40.07,40.09,38.24,38.36,522555
2022-02-24,37.44,39.24,37.37,39.08,679465
2022-02-25,39.04,40.17,38.89,40.14,381440
2022-02-28,39.78,40.82,39.7,40.76,451475
2022-03-01,40.95,41.38,40.73,41.02,413290
2022-03-02,41.23,41.62,40.74,41.53,235325
2022-03-03,41.81,43.2,41.81,42.93,244650
2022-03-04,43.02,44.49,42.65,44.4,541515
