date,open,high,low,close,volume
2021-07-21,71.745,71.79,71.32,71.48,52171
2021-07-22,71.15,71.15,69.9,70.73,61682
2021-07-23,70.86,71.55,70.59,71.31,41778
2021-07-26,71.25,71.64,71.0,71.225,43554
2021-07-27,71.01,71.98,71.01,71.795,65959
2021-07-28,71.84,71.95,70.78,71.6,33394
2021-07-29,72.06,72.57,71.9,71.91,38041
2021-07-30,72.06,72.32,71.41,71.47,38965
2021-08-02,71.84,72.475,71.45,71.73,29091
2021-08-03,71.86,72.22,71.25,71.66,56904
2021-08-04,71.21,71.21,70.1,70.37,54007
2021-08-05,70.69,70.87,70.045,70.16,45586
2021-08-06,70.695,71.35,70.635,71.125,41925
2021-08-09,74.96,77.41,74.08,77.29,225182
2021-08-10,77.85,79.75,77.65,79.57,132730
2021-08-11,79.91,80.25,79.06,80.22,121975
2021-08-12,80.095,80.53,79.42,80.03,105669
2021-08-13,80.72,82.37,80.72,81.91,128229
2021-08-16,81.805,81.805,80.52,81.1,60259
2021-08-17,80.68,81.14,80.27,80.72,38971
2021-08-18,80.64,81.075,80.05,80.14,59171
2021-08-19,79.77,81.35,79.635,80.29,47086
2021-08-20,79.83,80.29,79.805,79.95,28766
2021-08-23,80.1,80.1,79.47,79.53,43256
2021-08-24,79.59,79.68,78.975,79.12,54324
2021-08-25,78.76,79.255,78.52,78.69,47704
2021-08-26,78.59,78.67,77.63,78.12,49797
2021-08-27,77.84,78.895,77.84,78.535,33253
2021-08-30,78.165,78.75,78.125,78.2,43254
2021-08-31,77.76,78.61,77.69,78.53,57471
2021-09-01,78.51,78.74,77.72,78.35,51985
2021-09-02,78.17,78.83,78.145,78.46,34924
2021-09-03,78.54,78.59,77.9,78.24,88837
2021-09-07,77.815,78.36,77.215,77.265,108053
2021-09-08,77.36,77.455,75.815,76.18,121497
2021-09-09,76.06,76.19,74.725,75.59,103347
2021-09-10,75.575,75.73,74.44,74.78,46961
2021-09-13,75.015,77.05,75.015,76.41,73615
2021-09-14,76.4,76.54,75.05,75.41,35684
2021-09-15,75.61,76.36,75.44,76.24,56272
2021-09-16,75.925,76.32,75.63,75.8,29293
2021-09-17,75.6,76.18,75.54,75.79,42683
2021-09-20,75.08,76.14,74.96,75.73,51178
2021-09-21,75.91,76.1,75.26,75.51,30515
2021-09-22,75.79,76.29,75.38,75.48,25730
2021-09-23,75.84,76.87,75.84,76.11,48827
2021-09-24,76.1,76.78,76.09,76.235,77650
2021-09-27,76.775,77.835,76.76,76.84,44130
2021-09-28,77.31,78.09,77.15,77.8,97637
2021-09-29,78.16,81.0,78.13,80.5,103945
2021-09-30,80.43,80.43,78.92,78.92,70019
2021-10-01,79.14,79.14,77.84,78.31,66669
2021-10-04,78.565,79.36,77.84,78.08,83692
2021-10-05,78.33,78.69,78.04,78.33,45087
2021-10-06,78.01,78.64,77.32,78.63,117843
2021-10-07,79.4,79.46,78.53,78.71,277751
2021-10-08,78.87,79.16,78.485,78.59,34380
2021-10-11,78.7,79.57,78.315,78.34,95384
2021-10-12,78.27,79.43,78.27,79.25,151863
2021-10-13,79.48,79.48,78.09,79.34,81348
2021-10-14,79.76,79.78,79.245,79.7,45291
2021-10-15,80.1,80.185,79.57,79.68,60043
2021-10-18,79.39,80.17,79.24,79.43,44759
2021-10-19,79.6,80.125,79.055,80.105,28904
2021-10-20,80.46,81.83,80.46,81.2,68260
2021-10-21,81.33,81.55,80.83,81.205,23551
2021-10-22,81.285,82.535,81.27,82.5,43024
2021-10-26,83.215,83.27,82.47,82.53,50706
2021-10-27,82.55,82.55,80.15,80.64,66612
2021-10-28,80.625,81.015,79.58,81.015,45561
2021-10-29,81.05,81.76,79.955,79.955,45503
2021-11-01,80.08,81.235,80.01,80.84,34891
2021-11-02,80.97,81.74,80.72,81.55,37125
2021-11-03,81.58,82.3,81.2,81.71,68401
2021-11-04,81.86,82.1,80.625,81.06,45796
2021-11-05,81.485,81.85,81.01,81.555,62499
2021-11-08,81.83,81.92,81.26,81.37,31070
2021-11-09,81.45,81.6,80.77,81.51,53938
2021-11-10,82.03,82.79,81.3,82.56,88953
2021-11-11,82.365,83.25,82.1,83.14,60010
2021-11-12,83.03,83.03,80.49,81.215,104761
2021-11-15,80.99,84.8,80.56,84.13,259819
2021-11-16,84.33,85.61,83.55,83.58,63828
2021-11-17,83.55,84.35,82.21,82.62,74752
2021-11-18,82.62,83.3,82.27,82.56,38655
2021-11-19,82.63,82.87,81.04,81.52,59624
2021-11-22,81.76,83.335,81.76,83.14,86375
2021-11-23,83.05,83.86,82.73,83.26,85216
2021-11-24,83.01,84.37,83.01,83.21,58642
2021-11-26,82.59,82.99,81.335,81.54,38433
2021-11-29,81.63,82.44,81.555,81.84,47996
2021-11-30,80.7,81.93,78.76,78.97,96526
2021-12-01,79.37,80.43,78.22,78.26,54626
2021-12-02,78.975,81.44,78.975,80.8,144769
2021-12-03,81.635,82.995,81.635,82.61,102662
2021-12-06,83.445,84.87,83.42,83.5,127802
2021-12-07,83.52,84.845,83.46,83.98,102081
2021-12-08,84.84,84.84,83.45,83.55,69048
2021-12-09,83.21,84.4,82.58,83.76,84012
2021-12-10,84.02,84.44,83.62,84.095,73657
2021-12-13,83.83,85.35,83.31,84.94,107998
2021-12-14,85.36,86.42,85.36,85.765,62899
2021-12-15,86.04,86.13,85.05,85.92,88298
2021-12-16,86.18,86.94,85.86,86.21,58362
2021-12-17,86.35,86.59,85.43,85.46,103560
2021-12-20,84.69,85.1,84.0,84.85,65470
2021-12-21,84.8,85.65,84.67,85.27,41084
2021-12-22,85.34,85.4,84.6,84.91,44969
2021-12-23,85.44,85.71,85.19,85.21,29972
2021-12-27,85.07,86.15,85.04,86.15,15144
2021-12-28,86.01,86.685,86.01,86.67,56637
2021-12-29,86.64,86.81,86.24,86.44,63269
2021-12-30,86.62,86.65,86.08,86.35,23658
2021-12-31,86.68,87.49,86.28,87.16,30794
2022-01-03,86.86,87.82,86.28,87.82,65473
2022-01-04,88.39,89.97,88.32,89.54,70666
2022-01-05,90.25,91.105,89.66,89.74,76584
2022-01-06,90.64,91.455,89.83,90.84,112555
2022-01-07,90.79,91.65,90.46,91.01,59748
2022-01-10,91.33,91.81,90.28,90.785,69346
2022-01-11,91.27,91.69,89.325,90.99,123985
2022-01-12,90.77,91.035,90.11,90.75,93797
2022-01-13,91.36,93.26,91.36,93.26,90957
2022-01-14,93.1,94.045,92.63,93.8,122590
2022-01-18,93.46,94.055,91.975,93.73,158005
2022-01-19,93.37,93.78,92.5,92.725,97573
2022-01-20,92.22,92.33,90.25,90.485,72042
2022-01-21,91.1,91.1,89.52,89.96,89130
2022-01-24,89.58,89.93,88.34,89.93,22425
2022-01-25,90.42,90.85,89.295,90.28,61068
2022-01-26,90.225,92.2,90.225,90.97,49096
2022-01-27,91.26,92.73,89.4,90.01,75037
2022-01-28,89.25,91.335,89.16,91.3,64846
2022-01-31,90.56,91.22,90.16,90.87,57540
2022-02-01,90.57,91.74,90.19,91.02,41301
2022-02-02,90.31,91.56,89.91,91.34,115897
2022-02-03,91.24,91.3,89.98,90.255,155278
2022-02-04,90.09,90.1,87.83,88.28,157303
2022-02-07,97.6,99.51,95.61,99.1,584970
2022-02-08,99.82,100.46,97.58,98.755,495242
2022-02-09,99.05,100.32,98.6,98.73,137392
2022-02-10,98.57,99.85,97.69,97.9,97692
2022-02-11,98.3,99.1,97.51,98.0,92229
2022-02-14,97.41,98.06,94.26,94.87,120138
2022-02-15,94.53,95.02,93.72,93.97,90866
2022-02-16,94.04,94.76,93.735,94.46,72044
2022-02-17,94.22,94.69,92.81,93.23,58892
2022-02-18,93.09,94.04,92.075,92.32,91310
2022-02-22,92.36,93.0,91.7,92.45,116712
2022-02-23,92.38,93.05,91.69,91.96,90928
2022-02-24,90.25,90.86,88.26,90.37,118373
2022-02-25,91.06,93.4,90.995,93.39,92284
2022-02-28,91.65,93.43,91.29,92.64,150453
2022-03-01,92.805,94.625,92.805,93.85,171471
2022-03-02,94.24,96.045,94.215,95.035,269137
2022-03-03,95.21,96.33,94.615,95.34,131545
2022-03-04,94.06,94.45,92.98,93.505,139215
2022-03-07,92.99,93.61,92.17,92.55,137078
2022-03-09,93.81,94.4,89.52,90.61,175011
2022-03-10,90.58,90.58,89.15,89.91,119857
2022-03-11,90.52,90.83,87.45,87.63,164430
2022-03-14,86.81,87.01,84.21,85.49,303029
2022-03-15,85.31,86.03,83.15,85.75,282899
2022-03-16,85.61,87.88,85.525,87.21,203948
2022-03-17,87.15,89.08,86.93,88.58,154990
2022-03-18,88.31,88.31,86.4,87.265,132615
2022-03-21,87.77,88.21,86.32,86.56,103245
2022-03-22,86.73,87.23,85.6,86.78,76704
2022-03-23,87.2,87.2,84.91,85.74,156144
2022-03-24,86.27,86.695,85.77,86.31,78655
2022-03-25,86.23,86.95,86.05,86.95,62926
2022-03-28,87.005,87.13,85.95,86.76,83201
2022-03-29,87.235,88.89,87.19,88.82,93738
2022-03-30,88.86,88.94,87.97,88.71,82523
2022-03-31,88.7,90.17,88.65,89.65,84552
2022-04-01,90.0,91.06,89.83,91.05,87761
2022-04-04,90.57,90.57,88.36,89.85,104591
2022-04-05,90.14,90.765,89.79,90.195,74151
2022-04-06,90.05,91.52,89.91,90.91,117172
2022-04-07,90.91,91.78,90.27,91.44,121416
2022-04-08,91.575,92.89,91.575,92.45,54338
2022-04-11,92.97,94.325,92.66,93.78,74610
2022-04-12,93.91,94.4,92.98,93.46,65663
2022-04-13,93.67,94.515,92.975,94.51,71710
2022-04-14,94.67,96.06,94.67,95.44,52762
2022-04-18,95.37,96.27,94.59,95.07,56581
2022-04-19,95.34,97.81,95.22,97.53,104882
2022-04-20,98.16,99.16,97.495,98.41,79161
2022-04-21,98.85,99.54,97.67,97.76,73846
2022-04-22,97.485,97.57,94.86,94.95,84807
2022-04-25,94.52,94.91,92.37,94.51,96377
2022-04-26,94.59,94.825,92.55,92.59,81616
2022-04-27,92.93,94.58,92.31,93.61,71319
2022-04-28,94.11,95.72,93.9,95.66,84679
2022-04-29,95.505,95.505,92.98,93.195,74054
2022-05-02,94.265,94.71,91.23,92.93,113858
2022-05-03,91.93,92.15,88.53,90.08,179007
2022-05-04,90.64,92.49,90.16,92.22,82119
2022-05-05,91.79,92.37,90.13,90.83,67587
2022-05-06,91.08,91.33,90.18,90.81,124460
2022-05-09,92.56,93.07,90.04,92.86,169282
2022-05-10,93.31,94.7,91.445,92.08,103030
2022-05-11,92.6,92.815,89.96,90.21,127144
2022-05-12,90.31,90.31,88.335,89.47,106736
2022-05-13,89.56,90.355,89.1,90.02,56772
2022-05-16,90.27,91.24,90.03,90.815,66813
2022-05-17,90.19,92.31,89.84,91.73,62306
2022-05-18,90.63,90.63,84.14,84.76,178428
2022-05-19,84.04,85.56,82.96,84.1,142734
2022-05-20,84.9,85.745,84.01,85.27,152771
2022-05-23,86.64,88.32,86.49,87.35,77410
2022-05-24,87.48,88.85,86.9,88.73,83247
2022-05-25,88.845,89.58,88.47,89.06,52142
2022-05-26,89.47,90.54,89.4,89.76,48272
2022-05-27,89.94,91.04,89.85,91.04,83295
2022-05-31,90.26,90.27,88.75,89.68,69396
2022-06-01,89.88,89.88,87.81,88.18,54059
2022-06-02,87.94,88.02,85.63,88.01,87716
2022-06-03,87.915,87.965,87.08,87.42,61090
2022-06-06,87.83,88.555,87.09,87.555,66440
2022-06-07,86.745,89.42,86.575,88.37,41238
2022-06-08,88.05,88.22,87.2,87.31,33282
2022-06-09,87.36,87.43,85.28,85.28,46634
2022-06-10,84.05,84.8,84.035,84.19,52756
2022-06-13,83.29,84.24,82.57,83.34,80744
2022-06-14,83.49,84.48,83.21,83.985,119318
2022-06-15,84.515,86.01,83.44,84.12,86287
2022-06-16,83.21,83.21,81.79,82.61,103967
2022-06-17,82.59,83.4,81.88,83.08,78215
2022-06-21,83.88,84.555,83.43,83.97,59548
2022-06-22,83.6,84.05,83.13,83.9,59196
2022-06-23,84.43,85.015,83.47,83.95,44783
2022-06-24,84.4,86.1,83.77,85.79,81310
2022-06-27,85.6,86.03,85.13,85.82,41000
2022-06-28,86.33,86.91,85.45,85.62,52729
2022-06-29,85.825,86.71,85.08,86.23,42791
2022-06-30,85.66,86.685,85.51,86.06,97435
2022-07-01,85.51,85.68,84.17,85.22,70239
2022-07-05,84.28,86.0,82.78,85.81,124302
2022-07-06,85.91,86.39,84.57,85.68,53181
2022-07-07,85.99,86.48,85.355,86.075,91838
2022-07-08,86.25,86.25,84.07,84.1,65476
2022-07-11,83.41,84.17,81.78,81.815,86788
2022-07-12,81.35,83.47,81.35,82.7,72511
2022-07-13,82.32,83.46,81.8,83.04,33199
2022-07-14,81.51,81.96,80.95,81.53,51481
2022-07-15,82.41,82.58,81.705,81.93,72070
2022-07-18,82.25,83.01,81.655,81.88,57796
2022-07-19,82.755,83.65,82.755,83.47,48404
2022-07-20,82.56,82.56,81.53,82.355,29500
2022-07-21,81.8,82.34,81.405,82.145,63316
2022-07-22,82.815,82.99,81.64,82.085,45290
2022-07-25,82.065,83.76,82.065,83.7,50344
2022-07-26,83.1,84.39,83.1,84.21,34580
2022-07-27,84.16,85.905,83.225,85.67,56261
2022-07-28,85.81,87.52,85.62,87.22,40881
2022-07-29,86.74,88.13,86.72,88.06,42181
2022-08-01,88.28,88.76,87.92,88.175,42799
2022-08-02,87.8,88.04,87.33,87.58,29995
2022-08-03,87.28,87.835,86.8,87.57,26171
2022-08-04,87.06,87.585,86.49,86.57,35324
2022-08-05,86.49,87.75,86.065,87.485,72878
2022-08-08,82.53,83.03,78.685,80.095,333940
2022-08-09,80.23,81.13,79.685,79.835,164562
2022-08-10,80.535,80.535,79.28,79.36,75338
2022-08-11,79.65,81.745,79.65,80.67,61077
2022-08-12,80.925,81.835,80.865,81.835,65088
2022-08-15,81.33,82.145,81.28,82.05,31168
2022-08-16,82.16,82.41,81.78,82.08,44523
2022-08-17,81.815,81.92,80.865,81.095,59756
2022-08-18,81.2,81.97,80.62,81.82,39582
2022-08-19,81.98,82.03,81.385,81.765,22576
2022-08-22,81.24,81.24,80.08,80.46,34650
2022-08-23,80.29,80.31,79.545,79.83,51115
2022-08-24,79.87,79.945,78.865,79.56,53549
2022-08-25,79.57,80.69,79.56,80.09,41073
