date,open,high,low,close,volume
2021-07-21,416.045,416.045,411.51,414.62,78737
2021-07-22,416.27,416.58,413.87,415.66,100425
2021-07-23,417.48,419.34,416.055,417.705,86801
2021-07-26,416.63,417.39,410.97,413.54,112026
2021-07-27,411.865,415.17,409.75,414.96,128139
2021-07-28,413.31,414.09,406.95,409.46,111057
2021-07-29,411.06,412.56,408.48,412.04,106126
2021-07-30,411.09,413.69,410.86,412.17,57446
2021-08-02,413.96,416.39,412.915,415.61,90368
2021-08-03,415.08,422.05,415.08,421.73,139053
2021-08-04,421.03,423.48,419.755,421.56,102956
2021-08-05,421.855,421.855,407.92,411.33,236801
2021-08-06,412.01,416.64,412.01,415.01,154528
2021-08-09,414.485,416.08,410.35,410.75,78240
2021-08-10,410.62,413.54,408.62,411.77,68169
2021-08-11,412.825,413.57,407.64,407.68,58541
2021-08-12,405.17,408.47,404.605,405.865,159125
2021-08-13,407.38,410.05,406.09,409.53,93976
2021-08-16,409.965,417.35,407.85,417.3,92386
2021-08-17,417.025,422.4,417.025,421.97,81915
2021-08-18,421.42,421.42,417.13,417.44,243908
2021-08-19,415.39,428.31,415.07,427.945,118687
2021-08-20,427.96,431.355,427.09,429.64,92417
2021-08-23,430.355,430.355,424.99,425.29,77494
2021-08-24,424.905,425.76,421.72,423.17,57902
2021-08-25,422.345,423.51,419.47,419.77,61359
2021-08-26,420.295,421.085,416.71,416.91,67494
2021-08-27,416.77,420.26,416.185,418.71,67002
2021-08-30,419.38,420.33,417.94,418.29,41171
2021-08-31,417.26,420.645,414.23,416.29,109882
2021-09-01,417.4,419.8,411.5,417.25,110282
2021-09-02,418.68,424.34,418.375,423.61,105261
2021-09-03,421.86,423.92,420.705,422.84,63985
2021-09-07,421.015,422.1,417.67,421.24,66691
2021-09-08,421.45,422.82,414.21,415.4,104560
2021-09-09,414.09,420.17,413.97,414.57,92893
2021-09-10,415.555,415.555,402.69,403.92,161217
2021-09-13,407.99,416.69,406.74,414.71,131507
2021-09-14,417.24,417.24,411.545,412.45,243844
2021-09-15,411.99,421.33,409.54,417.76,86547
2021-09-16,421.16,423.39,415.055,417.05,106177
2021-09-17,416.37,420.93,416.12,419.98,106673
2021-09-20,415.73,419.13,408.72,412.48,90700
2021-09-21,414.44,418.77,412.23,412.38,197383
2021-09-22,405.69,412.0,405.125,408.7,279009
2021-09-23,408.985,414.835,407.54,407.985,175454
2021-09-24,406.15,407.83,405.35,407.11,75819
2021-09-27,409.05,412.15,405.02,405.35,103625
2021-09-28,403.16,403.87,397.05,398.76,137216
2021-09-29,396.1,401.85,395.85,400.48,95845
2021-09-30,401.63,403.25,390.48,390.6,195103
2021-10-01,392.36,393.62,383.55,392.42,144761
2021-10-04,392.3,395.04,384.83,386.93,194242
2021-10-05,389.34,395.89,389.34,393.2,142853
2021-10-06,390.49,394.75,385.88,394.43,101848
2021-10-07,397.125,407.97,396.96,404.79,78257
2021-10-08,406.9,409.12,402.87,408.41,71760
2021-10-11,408.355,411.14,404.27,404.995,83710
2021-10-12,406.53,408.25,402.41,403.325,91621
2021-10-13,403.04,405.015,398.18,403.535,166217
2021-10-14,425.785,433.45,417.82,420.19,299881
2021-10-15,422.97,430.405,421.6,428.03,181105
2021-10-18,427.33,427.71,424.44,424.64,99561
2021-10-19,427.06,427.59,423.48,424.4,77830
2021-10-20,428.0,435.49,426.95,435.19,154178
2021-10-21,435.295,442.38,435.09,442.27,112344
2021-10-22,441.145,449.255,441.145,449.165,195473
2021-10-26,450.025,457.63,447.91,454.66,164698
2021-10-27,453.815,460.2,453.51,453.75,111947
2021-10-28,453.29,457.75,452.52,455.71,108494
2021-10-29,454.45,461.36,453.06,460.6,86240
2021-11-01,461.58,465.205,451.29,454.135,138839
2021-11-02,455.44,456.37,450.44,452.04,192732
2021-11-03,450.64,457.45,447.31,457.45,173905
2021-11-04,457.56,458.51,452.16,456.9,147082
2021-11-05,457.94,461.23,454.89,455.83,91337
2021-11-08,456.81,464.155,454.48,462.57,99134
2021-11-09,462.4,464.41,460.345,464.265,127453
2021-11-10,465.035,465.54,456.705,460.04,124356
2021-11-11,460.19,460.19,455.505,457.34,137401
2021-11-12,460.245,460.945,457.32,458.96,111492
2021-11-15,455.58,457.83,450.62,450.65,116493
2021-11-16,451.57,457.96,449.51,449.57,101160
2021-11-17,451.35,453.95,448.79,448.79,95676
2021-11-18,448.0,452.76,447.57,449.42,89209
2021-11-19,449.445,449.445,439.6,440.2,137640
2021-11-22,442.49,443.62,437.42,437.75,121616
2021-11-23,436.9,447.49,436.56,446.91,199678
