date,open,high,low,close,volume
2021-07-21,56.64,57.5,56.49,57.2,153754
2021-07-22,57.055,57.055,55.645,55.805,89846
2021-07-23,56.35,56.685,55.55,55.71,101702
2021-07-26,55.69,56.4,55.65,56.19,106853
2021-07-27,55.385,56.34,55.17,56.15,68160
2021-07-28,56.33,56.605,55.47,56.07,93346
2021-07-29,56.61,56.79,55.89,56.43,303432
2021-07-30,56.33,56.52,55.135,55.54,185374
2021-08-02,55.94,56.795,55.11,55.12,155138
2021-08-03,55.49,56.01,54.36,55.85,149967
2021-08-04,55.16,55.73,54.895,55.055,83780
2021-08-05,55.67,55.82,55.38,55.805,81922
2021-08-06,56.56,57.48,56.44,56.975,140483
2021-08-09,56.725,57.535,56.42,57.05,103694
2021-08-10,57.1,57.87,56.915,57.67,100793
2021-08-11,57.92,58.825,57.53,58.79,190775
2021-08-12,58.78,58.98,58.32,58.84,117139
2021-08-13,59.05,59.08,58.08,58.23,143954
2021-08-16,57.79,57.94,56.99,57.585,100502
2021-08-17,56.925,57.51,56.15,56.765,78291
2021-08-18,56.42,57.04,56.005,56.01,102364
2021-08-19,55.43,55.955,54.825,55.34,190558
2021-08-20,55.175,55.775,55.03,55.68,89313
2021-08-23,55.96,56.47,55.94,56.14,91446
2021-08-24,56.21,56.9,56.21,56.81,85560
2021-08-25,57.19,58.15,56.92,57.65,97556
2021-08-26,57.88,57.93,57.14,57.24,56830
2021-08-27,57.41,58.37,57.26,58.29,246862
2021-08-30,58.09,58.17,56.965,57.08,114584
2021-08-31,57.29,57.82,56.94,57.385,106771
2021-09-01,57.56,57.56,56.11,56.13,251710
2021-09-02,56.285,56.76,56.025,56.44,125395
2021-09-03,56.49,56.5,55.815,56.15,75297
2021-09-07,56.13,56.905,55.74,55.805,130585
2021-09-08,55.575,55.845,55.125,55.33,94834
2021-09-09,55.45,56.46,55.21,55.79,87584
2021-09-10,56.32,56.32,55.43,55.45,73820
2021-09-13,56.1,56.56,55.86,56.55,92380
2021-09-14,56.41,56.945,55.475,55.915,133206
2021-09-15,56.21,57.965,56.15,57.79,222705
2021-09-16,57.96,58.325,56.855,57.11,259418
2021-09-17,56.93,57.49,56.88,57.03,170408
2021-09-20,55.45,55.775,54.59,55.69,213974
2021-09-21,56.11,57.455,55.905,57.1,328395
2021-09-22,58.06,58.92,57.74,57.925,236612
2021-09-23,58.5,59.625,58.5,59.31,261598
2021-09-24,59.34,60.31,59.34,59.8,103751
2021-09-27,60.665,61.325,60.46,61.105,154532
2021-09-28,61.25,61.64,60.34,60.43,143005
2021-09-29,60.09,60.64,59.63,60.26,238079
2021-09-30,60.56,60.62,59.39,59.44,162163
2021-10-01,59.76,61.115,59.7,60.74,183270
2021-10-04,60.54,61.6,60.37,60.54,144705
2021-10-05,60.92,61.68,60.545,61.3,130267
2021-10-06,60.82,61.495,60.185,61.45,148831
2021-10-07,62.0,62.5,61.61,61.875,143832
2021-10-08,61.93,62.605,61.65,62.33,214038
2021-10-11,62.64,62.985,61.845,61.85,91107
2021-10-12,61.57,62.13,61.45,61.67,129694
2021-10-13,61.42,61.56,60.19,61.47,133255
2021-10-14,60.27,60.27,58.62,60.08,390082
2021-10-15,60.32,60.645,59.03,60.21,272265
2021-10-18,59.965,60.93,59.95,60.57,129424
2021-10-19,60.86,61.365,60.67,61.365,98655
2021-10-20,61.01,62.58,60.96,62.58,114550
2021-10-21,62.37,62.79,61.79,62.18,139904
2021-10-22,62.3,62.81,61.905,62.75,103724
2021-10-26,62.67,62.73,62.12,62.45,78100
2021-10-27,62.035,62.035,60.175,60.305,354251
2021-10-28,60.5,60.97,60.24,60.94,104821
2021-10-29,61.03,61.2,60.21,60.37,63990
2021-11-01,60.89,61.03,60.33,60.77,56140
2021-11-02,60.68,61.09,60.34,60.83,115071
2021-11-03,60.77,62.24,60.62,61.785,232524
2021-11-04,61.235,61.3,59.775,60.295,127892
2021-11-05,60.75,61.22,60.45,60.71,155737
2021-11-08,60.97,61.09,60.26,60.69,128061
2021-11-09,60.13,60.41,59.595,60.07,95221
2021-11-10,60.29,60.87,60.21,60.48,76130
2021-11-11,60.55,61.1,60.51,60.765,56942
2021-11-12,60.45,60.8,59.99,60.485,85302
2021-11-15,60.61,60.805,60.35,60.45,131191
2021-11-16,60.61,60.97,59.88,60.52,71946
2021-11-17,60.25,60.46,59.3,59.3,79918
2021-11-18,59.05,59.3,58.42,58.63,76691
2021-11-19,58.175,58.175,57.195,57.605,98185
2021-11-22,58.44,59.775,58.31,58.98,99465
2021-11-23,59.565,60.24,59.51,60.06,112309
2021-11-24,59.99,60.58,59.52,59.83,75239
2021-11-26,57.69,57.69,56.56,57.5,114974
2021-11-29,57.45,58.12,56.81,57.38,116183
2021-11-30,56.46,56.77,55.27,55.325,199185
2021-12-01,56.545,57.02,54.82,54.83,175113
2021-12-02,55.64,57.075,55.06,56.62,114101
2021-12-03,56.62,56.75,55.23,55.58,120192
2021-12-06,56.41,57.55,56.41,56.88,265066
2021-12-07,57.29,57.97,57.06,57.695,103298
2021-12-08,57.78,57.89,56.99,57.05,120958
2021-12-09,56.735,57.675,56.43,57.2,145497
2021-12-10,57.74,57.9,57.19,57.77,127667
2021-12-13,57.75,57.75,56.68,56.84,134205
2021-12-14,57.08,57.865,56.95,57.29,97792
2021-12-15,57.245,57.43,56.5,56.75,143216
2021-12-16,57.41,58.165,57.05,57.42,144890
2021-12-17,57.06,57.06,55.51,55.71,187518
2021-12-20,55.01,55.01,53.895,54.845,127718
2021-12-21,55.575,56.195,55.575,55.84,133316
2021-12-22,55.77,56.09,55.44,56.06,82017
2021-12-23,56.36,56.87,56.16,56.29,83173
2021-12-27,56.38,56.76,56.17,56.75,50517
2021-12-28,56.6,57.06,56.6,56.75,47464
2021-12-29,56.75,57.0,56.57,56.6,50757
2021-12-30,56.31,56.65,56.125,56.16,70892
2021-12-31,56.03,56.38,55.93,56.16,66216
2022-01-03,56.1,57.4,56.1,57.275,98537
2022-01-04,58.08,59.07,58.05,58.77,165190
2022-01-05,59.18,59.28,58.4,58.46,99097
2022-01-06,59.49,60.07,58.98,60.05,261490
2022-01-07,59.95,61.16,59.72,61.01,175811
2022-01-10,61.67,61.9,60.78,61.36,141173
2022-01-11,61.51,62.185,61.0,62.13,127365
2022-01-12,62.3,62.57,61.99,62.49,90068
2022-01-13,62.94,63.56,62.75,63.21,127207
2022-01-14,62.12,63.28,61.89,63.25,123090
2022-01-18,63.33,63.53,61.97,62.2,390679
2022-01-19,58.22,59.11,57.305,57.38,509029
2022-01-20,56.675,58.29,55.54,56.92,451726
2022-01-21,56.65,56.74,55.07,55.08,215580
2022-01-24,54.4,54.78,53.69,54.575,92972
2022-01-25,56.52,57.79,55.63,57.41,154834
2022-01-26,57.9,58.495,57.21,57.46,135095
2022-01-27,58.2,58.715,56.99,57.47,167518
2022-01-28,57.31,58.12,56.53,58.09,165764
2022-01-31,57.48,58.29,56.76,58.19,218723
2022-02-01,57.97,59.32,57.84,59.24,99376
2022-02-02,58.96,59.945,58.78,59.77,92097
2022-02-03,59.97,60.065,58.99,59.155,116268
2022-02-04,59.29,60.23,58.995,59.69,169264
2022-02-07,59.9,59.9,59.18,59.57,119090
2022-02-08,60.225,60.5,59.03,59.58,204347
2022-02-09,59.65,59.98,59.505,59.73,146931
2022-02-10,59.69,60.24,59.005,59.19,110035
2022-02-11,58.59,59.915,58.22,58.55,126958
2022-02-14,58.66,58.735,57.275,57.86,146261
2022-02-15,58.35,58.94,58.19,58.59,85304
2022-02-16,58.26,59.08,58.145,58.61,72410
2022-02-17,57.97,58.18,57.01,57.12,113824
2022-02-18,56.945,57.75,56.945,57.09,119832
2022-02-22,57.28,58.21,56.88,57.8,164419
2022-02-23,58.21,58.28,56.445,56.65,233771
2022-02-24,54.7,55.47,53.79,55.36,306275
2022-02-25,56.03,57.44,55.95,57.33,254287
2022-02-28,55.635,56.67,55.525,56.52,219773
2022-03-01,55.92,56.04,53.61,53.86,325187
2022-03-02,54.7,56.51,54.57,56.195,216793
2022-03-03,56.44,56.92,55.94,56.32,313107
2022-03-04,54.9,55.285,54.32,55.25,271536
2022-03-07,54.68,54.925,53.1,53.11,451730
2022-03-09,55.0,55.53,54.19,54.51,288693
2022-03-10,53.74,54.22,52.445,53.0,349300
2022-03-11,53.555,54.18,52.63,52.66,166396
2022-03-14,53.31,54.63,53.205,53.95,269951
2022-03-15,54.46,54.65,53.48,54.42,142894
2022-03-16,55.34,56.325,55.22,56.29,180793
2022-03-17,55.58,56.67,55.005,56.66,146933
2022-03-18,56.6,56.685,55.68,56.53,264888
2022-03-21,56.485,56.9,55.665,56.16,167673
2022-03-22,57.04,57.76,56.77,57.04,94751
2022-03-23,56.59,56.885,55.81,55.81,255573
2022-03-24,56.11,56.245,55.75,56.04,259956
2022-03-25,56.27,57.14,56.17,57.12,78511
2022-03-28,56.7,56.72,55.88,56.71,157948
2022-03-29,57.69,57.88,56.54,56.86,127465
2022-03-30,56.57,56.71,54.87,55.19,263240
2022-03-31,55.005,55.335,53.15,53.15,444174
2022-04-01,53.64,53.78,52.47,52.89,204765
2022-04-04,52.59,53.16,51.98,52.66,123207
2022-04-05,52.31,53.685,52.22,52.98,171043
2022-04-06,52.68,53.26,52.64,52.955,196066
2022-04-07,53.02,53.2,52.0,52.59,219257
2022-04-08,52.175,52.6,51.14,52.27,227788
2022-04-11,51.99,52.865,51.7,51.74,264674
2022-04-12,51.34,52.13,50.535,50.825,301062
2022-04-13,50.285,50.82,49.79,50.62,575735
2022-04-14,51.775,53.34,51.555,52.69,479944
2022-04-18,52.58,53.72,52.37,52.75,243852
2022-04-19,53.24,53.29,52.455,52.88,211585
2022-04-20,53.54,53.7,52.93,53.06,183970
2022-04-21,53.55,53.86,52.38,52.65,195340
2022-04-22,52.4,52.46,50.775,50.8,229848
2022-04-25,50.45,50.955,49.465,50.84,166545
2022-04-26,50.07,51.06,49.98,50.02,241699
2022-04-27,49.8,50.08,49.33,49.63,206484
2022-04-28,50.04,50.135,49.415,50.06,262537
2022-04-29,50.1,50.26,48.42,48.57,260042
2022-05-02,49.1,49.24,47.88,48.86,145078
2022-05-03,49.35,49.82,48.98,49.46,158906
2022-05-04,49.22,50.605,48.87,50.52,282560
2022-05-05,49.86,49.86,48.55,49.24,192715
2022-05-06,49.07,49.48,48.17,49.29,197984
2022-05-09,48.78,50.135,48.62,49.46,220796
2022-05-10,49.9,50.92,48.445,49.34,266100
2022-05-11,49.505,50.14,48.39,48.44,265606
2022-05-12,48.46,48.88,47.7,48.63,297836
2022-05-13,49.0,49.03,48.115,48.63,205474
2022-05-16,48.7,48.75,47.78,48.3,157079
2022-05-17,49.06,49.715,48.935,49.66,177797
2022-05-18,49.335,49.465,48.88,49.13,213915
2022-05-19,48.49,49.66,48.47,49.24,285159
2022-05-20,49.51,49.8,48.06,49.23,144412
2022-05-23,50.295,51.235,49.88,50.75,195380
2022-05-24,50.63,51.19,49.775,51.09,224027
2022-05-25,50.97,51.51,50.46,51.185,152496
2022-05-26,51.82,52.39,51.635,52.15,176851
2022-05-27,52.37,52.54,51.975,52.495,112722
2022-05-31,51.925,53.365,51.64,53.08,274327
2022-06-01,53.06,53.14,51.53,51.75,239493
2022-06-02,51.73,52.27,51.23,52.18,208794
2022-06-03,52.01,52.26,51.825,51.93,190624
2022-06-06,52.34,53.2,52.1,52.25,138862
2022-06-07,51.88,52.65,51.765,52.54,113823
2022-06-08,52.08,52.435,51.565,51.845,159938
2022-06-09,51.51,51.57,50.34,50.34,194572
2022-06-10,49.4,49.46,48.405,48.73,448382
2022-06-13,47.96,48.12,46.835,47.075,360398
2022-06-14,47.19,47.87,45.69,45.72,477902
2022-06-15,46.4,47.07,45.71,46.35,577758
