date,open,high,low,close,volume
2021-07-21,31.8,32.275,31.78,32.005,62250
2021-07-22,31.905,31.905,31.525,31.595,95624
2021-07-23,31.91,31.99,31.755,31.935,56971
2021-07-26,31.94,32.125,31.54,31.55,176797
2021-07-27,31.505,31.785,31.375,31.72,155173
2021-07-28,31.69,31.85,31.21,31.45,95700
2021-07-29,31.61,31.825,30.955,30.99,142851
2021-07-30,31.07,31.5,31.07,31.195,157466
2021-08-02,31.46,31.765,30.65,30.69,113917
2021-08-03,30.63,30.63,29.92,30.27,149521
2021-08-04,30.085,30.29,29.27,30.19,999423
2021-08-05,30.29,30.76,30.205,30.63,345226
2021-08-06,30.605,30.88,30.145,30.38,231930
2021-08-09,30.195,30.37,29.945,30.21,138803
2021-08-10,30.29,30.615,29.76,29.78,187781
2021-08-11,29.85,30.51,29.62,30.345,77352
2021-08-12,30.4,30.4,30.03,30.205,45262
2021-08-13,30.35,30.35,30.025,30.04,132219
2021-08-16,30.03,30.13,29.89,30.075,210322
2021-08-17,29.97,30.025,29.665,29.895,138143
2021-08-18,29.87,29.985,29.65,29.705,203377
2021-08-19,29.44,29.76,29.095,29.275,177178
2021-08-20,29.24,29.475,28.98,29.3,154156
2021-08-23,29.37,29.74,29.37,29.415,138378
2021-08-24,29.54,29.55,29.29,29.475,163006
2021-08-25,29.74,29.875,29.385,29.715,119204
2021-08-26,29.62,30.03,29.49,30.03,184155
2021-08-27,30.08,30.77,30.075,30.54,282282
2021-08-30,30.5,30.735,30.295,30.725,236333
2021-08-31,30.63,30.915,30.5,30.905,190918
2021-09-01,31.02,31.49,30.96,31.335,243277
2021-09-02,31.32,31.67,31.2,31.665,161419
2021-09-03,31.76,32.1,31.46,32.035,103221
2021-09-07,31.98,32.09,31.51,31.59,119709
2021-09-08,31.385,31.765,31.385,31.75,55308
2021-09-09,30.55,31.11,29.79,29.885,646607
2021-09-10,29.58,30.385,29.47,29.73,1884470
2021-09-13,30.13,30.21,29.74,29.95,568667
2021-09-14,30.08,30.26,29.61,29.92,557296
2021-09-15,29.85,30.31,29.8,30.13,246217
2021-09-16,30.24,30.305,29.95,29.99,158469
2021-09-17,29.97,30.185,29.49,29.57,333528
2021-09-20,29.23,29.69,29.2,29.425,239357
2021-09-21,29.73,29.875,29.325,29.325,178524
2021-09-22,29.51,30.03,29.51,29.88,705543
2021-09-23,29.73,30.07,29.47,30.04,201518
2021-09-24,29.98,30.05,29.61,29.71,158765
2021-09-27,29.89,30.02,29.26,29.37,172612
2021-09-28,29.17,29.235,28.485,28.625,255482
2021-09-29,28.8,29.095,28.66,28.87,179023
2021-09-30,28.93,29.07,28.425,28.425,172455
2021-10-01,28.57,29.145,28.44,29.095,154684
2021-10-04,29.03,29.34,28.84,29.07,152166
2021-10-05,29.12,29.2,28.805,28.85,485563
2021-10-06,28.9,29.51,28.72,29.505,558941
2021-10-07,29.65,29.995,29.53,29.6,175810
2021-10-08,29.72,29.755,29.17,29.22,90643
2021-10-11,29.21,29.58,29.2,29.3,88664
2021-10-12,29.46,29.88,29.37,29.67,117867
2021-10-13,29.69,29.955,29.675,29.885,323421
2021-10-14,30.08,30.17,29.955,30.03,155152
2021-10-15,30.15,30.33,29.985,30.07,709550
2021-10-18,30.005,30.24,29.76,30.15,241760
2021-10-19,30.34,30.43,30.055,30.105,609214
2021-10-20,30.24,30.355,30.025,30.25,411366
2021-10-21,30.22,30.32,30.04,30.13,555321
2021-10-22,30.24,30.505,30.07,30.19,403135
2021-10-26,30.28,30.475,30.16,30.18,265188
2021-10-27,30.36,30.36,29.635,29.745,121501
2021-10-28,29.875,30.055,29.4,30.005,309488
2021-10-29,29.825,29.87,29.26,29.32,218635
2021-11-01,29.35,29.655,29.155,29.545,233818
2021-11-02,29.74,29.74,29.405,29.52,135142
2021-11-03,29.53,29.85,29.36,29.695,167839
2021-11-04,29.81,30.065,29.16,29.165,139211
2021-11-05,29.43,29.905,29.43,29.73,106320
2021-11-08,29.8,29.8,29.305,29.575,102586
2021-11-09,29.54,29.61,29.105,29.24,136887
2021-11-10,29.28,29.48,28.875,28.915,124341
2021-11-11,29.0,29.165,28.795,29.125,113997
2021-11-12,29.16,29.24,28.665,28.72,150681
2021-11-15,29.0,29.555,28.94,29.555,384416
2021-11-16,29.495,29.5,29.2,29.365,280554
2021-11-17,29.3,29.3,28.75,29.16,325112
2021-11-18,29.21,29.29,29.045,29.25,501658
2021-11-19,29.13,29.17,28.325,28.46,438555
2021-11-22,28.56,28.7,28.18,28.18,255740
2021-11-23,28.26,28.44,27.98,28.26,148675
2021-11-24,28.37,28.53,28.14,28.44,99914
2021-11-26,28.165,28.165,27.32,27.815,130832
2021-11-29,27.735,28.415,27.535,28.12,236173
2021-11-30,27.88,27.88,27.14,27.28,291923
2021-12-01,27.64,27.925,26.685,26.73,339443
2021-12-02,26.9,27.66,26.75,27.42,151397
2021-12-03,27.49,27.54,27.08,27.2,228995
2021-12-06,27.41,27.94,27.34,27.67,219224
2021-12-07,28.08,28.48,28.045,28.21,421221
2021-12-08,28.3,28.895,28.18,28.81,329187
2021-12-09,28.63,28.74,28.43,28.515,256329
2021-12-10,28.7,28.835,28.21,28.35,267731
2021-12-13,28.21,28.355,27.98,28.21,214630
2021-12-14,28.17,28.27,27.64,27.65,201478
2021-12-15,27.755,27.875,27.18,27.725,266239
2021-12-16,27.87,27.95,27.435,27.56,205506
2021-12-17,27.33,27.845,27.13,27.63,273049
2021-12-20,27.25,27.51,26.88,27.49,261896
2021-12-21,28.02,28.64,27.96,28.59,145895
2021-12-22,28.395,28.64,28.3,28.59,239014
2021-12-23,28.625,28.95,28.625,28.9,242967
2021-12-27,28.955,29.29,28.825,29.29,112942
2021-12-28,29.12,29.52,29.12,29.22,223636
2021-12-29,29.12,29.445,29.0,29.445,71179
2021-12-30,29.46,30.085,29.46,29.95,96812
2021-12-31,29.93,30.36,29.915,30.12,146230
2022-01-03,30.34,30.34,29.75,29.965,218460
2022-01-04,30.0,30.33,29.83,30.15,215808
2022-01-05,30.12,30.12,29.01,29.03,359079
2022-01-06,29.2,29.4,28.57,29.01,251600
2022-01-07,28.97,29.1,28.54,28.56,211628
2022-01-10,28.5,28.76,28.175,28.74,248319
2022-01-11,28.74,29.025,28.35,28.96,91335
2022-01-12,29.01,29.13,28.775,28.81,128912
2022-01-13,28.86,28.89,28.335,28.395,195786
2022-01-14,28.24,28.63,28.13,28.54,130098
2022-01-18,28.36,28.44,27.97,28.09,164361
2022-01-19,28.22,28.33,27.8,27.8,126943
2022-01-20,28.06,28.2,27.55,27.55,214524
2022-01-21,27.51,27.56,26.985,27.185,232840
2022-01-24,26.69,26.915,26.38,26.66,37663
2022-01-25,27.08,27.88,26.86,27.71,135514
2022-01-26,28.05,28.425,27.68,27.72,82024
2022-01-27,27.74,28.2,27.48,27.595,211396
2022-01-28,27.53,28.23,27.24,28.23,256800
2022-01-31,28.19,28.705,28.08,28.63,250401
2022-02-01,28.755,29.0,28.52,28.7,322379
2022-02-02,28.9,28.905,28.63,28.76,155211
2022-02-03,28.59,28.66,28.305,28.32,111576
2022-02-04,28.24,28.445,27.935,28.125,179752
2022-02-07,28.27,28.54,28.16,28.18,235769
2022-02-08,28.23,28.34,28.005,28.16,258879
2022-02-09,28.44,28.98,28.44,28.86,103921
2022-02-10,28.595,29.0,28.245,28.36,216681
2022-02-11,28.33,28.605,27.91,28.24,291532
2022-02-14,28.185,28.39,27.895,28.165,348643
2022-02-15,28.38,28.905,28.38,28.86,235800
2022-02-16,28.91,29.005,28.56,28.78,128537
2022-02-17,28.72,28.72,27.89,27.91,189294
2022-02-18,27.94,28.28,27.665,27.93,171348
2022-02-22,27.79,27.805,27.27,27.31,297312
2022-02-23,27.51,27.665,26.915,26.985,194853
2022-02-24,26.6,27.63,26.465,27.555,464699
2022-02-25,27.67,28.08,27.375,28.065,248554
2022-02-28,27.88,28.265,27.54,27.96,314290
2022-03-01,28.04,28.42,27.78,27.92,384639
2022-03-02,28.05,28.925,28.02,28.81,381664
2022-03-03,29.065,29.09,28.28,28.55,249465
2022-03-04,28.28,28.485,27.58,27.87,457354
2022-03-07,27.94,27.94,26.76,26.77,326061
2022-03-09,27.57,27.735,27.425,27.47,136296
2022-03-10,27.23,27.685,27.015,27.36,286800
2022-03-11,27.645,27.67,27.075,27.12,178471
2022-03-14,27.19,27.425,26.545,26.76,254875
2022-03-15,27.07,27.28,26.84,26.97,238641
2022-03-16,27.275,27.535,26.86,27.29,397217
2022-03-17,27.2,27.87,27.145,27.83,342400
2022-03-18,27.83,27.885,27.445,27.46,417641
2022-03-21,27.54,27.61,26.74,26.86,222144
2022-03-22,27.06,27.67,27.06,27.615,309662
2022-03-23,27.26,27.26,26.76,27.14,268450
2022-03-24,27.24,27.285,26.825,27.14,233426
2022-03-25,27.21,27.365,27.035,27.325,144256
2022-03-28,27.25,27.86,27.2,27.86,152551
2022-03-29,28.26,28.94,28.21,28.89,217681
2022-03-30,28.74,29.205,28.74,28.945,299755
2022-03-31,29.105,29.14,28.45,28.45,170257
2022-04-01,28.6,28.91,28.535,28.91,83216
2022-04-04,28.97,29.0,28.065,28.44,199819
2022-04-05,28.39,28.585,28.085,28.29,331004
2022-04-06,28.12,28.66,27.91,28.59,282677
2022-04-07,28.48,28.48,27.635,27.79,200971
2022-04-08,27.88,28.355,27.63,28.23,161522
2022-04-11,28.16,28.405,27.99,28.15,190030
2022-04-12,28.25,28.475,28.17,28.26,259212
2022-04-13,28.27,28.905,28.27,28.84,280055
2022-04-14,28.99,29.18,28.755,29.08,128028
2022-04-18,29.04,29.545,29.04,29.48,263030
2022-04-19,29.64,30.0,29.56,29.93,349562
2022-04-20,30.03,30.35,29.845,30.16,298532
2022-04-21,30.5,30.685,30.085,30.11,321507
2022-04-22,29.95,30.045,29.66,29.68,305475
2022-04-25,29.68,30.055,29.345,30.04,382764
2022-04-26,30.05,30.2,29.455,29.54,385725
2022-04-27,29.5,29.9,29.43,29.59,761721
2022-04-28,29.69,30.965,29.53,30.63,1663884
2022-04-29,30.43,30.905,29.595,29.81,2176770
2022-05-02,29.93,30.05,28.165,29.04,1986353
2022-05-03,29.165,30.28,29.165,29.92,730003
2022-05-04,29.87,30.69,29.45,30.69,815708
2022-05-05,30.67,30.69,29.39,29.77,467876
2022-05-06,29.65,29.66,28.73,28.92,444692
2022-05-09,28.66,28.69,27.105,27.25,542332
2022-05-10,27.485,27.76,26.43,26.68,516069
2022-05-11,26.76,27.855,26.56,27.315,386839
2022-05-12,27.21,27.505,26.945,27.455,425844
2022-05-13,27.745,28.73,27.495,28.73,513468
2022-05-16,28.765,29.425,28.73,29.0,552477
2022-05-17,29.355,29.61,29.12,29.54,510083
2022-05-18,29.47,29.555,28.99,29.21,322413
2022-05-19,29.12,29.665,29.02,29.28,465261
2022-05-20,29.54,29.54,28.335,28.97,404136
