date,open,high,low,close,volume
2021-07-21,175.365,176.63,174.64,176.55,24761
2021-07-22,175.76,176.28,174.36,176.08,15784
2021-07-23,176.57,178.43,176.18,178.12,20266
2021-07-26,178.62,178.62,175.97,175.97,36077
2021-07-27,174.045,176.815,173.015,176.63,21641
2021-07-28,176.9,183.87,174.96,183.01,82635
2021-07-29,184.56,185.74,180.74,182.635,40854
2021-07-30,182.56,182.825,179.33,179.94,37205
2021-08-02,181.325,183.21,179.44,179.44,24443
2021-08-03,179.51,181.04,177.6,181.0,34721
2021-08-04,172.175,181.725,172.175,179.755,53099
2021-08-05,180.6,180.97,175.0,177.76,66681
2021-08-06,179.155,181.71,179.155,181.19,28745
2021-08-09,180.91,185.49,180.76,183.26,26545
2021-08-10,183.98,189.58,183.95,187.18,54427
2021-08-11,189.6,193.82,189.51,193.38,84802
2021-08-12,193.05,193.05,190.54,192.22,20801
2021-08-13,191.97,191.97,189.54,189.82,30615
2021-08-16,188.48,189.825,187.39,187.63,28034
2021-08-17,186.55,187.81,184.1,185.2,71853
2021-08-18,183.9,186.56,183.13,184.24,23928
2021-08-19,181.97,184.575,181.94,183.25,22962
2021-08-20,184.015,184.325,182.53,183.55,24966
2021-08-23,183.725,185.695,183.06,184.92,23898
2021-08-24,185.31,186.85,184.08,186.34,20152
2021-08-25,186.55,191.83,186.55,189.645,42133
2021-08-26,189.31,189.31,186.85,187.6,25351
2021-08-27,188.84,189.13,187.46,187.91,29115
2021-08-30,187.91,189.11,186.0,186.0,15823
2021-08-31,186.99,187.45,184.89,185.925,42268
2021-09-01,186.11,186.76,184.09,185.895,23037
2021-09-02,185.985,186.03,181.955,182.98,56817
2021-09-03,182.06,182.06,178.84,180.405,55330
2021-09-07,179.48,179.48,176.12,177.07,62001
2021-09-08,176.095,176.69,175.03,176.04,24345
2021-09-09,175.475,178.175,175.305,176.06,33309
2021-09-10,177.415,180.85,177.33,177.73,42415
2021-09-13,179.46,180.165,176.72,178.06,21703
2021-09-14,177.575,177.74,175.115,175.8,42448
2021-09-15,175.95,175.985,174.73,174.93,35684
2021-09-16,174.81,174.81,172.49,172.53,37626
2021-09-17,172.34,172.34,169.64,169.92,46869
