date,open,high,low,close,volume
2021-07-21,187.97,188.375,186.43,187.09,28261
2021-07-22,186.8,188.34,186.38,187.195,20653
2021-07-23,188.06,189.825,187.87,188.29,41933
2021-07-26,187.37,187.46,185.17,186.77,33066
2021-07-27,188.14,188.49,185.655,186.66,46411
2021-07-28,185.71,186.55,184.02,185.3,44584
2021-07-29,186.415,188.875,186.415,187.85,39161
2021-07-30,188.385,190.16,188.01,189.94,29431
2021-08-02,190.36,191.525,189.37,189.95,25709
2021-08-03,190.85,190.85,187.23,188.47,25303
2021-08-04,187.6,188.66,185.67,187.55,51010
2021-08-05,186.93,190.14,186.93,189.91,72896
2021-08-06,190.36,190.36,187.67,188.17,23455
2021-08-09,187.305,188.72,187.305,187.34,25939
2021-08-10,187.05,188.745,186.75,187.52,37448
2021-08-11,188.2,190.46,187.94,190.31,40882
2021-08-12,190.7,191.24,189.83,190.12,22449
2021-08-13,190.19,191.28,189.83,191.23,13722
2021-08-16,190.085,192.38,190.085,191.4,34792
2021-08-17,191.45,193.03,190.37,193.03,26878
2021-08-18,192.17,193.78,190.74,190.815,33708
2021-08-19,190.335,195.01,190.335,194.7,23361
2021-08-20,194.73,196.61,194.055,196.39,48996
2021-08-23,195.54,197.72,195.44,197.56,44097
2021-08-24,196.77,197.315,196.52,197.21,126584
2021-08-25,195.225,198.94,195.225,197.85,67017
2021-08-26,197.45,198.67,197.08,197.92,46994
2021-08-27,198.17,200.18,197.915,199.48,38634
2021-08-30,199.05,201.225,199.0,200.77,30379
2021-08-31,200.66,202.2,200.515,201.82,25499
2021-09-01,200.51,203.705,200.51,203.1,30571
2021-09-02,203.585,204.98,203.09,204.71,49860
2021-09-03,203.71,205.39,203.71,205.08,22446
2021-09-07,203.97,203.97,201.66,203.18,49763
2021-09-08,203.45,207.77,203.16,206.34,47925
2021-09-09,205.69,206.64,203.995,204.87,27485
2021-09-10,205.33,206.825,204.26,205.64,32183
2021-09-13,206.44,207.06,203.84,205.01,22718
2021-09-14,205.725,206.03,204.75,205.59,40529
2021-09-15,204.25,205.93,204.25,204.57,18081
2021-09-16,203.965,204.87,201.61,202.45,57825
2021-09-17,200.97,201.93,200.26,201.02,36012
2021-09-20,200.18,201.81,200.07,201.75,47942
2021-09-21,202.02,204.2,201.83,202.98,47367
2021-09-22,203.565,206.605,202.89,205.56,32855
2021-09-23,206.83,210.09,206.83,208.96,41206
2021-09-24,208.6,208.6,206.87,207.95,17275
2021-09-27,207.48,207.48,203.5,203.73,26864
2021-09-28,202.04,202.69,199.25,201.82,77546
2021-09-29,201.82,204.05,201.07,202.355,29394
2021-09-30,202.73,203.33,200.45,200.54,27232
2021-10-01,201.315,201.315,199.31,199.935,43098
2021-10-04,199.25,200.815,197.16,198.73,30355
2021-10-05,197.69,202.47,197.485,201.67,27386
2021-10-06,200.22,203.78,200.22,203.71,26926
2021-10-07,206.33,207.45,205.58,206.67,29699
2021-10-08,206.14,208.28,205.07,207.67,27952
2021-10-11,207.155,208.62,206.5,206.55,9212
