date,open,high,low,close,volume
2021-07-21,229.15,230.13,227.12,230.0,18040
2021-07-22,230.5,233.44,230.5,233.395,28233
2021-07-23,222.47,225.63,216.795,222.51,78712
2021-07-26,220.585,224.195,219.58,222.905,26187
2021-07-27,222.735,223.2,217.895,219.165,26828
2021-07-28,219.535,220.08,215.69,216.26,27414
2021-07-29,218.38,219.17,215.69,215.9,29549
2021-07-30,215.205,216.55,215.205,216.4,11564
2021-08-02,217.37,217.92,214.79,216.31,19288
2021-08-03,216.61,216.77,214.77,215.69,22423
2021-08-04,215.13,215.13,211.95,213.85,13836
2021-08-05,213.525,215.61,213.31,214.97,39952
2021-08-06,214.91,214.91,211.59,213.85,32380
2021-08-09,214.435,214.83,213.34,214.34,20380
2021-08-10,214.0,214.385,211.45,211.86,13126
2021-08-11,212.39,212.565,211.0,211.6,13266
2021-08-12,211.93,211.93,209.93,210.22,14298
2021-08-13,209.995,210.385,208.785,209.37,21022
2021-08-16,208.86,210.64,207.66,210.62,28973
2021-08-17,210.48,211.99,209.49,211.62,24195
2021-08-18,210.63,210.975,208.72,208.72,19264
2021-08-19,208.43,212.49,208.43,211.68,21406
2021-08-20,212.25,214.13,211.74,213.1,31469
2021-08-23,213.22,215.33,212.0,214.75,17390
2021-08-24,215.23,215.23,213.05,213.33,13060
2021-08-25,213.59,213.64,211.405,212.05,11553
2021-08-26,211.56,213.2,211.37,212.63,27038
2021-08-27,212.92,215.0,212.79,214.65,33411
2021-08-30,215.53,216.88,214.92,216.18,12330
2021-08-31,216.575,217.07,214.99,216.33,26177
2021-09-01,216.58,219.84,216.58,218.57,55452
2021-09-02,219.67,220.71,217.49,220.62,24855
2021-09-03,219.75,222.04,219.7,220.25,16351
2021-09-07,218.54,220.925,218.46,220.23,14658
2021-09-08,220.48,223.08,220.26,222.8,14407
2021-09-09,224.12,224.48,221.79,221.82,20337
2021-09-10,221.93,223.38,220.51,221.13,19231
2021-09-13,222.635,223.49,220.09,221.12,14545
2021-09-14,221.1,222.76,219.635,222.0,33178
2021-09-15,222.19,224.96,221.84,224.31,22189
2021-09-16,224.28,225.22,223.38,224.81,19550
2021-09-17,223.77,223.955,217.68,218.79,34644
2021-09-20,217.845,218.73,211.955,214.13,18267
2021-09-21,214.16,216.08,213.03,213.72,25162
2021-09-22,212.91,216.55,212.91,214.83,17816
2021-09-23,215.255,217.6,215.06,216.51,14176
2021-09-24,216.31,217.81,216.1,217.81,10772
2021-09-27,215.14,216.25,213.73,213.95,12609
2021-09-28,211.31,211.925,205.13,205.64,25456
2021-09-29,205.63,207.075,204.98,205.65,15788
2021-09-30,207.13,207.13,204.89,204.98,15054
2021-10-01,206.005,208.04,204.36,206.64,9627
2021-10-04,204.64,205.43,204.395,205.36,22680
2021-10-05,205.89,208.27,205.44,206.59,8424
2021-10-06,205.745,208.31,205.15,208.09,37291
2021-10-07,209.24,212.305,209.24,209.75,20053
2021-10-08,210.02,210.79,205.84,205.905,17215
2021-10-11,204.5,206.59,204.475,204.93,18051
2021-10-12,204.415,205.43,204.09,204.66,22621
2021-10-13,205.72,210.475,205.58,210.06,15326
2021-10-14,212.745,214.575,212.72,213.21,10628
2021-10-15,212.605,214.52,212.605,214.52,18124
2021-10-18,214.2,216.275,214.08,214.43,10494
2021-10-19,213.93,215.67,213.25,215.67,11412
2021-10-20,216.39,216.39,214.11,214.25,29993
2021-10-21,213.06,216.745,213.0,216.14,26589
2021-10-22,217.33,219.0,216.1,218.74,18444
2021-10-25,219.045,220.62,218.84,219.5,41356
2021-10-26,220.35,220.88,215.4,215.7,49681
2021-10-27,215.58,216.2,211.82,211.865,36521
2021-10-28,212.69,212.69,208.37,210.635,62893
2021-10-29,216.67,223.84,216.665,222.69,45570
2021-11-01,222.17,223.0,219.445,222.91,34012
2021-11-02,224.215,226.225,223.275,225.79,22866
2021-11-03,225.16,226.355,223.645,226.145,20077
2021-11-04,227.33,231.86,227.33,230.53,18211
2021-11-05,232.5,233.74,232.18,232.755,36153
2021-11-08,232.82,233.17,231.97,232.73,22735
2021-11-09,232.01,235.305,232.0,233.7,69402
2021-11-10,232.33,233.74,230.61,231.77,23741
2021-11-11,232.5,233.57,232.1,233.15,26089
2021-11-12,235.21,237.9,234.38,236.14,18786
2021-11-15,237.035,239.32,235.995,239.31,41546
2021-11-16,239.5,241.81,238.75,239.73,24558
2021-11-17,240.81,241.93,239.19,239.51,22495
2021-11-18,238.67,242.3,238.225,241.06,47418
2021-11-19,242.52,246.07,242.17,245.75,53811
2021-11-22,244.64,248.065,240.315,241.52,55381
2021-11-23,240.58,242.47,239.37,241.995,37503
2021-11-24,243.16,245.56,240.02,245.31,37461
2021-11-26,244.925,248.09,240.14,241.19,29326
2021-11-29,242.77,246.17,241.365,244.37,50313
2021-11-30,246.155,246.155,238.85,240.14,50559
2021-12-01,242.01,242.38,236.995,238.1,43301
2021-12-02,238.88,241.805,236.88,240.66,59376
2021-12-03,240.765,240.765,236.61,238.77,30222
2021-12-06,239.0,241.26,238.68,240.13,64049
2021-12-07,243.11,245.225,243.11,244.3,33674
2021-12-08,245.495,245.495,240.9,242.81,31965
2021-12-09,243.03,243.395,240.56,240.59,20847
2021-12-10,242.68,244.86,241.645,244.82,19468
2021-12-13,240.94,243.36,231.75,242.94,66186
2021-12-14,240.88,241.625,233.32,238.25,56558
2021-12-15,240.41,241.99,237.54,241.72,36747
2021-12-16,240.695,240.83,237.59,240.05,35802
2021-12-17,239.56,244.84,238.575,242.085,61260
2021-12-20,238.57,244.2,238.57,241.18,63445
2021-12-21,242.52,244.33,240.02,244.29,18315
2021-12-22,246.25,246.9,244.11,246.79,24216
2021-12-23,247.895,250.51,246.375,249.63,19172
2021-12-27,250.705,252.225,250.37,251.99,18791
2021-12-28,253.31,253.31,251.28,252.29,14460
2021-12-29,253.75,256.54,253.73,256.015,14625
2021-12-30,255.83,256.51,254.11,254.48,15813
2021-12-31,254.61,255.63,253.825,253.83,14466
2022-01-03,253.6,253.89,249.93,252.07,15370
2022-01-04,252.35,252.9,249.24,250.29,25257
2022-01-05,248.14,249.71,243.59,243.65,31586
2022-01-06,244.28,245.755,241.15,241.74,53517
2022-01-07,241.3,241.485,237.67,237.77,27724
2022-01-10,235.21,236.72,233.09,236.7,23819
2022-01-11,233.54,238.59,233.54,236.33,35113
2022-01-12,237.15,238.395,235.645,238.36,66704
2022-01-13,238.87,239.24,229.74,230.0,24736
2022-01-14,228.32,228.87,224.89,226.52,36655
2022-01-18,222.985,222.985,219.44,220.16,34804
2022-01-19,221.93,222.14,216.89,217.04,29340
2022-01-20,218.53,222.8,216.26,216.45,40665
2022-01-21,216.41,220.505,216.41,217.16,53043
2022-01-24,216.775,220.66,212.16,220.3,51922
2022-01-25,216.87,217.305,210.27,212.77,81962
2022-01-26,214.61,215.84,206.59,208.51,55734
2022-01-27,211.595,212.48,206.09,207.5,25989
2022-01-28,207.25,211.67,204.185,211.6,29670
2022-01-31,214.04,217.525,212.29,217.07,122584
2022-02-01,217.255,218.47,214.6,216.91,37194
2022-02-02,218.5,224.44,218.19,223.395,40751
2022-02-03,221.485,221.485,218.26,218.7,67522
2022-02-04,217.2,220.61,215.24,218.45,39497
2022-02-07,216.31,216.87,213.615,214.38,45027
2022-02-08,213.875,217.58,213.55,216.87,20937
2022-02-09,220.865,221.33,218.39,219.4,25795
2022-02-10,215.31,217.15,211.79,212.92,40543
2022-02-11,221.52,224.375,214.25,214.345,67270
2022-02-14,213.87,215.37,211.69,213.39,34409
2022-02-15,216.7,216.7,214.33,216.41,18663
2022-02-16,212.53,212.85,210.05,212.21,30501
2022-02-17,210.06,210.365,207.19,208.41,25768
2022-02-18,208.28,210.74,207.95,208.29,30642
2022-02-22,207.16,209.605,206.1,206.77,26980
2022-02-23,207.93,207.93,202.6,202.75,24015
2022-02-24,200.18,210.225,199.71,209.68,47020
2022-02-25,210.6,214.43,209.39,214.1,35039
2022-02-28,211.755,213.87,210.84,213.46,23351
2022-03-01,215.67,218.3,214.26,216.18,45104
2022-03-02,214.73,218.66,213.51,217.82,51173
2022-03-03,220.01,220.01,217.72,218.76,40510
2022-03-04,217.94,218.77,215.2,217.96,34142
2022-03-07,218.22,218.27,214.81,215.05,44215
2022-03-08,214.485,215.38,206.51,206.75,38549
2022-03-09,209.39,210.88,206.65,209.6,42785
2022-03-10,207.79,208.63,203.43,208.13,134240
2022-03-11,209.48,209.485,204.0,204.14,24241
2022-03-14,204.22,206.18,198.55,199.63,39856
2022-03-15,199.83,204.41,199.5,204.4,52241
2022-03-16,206.39,208.83,201.32,206.12,41861
2022-03-17,207.08,212.66,206.75,212.66,54958
2022-03-18,212.52,221.39,212.52,220.65,95223
2022-03-21,218.41,218.91,212.58,214.9,53298
2022-03-22,214.62,218.56,214.34,218.05,23388
2022-03-23,217.2,217.2,211.435,211.73,44397
2022-03-24,214.145,215.195,212.1,215.035,39033
2022-03-25,216.03,216.07,211.675,215.7,50285
2022-03-28,216.88,219.79,216.57,219.69,19120
2022-03-29,221.675,223.19,219.15,221.33,51422
2022-03-30,220.01,222.225,219.43,222.14,31440
2022-03-31,222.52,225.82,222.22,222.63,43892
2022-04-01,220.3,225.31,220.3,225.31,34418
2022-04-04,226.44,228.49,225.89,226.5,19312
2022-04-05,226.895,227.93,222.76,223.47,25075
2022-04-06,221.57,222.52,217.78,220.05,33697
2022-04-07,218.95,222.08,218.86,220.98,26447
2022-04-08,218.77,221.71,218.02,218.77,27931
2022-04-11,218.07,218.07,213.67,213.86,31155
2022-04-12,215.89,217.07,213.23,213.34,22789
2022-04-13,213.38,215.605,213.34,215.23,17423
2022-04-14,215.84,216.335,213.68,215.63,31663
2022-04-18,215.97,215.97,211.13,213.19,15697
2022-04-19,213.25,218.385,212.84,218.29,15149
2022-04-20,220.09,220.78,218.82,219.48,29023
2022-04-21,220.67,220.67,211.96,212.53,27732
2022-04-22,212.11,212.11,205.66,205.96,35464
2022-04-25,206.63,211.19,206.06,211.04,27126
2022-04-26,209.01,209.77,205.39,205.52,60708
2022-04-27,206.93,208.235,203.01,203.68,33984
2022-04-28,204.39,209.47,204.39,208.14,56417
2022-04-29,185.19,190.0,178.22,178.75,289668
2022-05-02,179.06,180.995,173.18,174.975,118693
2022-05-03,175.9,183.38,174.81,183.1,115027
2022-05-04,181.15,186.52,178.93,186.47,75154
2022-05-05,183.095,183.53,174.07,175.88,77443
2022-05-06,173.8,175.25,170.45,172.14,74252
2022-05-09,169.35,169.58,164.43,164.785,91129
2022-05-10,168.47,169.3,165.01,167.8,182857
2022-05-11,167.1,170.3,166.71,167.01,69375
2022-05-12,165.9,166.375,162.69,164.425,133408
2022-05-13,167.02,168.595,164.51,165.11,199950
2022-05-16,164.75,166.105,162.68,164.54,135084
2022-05-17,166.775,168.62,164.82,168.48,58911
2022-05-18,166.99,166.99,162.33,162.515,73013
2022-05-19,162.145,165.915,162.145,163.46,77671
2022-05-20,165.8,165.86,159.71,165.63,76843
2022-05-23,166.01,167.58,165.025,166.68,47014
2022-05-24,165.13,167.6,164.11,166.68,42481
2022-05-25,166.82,172.54,166.37,170.97,34096
2022-05-26,171.76,174.56,171.525,172.63,21604
2022-05-27,174.42,176.67,174.42,176.27,30679
2022-05-31,173.91,176.14,173.03,174.54,41032
2022-06-01,175.48,176.6,172.45,174.36,57828
2022-06-02,175.135,182.26,175.135,180.27,63909
2022-06-03,178.255,178.74,176.59,177.67,35702
2022-06-06,178.97,180.43,177.1,177.81,29886
2022-06-07,176.2,179.495,176.2,178.95,32346
2022-06-08,178.2,180.26,176.72,177.23,26025
2022-06-09,176.72,177.77,173.49,173.49,22371
2022-06-10,171.54,171.93,168.67,169.18,33661
2022-06-13,164.75,166.29,161.99,162.67,39938
2022-06-14,162.72,163.01,160.0,161.22,31464
2022-06-15,168.11,168.11,161.48,163.85,45875
2022-06-16,160.07,160.42,155.615,156.46,48489
2022-06-17,157.17,159.18,155.41,157.5,62877
2022-06-21,160.45,162.93,160.04,160.51,39434
2022-06-22,159.605,160.61,157.57,157.815,103076
2022-06-23,160.68,164.455,159.85,163.96,40428
2022-06-24,164.855,169.37,164.855,169.37,41218
2022-06-27,168.04,170.155,167.72,168.83,35361
2022-06-28,170.02,170.205,163.67,164.39,37226
2022-06-29,164.14,166.805,163.11,166.26,34150
2022-06-30,165.61,169.75,165.31,167.33,47413
2022-07-01,163.285,171.85,163.225,170.86,35104
2022-07-05,168.32,172.39,167.05,172.15,41142
2022-07-06,173.605,177.41,172.92,175.99,36177
2022-07-07,174.5,179.33,174.5,178.52,29516
2022-07-08,177.24,179.03,175.9,178.63,32450
2022-07-11,176.96,177.44,175.43,175.81,24909
