date,open,high,low,close,volume
2021-07-21,27.33,27.72,27.25,27.655,181660
2021-07-22,27.645,27.745,27.215,27.43,143184
2021-07-23,27.405,27.8,27.375,27.75,33247
2021-07-26,27.77,27.77,27.495,27.52,44257
2021-07-27,27.47,27.69,27.25,27.69,76615
2021-07-28,27.36,27.78,26.48,27.605,192827
2021-07-29,27.91,28.44,27.845,28.125,154971
2021-07-30,28.28,28.335,28.02,28.035,141098
2021-08-02,28.05,28.055,27.685,27.72,149117
2021-08-03,27.875,28.255,27.625,27.99,108016
2021-08-04,27.88,28.2,27.58,27.625,96463
2021-08-05,27.53,27.58,27.14,27.37,82757
2021-08-06,27.505,27.64,27.195,27.28,162191
2021-08-09,27.16,27.555,27.07,27.505,119130
2021-08-10,27.585,27.66,26.985,27.015,128163
2021-08-11,26.84,27.135,26.36,27.02,75079
2021-08-12,27.06,27.535,26.98,27.45,124959
2021-08-13,27.43,27.47,27.02,27.145,18779
2021-08-16,27.175,27.175,26.84,26.905,51360
2021-08-17,26.695,27.0,26.66,26.95,106729
2021-08-18,26.83,27.34,26.8,26.92,100571
2021-08-19,26.7,27.08,26.59,26.595,54274
2021-08-20,26.72,27.13,26.62,27.105,29402
2021-08-23,27.29,27.375,27.135,27.285,69090
2021-08-24,27.51,27.705,27.41,27.53,77634
2021-08-25,27.53,27.765,27.39,27.66,78614
2021-08-26,27.7,27.915,27.685,27.89,47151
2021-08-27,28.14,28.51,28.115,28.27,55385
2021-08-30,28.48,28.765,28.34,28.54,43728
2021-08-31,28.69,28.69,28.1,28.16,54177
2021-09-01,28.1,28.41,28.08,28.355,87657
2021-09-02,28.52,28.79,28.45,28.59,37803
2021-09-03,28.55,28.56,28.125,28.185,25519
2021-09-07,28.22,28.25,27.99,28.04,32858
2021-09-08,26.56,27.0,25.71,26.015,191356
2021-09-09,25.755,25.85,24.85,25.04,222986
2021-09-10,25.14,25.28,24.5,24.53,215044
2021-09-13,23.99,24.465,23.65,23.955,158117
2021-09-14,24.02,24.055,23.49,23.645,137092
2021-09-15,23.555,23.72,23.415,23.57,95026
2021-09-16,23.695,24.085,23.54,24.01,88872
2021-09-17,23.98,24.005,23.655,23.72,218782
2021-09-20,23.41,23.815,23.1,23.81,193197
2021-09-21,23.95,23.99,23.575,23.71,114100
2021-09-22,23.695,24.105,23.695,23.975,47465
2021-09-23,24.18,24.475,24.015,24.11,339751
2021-09-24,24.01,24.065,23.74,23.845,53950
2021-09-27,23.77,24.155,23.705,24.155,134688
2021-09-28,24.01,24.045,23.405,23.7,158589
2021-09-29,23.835,24.46,23.805,24.3,113537
2021-09-30,24.36,24.53,24.07,24.09,150917
2021-10-01,24.09,24.6,23.7,24.555,269730
2021-10-04,24.79,24.79,23.525,23.765,155285
2021-10-05,23.86,23.86,23.11,23.11,95987
2021-10-06,23.055,23.15,22.845,23.075,160217
2021-10-07,23.25,23.45,23.03,23.12,31410
2021-10-08,23.16,23.16,22.415,22.43,76836
2021-10-11,22.38,22.45,22.09,22.24,131975
2021-10-12,22.35,22.475,21.58,21.71,310410
2021-10-13,21.71,21.98,21.35,21.85,449937
2021-10-14,22.05,22.985,22.03,22.905,269972
2021-10-15,23.11,23.4,22.785,22.94,121883
2021-10-18,22.855,23.445,22.81,23.245,65654
2021-10-19,23.32,23.67,23.205,23.41,116296
2021-10-20,23.41,23.58,23.2,23.47,75967
2021-10-21,23.4,23.81,23.35,23.795,71037
2021-10-22,23.8,24.29,23.8,24.07,129097
2021-10-26,24.27,24.48,24.035,24.04,100355
2021-10-27,24.36,25.19,24.0,24.735,287214
2021-10-28,24.83,26.225,24.54,25.72,225608
2021-10-29,25.465,25.78,25.33,25.68,94275
2021-11-01,25.87,26.14,25.36,26.055,213031
2021-11-02,24.94,25.39,24.69,25.15,482946
2021-11-03,25.135,25.95,24.855,25.81,239552
2021-11-04,25.855,27.225,25.855,26.97,202916
2021-11-05,27.14,27.67,26.935,27.625,172271
2021-11-08,27.78,27.97,27.475,27.54,109168
2021-11-09,27.535,27.535,26.81,26.96,68024
2021-11-10,26.9,27.33,26.47,26.66,61762
2021-11-11,26.72,27.1,26.6,26.72,80048
2021-11-12,26.77,26.83,26.37,26.71,46469
2021-11-15,26.96,27.275,26.78,26.91,123227
2021-11-16,26.76,27.075,26.76,26.86,97051
2021-11-17,26.8,26.92,26.615,26.75,38020
2021-11-18,26.71,26.78,26.29,26.605,73332
2021-11-19,26.51,27.23,26.51,26.98,74072
2021-11-22,27.22,27.33,26.3,26.585,166576
2021-11-23,26.25,26.44,25.205,25.63,160866
2021-11-24,25.825,26.275,25.5,26.24,109695
2021-11-26,25.77,26.06,25.52,25.81,60553
2021-11-29,26.14,26.245,25.575,26.0,48773
2021-11-30,25.775,25.99,25.23,25.69,87816
2021-12-01,25.88,26.195,24.64,24.72,134701
