date,open,high,low,close,volume
2021-07-21,13.98,14.115,13.9,14.055,106584
2021-07-22,13.98,13.98,13.77,13.855,86559
2021-07-23,13.99,13.99,13.805,13.915,95675
2021-07-26,13.85,14.04,13.785,13.84,102638
2021-07-27,13.73,13.94,13.695,13.91,98499
2021-07-28,13.875,14.38,13.87,14.23,144552
2021-07-29,14.63,14.63,14.27,14.295,89990
2021-07-30,14.33,14.41,13.985,14.065,133593
2021-08-02,14.11,14.36,14.11,14.225,121646
2021-08-03,14.26,14.28,13.895,14.205,134934
2021-08-04,13.99,14.17,13.68,13.79,317756
2021-08-05,13.8,13.935,13.75,13.92,218515
2021-08-06,14.03,14.26,13.925,14.26,340206
2021-08-09,14.6,15.16,14.44,15.14,746193
2021-08-10,15.1,15.245,14.765,15.12,372434
2021-08-11,15.07,15.135,14.755,14.825,207879
2021-08-12,14.875,15.06,14.745,14.95,86857
2021-08-13,14.99,15.05,14.85,14.96,122602
2021-08-16,14.92,15.0,14.775,14.92,75986
2021-08-17,14.84,14.87,14.45,14.765,133211
2021-08-18,14.72,15.055,14.71,14.785,264261
2021-08-19,14.65,14.85,14.62,14.74,170142
2021-08-20,14.61,14.845,14.59,14.685,195388
2021-08-23,14.62,14.89,14.56,14.73,252215
2021-08-24,14.78,14.85,14.63,14.64,183158
2021-08-25,14.56,14.56,14.395,14.515,174735
2021-08-26,14.52,14.52,14.165,14.3,75385
2021-08-27,14.335,14.46,14.3,14.355,246681
2021-08-30,14.32,14.51,14.3,14.415,81344
2021-08-31,14.39,14.635,14.345,14.62,180740
2021-09-01,14.63,14.63,14.435,14.6,199599
2021-09-02,14.585,15.14,14.58,15.12,188708
2021-09-03,15.03,15.16,14.875,14.9,185618
2021-09-07,14.87,14.905,14.545,14.65,142947
2021-09-08,14.57,14.6,14.38,14.56,76025
2021-09-09,14.42,14.48,14.21,14.28,145330
2021-09-10,14.37,14.37,13.775,13.8,328125
2021-09-13,13.85,14.055,13.795,13.92,203377
2021-09-14,14.0,14.035,13.645,13.69,147395
2021-09-15,13.65,13.78,13.6,13.73,235340
2021-09-16,13.77,13.84,13.56,13.7,240010
2021-09-17,13.62,13.69,13.51,13.57,438830
2021-09-20,13.45,13.53,13.205,13.32,409891
2021-09-21,13.41,13.55,13.225,13.28,239603
2021-09-22,13.375,13.49,13.24,13.245,297641
2021-09-23,13.275,13.5,13.23,13.345,256403
2021-09-24,13.32,13.46,13.29,13.38,75946
2021-09-27,13.465,13.875,13.43,13.83,675209
2021-09-28,13.85,13.95,13.65,13.68,308561
2021-09-29,13.68,13.945,13.62,13.85,213875
2021-09-30,13.88,13.99,13.53,13.555,465842
2021-10-01,13.6,13.72,13.46,13.59,294866
2021-10-04,13.61,13.77,13.315,13.415,328163
2021-10-05,13.345,13.66,13.33,13.49,265988
2021-10-06,13.4,13.575,13.32,13.455,283396
2021-10-07,13.57,13.805,13.55,13.62,136702
2021-10-08,13.69,13.82,13.61,13.63,112245
2021-10-11,13.65,13.86,13.59,13.61,119774
2021-10-12,13.625,13.67,13.365,13.475,134932
2021-10-13,13.55,13.55,13.355,13.37,187825
2021-10-14,13.46,13.65,13.455,13.485,115145
2021-10-15,13.64,13.655,13.435,13.455,148712
2021-10-18,13.42,13.51,13.21,13.49,303845
2021-10-19,13.55,13.625,13.45,13.58,140134
2021-10-20,13.625,14.05,13.625,14.0,242267
2021-10-21,13.9,14.05,13.815,14.02,115381
2021-10-22,14.04,14.08,13.91,13.95,117836
2021-10-25,13.935,13.94,13.685,13.81,244518
2021-10-26,13.85,13.88,13.47,13.47,323442
2021-10-27,13.465,13.465,13.09,13.1,210720
2021-10-28,13.13,13.4,13.11,13.315,165465
2021-10-29,13.34,13.385,13.235,13.355,134597
2021-11-01,13.4,13.935,13.4,13.805,177497
2021-11-02,13.83,13.935,13.625,13.84,159531
2021-11-03,13.78,13.96,13.72,13.895,171864
2021-11-04,13.83,13.86,13.52,13.685,322109
2021-11-05,13.77,13.99,13.52,13.725,502698
2021-11-08,14.38,14.865,14.295,14.695,501192
2021-11-09,14.7,14.715,14.415,14.57,391879
2021-11-10,14.505,14.745,14.38,14.55,267151
2021-11-11,14.59,14.63,14.415,14.46,318099
2021-11-12,14.45,14.47,14.075,14.11,404021
2021-11-15,14.11,14.165,13.87,13.9,462220
2021-11-16,13.91,13.975,13.745,13.88,313560
2021-11-17,13.89,13.96,13.64,13.64,261323
2021-11-18,13.63,13.63,13.29,13.37,567472
2021-11-19,13.29,13.36,13.08,13.085,299601
2021-11-22,13.07,13.265,12.91,13.14,273994
2021-11-23,13.19,13.25,13.09,13.155,204566
2021-11-24,13.05,13.13,12.95,13.06,203570
2021-11-26,12.86,12.86,12.57,12.74,231058
2021-11-29,12.865,12.89,12.475,12.51,304867
2021-11-30,12.48,12.58,12.23,12.32,417258
2021-12-01,12.46,12.525,12.07,12.08,309672
2021-12-02,12.1,12.355,11.985,12.195,324469
2021-12-03,12.23,12.29,12.085,12.19,222917
2021-12-06,12.36,12.605,12.27,12.44,284570
2021-12-07,12.4,12.51,12.385,12.39,218723
2021-12-08,12.48,12.52,12.385,12.43,268213
2021-12-09,12.4,12.77,12.4,12.585,467069
2021-12-10,12.69,12.92,12.57,12.705,442091
2021-12-13,12.62,12.72,12.405,12.55,288783
2021-12-14,12.55,13.145,12.55,12.815,544643
2021-12-15,12.78,12.8,12.59,12.685,281699
2021-12-16,12.86,13.195,12.83,13.03,343894
2021-12-17,13.07,13.16,12.845,13.02,359006
2021-12-20,12.88,12.91,12.54,12.76,198461
2021-12-21,12.96,13.195,12.92,13.1,208229
2021-12-22,13.115,13.32,13.01,13.25,116291
2021-12-23,13.31,13.71,13.29,13.63,406253
2021-12-27,13.62,13.79,13.57,13.66,212557
2021-12-28,13.6,13.71,13.555,13.63,162349
2021-12-29,13.565,13.65,13.505,13.55,215982
2021-12-30,13.65,13.74,13.535,13.54,121002
2021-12-31,13.6,13.7,13.525,13.54,60862
2022-01-03,13.58,14.3,13.54,14.22,285961
2022-01-04,14.27,14.45,14.225,14.38,345156
2022-01-05,14.45,14.73,14.43,14.455,279628
2022-01-06,14.56,14.615,14.3,14.51,192539
2022-01-07,14.5,14.75,14.5,14.745,248055
2022-01-10,14.76,15.005,14.59,15.005,361784
2022-01-11,14.99,15.34,14.935,15.33,298277
2022-01-12,15.25,15.32,15.135,15.18,185956
2022-01-13,15.2,15.2,15.0,15.03,255938
2022-01-14,14.945,15.25,14.86,15.23,177982
2022-01-18,15.17,15.28,15.02,15.07,220215
2022-01-19,15.02,15.08,14.705,14.71,264998
2022-01-20,14.68,14.875,14.59,14.63,376195
2022-01-21,14.54,14.77,14.505,14.53,301982
