date,open,high,low,close,volume
2021-07-21,56.49,56.82,55.93,55.93,1040166
2021-07-22,56.1,56.28,55.62,55.96,545178
2021-07-23,55.915,56.025,55.655,55.885,354600
2021-07-26,55.855,55.92,55.55,55.78,338333
2021-07-27,55.64,56.33,55.48,56.2,341897
2021-07-28,56.23,56.315,55.695,55.715,400434
2021-07-29,55.89,56.175,55.88,55.985,403390
2021-07-30,56.04,56.18,55.76,55.77,368654
2021-08-02,56.08,56.255,55.68,55.75,305380
2021-08-03,55.77,55.945,55.58,55.725,321691
2021-08-04,55.6,55.705,55.285,55.37,386634
2021-08-05,55.44,55.48,55.25,55.305,452615
2021-08-06,55.36,55.585,55.22,55.22,323823
2021-08-09,55.3,55.42,55.11,55.115,429395
2021-08-10,55.085,55.525,55.0,55.49,344422
2021-08-11,55.6,55.835,55.52,55.57,333176
2021-08-12,55.64,55.795,55.54,55.63,213875
2021-08-13,55.69,55.975,55.68,55.87,256508
2021-08-16,55.9,56.07,55.58,55.98,300266
2021-08-17,55.91,56.19,55.795,56.19,292607
2021-08-18,56.04,56.065,55.45,55.48,305383
2021-08-19,55.335,55.66,55.195,55.38,264996
2021-08-20,55.36,55.705,55.2,55.52,168019
2021-08-23,55.565,55.705,55.42,55.425,193742
2021-08-24,55.31,55.34,55.01,55.01,275062
2021-08-25,55.01,55.065,54.82,54.93,383077
2021-08-26,54.895,55.05,54.575,54.59,353510
2021-08-27,54.645,54.82,54.535,54.77,288055
2021-08-30,54.72,54.955,54.685,54.76,245136
2021-08-31,54.6,55.13,54.6,55.02,276916
2021-09-01,55.04,55.15,54.805,54.935,328422
2021-09-02,54.98,55.3,54.905,55.3,345983
2021-09-03,55.215,55.495,55.175,55.44,458209
2021-09-07,55.47,55.495,54.805,54.82,314470
2021-09-08,54.82,55.085,54.8,54.905,255578
2021-09-09,54.83,54.855,54.43,54.43,320864
2021-09-10,54.62,54.655,54.23,54.235,609303
2021-09-13,54.44,54.97,54.43,54.61,279180
2021-09-14,54.68,54.75,54.285,54.41,351076
2021-09-15,54.36,54.65,54.33,54.58,310140
2021-09-16,54.595,54.77,54.35,54.43,235651
2021-09-17,54.12,54.455,54.075,54.26,465955
2021-09-20,54.075,54.57,54.015,54.25,387867
2021-09-21,54.3,54.635,54.035,54.04,341934
2021-09-22,54.155,54.385,54.02,54.055,504196
2021-09-23,54.05,54.61,54.05,54.415,357594
2021-09-24,54.39,54.56,54.245,54.37,233754
2021-09-27,54.45,54.65,54.385,54.49,318141
2021-09-28,54.48,54.675,54.035,54.18,419920
2021-09-29,54.1,54.65,54.09,54.39,344872
2021-09-30,54.47,54.485,54.0,54.005,437806
2021-10-01,54.09,54.55,53.925,54.27,360254
2021-10-04,54.38,54.84,54.28,54.485,365678
2021-10-05,54.64,54.805,54.33,54.5,388852
2021-10-06,54.32,54.58,54.015,54.52,412201
2021-10-07,54.065,54.35,53.825,53.92,442581
2021-10-08,53.91,53.965,53.225,53.225,541299
2021-10-11,53.245,53.27,51.98,52.18,719839
2021-10-12,52.02,52.1,51.115,51.33,1155090
2021-10-13,51.22,51.395,50.865,51.35,824786
2021-10-14,51.34,51.98,51.165,51.92,559221
2021-10-15,52.06,52.81,52.02,52.27,587404
2021-10-18,52.175,52.315,51.65,51.915,298292
2021-10-19,52.0,52.42,51.93,52.35,331674
2021-10-20,52.79,53.74,52.73,53.61,739744
2021-10-21,53.77,53.925,53.075,53.39,423775
2021-10-22,53.36,53.38,52.88,52.92,417244
2021-10-26,52.67,53.17,52.585,53.07,313977
2021-10-27,53.15,53.195,52.47,52.64,353224
2021-10-28,52.76,53.14,52.625,52.78,501170
2021-10-29,52.53,53.045,52.44,52.99,498159
2021-11-01,53.25,53.365,52.875,52.955,310179
2021-11-02,53.04,53.085,52.505,52.575,563779
2021-11-03,52.56,53.055,52.53,52.95,246539
2021-11-04,52.86,52.885,51.2,51.855,809323
2021-11-05,52.02,52.795,52.02,52.24,367002
2021-11-08,52.235,52.4,51.915,52.325,328309
2021-11-09,52.31,52.35,51.99,52.235,481069
2021-11-10,52.45,52.745,52.21,52.615,491365
2021-11-11,52.665,52.67,52.36,52.44,360167
2021-11-12,52.49,52.505,52.29,52.345,243662
2021-11-15,52.46,52.52,52.08,52.395,281411
2021-11-16,52.56,52.605,52.04,52.055,230903
2021-11-17,52.04,52.04,51.615,51.735,417046
2021-11-18,51.53,51.64,51.125,51.24,375857
2021-11-19,51.29,51.305,50.67,50.85,543009
2021-11-22,50.84,52.02,50.695,51.555,680949
2021-11-23,51.615,52.145,51.61,51.755,369118
2021-11-24,51.82,52.105,51.61,51.65,346093
2021-11-26,51.14,52.195,51.11,51.815,391413
2021-11-29,51.61,51.84,51.33,51.66,439939
2021-11-30,51.28,51.34,50.04,50.3,710198
2021-12-01,50.51,50.91,49.75,49.77,548882
2021-12-02,49.84,51.16,49.795,50.745,681107
2021-12-03,50.6,51.485,50.56,51.42,594808
2021-12-06,51.65,51.92,50.96,51.07,581468
2021-12-07,51.01,51.01,50.135,50.795,611084
2021-12-08,50.67,50.84,50.16,50.49,452058
2021-12-09,50.35,50.38,49.87,50.16,514865
2021-12-10,50.25,50.3,50.0,50.18,383397
2021-12-13,50.06,50.53,49.69,50.29,600603
2021-12-14,50.32,51.145,50.32,50.65,765318
2021-12-15,50.79,51.035,50.48,50.575,512799
2021-12-16,50.66,52.905,50.59,52.74,794805
2021-12-17,53.09,53.215,52.365,53.16,839686
2021-12-20,52.75,53.32,52.695,53.1,598347
2021-12-21,53.28,53.31,52.68,52.79,469308
2021-12-22,52.57,52.9,52.065,52.76,430740
2021-12-23,52.86,53.075,52.675,52.675,225069
2021-12-27,52.735,52.815,52.46,52.69,609195
2021-12-28,52.685,53.08,52.62,52.73,266923
2021-12-29,52.73,52.87,52.345,52.36,276077
2021-12-30,52.39,52.565,52.08,52.26,367526
2021-12-31,52.18,52.29,51.885,51.96,253957
2022-01-03,52.07,52.56,51.985,52.44,355124
2022-01-04,52.63,53.705,52.59,53.47,708351
2022-01-05,53.86,54.635,53.515,54.02,794628
2022-01-06,54.5,54.51,53.66,53.76,465031
2022-01-07,53.31,54.355,53.31,54.235,540662
2022-01-10,54.54,54.825,53.81,53.86,685714
2022-01-11,53.9,54.07,53.16,53.6,541765
2022-01-12,53.44,53.66,53.11,53.45,357370
2022-01-13,53.53,54.015,53.19,53.52,410203
2022-01-14,53.57,53.675,53.09,53.28,474436
2022-01-18,53.15,53.565,52.59,53.43,503448
2022-01-19,53.51,53.68,52.87,53.51,355046
2022-01-20,53.36,53.935,53.09,53.38,533981
2022-01-21,53.73,53.89,53.08,53.15,644750
2022-01-24,53.19,53.7,52.975,53.275,215694
2022-01-25,53.24,53.85,52.27,52.91,1249762
2022-01-26,52.56,52.84,50.97,51.31,793024
2022-01-27,50.88,52.06,50.83,51.2,689586
2022-01-28,51.42,52.92,51.2,52.9,812194
2022-01-31,52.51,53.315,52.21,53.22,519270
2022-02-01,53.37,53.58,52.22,53.17,680840
2022-02-02,53.58,54.275,53.31,53.79,592930
2022-02-03,53.96,54.55,53.7,53.81,677003
2022-02-04,53.54,53.82,53.225,53.3,427604
2022-02-07,53.26,53.3,52.53,53.005,449610
2022-02-08,53.04,53.15,52.59,52.82,290654
2022-02-09,53.05,53.66,52.88,53.51,692455
2022-02-10,53.39,53.52,52.91,53.02,549354
2022-02-11,52.96,53.455,52.75,53.325,557213
2022-02-14,53.34,53.445,52.5,53.275,416764
2022-02-15,53.33,53.585,53.15,53.36,416378
2022-02-16,53.18,53.78,53.095,53.39,439552
2022-02-17,53.1,53.59,52.795,53.57,622065
2022-02-18,53.6,53.94,53.285,53.84,740400
2022-02-22,53.9,54.015,53.59,53.905,684667
2022-02-23,53.895,53.93,53.245,53.42,517357
2022-02-24,52.85,53.15,51.72,52.58,781407
2022-02-25,53.16,54.54,53.12,54.14,1060503
2022-02-28,53.68,54.095,53.405,53.64,1102225
2022-03-01,53.52,54.185,53.26,53.61,1027852
2022-03-02,53.66,54.405,53.535,54.13,1074776
2022-03-03,54.39,55.145,54.18,54.675,1193233
2022-03-04,54.47,55.39,54.255,55.09,1777946
2022-03-07,54.76,55.23,54.505,54.69,1431977
2022-03-09,53.7,53.81,53.015,53.06,1153387
2022-03-10,53.0,53.335,52.84,53.255,1010576
2022-03-11,53.45,53.575,53.01,53.045,1315548
2022-03-14,53.48,53.5,52.46,52.49,981701
2022-03-15,52.59,52.99,52.21,52.77,1009530
2022-03-16,52.88,52.99,51.955,52.5,1531342
2022-03-17,52.48,52.54,52.0,52.37,1232110
2022-03-18,52.15,52.255,51.03,51.1,1410848
2022-03-21,51.38,51.8,50.975,51.11,1860326
2022-03-22,51.215,51.45,50.95,51.005,1372477
2022-03-23,51.04,51.455,50.96,50.96,1283742
2022-03-24,51.02,51.185,50.935,50.99,871538
2022-03-25,51.07,51.455,50.99,51.285,1005423
2022-03-28,51.38,51.38,50.96,51.165,1128830
2022-03-29,51.265,51.34,50.96,51.235,1343345
2022-03-30,51.24,51.62,51.08,51.62,1282553
2022-03-31,51.64,51.71,50.93,50.96,1381797
2022-04-01,51.02,52.18,50.82,52.12,842435
2022-04-04,52.02,52.495,51.635,52.49,416423
2022-04-05,52.27,52.895,52.19,52.78,600535
2022-04-06,52.86,53.43,52.57,53.21,1041374
2022-04-07,52.45,52.98,52.06,52.69,555626
2022-04-08,52.72,53.675,52.51,53.56,790801
2022-04-11,53.89,54.695,53.75,53.94,872624
2022-04-12,53.9,54.04,53.425,53.66,759301
2022-04-13,53.635,54.37,53.635,54.145,1075648
2022-04-14,54.15,54.18,53.78,53.84,569793
2022-04-18,53.81,54.205,53.22,53.41,453979
2022-04-19,53.535,53.895,53.51,53.78,483860
2022-04-20,53.83,54.49,53.755,54.4,630970
2022-04-21,54.59,55.51,54.49,55.09,997819
2022-04-22,53.38,53.42,51.47,51.88,2050850
2022-04-25,51.3,51.42,49.54,50.29,1213403
2022-04-26,50.2,50.625,49.37,49.39,696291
2022-04-27,49.46,49.48,48.42,48.44,840366
2022-04-28,48.825,49.165,48.305,48.39,2175868
2022-04-29,48.03,48.03,46.175,46.31,760548
2022-05-02,46.48,47.05,45.55,46.23,751838
2022-05-03,46.4,47.4,46.07,47.14,1184921
2022-05-04,47.19,48.415,47.0,48.36,1280742
2022-05-05,48.1,48.3,47.42,47.86,478566
2022-05-06,47.63,48.435,47.58,48.27,482296
2022-05-09,48.19,48.85,47.76,48.65,568065
2022-05-10,48.95,49.4,47.775,48.14,536843
2022-05-11,48.375,48.51,47.64,47.88,548219
2022-05-12,48.06,48.18,47.41,48.07,684837
2022-05-13,48.14,48.41,47.62,48.19,586720
2022-05-16,47.975,49.195,47.765,49.05,999380
2022-05-17,48.96,49.205,48.54,48.93,605795
2022-05-18,48.8,49.455,48.63,48.91,511642
2022-05-19,48.415,49.18,48.13,49.12,694325
2022-05-20,49.055,49.59,48.92,49.54,582084
2022-05-23,49.88,50.26,49.5,49.67,344141
2022-05-24,49.78,50.82,48.91,50.72,637690
2022-05-25,50.475,51.265,50.425,51.24,601384
2022-05-26,51.33,51.605,50.91,51.045,560564
2022-05-27,50.7,51.42,50.565,51.41,325110
2022-05-31,51.26,51.55,50.855,51.38,540922
2022-06-01,51.54,51.63,51.055,51.405,503507
2022-06-02,51.55,51.59,50.4,51.28,543430
2022-06-03,50.86,51.25,50.705,50.81,406489
2022-06-06,50.945,51.345,50.72,51.24,380627
2022-06-07,51.15,51.695,50.93,51.66,501548
2022-06-08,51.72,51.955,51.455,51.55,311801
2022-06-09,51.6,51.74,50.925,50.94,273242
2022-06-10,50.64,51.395,50.5,50.805,468200
2022-06-13,50.6,50.79,49.405,49.605,613606
2022-06-14,49.67,49.83,48.895,49.17,588567
2022-06-15,49.26,49.8,48.6,49.15,800316
2022-06-16,48.56,48.97,48.01,48.87,644796
2022-06-17,48.65,49.435,48.535,49.01,986768
2022-06-21,49.335,50.91,49.23,50.69,1285711
2022-06-22,50.305,51.16,50.29,50.845,1291349
2022-06-23,51.1,52.18,51.03,52.13,956056
2022-06-24,52.1,52.135,50.57,50.96,952554
2022-06-27,51.24,51.455,50.66,50.98,592851
2022-06-28,51.07,51.28,50.43,50.46,413367
2022-06-29,50.56,51.0,50.345,50.94,510548
2022-06-30,50.725,51.21,50.47,50.76,477993
2022-07-01,50.86,51.77,50.59,51.66,345522
2022-07-05,51.46,51.46,50.48,51.43,388898
2022-07-06,51.39,51.875,51.135,51.5,644929
2022-07-07,50.9,51.03,50.36,50.7,473947
2022-07-08,50.615,50.89,50.41,50.5,329022
2022-07-11,50.41,50.71,50.275,50.51,343778
2022-07-12,50.54,51.35,50.31,50.85,891493
2022-07-13,50.57,51.06,50.205,50.515,521343
2022-07-14,49.79,50.555,49.775,50.48,343089
2022-07-15,50.9,51.04,50.38,51.02,320353
2022-07-18,51.1,51.155,50.17,50.28,308013
2022-07-19,50.36,50.545,50.275,50.425,438305
2022-07-20,50.46,50.52,49.01,49.07,876278
2022-07-21,47.62,47.875,46.72,47.67,930425
2022-07-22,45.93,46.15,43.77,44.44,1981269
2022-07-25,44.45,44.8,44.065,44.77,1074613
2022-07-26,44.515,45.165,44.31,44.915,572744
2022-07-27,44.85,45.065,44.46,44.91,762254
2022-07-28,44.89,45.72,44.755,45.54,680350
2022-07-29,45.665,46.495,45.665,46.22,624689
2022-08-01,46.28,46.49,45.92,46.255,466630
2022-08-02,46.39,46.4,45.31,45.34,464747
2022-08-03,45.35,45.6,45.2,45.32,397973
2022-08-04,45.0,45.15,44.365,44.43,851281
2022-08-05,44.505,44.98,44.375,44.94,389394
2022-08-08,44.94,45.005,44.35,44.53,585243
2022-08-09,44.64,44.84,44.4,44.685,459099
2022-08-10,44.99,45.055,44.655,44.84,511282
2022-08-11,44.97,45.25,44.745,44.8,495827
2022-08-12,44.92,45.255,44.815,45.13,466762
2022-08-15,45.04,45.63,44.95,45.56,310397
2022-08-16,45.5,46.04,45.38,45.8,311846
2022-08-17,45.43,45.71,45.265,45.34,305687
2022-08-18,44.46,44.505,43.915,44.2,523793
2022-08-19,44.11,44.485,43.98,44.41,417789
2022-08-22,44.35,44.455,44.095,44.17,371784
2022-08-23,44.0,44.03,43.42,43.48,380308
2022-08-24,43.475,43.625,43.225,43.58,594471
2022-08-25,43.64,43.82,43.45,43.76,280522
2022-08-26,43.64,43.69,43.24,43.25,516657
2022-08-29,43.05,43.56,43.035,43.34,545456
2022-08-30,43.3,43.32,42.505,42.53,663849
2022-08-31,42.47,42.58,41.76,41.81,581156
2022-09-01,41.74,42.045,41.655,41.815,631444
2022-09-02,41.98,42.205,41.15,41.3,633148
2022-09-06,41.36,41.66,41.095,41.13,684885
2022-09-07,41.21,41.645,41.01,41.01,684049
2022-09-08,40.95,41.72,40.72,41.305,1171720
2022-09-09,41.67,42.315,41.475,42.235,641627
2022-09-12,42.56,42.845,42.42,42.78,621867
2022-09-13,42.41,42.58,41.575,41.725,715941
2022-09-14,41.75,41.915,40.995,41.28,778832
2022-09-15,41.1,41.265,40.705,41.015,864649
2022-09-16,40.9,41.54,40.67,41.255,1018610
2022-09-19,41.02,41.245,40.695,41.245,596720
2022-09-20,40.96,40.96,40.48,40.59,547113
2022-09-21,40.61,40.61,39.48,39.48,609586
2022-09-22,39.37,40.39,39.27,39.94,749651
2022-09-23,39.56,39.86,39.12,39.55,517924
2022-09-26,39.36,39.36,38.635,38.94,515855
2022-09-27,39.14,39.69,38.795,38.9,684794
2022-09-28,39.09,39.51,39.035,39.365,943042
2022-09-29,39.14,39.16,38.46,38.67,868489
2022-09-30,38.54,38.77,37.95,38.01,484024
2022-10-03,38.5,39.37,38.4,39.17,554009
2022-10-04,39.515,39.85,39.26,39.815,478983
2022-10-05,39.39,39.61,38.88,39.4,531785
2022-10-06,39.44,39.65,37.78,37.825,918424
2022-10-07,37.63,37.64,36.815,36.855,1447866
2022-10-10,37.115,37.3,36.37,36.62,769867
